tick,day,arc_id,recalling_agent,remembered_arc,days_since_prior_compromise,remembered_terms,recall_weight,reused_in_new_counterproposal,not_private_workspace_leak
233,24,v17-arc-08,Vonn,v17-arc-08,1,Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=quiet path || Sova: quiet warm access window; boundary=no crowding while resting; concession=shared schedule note,0.915,1,1
234,24,v17-arc-08,Sova,v17-arc-08,1,Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=shared schedule note || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=later help,0.915,1,1
235,24,v17-arc-08,Keth,v17-arc-08,1,Sova: quiet warm access window; boundary=no crowding while resting; concession=later help || Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=shorter turn,0.915,1,1
236,24,v17-arc-08,Melo,v17-arc-08,1,Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shorter turn || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=public witness || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=repair token,0.95,1,1
237,24,v17-arc-08,Nari,v17-arc-08,1,Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=public witness || Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=repair token,0.915,1,1
238,24,v17-arc-08,Ori,v17-arc-08,1,Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=repair token || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=quiet path,0.915,1,1
239,24,v17-arc-08,Vonn,v17-arc-08,1,Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=quiet path || Sova: quiet warm access window; boundary=no crowding while resting; concession=shared schedule note,0.915,1,1
240,25,v17-arc-09,Keth,v17-arc-06,9,Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=public witness || Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=repair token,0.75,1,1
241,25,v17-arc-09,Melo,v17-arc-06,9,Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=repair token || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=quiet path,0.715,1,1
242,25,v17-arc-09,Nari,v17-arc-06,9,Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=quiet path || Sova: quiet warm access window; boundary=no crowding while resting; concession=shared schedule note || Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=later help,0.715,1,1
243,25,v17-arc-09,Ori,v17-arc-06,9,Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=shared schedule note || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=later help,0.715,1,1
244,25,v17-arc-09,Vonn,v17-arc-06,9,Sova: quiet warm access window; boundary=no crowding while resting; concession=later help || Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=shorter turn,0.75,1,1
245,25,v17-arc-09,Sova,v17-arc-06,9,Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shorter turn || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=public witness,0.715,1,1
246,25,v17-arc-09,Keth,v17-arc-06,8,Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=repair token || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=quiet path || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shared schedule note,0.74,1,1
247,25,v17-arc-09,Melo,v17-arc-06,8,Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=shared schedule note || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=later help,0.74,1,1
248,25,v17-arc-09,Nari,v17-arc-06,8,Sova: quiet warm access window; boundary=no crowding while resting; concession=later help || Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=shorter turn,0.775,1,1
249,25,v17-arc-09,Ori,v17-arc-06,8,Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shorter turn || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=public witness || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=repair token,0.74,1,1
250,26,v17-arc-09,Sova,v17-arc-06,8,Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shorter turn || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=public witness,0.74,1,1
251,26,v17-arc-09,Keth,v17-arc-06,8,Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=public witness || Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=repair token || Sova: quiet warm access window; boundary=no crowding while resting; concession=quiet path,0.74,0,1
252,26,v17-arc-09,Melo,v17-arc-06,8,Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=repair token || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=quiet path,0.775,1,1
253,26,v17-arc-09,Nari,v17-arc-06,8,Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=quiet path || Sova: quiet warm access window; boundary=no crowding while resting; concession=shared schedule note,0.74,1,1
254,26,v17-arc-09,Ori,v17-arc-06,8,Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=shared schedule note || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=later help,0.74,1,1
255,26,v17-arc-09,Vonn,v17-arc-07,7,Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shorter turn || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=public witness || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=repair token,0.765,1,1
256,26,v17-arc-09,Sova,v17-arc-07,7,Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=public witness || Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=repair token,0.8,1,1
257,26,v17-arc-09,Keth,v17-arc-07,7,Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=repair token || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=quiet path,0.765,1,1
258,26,v17-arc-09,Melo,v17-arc-07,7,Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=shared schedule note || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=later help || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=shorter turn,0.765,1,1
259,26,v17-arc-09,Nari,v17-arc-07,7,Sova: quiet warm access window; boundary=no crowding while resting; concession=later help || Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=shorter turn,0.765,1,1
260,27,v17-arc-09,Vonn,v17-arc-07,7,Sova: quiet warm access window; boundary=no crowding while resting; concession=later help || Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=shorter turn || Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=public witness,0.8,1,1
261,27,v17-arc-09,Sova,v17-arc-07,7,Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shorter turn || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=public witness,0.765,1,1
262,27,v17-arc-09,Keth,v17-arc-07,7,Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=public witness || Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=repair token,0.765,1,1
263,27,v17-arc-09,Melo,v17-arc-07,7,Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=repair token || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=quiet path,0.765,1,1
264,27,v17-arc-09,Nari,v17-arc-07,6,Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=shared schedule note || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=later help || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=shorter turn,0.825,1,1
265,27,v17-arc-09,Ori,v17-arc-07,6,Sova: quiet warm access window; boundary=no crowding while resting; concession=later help || Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=shorter turn,0.79,1,1
266,27,v17-arc-09,Vonn,v17-arc-07,6,Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shorter turn || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=public witness,0.79,1,1
267,27,v17-arc-09,Sova,v17-arc-07,6,Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=public witness || Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=repair token,0.79,1,1
268,27,v17-arc-09,Keth,v17-arc-07,6,Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=repair token || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=quiet path || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shared schedule note,0.825,1,1
269,27,v17-arc-09,Melo,v17-arc-07,6,Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=quiet path || Sova: quiet warm access window; boundary=no crowding while resting; concession=shared schedule note,0.79,1,1
270,28,v17-arc-10,Ori,v17-arc-08,6,Sova: quiet warm access window; boundary=no crowding while resting; concession=later help || Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=shorter turn,0.79,0,1
271,28,v17-arc-10,Vonn,v17-arc-08,6,Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shorter turn || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=public witness,0.79,1,1
272,28,v17-arc-10,Sova,v17-arc-08,5,Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=repair token || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=quiet path || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shared schedule note,0.85,1,1
273,28,v17-arc-10,Keth,v17-arc-08,5,Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=quiet path || Sova: quiet warm access window; boundary=no crowding while resting; concession=shared schedule note,0.815,1,1
274,28,v17-arc-10,Melo,v17-arc-08,5,Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=shared schedule note || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=later help,0.815,1,1
275,28,v17-arc-10,Nari,v17-arc-08,5,Sova: quiet warm access window; boundary=no crowding while resting; concession=later help || Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=shorter turn,0.815,1,1
276,28,v17-arc-10,Ori,v17-arc-08,5,Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shorter turn || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=public witness || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=repair token,0.85,1,1
277,28,v17-arc-10,Vonn,v17-arc-08,5,Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=public witness || Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=repair token,0.815,1,1
278,28,v17-arc-10,Sova,v17-arc-08,5,Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=repair token || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=quiet path,0.815,1,1
279,28,v17-arc-10,Keth,v17-arc-08,5,Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=quiet path || Sova: quiet warm access window; boundary=no crowding while resting; concession=shared schedule note,0.815,1,1
