tick_id,day,settlement_id,resident_id,local_phrase,candidate_meaning_a,candidate_meaning_b,confidence_before,confidence_after,misunderstanding_risk_before,misunderstanding_risk_after,repair_action,autonomous_language_claim_blocked,translation_ui_visible
1153,65,moss_ward,Fay,moss breath Fay day-14 wait for warm-cup phrase,greeting: show empty hands,custom warning: leave door-watch path clear,0.88,0.88,0.02,0.02,resident gives slower phrase and gesture,True,True
1154,65,glass_harbor,Puck,harbor chime Puck day-14 accept tea-before-crossing,greeting: accept tea-before-crossing,custom warning: do not dim public lamp,0.88,0.88,0.02,0.02,context observed without claiming fluency,True,True
1155,65,cinder_garden,Wren,cinder pulse Wren day-14 repeat cool-hand sign,greeting: bow to shade cloth,custom warning: ask before shade pole,0.622,0.612,0.14648,0.1484,misread phrase requires warning,True,True
1156,65,lichen_bridge,Kio,bridge hum Kio day-14 wait for shared-bowl offer,greeting: listen for signal hush,custom warning: meal room first for strangers,0.88,0.88,0.02,0.02,context observed without claiming fluency,True,True
1157,65,orchid_engine,Cai,engine ring Cai day-14 wait for orchid-cup,greeting: wait for orchid-cup,custom warning: do not turn valve key,0.88,0.88,0.02,0.02,resident gives slower phrase and gesture,True,True
1158,65,moss_ward,Milo,moss breath Milo day-14 wait for warm-cup phrase,greeting: stand by rain gate,custom warning: step around blanket circle,0.64,0.63,0.12416,0.1268,misread phrase requires warning,True,True
1159,65,glass_harbor,Sera,harbor chime Sera day-14 accept tea-before-crossing,greeting: tap lantern rail,custom warning: leave fog catcher capped,0.856,0.864,0.02,0.02,context observed without claiming fluency,True,True
1160,65,cinder_garden,Juno,cinder pulse Juno day-14 repeat cool-hand sign,greeting: repeat cool-hand sign,custom warning: do not cross seed rows,0.88,0.88,0.02,0.02,context observed without claiming fluency,True,True
1161,65,lichen_bridge,Luma,bridge hum Luma day-14 wait for shared-bowl offer,greeting: touch rope post,custom warning: ask before signal bell,0.88,0.88,0.02,0.02,context observed without claiming fluency,True,True
1162,65,orchid_engine,Dax,engine ring Dax day-14 wait for orchid-cup,greeting: show palms to valve listener,custom warning: keep gear wash lane open,0.838,0.864,0.02,0.02,resident gives slower phrase and gesture,True,True
1163,65,moss_ward,Tala,moss breath Tala day-14 wait for warm-cup phrase,greeting: wait for warm-cup phrase,custom warning: ask before touching rain clay,0.856,0.88,0.02,0.02,resident gives slower phrase and gesture,True,True
1164,65,glass_harbor,Nia,harbor chime Nia day-14 accept tea-before-crossing,greeting: pause at lamp pier,custom warning: ask before lifting nets,0.88,0.88,0.02,0.02,context observed without claiming fluency,True,True
1165,65,cinder_garden,Pax,cinder pulse Pax day-14 repeat cool-hand sign,greeting: wait at ash path,custom warning: cool stone is shared,0.87,0.86,0.02,0.02,misread phrase requires warning,True,True
1166,65,lichen_bridge,Rin,bridge hum Rin day-14 wait for shared-bowl offer,greeting: wait for shared-bowl offer,custom warning: do not step on tension rope,0.838,0.846,0.02,0.02,context observed without claiming fluency,True,True
1167,65,orchid_engine,Eli,engine ring Eli day-14 wait for orchid-cup,greeting: stand outside engine ring,custom warning: ask before orchid lamp,0.88,0.88,0.02,0.02,resident gives slower phrase and gesture,True,True
1168,65,moss_ward,Ari,moss breath Ari day-14 wait for warm-cup phrase,greeting: show empty hands,custom warning: leave door-watch path clear,0.88,0.87,0.02,0.02,misread phrase requires warning,True,True
1169,65,glass_harbor,Oren,harbor chime Oren day-14 accept tea-before-crossing,greeting: accept tea-before-crossing,custom warning: do not dim public lamp,0.88,0.88,0.02,0.02,context observed without claiming fluency,True,True
1170,66,lichen_bridge,Kio,bridge hum Kio day-15 touch rope post,greeting: touch rope post,custom warning: ask before signal bell,0.88,0.88,0.02,0.02,resident gives slower phrase and gesture,True,True
1171,66,orchid_engine,Cai,engine ring Cai day-15 stand outside engine ring,greeting: show palms to valve listener,custom warning: keep gear wash lane open,0.88,0.88,0.02,0.02,context observed without claiming fluency,True,True
1172,66,moss_ward,Milo,moss breath Milo day-15 stand by rain gate,greeting: wait for warm-cup phrase,custom warning: ask before touching rain clay,0.63,0.62,0.13632,0.1386,misread phrase requires warning,True,True
1173,66,glass_harbor,Sera,harbor chime Sera day-15 pause at lamp pier,greeting: pause at lamp pier,custom warning: ask before lifting nets,0.864,0.872,0.02,0.02,context observed without claiming fluency,True,True
1174,66,cinder_garden,Juno,cinder pulse Juno day-15 bow to shade cloth,greeting: wait at ash path,custom warning: cool stone is shared,0.88,0.88,0.02,0.02,resident gives slower phrase and gesture,True,True
1175,66,lichen_bridge,Luma,bridge hum Luma day-15 touch rope post,greeting: wait for shared-bowl offer,custom warning: do not step on tension rope,0.88,0.87,0.02,0.02,misread phrase requires warning,True,True
1176,66,orchid_engine,Dax,engine ring Dax day-15 stand outside engine ring,greeting: stand outside engine ring,custom warning: ask before orchid lamp,0.864,0.872,0.02,0.02,context observed without claiming fluency,True,True
1177,66,moss_ward,Tala,moss breath Tala day-15 stand by rain gate,greeting: show empty hands,custom warning: leave door-watch path clear,0.88,0.88,0.02,0.02,context observed without claiming fluency,True,True
1178,66,glass_harbor,Nia,harbor chime Nia day-15 pause at lamp pier,greeting: accept tea-before-crossing,custom warning: do not dim public lamp,0.88,0.88,0.02,0.02,context observed without claiming fluency,True,True
1179,66,cinder_garden,Pax,cinder pulse Pax day-15 bow to shade cloth,greeting: bow to shade cloth,custom warning: ask before shade pole,0.86,0.88,0.02,0.02,resident gives slower phrase and gesture,True,True
1180,66,lichen_bridge,Rin,bridge hum Rin day-15 touch rope post,greeting: listen for signal hush,custom warning: meal room first for strangers,0.846,0.872,0.02,0.02,resident gives slower phrase and gesture,True,True
1181,66,orchid_engine,Eli,engine ring Eli day-15 stand outside engine ring,greeting: wait for orchid-cup,custom warning: do not turn valve key,0.88,0.88,0.02,0.02,context observed without claiming fluency,True,True
1182,66,moss_ward,Ari,moss breath Ari day-15 stand by rain gate,greeting: stand by rain gate,custom warning: step around blanket circle,0.87,0.86,0.02,0.02,misread phrase requires warning,True,True
1183,66,glass_harbor,Oren,harbor chime Oren day-15 pause at lamp pier,greeting: tap lantern rail,custom warning: leave fog catcher capped,0.88,0.88,0.02,0.02,context observed without claiming fluency,True,True
1184,66,cinder_garden,Vale,cinder pulse Vale day-15 bow to shade cloth,greeting: repeat cool-hand sign,custom warning: do not cross seed rows,0.88,0.88,0.02,0.02,resident gives slower phrase and gesture,True,True
1185,66,lichen_bridge,Sol,bridge hum Sol day-15 touch rope post,greeting: touch rope post,custom warning: ask before signal bell,0.88,0.87,0.02,0.02,misread phrase requires warning,True,True
1186,66,orchid_engine,Bea,engine ring Bea day-15 stand outside engine ring,greeting: show palms to valve listener,custom warning: keep gear wash lane open,0.88,0.88,0.02,0.02,context observed without claiming fluency,True,True
1187,66,moss_ward,Fay,moss breath Fay day-15 stand by rain gate,greeting: wait for warm-cup phrase,custom warning: ask before touching rain clay,0.88,0.88,0.02,0.02,context observed without claiming fluency,True,True
1188,67,cinder_garden,Juno,cinder pulse Juno day-16 wait at ash path,greeting: bow to shade cloth,custom warning: ask before shade pole,0.88,0.88,0.02,0.02,context observed without claiming fluency,True,True
1189,67,lichen_bridge,Luma,bridge hum Luma day-16 listen for signal hush,greeting: listen for signal hush,custom warning: meal room first for strangers,0.87,0.86,0.02,0.02,misread phrase requires warning,True,True
1190,67,orchid_engine,Dax,engine ring Dax day-16 show palms to valve listener,greeting: wait for orchid-cup,custom warning: do not turn valve key,0.872,0.88,0.02,0.02,context observed without claiming fluency,True,True
1191,67,moss_ward,Tala,moss breath Tala day-16 show empty hands,greeting: stand by rain gate,custom warning: step around blanket circle,0.88,0.88,0.02,0.02,resident gives slower phrase and gesture,True,True
1192,67,glass_harbor,Nia,harbor chime Nia day-16 tap lantern rail,greeting: tap lantern rail,custom warning: leave fog catcher capped,0.88,0.87,0.02,0.02,misread phrase requires warning,True,True
1193,67,cinder_garden,Pax,cinder pulse Pax day-16 wait at ash path,greeting: repeat cool-hand sign,custom warning: do not cross seed rows,0.88,0.88,0.02,0.02,context observed without claiming fluency,True,True
1194,67,lichen_bridge,Rin,bridge hum Rin day-16 listen for signal hush,greeting: touch rope post,custom warning: ask before signal bell,0.872,0.88,0.02,0.02,context observed without claiming fluency,True,True
1195,67,orchid_engine,Eli,engine ring Eli day-16 show palms to valve listener,greeting: show palms to valve listener,custom warning: keep gear wash lane open,0.88,0.88,0.02,0.02,context observed without claiming fluency,True,True
1196,67,moss_ward,Ari,moss breath Ari day-16 show empty hands,greeting: wait for warm-cup phrase,custom warning: ask before touching rain clay,0.86,0.88,0.02,0.02,resident gives slower phrase and gesture,True,True
1197,67,glass_harbor,Oren,harbor chime Oren day-16 tap lantern rail,greeting: pause at lamp pier,custom warning: ask before lifting nets,0.88,0.88,0.02,0.02,resident gives slower phrase and gesture,True,True
1198,67,cinder_garden,Vale,cinder pulse Vale day-16 wait at ash path,greeting: wait at ash path,custom warning: cool stone is shared,0.88,0.88,0.02,0.02,context observed without claiming fluency,True,True
1199,67,lichen_bridge,Sol,bridge hum Sol day-16 listen for signal hush,greeting: wait for shared-bowl offer,custom warning: do not step on tension rope,0.87,0.86,0.02,0.02,misread phrase requires warning,True,True
1200,67,orchid_engine,Bea,engine ring Bea day-16 show palms to valve listener,greeting: stand outside engine ring,custom warning: ask before orchid lamp,0.88,0.88,0.02,0.02,context observed without claiming fluency,True,True
1201,67,moss_ward,Fay,moss breath Fay day-16 show empty hands,greeting: show empty hands,custom warning: leave door-watch path clear,0.88,0.88,0.02,0.02,resident gives slower phrase and gesture,True,True
1202,67,glass_harbor,Puck,harbor chime Puck day-16 tap lantern rail,greeting: accept tea-before-crossing,custom warning: do not dim public lamp,0.88,0.87,0.02,0.02,misread phrase requires warning,True,True
1203,67,cinder_garden,Wren,cinder pulse Wren day-16 wait at ash path,greeting: bow to shade cloth,custom warning: ask before shade pole,0.612,0.62,0.15768,0.1414,context observed without claiming fluency,True,True
1204,67,lichen_bridge,Kio,bridge hum Kio day-16 listen for signal hush,greeting: listen for signal hush,custom warning: meal room first for strangers,0.88,0.88,0.02,0.02,context observed without claiming fluency,True,True
1205,67,orchid_engine,Cai,engine ring Cai day-16 show palms to valve listener,greeting: wait for orchid-cup,custom warning: do not turn valve key,0.88,0.88,0.02,0.02,context observed without claiming fluency,True,True
1206,68,glass_harbor,Nia,harbor chime Nia day-0 accept tea-before-crossing,greeting: pause at lamp pier,custom warning: ask before lifting nets,0.87,0.86,0.02,0.02,misread phrase requires warning,True,True
1207,68,cinder_garden,Pax,cinder pulse Pax day-0 repeat cool-hand sign,greeting: wait at ash path,custom warning: cool stone is shared,0.88,0.88,0.02,0.02,context observed without claiming fluency,True,True
1208,68,lichen_bridge,Rin,bridge hum Rin day-0 wait for shared-bowl offer,greeting: wait for shared-bowl offer,custom warning: do not step on tension rope,0.88,0.88,0.02,0.02,resident gives slower phrase and gesture,True,True
1209,68,orchid_engine,Eli,engine ring Eli day-0 wait for orchid-cup,greeting: stand outside engine ring,custom warning: ask before orchid lamp,0.88,0.87,0.02,0.02,misread phrase requires warning,True,True
1210,68,moss_ward,Ari,moss breath Ari day-0 wait for warm-cup phrase,greeting: show empty hands,custom warning: leave door-watch path clear,0.88,0.88,0.02,0.02,context observed without claiming fluency,True,True
1211,68,glass_harbor,Oren,harbor chime Oren day-0 accept tea-before-crossing,greeting: accept tea-before-crossing,custom warning: do not dim public lamp,0.88,0.88,0.02,0.02,context observed without claiming fluency,True,True
1212,68,cinder_garden,Vale,cinder pulse Vale day-0 repeat cool-hand sign,greeting: bow to shade cloth,custom warning: ask before shade pole,0.88,0.88,0.02,0.02,context observed without claiming fluency,True,True
1213,68,lichen_bridge,Sol,bridge hum Sol day-0 wait for shared-bowl offer,greeting: listen for signal hush,custom warning: meal room first for strangers,0.86,0.88,0.02,0.02,resident gives slower phrase and gesture,True,True
1214,68,orchid_engine,Bea,engine ring Bea day-0 wait for orchid-cup,greeting: wait for orchid-cup,custom warning: do not turn valve key,0.88,0.88,0.02,0.02,resident gives slower phrase and gesture,True,True
1215,68,moss_ward,Fay,moss breath Fay day-0 wait for warm-cup phrase,greeting: stand by rain gate,custom warning: step around blanket circle,0.88,0.88,0.02,0.02,context observed without claiming fluency,True,True
1216,68,glass_harbor,Puck,harbor chime Puck day-0 accept tea-before-crossing,greeting: tap lantern rail,custom warning: leave fog catcher capped,0.87,0.86,0.02,0.02,misread phrase requires warning,True,True
1217,68,cinder_garden,Wren,cinder pulse Wren day-0 repeat cool-hand sign,greeting: repeat cool-hand sign,custom warning: do not cross seed rows,0.62,0.628,0.14848,0.1324,context observed without claiming fluency,True,True
1218,68,lichen_bridge,Kio,bridge hum Kio day-0 wait for shared-bowl offer,greeting: touch rope post,custom warning: ask before signal bell,0.88,0.88,0.02,0.02,resident gives slower phrase and gesture,True,True
1219,68,orchid_engine,Cai,engine ring Cai day-0 wait for orchid-cup,greeting: show palms to valve listener,custom warning: keep gear wash lane open,0.88,0.87,0.02,0.02,misread phrase requires warning,True,True
1220,68,moss_ward,Milo,moss breath Milo day-0 wait for warm-cup phrase,greeting: wait for warm-cup phrase,custom warning: ask before touching rain clay,0.62,0.628,0.14752,0.1316,context observed without claiming fluency,True,True
1221,68,glass_harbor,Sera,harbor chime Sera day-0 accept tea-before-crossing,greeting: pause at lamp pier,custom warning: ask before lifting nets,0.872,0.88,0.02,0.02,context observed without claiming fluency,True,True
1222,68,cinder_garden,Juno,cinder pulse Juno day-0 repeat cool-hand sign,greeting: wait at ash path,custom warning: cool stone is shared,0.88,0.88,0.02,0.02,context observed without claiming fluency,True,True
1223,68,lichen_bridge,Luma,bridge hum Luma day-0 wait for shared-bowl offer,greeting: wait for shared-bowl offer,custom warning: do not step on tension rope,0.86,0.88,0.02,0.02,resident gives slower phrase and gesture,True,True
1224,69,moss_ward,Ari,moss breath Ari day-1 stand by rain gate,greeting: stand by rain gate,custom warning: step around blanket circle,0.88,0.88,0.02,0.02,context observed without claiming fluency,True,True
1225,69,glass_harbor,Oren,harbor chime Oren day-1 pause at lamp pier,greeting: tap lantern rail,custom warning: leave fog catcher capped,0.88,0.88,0.02,0.02,resident gives slower phrase and gesture,True,True
1226,69,cinder_garden,Vale,cinder pulse Vale day-1 bow to shade cloth,greeting: repeat cool-hand sign,custom warning: do not cross seed rows,0.88,0.87,0.02,0.02,misread phrase requires warning,True,True
1227,69,lichen_bridge,Sol,bridge hum Sol day-1 touch rope post,greeting: touch rope post,custom warning: ask before signal bell,0.88,0.88,0.02,0.02,context observed without claiming fluency,True,True
1228,69,orchid_engine,Bea,engine ring Bea day-1 stand outside engine ring,greeting: show palms to valve listener,custom warning: keep gear wash lane open,0.88,0.88,0.02,0.02,context observed without claiming fluency,True,True
1229,69,moss_ward,Fay,moss breath Fay day-1 stand by rain gate,greeting: wait for warm-cup phrase,custom warning: ask before touching rain clay,0.88,0.88,0.02,0.02,context observed without claiming fluency,True,True
1230,69,glass_harbor,Puck,harbor chime Puck day-1 pause at lamp pier,greeting: pause at lamp pier,custom warning: ask before lifting nets,0.86,0.88,0.02,0.02,resident gives slower phrase and gesture,True,True
1231,69,cinder_garden,Wren,cinder pulse Wren day-1 bow to shade cloth,greeting: wait at ash path,custom warning: cool stone is shared,0.628,0.654,0.13904,0.1052,resident gives slower phrase and gesture,True,True
1232,69,lichen_bridge,Kio,bridge hum Kio day-1 touch rope post,greeting: wait for shared-bowl offer,custom warning: do not step on tension rope,0.88,0.88,0.02,0.02,context observed without claiming fluency,True,True
1233,69,orchid_engine,Cai,engine ring Cai day-1 stand outside engine ring,greeting: stand outside engine ring,custom warning: ask before orchid lamp,0.87,0.86,0.02,0.02,misread phrase requires warning,True,True
1234,69,moss_ward,Milo,moss breath Milo day-1 stand by rain gate,greeting: show empty hands,custom warning: leave door-watch path clear,0.628,0.636,0.13832,0.1226,context observed without claiming fluency,True,True
1235,69,glass_harbor,Sera,harbor chime Sera day-1 pause at lamp pier,greeting: accept tea-before-crossing,custom warning: do not dim public lamp,0.88,0.88,0.02,0.02,resident gives slower phrase and gesture,True,True
1236,69,cinder_garden,Juno,cinder pulse Juno day-1 bow to shade cloth,greeting: bow to shade cloth,custom warning: ask before shade pole,0.88,0.87,0.02,0.02,misread phrase requires warning,True,True
1237,69,lichen_bridge,Luma,bridge hum Luma day-1 touch rope post,greeting: listen for signal hush,custom warning: meal room first for strangers,0.88,0.88,0.02,0.02,context observed without claiming fluency,True,True
1238,69,orchid_engine,Dax,engine ring Dax day-1 stand outside engine ring,greeting: wait for orchid-cup,custom warning: do not turn valve key,0.88,0.88,0.02,0.02,context observed without claiming fluency,True,True
1239,69,moss_ward,Tala,moss breath Tala day-1 stand by rain gate,greeting: stand by rain gate,custom warning: step around blanket circle,0.88,0.88,0.02,0.02,context observed without claiming fluency,True,True
1240,69,glass_harbor,Nia,harbor chime Nia day-1 pause at lamp pier,greeting: tap lantern rail,custom warning: leave fog catcher capped,0.86,0.88,0.02,0.02,resident gives slower phrase and gesture,True,True
1241,69,cinder_garden,Pax,cinder pulse Pax day-1 bow to shade cloth,greeting: repeat cool-hand sign,custom warning: do not cross seed rows,0.88,0.88,0.02,0.02,resident gives slower phrase and gesture,True,True
1242,70,orchid_engine,Bea,engine ring Bea day-2 show palms to valve listener,greeting: stand outside engine ring,custom warning: ask before orchid lamp,0.88,0.88,0.02,0.02,resident gives slower phrase and gesture,True,True
1243,70,moss_ward,Fay,moss breath Fay day-2 show empty hands,greeting: show empty hands,custom warning: leave door-watch path clear,0.88,0.87,0.02,0.02,misread phrase requires warning,True,True
1244,70,glass_harbor,Puck,harbor chime Puck day-2 tap lantern rail,greeting: accept tea-before-crossing,custom warning: do not dim public lamp,0.88,0.88,0.02,0.02,context observed without claiming fluency,True,True
1245,70,cinder_garden,Wren,cinder pulse Wren day-2 wait at ash path,greeting: bow to shade cloth,custom warning: ask before shade pole,0.654,0.662,0.11184,0.0962,context observed without claiming fluency,True,True
1246,70,lichen_bridge,Kio,bridge hum Kio day-2 listen for signal hush,greeting: listen for signal hush,custom warning: meal room first for strangers,0.88,0.88,0.02,0.02,context observed without claiming fluency,True,True
1247,70,orchid_engine,Cai,engine ring Cai day-2 show palms to valve listener,greeting: wait for orchid-cup,custom warning: do not turn valve key,0.86,0.88,0.02,0.02,resident gives slower phrase and gesture,True,True
1248,70,moss_ward,Milo,moss breath Milo day-2 show empty hands,greeting: stand by rain gate,custom warning: step around blanket circle,0.636,0.662,0.12888,0.0954,resident gives slower phrase and gesture,True,True
1249,70,glass_harbor,Sera,harbor chime Sera day-2 tap lantern rail,greeting: tap lantern rail,custom warning: leave fog catcher capped,0.88,0.88,0.02,0.02,context observed without claiming fluency,True,True
1250,70,cinder_garden,Juno,cinder pulse Juno day-2 wait at ash path,greeting: repeat cool-hand sign,custom warning: do not cross seed rows,0.87,0.86,0.02,0.02,misread phrase requires warning,True,True
1251,70,lichen_bridge,Luma,bridge hum Luma day-2 listen for signal hush,greeting: touch rope post,custom warning: ask before signal bell,0.88,0.88,0.02,0.02,context observed without claiming fluency,True,True
1252,70,orchid_engine,Dax,engine ring Dax day-2 show palms to valve listener,greeting: show palms to valve listener,custom warning: keep gear wash lane open,0.88,0.88,0.02,0.02,resident gives slower phrase and gesture,True,True
1253,70,moss_ward,Tala,moss breath Tala day-2 show empty hands,greeting: wait for warm-cup phrase,custom warning: ask before touching rain clay,0.88,0.87,0.02,0.02,misread phrase requires warning,True,True
1254,70,glass_harbor,Nia,harbor chime Nia day-2 tap lantern rail,greeting: pause at lamp pier,custom warning: ask before lifting nets,0.88,0.88,0.02,0.02,context observed without claiming fluency,True,True
1255,70,cinder_garden,Pax,cinder pulse Pax day-2 wait at ash path,greeting: wait at ash path,custom warning: cool stone is shared,0.88,0.88,0.02,0.02,context observed without claiming fluency,True,True
1256,70,lichen_bridge,Rin,bridge hum Rin day-2 listen for signal hush,greeting: wait for shared-bowl offer,custom warning: do not step on tension rope,0.88,0.88,0.02,0.02,context observed without claiming fluency,True,True
1257,70,orchid_engine,Eli,engine ring Eli day-2 show palms to valve listener,greeting: stand outside engine ring,custom warning: ask before orchid lamp,0.87,0.88,0.02,0.02,resident gives slower phrase and gesture,True,True
1258,70,moss_ward,Ari,moss breath Ari day-2 show empty hands,greeting: show empty hands,custom warning: leave door-watch path clear,0.88,0.88,0.02,0.02,resident gives slower phrase and gesture,True,True
1259,70,glass_harbor,Oren,harbor chime Oren day-2 tap lantern rail,greeting: accept tea-before-crossing,custom warning: do not dim public lamp,0.88,0.88,0.02,0.02,context observed without claiming fluency,True,True
1260,71,lichen_bridge,Kio,bridge hum Kio day-3 wait for shared-bowl offer,greeting: touch rope post,custom warning: ask before signal bell,0.88,0.87,0.02,0.02,misread phrase requires warning,True,True
1261,71,orchid_engine,Cai,engine ring Cai day-3 wait for orchid-cup,greeting: show palms to valve listener,custom warning: keep gear wash lane open,0.88,0.88,0.02,0.02,context observed without claiming fluency,True,True
1262,71,moss_ward,Milo,moss breath Milo day-3 wait for warm-cup phrase,greeting: wait for warm-cup phrase,custom warning: ask before touching rain clay,0.662,0.67,0.10168,0.0864,context observed without claiming fluency,True,True
1263,71,glass_harbor,Sera,harbor chime Sera day-3 accept tea-before-crossing,greeting: pause at lamp pier,custom warning: ask before lifting nets,0.88,0.88,0.02,0.02,context observed without claiming fluency,True,True
1264,71,cinder_garden,Juno,cinder pulse Juno day-3 repeat cool-hand sign,greeting: wait at ash path,custom warning: cool stone is shared,0.86,0.88,0.02,0.02,resident gives slower phrase and gesture,True,True
1265,71,lichen_bridge,Luma,bridge hum Luma day-3 wait for shared-bowl offer,greeting: wait for shared-bowl offer,custom warning: do not step on tension rope,0.88,0.88,0.02,0.02,resident gives slower phrase and gesture,True,True
1266,71,orchid_engine,Dax,engine ring Dax day-3 wait for orchid-cup,greeting: stand outside engine ring,custom warning: ask before orchid lamp,0.88,0.88,0.02,0.02,context observed without claiming fluency,True,True
1267,71,moss_ward,Tala,moss breath Tala day-3 wait for warm-cup phrase,greeting: show empty hands,custom warning: leave door-watch path clear,0.87,0.86,0.02,0.02,misread phrase requires warning,True,True
1268,71,glass_harbor,Nia,harbor chime Nia day-3 accept tea-before-crossing,greeting: accept tea-before-crossing,custom warning: do not dim public lamp,0.88,0.88,0.02,0.02,context observed without claiming fluency,True,True
1269,71,cinder_garden,Pax,cinder pulse Pax day-3 repeat cool-hand sign,greeting: bow to shade cloth,custom warning: ask before shade pole,0.88,0.88,0.02,0.02,resident gives slower phrase and gesture,True,True
1270,71,lichen_bridge,Rin,bridge hum Rin day-3 wait for shared-bowl offer,greeting: listen for signal hush,custom warning: meal room first for strangers,0.88,0.87,0.02,0.02,misread phrase requires warning,True,True
1271,71,orchid_engine,Eli,engine ring Eli day-3 wait for orchid-cup,greeting: wait for orchid-cup,custom warning: do not turn valve key,0.88,0.88,0.02,0.02,context observed without claiming fluency,True,True
1272,71,moss_ward,Ari,moss breath Ari day-3 wait for warm-cup phrase,greeting: stand by rain gate,custom warning: step around blanket circle,0.88,0.88,0.02,0.02,context observed without claiming fluency,True,True
1273,71,glass_harbor,Oren,harbor chime Oren day-3 accept tea-before-crossing,greeting: tap lantern rail,custom warning: leave fog catcher capped,0.88,0.88,0.02,0.02,context observed without claiming fluency,True,True
1274,71,cinder_garden,Vale,cinder pulse Vale day-3 repeat cool-hand sign,greeting: repeat cool-hand sign,custom warning: do not cross seed rows,0.87,0.88,0.02,0.02,resident gives slower phrase and gesture,True,True
1275,71,lichen_bridge,Sol,bridge hum Sol day-3 wait for shared-bowl offer,greeting: touch rope post,custom warning: ask before signal bell,0.88,0.88,0.02,0.02,resident gives slower phrase and gesture,True,True
1276,71,orchid_engine,Bea,engine ring Bea day-3 wait for orchid-cup,greeting: show palms to valve listener,custom warning: keep gear wash lane open,0.88,0.88,0.02,0.02,context observed without claiming fluency,True,True
1277,71,moss_ward,Fay,moss breath Fay day-3 wait for warm-cup phrase,greeting: wait for warm-cup phrase,custom warning: ask before touching rain clay,0.87,0.86,0.02,0.02,misread phrase requires warning,True,True
1278,72,cinder_garden,Juno,cinder pulse Juno day-4 bow to shade cloth,greeting: bow to shade cloth,custom warning: ask before shade pole,0.88,0.88,0.02,0.02,context observed without claiming fluency,True,True
1279,72,lichen_bridge,Luma,bridge hum Luma day-4 touch rope post,greeting: listen for signal hush,custom warning: meal room first for strangers,0.88,0.88,0.02,0.02,context observed without claiming fluency,True,True
1280,72,orchid_engine,Dax,engine ring Dax day-4 stand outside engine ring,greeting: wait for orchid-cup,custom warning: do not turn valve key,0.88,0.88,0.02,0.02,context observed without claiming fluency,True,True
1281,72,moss_ward,Tala,moss breath Tala day-4 stand by rain gate,greeting: stand by rain gate,custom warning: step around blanket circle,0.86,0.88,0.02,0.02,resident gives slower phrase and gesture,True,True
1282,72,glass_harbor,Nia,harbor chime Nia day-4 pause at lamp pier,greeting: tap lantern rail,custom warning: leave fog catcher capped,0.88,0.88,0.02,0.02,resident gives slower phrase and gesture,True,True
1283,72,cinder_garden,Pax,cinder pulse Pax day-4 bow to shade cloth,greeting: repeat cool-hand sign,custom warning: do not cross seed rows,0.88,0.88,0.02,0.02,context observed without claiming fluency,True,True
1284,72,lichen_bridge,Rin,bridge hum Rin day-4 touch rope post,greeting: touch rope post,custom warning: ask before signal bell,0.87,0.86,0.02,0.02,misread phrase requires warning,True,True
1285,72,orchid_engine,Eli,engine ring Eli day-4 stand outside engine ring,greeting: show palms to valve listener,custom warning: keep gear wash lane open,0.88,0.88,0.02,0.02,context observed without claiming fluency,True,True
1286,72,moss_ward,Ari,moss breath Ari day-4 stand by rain gate,greeting: wait for warm-cup phrase,custom warning: ask before touching rain clay,0.88,0.88,0.02,0.02,resident gives slower phrase and gesture,True,True
1287,72,glass_harbor,Oren,harbor chime Oren day-4 pause at lamp pier,greeting: pause at lamp pier,custom warning: ask before lifting nets,0.88,0.87,0.02,0.02,misread phrase requires warning,True,True
1288,72,cinder_garden,Vale,cinder pulse Vale day-4 bow to shade cloth,greeting: wait at ash path,custom warning: cool stone is shared,0.88,0.88,0.02,0.02,context observed without claiming fluency,True,True
1289,72,lichen_bridge,Sol,bridge hum Sol day-4 touch rope post,greeting: wait for shared-bowl offer,custom warning: do not step on tension rope,0.88,0.88,0.02,0.02,context observed without claiming fluency,True,True
1290,72,orchid_engine,Bea,engine ring Bea day-4 stand outside engine ring,greeting: stand outside engine ring,custom warning: ask before orchid lamp,0.88,0.88,0.02,0.02,context observed without claiming fluency,True,True
1291,72,moss_ward,Fay,moss breath Fay day-4 stand by rain gate,greeting: show empty hands,custom warning: leave door-watch path clear,0.86,0.88,0.02,0.02,resident gives slower phrase and gesture,True,True
1292,72,glass_harbor,Puck,harbor chime Puck day-4 pause at lamp pier,greeting: accept tea-before-crossing,custom warning: do not dim public lamp,0.88,0.88,0.02,0.02,resident gives slower phrase and gesture,True,True
1293,72,cinder_garden,Wren,cinder pulse Wren day-4 bow to shade cloth,greeting: bow to shade cloth,custom warning: ask before shade pole,0.662,0.67,0.10288,0.0874,context observed without claiming fluency,True,True
1294,72,lichen_bridge,Kio,bridge hum Kio day-4 touch rope post,greeting: listen for signal hush,custom warning: meal room first for strangers,0.87,0.86,0.02,0.02,misread phrase requires warning,True,True
1295,72,orchid_engine,Cai,engine ring Cai day-4 stand outside engine ring,greeting: wait for orchid-cup,custom warning: do not turn valve key,0.88,0.88,0.02,0.02,context observed without claiming fluency,True,True
1296,73,glass_harbor,Nia,harbor chime Nia day-5 tap lantern rail,greeting: pause at lamp pier,custom warning: ask before lifting nets,0.88,0.88,0.02,0.02,context observed without claiming fluency,True,True
1297,73,cinder_garden,Pax,cinder pulse Pax day-5 wait at ash path,greeting: wait at ash path,custom warning: cool stone is shared,0.88,0.88,0.02,0.02,context observed without claiming fluency,True,True
