tick_index,day,hour,phase,agent,role,routine,autonomous_goal,avatar_pressure,social_context,event_kind,routine_source,routine_continuity_token
288,9,2,night,Sol,seed ledger guardian,guarded_rest,Sol continues night routine: guarded_rest,0.261099,self-directed,crowding,agent_schedule_not_avatar_command,r243:9:2:Sol:guarded_rest:b7d93b6c
289,10,5,dawn,Ari,route keeper,share_water,Ari continues dawn routine: share_water,0.07572,self-directed,quiet_success,agent_schedule_not_avatar_command,r243:10:5:Ari:share_water:8e382223
290,10,5,dawn,Fay,hearth ritualist,wake_check_body,Fay continues dawn routine: wake_check_body,0.089886,self-directed,ordinary,agent_schedule_not_avatar_command,r243:10:5:Fay:wake_check_body:c2c65084
291,10,5,dawn,Milo,market pattern scout,prepare_tools,Milo continues dawn routine: prepare_tools,0.0,trusted peer nearby,help_received,agent_schedule_not_avatar_command,r243:10:5:Milo:prepare_tools:4a3c2842
292,10,5,dawn,Sol,seed ledger guardian,quiet_route_scan,Sol continues dawn routine: quiet_route_scan,0.516249,avatar nearby,pressure_repeated,agent_schedule_not_avatar_command,r243:10:5:Sol:quiet_route_scan:291181a4
293,10,8,dawn,Ari,route keeper,quiet_route_scan,Ari continues dawn routine: quiet_route_scan,0.500452,avatar nearby,pressure_repeated,agent_schedule_not_avatar_command,r243:10:8:Ari:quiet_route_scan:222b4754
294,10,8,dawn,Fay,hearth ritualist,share_water,Fay continues dawn routine: share_water,0.07877,self-directed,cold_rain,agent_schedule_not_avatar_command,r243:10:8:Fay:share_water:8e180ac7
295,10,8,dawn,Milo,market pattern scout,wake_check_body,Milo continues dawn routine: wake_check_body,0.066954,trusted peer nearby,shared_ritual,agent_schedule_not_avatar_command,r243:10:8:Milo:wake_check_body:9e371bc3
296,10,8,dawn,Sol,seed ledger guardian,prepare_tools,Sol continues dawn routine: prepare_tools,0.0,self-directed,object_returned,agent_schedule_not_avatar_command,r243:10:8:Sol:prepare_tools:177686e4
297,10,11,day,Ari,route keeper,repair_route,Ari keeps a route usable,0.0,self-directed,object_returned,agent_schedule_not_avatar_command,r243:10:11:Ari:repair_route:067712a0
298,10,11,day,Fay,hearth ritualist,repair_route,Fay keeps a route usable,0.238363,self-directed,crowding,agent_schedule_not_avatar_command,r243:10:11:Fay:repair_route:1e258454
299,10,11,day,Milo,market pattern scout,market_exchange,Milo trades without losing boundaries,0.074734,self-directed,quiet_success,agent_schedule_not_avatar_command,r243:10:11:Milo:market_exchange:72f60159
300,10,11,day,Sol,seed ledger guardian,work_project,Sol continues day routine: work_project,0.081543,self-directed,ordinary,agent_schedule_not_avatar_command,r243:10:11:Sol:work_project:9e5808dd
301,10,14,day,Ari,route keeper,repair_route,Ari keeps a route usable,0.088915,self-directed,ordinary,agent_schedule_not_avatar_command,r243:10:14:Ari:repair_route:067712a0
302,10,14,day,Fay,hearth ritualist,market_exchange,Fay trades without losing boundaries,0.0,trusted peer nearby,help_received,agent_schedule_not_avatar_command,r243:10:14:Fay:market_exchange:341412b1
303,10,14,day,Milo,market pattern scout,market_exchange,Milo trades without losing boundaries,0.511574,avatar nearby,pressure_repeated,agent_schedule_not_avatar_command,r243:10:14:Milo:market_exchange:72f60159
304,10,14,day,Sol,seed ledger guardian,teach_skill,Sol continues day routine: teach_skill,0.070628,self-directed,cold_rain,agent_schedule_not_avatar_command,r243:10:14:Sol:teach_skill:e3ec579b
305,10,17,dusk,Ari,route keeper,store_objects,Ari continues dusk routine: store_objects,0.074935,self-directed,cold_rain,agent_schedule_not_avatar_command,r243:10:17:Ari:store_objects:2fd62bc4
306,10,17,dusk,Fay,hearth ritualist,ritual_hum,Fay stabilizes group rhythm,0.079141,trusted peer nearby,shared_ritual,agent_schedule_not_avatar_command,r243:10:17:Fay:ritual_hum:f0915dad
307,10,17,dusk,Milo,market pattern scout,ritual_hum,Milo stabilizes group rhythm,0.0,self-directed,object_returned,agent_schedule_not_avatar_command,r243:10:17:Milo:ritual_hum:ad516317
308,10,17,dusk,Sol,seed ledger guardian,relationship_check,Sol tests whether trust changed,0.238041,self-directed,crowding,agent_schedule_not_avatar_command,r243:10:17:Sol:relationship_check:bfa94801
309,10,20,dusk,Ari,route keeper,relationship_check,Ari tests whether trust changed,0.257384,self-directed,crowding,agent_schedule_not_avatar_command,r243:10:20:Ari:relationship_check:6b5b0aed
310,10,20,dusk,Fay,hearth ritualist,ritual_hum,Fay stabilizes group rhythm,0.078217,self-directed,quiet_success,agent_schedule_not_avatar_command,r243:10:20:Fay:ritual_hum:f0915dad
311,10,20,dusk,Milo,market pattern scout,hearth_return,Milo continues dusk routine: hearth_return,0.065658,self-directed,ordinary,agent_schedule_not_avatar_command,r243:10:20:Milo:hearth_return:5636ef55
312,10,20,dusk,Sol,seed ledger guardian,ritual_hum,Sol stabilizes group rhythm,0.0,trusted peer nearby,help_received,agent_schedule_not_avatar_command,r243:10:20:Sol:ritual_hum:a9adb958
313,10,23,night,Ari,route keeper,dream_sort_memory,Ari sorts social episodes into private story,0.0,trusted peer nearby,help_received,agent_schedule_not_avatar_command,r243:10:23:Ari:dream_sort_memory:e2370a4a
314,10,23,night,Fay,hearth ritualist,guarded_rest,Fay continues night routine: guarded_rest,0.523414,avatar nearby,pressure_repeated,agent_schedule_not_avatar_command,r243:10:23:Fay:guarded_rest:acd34292
315,10,23,night,Milo,market pattern scout,soft_recovery,Milo continues night routine: soft_recovery,0.087701,self-directed,cold_rain,agent_schedule_not_avatar_command,r243:10:23:Milo:soft_recovery:bffc930f
316,10,23,night,Sol,seed ledger guardian,sleep,Sol protects recovery before tomorrow,0.087674,trusted peer nearby,shared_ritual,agent_schedule_not_avatar_command,r243:10:23:Sol:sleep:fe683409
317,10,2,night,Ari,route keeper,sleep,Ari protects recovery before tomorrow,0.088645,trusted peer nearby,shared_ritual,agent_schedule_not_avatar_command,r243:10:2:Ari:sleep:9965438b
318,10,2,night,Fay,hearth ritualist,dream_sort_memory,Fay sorts social episodes into private story,0.0,self-directed,object_returned,agent_schedule_not_avatar_command,r243:10:2:Fay:dream_sort_memory:a568e1a1
319,10,2,night,Milo,market pattern scout,guarded_rest,Milo continues night routine: guarded_rest,0.240036,self-directed,crowding,agent_schedule_not_avatar_command,r243:10:2:Milo:guarded_rest:a1dd2abe
320,10,2,night,Sol,seed ledger guardian,soft_recovery,Sol continues night routine: soft_recovery,0.073512,self-directed,quiet_success,agent_schedule_not_avatar_command,r243:10:2:Sol:soft_recovery:73cfc9ed
321,11,5,dawn,Ari,route keeper,wake_check_body,Ari continues dawn routine: wake_check_body,0.088678,self-directed,ordinary,agent_schedule_not_avatar_command,r243:11:5:Ari:wake_check_body:bb15c18a
322,11,5,dawn,Fay,hearth ritualist,prepare_tools,Fay continues dawn routine: prepare_tools,0.0,trusted peer nearby,help_received,agent_schedule_not_avatar_command,r243:11:5:Fay:prepare_tools:2785ee94
323,11,5,dawn,Milo,market pattern scout,quiet_route_scan,Milo continues dawn routine: quiet_route_scan,0.49759,avatar nearby,pressure_repeated,agent_schedule_not_avatar_command,r243:11:5:Milo:quiet_route_scan:3f98c3ae
324,11,5,dawn,Sol,seed ledger guardian,share_water,Sol continues dawn routine: share_water,0.080319,self-directed,cold_rain,agent_schedule_not_avatar_command,r243:11:5:Sol:share_water:96d68b8a
325,11,8,dawn,Ari,route keeper,share_water,Ari continues dawn routine: share_water,0.089959,self-directed,cold_rain,agent_schedule_not_avatar_command,r243:11:8:Ari:share_water:8e382223
326,11,8,dawn,Fay,hearth ritualist,wake_check_body,Fay continues dawn routine: wake_check_body,0.068343,trusted peer nearby,shared_ritual,agent_schedule_not_avatar_command,r243:11:8:Fay:wake_check_body:c2c65084
327,11,8,dawn,Milo,market pattern scout,prepare_tools,Milo continues dawn routine: prepare_tools,0.0,self-directed,object_returned,agent_schedule_not_avatar_command,r243:11:8:Milo:prepare_tools:4a3c2842
328,11,8,dawn,Sol,seed ledger guardian,quiet_route_scan,Sol continues dawn routine: quiet_route_scan,0.242953,self-directed,crowding,agent_schedule_not_avatar_command,r243:11:8:Sol:quiet_route_scan:291181a4
329,11,11,day,Ari,route keeper,repair_route,Ari keeps a route usable,0.257964,self-directed,crowding,agent_schedule_not_avatar_command,r243:11:11:Ari:repair_route:067712a0
330,11,11,day,Fay,hearth ritualist,teach_skill,Fay continues day routine: teach_skill,0.086122,self-directed,quiet_success,agent_schedule_not_avatar_command,r243:11:11:Fay:teach_skill:697452f7
331,11,11,day,Milo,market pattern scout,work_project,Milo continues day routine: work_project,0.083492,self-directed,ordinary,agent_schedule_not_avatar_command,r243:11:11:Milo:work_project:6453b983
332,11,11,day,Sol,seed ledger guardian,market_exchange,Sol trades without losing boundaries,0.0,trusted peer nearby,help_received,agent_schedule_not_avatar_command,r243:11:11:Sol:market_exchange:be480137
333,11,14,day,Ari,route keeper,repair_route,Ari keeps a route usable,0.0,trusted peer nearby,help_received,agent_schedule_not_avatar_command,r243:11:14:Ari:repair_route:067712a0
334,11,14,day,Fay,hearth ritualist,repair_route,Fay keeps a route usable,0.499614,avatar nearby,pressure_repeated,agent_schedule_not_avatar_command,r243:11:14:Fay:repair_route:1e258454
335,11,14,day,Milo,market pattern scout,teach_skill,Milo continues day routine: teach_skill,0.079172,self-directed,cold_rain,agent_schedule_not_avatar_command,r243:11:14:Milo:teach_skill:624ff239
336,11,14,day,Sol,seed ledger guardian,work_project,Sol continues day routine: work_project,0.069353,trusted peer nearby,shared_ritual,agent_schedule_not_avatar_command,r243:11:14:Sol:work_project:9e5808dd
337,11,17,dusk,Ari,route keeper,hearth_return,Ari continues dusk routine: hearth_return,0.084512,trusted peer nearby,shared_ritual,agent_schedule_not_avatar_command,r243:11:17:Ari:hearth_return:8d803a50
338,11,17,dusk,Fay,hearth ritualist,ritual_hum,Fay stabilizes group rhythm,0.0,self-directed,object_returned,agent_schedule_not_avatar_command,r243:11:17:Fay:ritual_hum:f0915dad
339,11,17,dusk,Milo,market pattern scout,relationship_check,Milo tests whether trust changed,0.23836,self-directed,crowding,agent_schedule_not_avatar_command,r243:11:17:Milo:relationship_check:5711035a
340,11,17,dusk,Sol,seed ledger guardian,store_objects,Sol continues dusk routine: store_objects,0.076749,self-directed,quiet_success,agent_schedule_not_avatar_command,r243:11:17:Sol:store_objects:ff5938cb
341,11,20,dusk,Ari,route keeper,store_objects,Ari continues dusk routine: store_objects,0.084419,self-directed,quiet_success,agent_schedule_not_avatar_command,r243:11:20:Ari:store_objects:2fd62bc4
342,11,20,dusk,Fay,hearth ritualist,ritual_hum,Fay stabilizes group rhythm,0.087801,self-directed,ordinary,agent_schedule_not_avatar_command,r243:11:20:Fay:ritual_hum:f0915dad
343,11,20,dusk,Milo,market pattern scout,ritual_hum,Milo stabilizes group rhythm,0.0,trusted peer nearby,help_received,agent_schedule_not_avatar_command,r243:11:20:Milo:ritual_hum:ad516317
344,11,20,dusk,Sol,seed ledger guardian,relationship_check,Sol tests whether trust changed,0.500629,avatar nearby,pressure_repeated,agent_schedule_not_avatar_command,r243:11:20:Sol:relationship_check:bfa94801
345,11,23,night,Ari,route keeper,guarded_rest,Ari continues night routine: guarded_rest,0.513015,avatar nearby,pressure_repeated,agent_schedule_not_avatar_command,r243:11:23:Ari:guarded_rest:fc7754fd
346,11,23,night,Fay,hearth ritualist,soft_recovery,Fay continues night routine: soft_recovery,0.090565,self-directed,cold_rain,agent_schedule_not_avatar_command,r243:11:23:Fay:soft_recovery:fd7825a3
347,11,23,night,Milo,market pattern scout,sleep,Milo protects recovery before tomorrow,0.083534,trusted peer nearby,shared_ritual,agent_schedule_not_avatar_command,r243:11:23:Milo:sleep:89f57e1b
348,11,23,night,Sol,seed ledger guardian,dream_sort_memory,Sol sorts social episodes into private story,0.0,self-directed,object_returned,agent_schedule_not_avatar_command,r243:11:23:Sol:dream_sort_memory:76823bc7
349,11,2,night,Ari,route keeper,dream_sort_memory,Ari sorts social episodes into private story,0.0,self-directed,object_returned,agent_schedule_not_avatar_command,r243:11:2:Ari:dream_sort_memory:e2370a4a
350,11,2,night,Fay,hearth ritualist,guarded_rest,Fay continues night routine: guarded_rest,0.261727,self-directed,crowding,agent_schedule_not_avatar_command,r243:11:2:Fay:guarded_rest:acd34292
351,11,2,night,Milo,market pattern scout,soft_recovery,Milo continues night routine: soft_recovery,0.071088,self-directed,quiet_success,agent_schedule_not_avatar_command,r243:11:2:Milo:soft_recovery:bffc930f
352,11,2,night,Sol,seed ledger guardian,sleep,Sol protects recovery before tomorrow,0.077507,self-directed,ordinary,agent_schedule_not_avatar_command,r243:11:2:Sol:sleep:fe683409
353,12,5,dawn,Ari,route keeper,prepare_tools,Ari continues dawn routine: prepare_tools,0.0,trusted peer nearby,help_received,agent_schedule_not_avatar_command,r243:12:5:Ari:prepare_tools:db5aeab2
354,12,5,dawn,Fay,hearth ritualist,quiet_route_scan,Fay continues dawn routine: quiet_route_scan,0.515501,avatar nearby,pressure_repeated,agent_schedule_not_avatar_command,r243:12:5:Fay:quiet_route_scan:ce0148e5
355,12,5,dawn,Milo,market pattern scout,share_water,Milo continues dawn routine: share_water,0.067736,self-directed,cold_rain,agent_schedule_not_avatar_command,r243:12:5:Milo:share_water:70e874a1
356,12,5,dawn,Sol,seed ledger guardian,quiet_route_scan,Sol continues dawn routine: quiet_route_scan,0.094772,trusted peer nearby,shared_ritual,agent_schedule_not_avatar_command,r243:12:5:Sol:quiet_route_scan:291181a4
357,12,8,dawn,Ari,route keeper,wake_check_body,Ari continues dawn routine: wake_check_body,0.079632,trusted peer nearby,shared_ritual,agent_schedule_not_avatar_command,r243:12:8:Ari:wake_check_body:bb15c18a
358,12,8,dawn,Fay,hearth ritualist,prepare_tools,Fay continues dawn routine: prepare_tools,0.0,self-directed,object_returned,agent_schedule_not_avatar_command,r243:12:8:Fay:prepare_tools:2785ee94
359,12,8,dawn,Milo,market pattern scout,quiet_route_scan,Milo continues dawn routine: quiet_route_scan,0.262158,self-directed,crowding,agent_schedule_not_avatar_command,r243:12:8:Milo:quiet_route_scan:3f98c3ae
360,12,8,dawn,Sol,seed ledger guardian,quiet_route_scan,Sol continues dawn routine: quiet_route_scan,0.070534,self-directed,quiet_success,agent_schedule_not_avatar_command,r243:12:8:Sol:quiet_route_scan:291181a4
361,12,11,day,Ari,route keeper,repair_route,Ari keeps a route usable,0.084922,self-directed,quiet_success,agent_schedule_not_avatar_command,r243:12:11:Ari:repair_route:067712a0
362,12,11,day,Fay,hearth ritualist,work_project,Fay continues day routine: work_project,0.075637,self-directed,ordinary,agent_schedule_not_avatar_command,r243:12:11:Fay:work_project:504749dc
363,12,11,day,Milo,market pattern scout,market_exchange,Milo trades without losing boundaries,0.0,trusted peer nearby,help_received,agent_schedule_not_avatar_command,r243:12:11:Milo:market_exchange:72f60159
364,12,11,day,Sol,seed ledger guardian,repair_route,Sol keeps a route usable,0.523016,avatar nearby,pressure_repeated,agent_schedule_not_avatar_command,r243:12:11:Sol:repair_route:81c86727
365,12,14,day,Ari,route keeper,repair_route,Ari keeps a route usable,0.495092,avatar nearby,pressure_repeated,agent_schedule_not_avatar_command,r243:12:14:Ari:repair_route:067712a0
366,12,14,day,Fay,hearth ritualist,teach_skill,Fay continues day routine: teach_skill,0.085745,self-directed,cold_rain,agent_schedule_not_avatar_command,r243:12:14:Fay:teach_skill:697452f7
367,12,14,day,Milo,market pattern scout,market_exchange,Milo trades without losing boundaries,0.079359,trusted peer nearby,shared_ritual,agent_schedule_not_avatar_command,r243:12:14:Milo:market_exchange:72f60159
368,12,14,day,Sol,seed ledger guardian,market_exchange,Sol trades without losing boundaries,0.0,self-directed,object_returned,agent_schedule_not_avatar_command,r243:12:14:Sol:market_exchange:be480137
369,12,17,dusk,Ari,route keeper,ritual_hum,Ari stabilizes group rhythm,0.0,self-directed,object_returned,agent_schedule_not_avatar_command,r243:12:17:Ari:ritual_hum:8e8fdc86
370,12,17,dusk,Fay,hearth ritualist,ritual_hum,Fay stabilizes group rhythm,0.240653,self-directed,crowding,agent_schedule_not_avatar_command,r243:12:17:Fay:ritual_hum:f0915dad
371,12,17,dusk,Milo,market pattern scout,store_objects,Milo continues dusk routine: store_objects,0.086862,self-directed,quiet_success,agent_schedule_not_avatar_command,r243:12:17:Milo:store_objects:49ee3d65
372,12,17,dusk,Sol,seed ledger guardian,hearth_return,Sol continues dusk routine: hearth_return,0.072118,self-directed,ordinary,agent_schedule_not_avatar_command,r243:12:17:Sol:hearth_return:cca35c4b
373,12,20,dusk,Ari,route keeper,hearth_return,Ari continues dusk routine: hearth_return,0.082915,self-directed,ordinary,agent_schedule_not_avatar_command,r243:12:20:Ari:hearth_return:8d803a50
374,12,20,dusk,Fay,hearth ritualist,ritual_hum,Fay stabilizes group rhythm,0.0,trusted peer nearby,help_received,agent_schedule_not_avatar_command,r243:12:20:Fay:ritual_hum:f0915dad
375,12,20,dusk,Milo,market pattern scout,relationship_check,Milo tests whether trust changed,0.519223,avatar nearby,pressure_repeated,agent_schedule_not_avatar_command,r243:12:20:Milo:relationship_check:5711035a
376,12,20,dusk,Sol,seed ledger guardian,store_objects,Sol continues dusk routine: store_objects,0.065693,self-directed,cold_rain,agent_schedule_not_avatar_command,r243:12:20:Sol:store_objects:ff5938cb
377,12,23,night,Ari,route keeper,soft_recovery,Ari continues night routine: soft_recovery,0.067971,self-directed,cold_rain,agent_schedule_not_avatar_command,r243:12:23:Ari:soft_recovery:0bd75383
378,12,23,night,Fay,hearth ritualist,sleep,Fay protects recovery before tomorrow,0.077312,trusted peer nearby,shared_ritual,agent_schedule_not_avatar_command,r243:12:23:Fay:sleep:9524b5e8
379,12,23,night,Milo,market pattern scout,dream_sort_memory,Milo sorts social episodes into private story,0.0,self-directed,object_returned,agent_schedule_not_avatar_command,r243:12:23:Milo:dream_sort_memory:5b8c69bc
380,12,23,night,Sol,seed ledger guardian,guarded_rest,Sol continues night routine: guarded_rest,0.258564,self-directed,crowding,agent_schedule_not_avatar_command,r243:12:23:Sol:guarded_rest:b7d93b6c
381,12,2,night,Ari,route keeper,guarded_rest,Ari continues night routine: guarded_rest,0.256956,self-directed,crowding,agent_schedule_not_avatar_command,r243:12:2:Ari:guarded_rest:fc7754fd
382,12,2,night,Fay,hearth ritualist,soft_recovery,Fay continues night routine: soft_recovery,0.076616,self-directed,quiet_success,agent_schedule_not_avatar_command,r243:12:2:Fay:soft_recovery:fd7825a3
383,12,2,night,Milo,market pattern scout,sleep,Milo protects recovery before tomorrow,0.078937,self-directed,ordinary,agent_schedule_not_avatar_command,r243:12:2:Milo:sleep:89f57e1b
384,12,2,night,Sol,seed ledger guardian,dream_sort_memory,Sol sorts social episodes into private story,0.0,trusted peer nearby,help_received,agent_schedule_not_avatar_command,r243:12:2:Sol:dream_sort_memory:76823bc7
385,13,5,dawn,Ari,route keeper,quiet_route_scan,Ari continues dawn routine: quiet_route_scan,0.52431,avatar nearby,pressure_repeated,agent_schedule_not_avatar_command,r243:13:5:Ari:quiet_route_scan:222b4754
386,13,5,dawn,Fay,hearth ritualist,share_water,Fay continues dawn routine: share_water,0.087871,self-directed,cold_rain,agent_schedule_not_avatar_command,r243:13:5:Fay:share_water:8e180ac7
387,13,5,dawn,Milo,market pattern scout,wake_check_body,Milo continues dawn routine: wake_check_body,0.093352,trusted peer nearby,shared_ritual,agent_schedule_not_avatar_command,r243:13:5:Milo:wake_check_body:9e371bc3
388,13,5,dawn,Sol,seed ledger guardian,prepare_tools,Sol continues dawn routine: prepare_tools,0.0,self-directed,object_returned,agent_schedule_not_avatar_command,r243:13:5:Sol:prepare_tools:177686e4
389,13,8,dawn,Ari,route keeper,prepare_tools,Ari continues dawn routine: prepare_tools,0.0,self-directed,object_returned,agent_schedule_not_avatar_command,r243:13:8:Ari:prepare_tools:db5aeab2
390,13,8,dawn,Fay,hearth ritualist,quiet_route_scan,Fay continues dawn routine: quiet_route_scan,0.25485,self-directed,crowding,agent_schedule_not_avatar_command,r243:13:8:Fay:quiet_route_scan:ce0148e5
391,13,8,dawn,Milo,market pattern scout,share_water,Milo continues dawn routine: share_water,0.071128,self-directed,quiet_success,agent_schedule_not_avatar_command,r243:13:8:Milo:share_water:70e874a1
392,13,8,dawn,Sol,seed ledger guardian,wake_check_body,Sol continues dawn routine: wake_check_body,0.092968,self-directed,ordinary,agent_schedule_not_avatar_command,r243:13:8:Sol:wake_check_body:00cea675
393,13,11,day,Ari,route keeper,repair_route,Ari keeps a route usable,0.073929,self-directed,ordinary,agent_schedule_not_avatar_command,r243:13:11:Ari:repair_route:067712a0
394,13,11,day,Fay,hearth ritualist,market_exchange,Fay trades without losing boundaries,0.0,trusted peer nearby,help_received,agent_schedule_not_avatar_command,r243:13:11:Fay:market_exchange:341412b1
395,13,11,day,Milo,market pattern scout,repair_route,Milo keeps a route usable,0.523452,avatar nearby,pressure_repeated,agent_schedule_not_avatar_command,r243:13:11:Milo:repair_route:0377de76
396,13,11,day,Sol,seed ledger guardian,teach_skill,Sol continues day routine: teach_skill,0.067398,self-directed,cold_rain,agent_schedule_not_avatar_command,r243:13:11:Sol:teach_skill:e3ec579b
397,13,14,day,Ari,route keeper,repair_route,Ari keeps a route usable,0.074638,self-directed,cold_rain,agent_schedule_not_avatar_command,r243:13:14:Ari:repair_route:067712a0
398,13,14,day,Fay,hearth ritualist,work_project,Fay continues day routine: work_project,0.08693,trusted peer nearby,shared_ritual,agent_schedule_not_avatar_command,r243:13:14:Fay:work_project:504749dc
399,13,14,day,Milo,market pattern scout,market_exchange,Milo trades without losing boundaries,0.0,self-directed,object_returned,agent_schedule_not_avatar_command,r243:13:14:Milo:market_exchange:72f60159
400,13,14,day,Sol,seed ledger guardian,repair_route,Sol keeps a route usable,0.260808,self-directed,crowding,agent_schedule_not_avatar_command,r243:13:14:Sol:repair_route:81c86727
401,13,17,dusk,Ari,route keeper,relationship_check,Ari tests whether trust changed,0.264158,self-directed,crowding,agent_schedule_not_avatar_command,r243:13:17:Ari:relationship_check:6b5b0aed
402,13,17,dusk,Fay,hearth ritualist,ritual_hum,Fay stabilizes group rhythm,0.093261,self-directed,quiet_success,agent_schedule_not_avatar_command,r243:13:17:Fay:ritual_hum:f0915dad
403,13,17,dusk,Milo,market pattern scout,hearth_return,Milo continues dusk routine: hearth_return,0.07515,self-directed,ordinary,agent_schedule_not_avatar_command,r243:13:17:Milo:hearth_return:5636ef55
404,13,17,dusk,Sol,seed ledger guardian,ritual_hum,Sol stabilizes group rhythm,0.0,trusted peer nearby,help_received,agent_schedule_not_avatar_command,r243:13:17:Sol:ritual_hum:a9adb958
405,13,20,dusk,Ari,route keeper,ritual_hum,Ari stabilizes group rhythm,0.0,trusted peer nearby,help_received,agent_schedule_not_avatar_command,r243:13:20:Ari:ritual_hum:8e8fdc86
406,13,20,dusk,Fay,hearth ritualist,ritual_hum,Fay stabilizes group rhythm,0.506337,avatar nearby,pressure_repeated,agent_schedule_not_avatar_command,r243:13:20:Fay:ritual_hum:f0915dad
407,13,20,dusk,Milo,market pattern scout,store_objects,Milo continues dusk routine: store_objects,0.087705,self-directed,cold_rain,agent_schedule_not_avatar_command,r243:13:20:Milo:store_objects:49ee3d65
408,13,20,dusk,Sol,seed ledger guardian,hearth_return,Sol continues dusk routine: hearth_return,0.067195,trusted peer nearby,shared_ritual,agent_schedule_not_avatar_command,r243:13:20:Sol:hearth_return:cca35c4b
409,13,23,night,Ari,route keeper,sleep,Ari protects recovery before tomorrow,0.085128,trusted peer nearby,shared_ritual,agent_schedule_not_avatar_command,r243:13:23:Ari:sleep:9965438b
410,13,23,night,Fay,hearth ritualist,dream_sort_memory,Fay sorts social episodes into private story,0.0,self-directed,object_returned,agent_schedule_not_avatar_command,r243:13:23:Fay:dream_sort_memory:a568e1a1
411,13,23,night,Milo,market pattern scout,guarded_rest,Milo continues night routine: guarded_rest,0.240353,self-directed,crowding,agent_schedule_not_avatar_command,r243:13:23:Milo:guarded_rest:a1dd2abe
412,13,23,night,Sol,seed ledger guardian,soft_recovery,Sol continues night routine: soft_recovery,0.084424,self-directed,quiet_success,agent_schedule_not_avatar_command,r243:13:23:Sol:soft_recovery:73cfc9ed
413,13,2,night,Ari,route keeper,soft_recovery,Ari continues night routine: soft_recovery,0.079617,self-directed,quiet_success,agent_schedule_not_avatar_command,r243:13:2:Ari:soft_recovery:0bd75383
414,13,2,night,Fay,hearth ritualist,sleep,Fay protects recovery before tomorrow,0.067303,self-directed,ordinary,agent_schedule_not_avatar_command,r243:13:2:Fay:sleep:9524b5e8
415,13,2,night,Milo,market pattern scout,dream_sort_memory,Milo sorts social episodes into private story,0.0,trusted peer nearby,help_received,agent_schedule_not_avatar_command,r243:13:2:Milo:dream_sort_memory:5b8c69bc
416,13,2,night,Sol,seed ledger guardian,guarded_rest,Sol continues night routine: guarded_rest,0.515504,avatar nearby,pressure_repeated,agent_schedule_not_avatar_command,r243:13:2:Sol:guarded_rest:b7d93b6c
417,14,5,dawn,Ari,route keeper,share_water,Ari continues dawn routine: share_water,0.094,self-directed,cold_rain,agent_schedule_not_avatar_command,r243:14:5:Ari:share_water:8e382223
418,14,5,dawn,Fay,hearth ritualist,wake_check_body,Fay continues dawn routine: wake_check_body,0.09245,trusted peer nearby,shared_ritual,agent_schedule_not_avatar_command,r243:14:5:Fay:wake_check_body:c2c65084
419,14,5,dawn,Milo,market pattern scout,prepare_tools,Milo continues dawn routine: prepare_tools,0.0,self-directed,object_returned,agent_schedule_not_avatar_command,r243:14:5:Milo:prepare_tools:4a3c2842
420,14,5,dawn,Sol,seed ledger guardian,quiet_route_scan,Sol continues dawn routine: quiet_route_scan,0.247507,self-directed,crowding,agent_schedule_not_avatar_command,r243:14:5:Sol:quiet_route_scan:291181a4
421,14,8,dawn,Ari,route keeper,quiet_route_scan,Ari continues dawn routine: quiet_route_scan,0.251269,self-directed,crowding,agent_schedule_not_avatar_command,r243:14:8:Ari:quiet_route_scan:222b4754
422,14,8,dawn,Fay,hearth ritualist,share_water,Fay continues dawn routine: share_water,0.079551,self-directed,quiet_success,agent_schedule_not_avatar_command,r243:14:8:Fay:share_water:8e180ac7
423,14,8,dawn,Milo,market pattern scout,wake_check_body,Milo continues dawn routine: wake_check_body,0.093167,self-directed,ordinary,agent_schedule_not_avatar_command,r243:14:8:Milo:wake_check_body:9e371bc3
424,14,8,dawn,Sol,seed ledger guardian,prepare_tools,Sol continues dawn routine: prepare_tools,0.0,trusted peer nearby,help_received,agent_schedule_not_avatar_command,r243:14:8:Sol:prepare_tools:177686e4
425,14,11,day,Ari,route keeper,repair_route,Ari keeps a route usable,0.0,trusted peer nearby,help_received,agent_schedule_not_avatar_command,r243:14:11:Ari:repair_route:067712a0
426,14,11,day,Fay,hearth ritualist,repair_route,Fay keeps a route usable,0.516531,avatar nearby,pressure_repeated,agent_schedule_not_avatar_command,r243:14:11:Fay:repair_route:1e258454
427,14,11,day,Milo,market pattern scout,market_exchange,Milo trades without losing boundaries,0.091891,self-directed,cold_rain,agent_schedule_not_avatar_command,r243:14:11:Milo:market_exchange:72f60159
428,14,11,day,Sol,seed ledger guardian,work_project,Sol continues day routine: work_project,0.077345,trusted peer nearby,shared_ritual,agent_schedule_not_avatar_command,r243:14:11:Sol:work_project:9e5808dd
429,14,14,day,Ari,route keeper,repair_route,Ari keeps a route usable,0.078311,trusted peer nearby,shared_ritual,agent_schedule_not_avatar_command,r243:14:14:Ari:repair_route:067712a0
430,14,14,day,Fay,hearth ritualist,market_exchange,Fay trades without losing boundaries,0.0,self-directed,object_returned,agent_schedule_not_avatar_command,r243:14:14:Fay:market_exchange:341412b1
431,14,14,day,Milo,market pattern scout,market_exchange,Milo trades without losing boundaries,0.257132,self-directed,crowding,agent_schedule_not_avatar_command,r243:14:14:Milo:market_exchange:72f60159
