tick,day,resident,schedule_before,schedule_after,debt_before,debt_after,trust_before,trust_after,memory_note,history_not_erased,non_magical_trust_repair
0,1,Tovan,sort herbs,carry water,0.56,0.558,0.357947,0.360947,enter linked to v60:tovan:water_carry:d001:s00; prehistory remains locked,True,True
3103,173,Nia,repair awning,sort herbs,0.232223,0.230223,0.689439,0.692439,enter linked to v60:nia:tool_loan:d173:s07; prehistory remains locked,True,True
3104,173,Ari,sort herbs,carry water,0.225342,0.223342,0.580275,0.598275,talk linked to v60:ari:water_carry:d173:s08; prehistory remains locked,True,True
3105,173,Fay,carry water,dry cloaks,0.218552,0.196552,0.422544,0.440544,offer_help linked to v60:fay:repair_promise:d173:s09; prehistory remains locked,True,True
3106,173,Milo,dry cloaks,map safe route,0.211859,0.189859,0.327295,0.345295,return_tool linked to v60:milo:missed_greeting:d173:s10; prehistory remains locked,True,True
3107,173,Sera,map safe route,rest after rain,0.20527,0.20327,0.422186,0.425186,inspect_memory linked to v60:sera:care_favor:d173:s11; prehistory remains locked,True,True
3108,173,Tovan,rest after rain,recover focus,0.198791,0.196791,0.575701,0.578701,enter linked to v60:tovan:route_warning:d173:s12; prehistory remains locked,True,True
3109,173,Nia,recover focus,repair awning,0.192429,0.190429,0.693779,0.711779,talk linked to v60:nia:tool_loan:d173:s13; prehistory remains locked,True,True
3110,173,Ari,repair awning,sort herbs,0.186189,0.164189,0.592009,0.610009,offer_help linked to v60:ari:water_carry:d173:s14; prehistory remains locked,True,True
3111,173,Fay,sort herbs,carry water,0.180078,0.158078,0.413041,0.431041,return_tool linked to v60:fay:repair_promise:d173:s15; prehistory remains locked,True,True
3112,173,Milo,carry water,dry cloaks,0.174102,0.172102,0.3301,0.3331,inspect_memory linked to v60:milo:missed_greeting:d173:s16; prehistory remains locked,True,True
3113,173,Sera,dry cloaks,map safe route,0.168266,0.166266,0.420754,0.423754,enter linked to v60:sera:care_favor:d173:s17; prehistory remains locked,True,True
3114,174,Tovan,rest after rain,recover focus,0.162575,0.140575,0.602786,0.620786,offer_help linked to v60:tovan:tool_loan:d174:s00; prehistory remains locked,True,True
3115,174,Nia,recover focus,repair awning,0.157036,0.135036,0.689314,0.707314,return_tool linked to v60:nia:water_carry:d174:s01; prehistory remains locked,True,True
3116,174,Ari,repair awning,sort herbs,0.151653,0.149653,0.574403,0.577403,inspect_memory linked to v60:ari:repair_promise:d174:s02; prehistory remains locked,True,True
3117,174,Fay,sort herbs,carry water,0.146432,0.144432,0.399205,0.402205,enter linked to v60:fay:missed_greeting:d174:s03; prehistory remains locked,True,True
3118,174,Milo,carry water,dry cloaks,0.141378,0.139378,0.336548,0.354548,talk linked to v60:milo:care_favor:d174:s04; prehistory remains locked,True,True
3119,174,Sera,dry cloaks,map safe route,0.136495,0.114495,0.428508,0.446508,offer_help linked to v60:sera:route_warning:d174:s05; prehistory remains locked,True,True
3120,174,Tovan,map safe route,rest after rain,0.131789,0.109789,0.594375,0.612375,return_tool linked to v60:tovan:tool_loan:d174:s06; prehistory remains locked,True,True
3121,174,Nia,rest after rain,recover focus,0.127264,0.125264,0.700963,0.703963,inspect_memory linked to v60:nia:water_carry:d174:s07; prehistory remains locked,True,True
3122,174,Ari,recover focus,repair awning,0.122924,0.120924,0.582691,0.585691,enter linked to v60:ari:repair_promise:d174:s08; prehistory remains locked,True,True
3123,174,Fay,repair awning,sort herbs,0.118773,0.116773,0.402389,0.420389,talk linked to v60:fay:missed_greeting:d174:s09; prehistory remains locked,True,True
3124,174,Milo,sort herbs,carry water,0.114816,0.092816,0.328134,0.346134,offer_help linked to v60:milo:care_favor:d174:s10; prehistory remains locked,True,True
3125,174,Sera,carry water,dry cloaks,0.111056,0.089056,0.419791,0.437791,return_tool linked to v60:sera:route_warning:d174:s11; prehistory remains locked,True,True
3126,174,Tovan,dry cloaks,map safe route,0.107496,0.105496,0.599125,0.602125,inspect_memory linked to v60:tovan:tool_loan:d174:s12; prehistory remains locked,True,True
3127,174,Nia,map safe route,rest after rain,0.104141,0.102141,0.686781,0.689781,enter linked to v60:nia:water_carry:d174:s13; prehistory remains locked,True,True
3128,174,Ari,rest after rain,recover focus,0.100993,0.098993,0.580594,0.598594,talk linked to v60:ari:repair_promise:d174:s14; prehistory remains locked,True,True
3129,174,Fay,recover focus,repair awning,0.098056,0.076056,0.413403,0.431403,offer_help linked to v60:fay:missed_greeting:d174:s15; prehistory remains locked,True,True
3130,174,Milo,repair awning,sort herbs,0.095332,0.073332,0.337739,0.355739,return_tool linked to v60:milo:care_favor:d174:s16; prehistory remains locked,True,True
3131,174,Sera,sort herbs,carry water,0.092824,0.090824,0.429641,0.432641,inspect_memory linked to v60:sera:route_warning:d174:s17; prehistory remains locked,True,True
3132,175,Tovan,dry cloaks,map safe route,0.090534,0.088534,0.608964,0.626964,talk linked to v60:tovan:water_carry:d175:s00; prehistory remains locked,True,True
3133,175,Nia,map safe route,rest after rain,0.088464,0.066464,0.689593,0.707593,offer_help linked to v60:nia:repair_promise:d175:s01; prehistory remains locked,True,True
3134,175,Ari,rest after rain,recover focus,0.086617,0.064617,0.572474,0.590474,return_tool linked to v60:ari:missed_greeting:d175:s02; prehistory remains locked,True,True
3135,175,Fay,recover focus,repair awning,0.084995,0.082995,0.387508,0.390508,inspect_memory linked to v60:fay:care_favor:d175:s03; prehistory remains locked,True,True
3136,175,Milo,repair awning,sort herbs,0.083598,0.081598,0.333724,0.336724,enter linked to v60:milo:route_warning:d175:s04; prehistory remains locked,True,True
3137,175,Sera,sort herbs,carry water,0.082428,0.080428,0.4332,0.4512,talk linked to v60:sera:tool_loan:d175:s05; prehistory remains locked,True,True
3138,175,Tovan,carry water,dry cloaks,0.081487,0.059487,0.609624,0.627624,offer_help linked to v60:tovan:water_carry:d175:s06; prehistory remains locked,True,True
3139,175,Nia,dry cloaks,map safe route,0.080775,0.058775,0.690611,0.708611,return_tool linked to v60:nia:repair_promise:d175:s07; prehistory remains locked,True,True
3140,175,Ari,map safe route,rest after rain,0.080292,0.078292,0.568572,0.571572,inspect_memory linked to v60:ari:missed_greeting:d175:s08; prehistory remains locked,True,True
3141,175,Fay,rest after rain,recover focus,0.080041,0.078041,0.402691,0.405691,enter linked to v60:fay:care_favor:d175:s09; prehistory remains locked,True,True
3142,175,Milo,recover focus,repair awning,0.080019,0.078019,0.330634,0.348634,talk linked to v60:milo:route_warning:d175:s10; prehistory remains locked,True,True
3143,175,Sera,repair awning,sort herbs,0.080228,0.058228,0.429954,0.447954,offer_help linked to v60:sera:tool_loan:d175:s11; prehistory remains locked,True,True
3144,175,Tovan,sort herbs,carry water,0.080668,0.058668,0.603976,0.621976,return_tool linked to v60:tovan:water_carry:d175:s12; prehistory remains locked,True,True
3145,175,Nia,carry water,dry cloaks,0.081338,0.079338,0.701609,0.704609,inspect_memory linked to v60:nia:repair_promise:d175:s13; prehistory remains locked,True,True
3146,175,Ari,dry cloaks,map safe route,0.082237,0.080237,0.571577,0.574577,enter linked to v60:ari:missed_greeting:d175:s14; prehistory remains locked,True,True
3147,175,Fay,map safe route,rest after rain,0.083364,0.081364,0.40823,0.42623,talk linked to v60:fay:care_favor:d175:s15; prehistory remains locked,True,True
3148,175,Milo,rest after rain,recover focus,0.084719,0.062719,0.34225,0.36025,offer_help linked to v60:milo:route_warning:d175:s16; prehistory remains locked,True,True
3149,175,Sera,recover focus,repair awning,0.0863,0.0643,0.433447,0.451447,return_tool linked to v60:sera:tool_loan:d175:s17; prehistory remains locked,True,True
3150,176,Tovan,sort herbs,carry water,0.088105,0.086105,0.603354,0.606354,enter linked to v60:tovan:repair_promise:d176:s00; prehistory remains locked,True,True
3151,176,Nia,carry water,dry cloaks,0.090133,0.088133,0.701266,0.719266,talk linked to v60:nia:missed_greeting:d176:s01; prehistory remains locked,True,True
3152,176,Ari,dry cloaks,map safe route,0.092383,0.070383,0.554243,0.572243,offer_help linked to v60:ari:care_favor:d176:s02; prehistory remains locked,True,True
3153,176,Fay,map safe route,rest after rain,0.094851,0.072851,0.402032,0.420032,return_tool linked to v60:fay:route_warning:d176:s03; prehistory remains locked,True,True
3154,176,Milo,rest after rain,recover focus,0.097535,0.095535,0.331072,0.334072,inspect_memory linked to v60:milo:tool_loan:d176:s04; prehistory remains locked,True,True
3155,176,Sera,recover focus,repair awning,0.100433,0.098433,0.439701,0.442701,enter linked to v60:sera:water_carry:d176:s05; prehistory remains locked,True,True
3156,176,Tovan,repair awning,sort herbs,0.103542,0.101542,0.610963,0.628963,talk linked to v60:tovan:repair_promise:d176:s06; prehistory remains locked,True,True
3157,176,Nia,sort herbs,carry water,0.106859,0.084859,0.692984,0.710984,offer_help linked to v60:nia:missed_greeting:d176:s07; prehistory remains locked,True,True
3158,176,Ari,carry water,dry cloaks,0.110381,0.088381,0.548663,0.566663,return_tool linked to v60:ari:care_favor:d176:s08; prehistory remains locked,True,True
3159,176,Fay,dry cloaks,map safe route,0.114104,0.112104,0.391689,0.394689,inspect_memory linked to v60:fay:route_warning:d176:s09; prehistory remains locked,True,True
3160,176,Milo,map safe route,rest after rain,0.118025,0.116025,0.332512,0.335512,enter linked to v60:milo:tool_loan:d176:s10; prehistory remains locked,True,True
3161,176,Sera,rest after rain,recover focus,0.12214,0.12014,0.430984,0.448984,talk linked to v60:sera:water_carry:d176:s11; prehistory remains locked,True,True
3162,176,Tovan,recover focus,repair awning,0.126446,0.104446,0.614656,0.632656,offer_help linked to v60:tovan:repair_promise:d176:s12; prehistory remains locked,True,True
3163,176,Nia,repair awning,sort herbs,0.130937,0.108937,0.684683,0.702683,return_tool linked to v60:nia:missed_greeting:d176:s13; prehistory remains locked,True,True
3164,176,Ari,sort herbs,carry water,0.13561,0.13361,0.561754,0.564754,inspect_memory linked to v60:ari:care_favor:d176:s14; prehistory remains locked,True,True
3165,176,Fay,carry water,dry cloaks,0.14046,0.13846,0.389095,0.392095,enter linked to v60:fay:route_warning:d176:s15; prehistory remains locked,True,True
3166,176,Milo,dry cloaks,map safe route,0.145483,0.143483,0.328176,0.346176,talk linked to v60:milo:tool_loan:d176:s16; prehistory remains locked,True,True
3167,176,Sera,map safe route,rest after rain,0.150673,0.128673,0.430242,0.448242,offer_help linked to v60:sera:water_carry:d176:s17; prehistory remains locked,True,True
3168,177,Tovan,recover focus,repair awning,0.156026,0.154026,0.612617,0.615617,inspect_memory linked to v60:tovan:missed_greeting:d177:s00; prehistory remains locked,True,True
3169,177,Nia,repair awning,sort herbs,0.161537,0.159537,0.693843,0.696843,enter linked to v60:nia:care_favor:d177:s01; prehistory remains locked,True,True
3170,177,Ari,sort herbs,carry water,0.1672,0.1652,0.553795,0.571795,talk linked to v60:ari:route_warning:d177:s02; prehistory remains locked,True,True
3171,177,Fay,carry water,dry cloaks,0.17301,0.15101,0.389181,0.407181,offer_help linked to v60:fay:tool_loan:d177:s03; prehistory remains locked,True,True
3172,177,Milo,dry cloaks,map safe route,0.178961,0.156961,0.336409,0.354409,return_tool linked to v60:milo:water_carry:d177:s04; prehistory remains locked,True,True
3173,177,Sera,map safe route,rest after rain,0.185047,0.183047,0.449824,0.452824,inspect_memory linked to v60:sera:repair_promise:d177:s05; prehistory remains locked,True,True
3174,177,Tovan,rest after rain,recover focus,0.191263,0.189263,0.610079,0.613079,enter linked to v60:tovan:missed_greeting:d177:s06; prehistory remains locked,True,True
3175,177,Nia,recover focus,repair awning,0.197603,0.195603,0.690474,0.708474,talk linked to v60:nia:care_favor:d177:s07; prehistory remains locked,True,True
3176,177,Ari,repair awning,sort herbs,0.204061,0.182061,0.54351,0.56151,offer_help linked to v60:ari:route_warning:d177:s08; prehistory remains locked,True,True
3177,177,Fay,sort herbs,carry water,0.21063,0.18863,0.383754,0.401754,return_tool linked to v60:fay:tool_loan:d177:s09; prehistory remains locked,True,True
3178,177,Milo,carry water,dry cloaks,0.217304,0.215304,0.340104,0.343104,inspect_memory linked to v60:milo:water_carry:d177:s10; prehistory remains locked,True,True
3179,177,Sera,dry cloaks,map safe route,0.224077,0.222077,0.437495,0.440495,enter linked to v60:sera:repair_promise:d177:s11; prehistory remains locked,True,True
3180,177,Tovan,map safe route,rest after rain,0.230942,0.228942,0.618125,0.636125,talk linked to v60:tovan:missed_greeting:d177:s12; prehistory remains locked,True,True
3181,177,Nia,rest after rain,recover focus,0.237892,0.215892,0.690413,0.708413,offer_help linked to v60:nia:care_favor:d177:s13; prehistory remains locked,True,True
3182,177,Ari,recover focus,repair awning,0.244921,0.222921,0.550589,0.568589,return_tool linked to v60:ari:route_warning:d177:s14; prehistory remains locked,True,True
3183,177,Fay,repair awning,sort herbs,0.252023,0.250023,0.380414,0.383414,inspect_memory linked to v60:fay:tool_loan:d177:s15; prehistory remains locked,True,True
3184,177,Milo,sort herbs,carry water,0.25919,0.25719,0.326364,0.329364,enter linked to v60:milo:water_carry:d177:s16; prehistory remains locked,True,True
3185,177,Sera,carry water,dry cloaks,0.266415,0.264415,0.43815,0.45615,talk linked to v60:sera:repair_promise:d177:s17; prehistory remains locked,True,True
3186,178,Tovan,map safe route,rest after rain,0.273692,0.251692,0.616369,0.634369,return_tool linked to v60:tovan:care_favor:d178:s00; prehistory remains locked,True,True
3187,178,Nia,rest after rain,recover focus,0.281013,0.279013,0.696548,0.699548,inspect_memory linked to v60:nia:route_warning:d178:s01; prehistory remains locked,True,True
3188,178,Ari,recover focus,repair awning,0.288372,0.286372,0.545845,0.548845,enter linked to v60:ari:tool_loan:d178:s02; prehistory remains locked,True,True
3189,178,Fay,repair awning,sort herbs,0.295761,0.293761,0.38058,0.39858,talk linked to v60:fay:water_carry:d178:s03; prehistory remains locked,True,True
3190,178,Milo,sort herbs,carry water,0.303173,0.281173,0.340238,0.358238,offer_help linked to v60:milo:repair_promise:d178:s04; prehistory remains locked,True,True
3191,178,Sera,carry water,dry cloaks,0.310602,0.288602,0.44725,0.46525,return_tool linked to v60:sera:missed_greeting:d178:s05; prehistory remains locked,True,True
3192,178,Tovan,dry cloaks,map safe route,0.31804,0.31604,0.630698,0.633698,inspect_memory linked to v60:tovan:care_favor:d178:s06; prehistory remains locked,True,True
3193,178,Nia,map safe route,rest after rain,0.325479,0.323479,0.682248,0.685248,enter linked to v60:nia:route_warning:d178:s07; prehistory remains locked,True,True
3194,178,Ari,rest after rain,recover focus,0.332913,0.330913,0.530681,0.548681,talk linked to v60:ari:tool_loan:d178:s08; prehistory remains locked,True,True
3195,178,Fay,recover focus,repair awning,0.340335,0.318335,0.367646,0.385646,offer_help linked to v60:fay:water_carry:d178:s09; prehistory remains locked,True,True
3196,178,Milo,repair awning,sort herbs,0.347737,0.325737,0.338154,0.356154,return_tool linked to v60:milo:repair_promise:d178:s10; prehistory remains locked,True,True
3197,178,Sera,sort herbs,carry water,0.355113,0.353113,0.448751,0.451751,inspect_memory linked to v60:sera:missed_greeting:d178:s11; prehistory remains locked,True,True
3198,178,Tovan,carry water,dry cloaks,0.362455,0.360455,0.627342,0.630342,enter linked to v60:tovan:care_favor:d178:s12; prehistory remains locked,True,True
3199,178,Nia,dry cloaks,map safe route,0.369756,0.367756,0.699913,0.717913,talk linked to v60:nia:route_warning:d178:s13; prehistory remains locked,True,True
3200,178,Ari,map safe route,rest after rain,0.377009,0.355009,0.550032,0.568032,offer_help linked to v60:ari:tool_loan:d178:s14; prehistory remains locked,True,True
3201,178,Fay,rest after rain,recover focus,0.384208,0.362208,0.372423,0.390423,return_tool linked to v60:fay:water_carry:d178:s15; prehistory remains locked,True,True
3202,178,Milo,recover focus,repair awning,0.391345,0.389345,0.342494,0.345494,inspect_memory linked to v60:milo:repair_promise:d178:s16; prehistory remains locked,True,True
3203,178,Sera,repair awning,sort herbs,0.398413,0.396413,0.465211,0.468211,enter linked to v60:sera:missed_greeting:d178:s17; prehistory remains locked,True,True
3204,179,Tovan,carry water,dry cloaks,0.405406,0.383406,0.642381,0.660381,offer_help linked to v60:tovan:route_warning:d179:s00; prehistory remains locked,True,True
3205,179,Nia,dry cloaks,map safe route,0.412317,0.390317,0.691297,0.709297,return_tool linked to v60:nia:tool_loan:d179:s01; prehistory remains locked,True,True
3206,179,Ari,map safe route,rest after rain,0.419139,0.417139,0.521838,0.524838,inspect_memory linked to v60:ari:water_carry:d179:s02; prehistory remains locked,True,True
3207,179,Fay,rest after rain,recover focus,0.425866,0.423866,0.381773,0.384773,enter linked to v60:fay:repair_promise:d179:s03; prehistory remains locked,True,True
3208,179,Milo,recover focus,repair awning,0.432491,0.430491,0.347439,0.365439,talk linked to v60:milo:missed_greeting:d179:s04; prehistory remains locked,True,True
3209,179,Sera,repair awning,sort herbs,0.439008,0.417008,0.454403,0.472403,offer_help linked to v60:sera:care_favor:d179:s05; prehistory remains locked,True,True
3210,179,Tovan,sort herbs,carry water,0.44541,0.42341,0.638783,0.656783,return_tool linked to v60:tovan:route_warning:d179:s06; prehistory remains locked,True,True
3211,179,Nia,carry water,dry cloaks,0.451693,0.449693,0.690223,0.693223,inspect_memory linked to v60:nia:tool_loan:d179:s07; prehistory remains locked,True,True
3212,179,Ari,dry cloaks,map safe route,0.457848,0.455848,0.530364,0.533364,enter linked to v60:ari:water_carry:d179:s08; prehistory remains locked,True,True
3213,179,Fay,map safe route,rest after rain,0.463871,0.461871,0.375583,0.393583,talk linked to v60:fay:repair_promise:d179:s09; prehistory remains locked,True,True
3214,179,Milo,rest after rain,recover focus,0.469756,0.447756,0.339801,0.357801,offer_help linked to v60:milo:missed_greeting:d179:s10; prehistory remains locked,True,True
3215,179,Sera,recover focus,repair awning,0.475497,0.453497,0.469965,0.487965,return_tool linked to v60:sera:care_favor:d179:s11; prehistory remains locked,True,True
3216,179,Tovan,repair awning,sort herbs,0.481089,0.479089,0.642388,0.645388,inspect_memory linked to v60:tovan:route_warning:d179:s12; prehistory remains locked,True,True
3217,179,Nia,sort herbs,carry water,0.486526,0.484526,0.680046,0.683046,enter linked to v60:nia:tool_loan:d179:s13; prehistory remains locked,True,True
3218,179,Ari,carry water,dry cloaks,0.491802,0.489802,0.53326,0.55126,talk linked to v60:ari:water_carry:d179:s14; prehistory remains locked,True,True
3219,179,Fay,dry cloaks,map safe route,0.496914,0.474914,0.364564,0.382564,offer_help linked to v60:fay:repair_promise:d179:s15; prehistory remains locked,True,True
3220,179,Milo,map safe route,rest after rain,0.501856,0.479856,0.343638,0.361638,return_tool linked to v60:milo:missed_greeting:d179:s16; prehistory remains locked,True,True
3221,179,Sera,rest after rain,recover focus,0.506623,0.504623,0.46586,0.46886,inspect_memory linked to v60:sera:care_favor:d179:s17; prehistory remains locked,True,True
3222,180,Tovan,repair awning,sort herbs,0.51121,0.50921,0.642747,0.660747,talk linked to v60:tovan:tool_loan:d180:s00; prehistory remains locked,True,True
3223,180,Nia,sort herbs,carry water,0.515614,0.493614,0.695739,0.713739,offer_help linked to v60:nia:water_carry:d180:s01; prehistory remains locked,True,True
3224,180,Ari,carry water,dry cloaks,0.51983,0.49783,0.513399,0.531399,return_tool linked to v60:ari:repair_promise:d180:s02; prehistory remains locked,True,True
3225,180,Fay,dry cloaks,map safe route,0.523854,0.521854,0.35772,0.36072,inspect_memory linked to v60:fay:missed_greeting:d180:s03; prehistory remains locked,True,True
3226,180,Milo,map safe route,rest after rain,0.527682,0.525682,0.342923,0.345923,enter linked to v60:milo:care_favor:d180:s04; prehistory remains locked,True,True
3227,180,Sera,rest after rain,recover focus,0.53131,0.52931,0.464988,0.482988,talk linked to v60:sera:route_warning:d180:s05; prehistory remains locked,True,True
3228,180,Tovan,recover focus,repair awning,0.534736,0.512736,0.641191,0.659191,offer_help linked to v60:tovan:tool_loan:d180:s06; prehistory remains locked,True,True
3229,180,Nia,repair awning,sort herbs,0.537955,0.515955,0.693332,0.711332,return_tool linked to v60:nia:water_carry:d180:s07; prehistory remains locked,True,True
3230,180,Ari,sort herbs,carry water,0.540964,0.538964,0.527165,0.530165,inspect_memory linked to v60:ari:repair_promise:d180:s08; prehistory remains locked,True,True
3231,180,Fay,carry water,dry cloaks,0.543762,0.541762,0.377005,0.380005,enter linked to v60:fay:missed_greeting:d180:s09; prehistory remains locked,True,True
3232,180,Milo,dry cloaks,map safe route,0.546344,0.544344,0.336343,0.354343,talk linked to v60:milo:care_favor:d180:s10; prehistory remains locked,True,True
3233,180,Sera,map safe route,rest after rain,0.548709,0.526709,0.472077,0.490077,offer_help linked to v60:sera:route_warning:d180:s11; prehistory remains locked,True,True
3234,180,Tovan,rest after rain,recover focus,0.550854,0.528854,0.641903,0.659903,return_tool linked to v60:tovan:tool_loan:d180:s12; prehistory remains locked,True,True
3235,180,Nia,recover focus,repair awning,0.552777,0.550777,0.69054,0.69354,inspect_memory linked to v60:nia:water_carry:d180:s13; prehistory remains locked,True,True
3236,180,Ari,repair awning,sort herbs,0.554476,0.552476,0.513178,0.516178,enter linked to v60:ari:repair_promise:d180:s14; prehistory remains locked,True,True
3237,180,Fay,sort herbs,carry water,0.55595,0.55395,0.36784,0.38584,talk linked to v60:fay:missed_greeting:d180:s15; prehistory remains locked,True,True
3238,180,Milo,carry water,dry cloaks,0.557198,0.535198,0.335554,0.353554,offer_help linked to v60:milo:care_favor:d180:s16; prehistory remains locked,True,True
3239,180,Sera,dry cloaks,map safe route,0.558217,0.536217,0.482708,0.500708,return_tool linked to v60:sera:route_warning:d180:s17; prehistory remains locked,True,True
3240,181,Tovan,rest after rain,recover focus,0.559008,0.557008,0.637629,0.640629,enter linked to v60:tovan:water_carry:d181:s00; prehistory remains locked,True,True
3241,181,Nia,recover focus,repair awning,0.559569,0.557569,0.68496,0.70296,talk linked to v60:nia:repair_promise:d181:s01; prehistory remains locked,True,True
3242,181,Ari,repair awning,sort herbs,0.559899,0.537899,0.514797,0.532797,offer_help linked to v60:ari:missed_greeting:d181:s02; prehistory remains locked,True,True
3243,181,Fay,sort herbs,carry water,0.56,0.538,0.35547,0.37347,return_tool linked to v60:fay:care_favor:d181:s03; prehistory remains locked,True,True
3244,181,Milo,carry water,dry cloaks,0.559869,0.557869,0.352912,0.355912,inspect_memory linked to v60:milo:route_warning:d181:s04; prehistory remains locked,True,True
3245,181,Sera,dry cloaks,map safe route,0.559508,0.557508,0.483472,0.486472,enter linked to v60:sera:tool_loan:d181:s05; prehistory remains locked,True,True
3246,181,Tovan,map safe route,rest after rain,0.558917,0.556917,0.645195,0.663195,talk linked to v60:tovan:water_carry:d181:s06; prehistory remains locked,True,True
3247,181,Nia,rest after rain,recover focus,0.558096,0.536096,0.678304,0.696304,offer_help linked to v60:nia:repair_promise:d181:s07; prehistory remains locked,True,True
3248,181,Ari,recover focus,repair awning,0.557047,0.535047,0.502788,0.520788,return_tool linked to v60:ari:missed_greeting:d181:s08; prehistory remains locked,True,True
3249,181,Fay,repair awning,sort herbs,0.55577,0.55377,0.349847,0.352847,inspect_memory linked to v60:fay:care_favor:d181:s09; prehistory remains locked,True,True
3250,181,Milo,sort herbs,carry water,0.554266,0.552266,0.344725,0.347725,enter linked to v60:milo:route_warning:d181:s10; prehistory remains locked,True,True
3251,181,Sera,carry water,dry cloaks,0.552537,0.550537,0.479304,0.497304,talk linked to v60:sera:tool_loan:d181:s11; prehistory remains locked,True,True
3252,181,Tovan,dry cloaks,map safe route,0.550585,0.528585,0.640036,0.658036,offer_help linked to v60:tovan:water_carry:d181:s12; prehistory remains locked,True,True
3253,181,Nia,map safe route,rest after rain,0.548411,0.526411,0.693018,0.711018,return_tool linked to v60:nia:repair_promise:d181:s13; prehistory remains locked,True,True
3254,181,Ari,rest after rain,recover focus,0.546017,0.544017,0.511846,0.514846,inspect_memory linked to v60:ari:missed_greeting:d181:s14; prehistory remains locked,True,True
3255,181,Fay,recover focus,repair awning,0.543407,0.541407,0.354396,0.357396,enter linked to v60:fay:care_favor:d181:s15; prehistory remains locked,True,True
3256,181,Milo,repair awning,sort herbs,0.540581,0.538581,0.35692,0.37492,talk linked to v60:milo:route_warning:d181:s16; prehistory remains locked,True,True
3257,181,Sera,sort herbs,carry water,0.537544,0.515544,0.487711,0.505711,offer_help linked to v60:sera:tool_loan:d181:s17; prehistory remains locked,True,True
3258,182,Tovan,dry cloaks,map safe route,0.534298,0.532298,0.641476,0.644476,inspect_memory linked to v60:tovan:repair_promise:d182:s00; prehistory remains locked,True,True
3259,182,Nia,map safe route,rest after rain,0.530845,0.528845,0.672635,0.675635,enter linked to v60:nia:missed_greeting:d182:s01; prehistory remains locked,True,True
3260,182,Ari,rest after rain,recover focus,0.527191,0.525191,0.494786,0.512786,talk linked to v60:ari:care_favor:d182:s02; prehistory remains locked,True,True
3261,182,Fay,recover focus,repair awning,0.523337,0.501337,0.35936,0.37736,offer_help linked to v60:fay:route_warning:d182:s03; prehistory remains locked,True,True
3262,182,Milo,repair awning,sort herbs,0.519287,0.497287,0.34985,0.36785,return_tool linked to v60:milo:tool_loan:d182:s04; prehistory remains locked,True,True
3263,182,Sera,sort herbs,carry water,0.515047,0.513047,0.490382,0.493382,inspect_memory linked to v60:sera:water_carry:d182:s05; prehistory remains locked,True,True
3264,182,Tovan,carry water,dry cloaks,0.510618,0.508618,0.644196,0.647196,enter linked to v60:tovan:repair_promise:d182:s06; prehistory remains locked,True,True
3265,182,Nia,dry cloaks,map safe route,0.506007,0.504007,0.672112,0.690112,talk linked to v60:nia:missed_greeting:d182:s07; prehistory remains locked,True,True
3266,182,Ari,map safe route,rest after rain,0.501217,0.479217,0.510789,0.528789,offer_help linked to v60:ari:care_favor:d182:s08; prehistory remains locked,True,True
3267,182,Fay,rest after rain,recover focus,0.496253,0.474253,0.348236,0.366236,return_tool linked to v60:fay:route_warning:d182:s09; prehistory remains locked,True,True
3268,182,Milo,recover focus,repair awning,0.491119,0.489119,0.358211,0.361211,inspect_memory linked to v60:milo:tool_loan:d182:s10; prehistory remains locked,True,True
3269,182,Sera,repair awning,sort herbs,0.485821,0.483821,0.48564,0.48864,enter linked to v60:sera:water_carry:d182:s11; prehistory remains locked,True,True
3270,182,Tovan,sort herbs,carry water,0.480363,0.478363,0.648672,0.666672,talk linked to v60:tovan:repair_promise:d182:s12; prehistory remains locked,True,True
3271,182,Nia,carry water,dry cloaks,0.474752,0.452752,0.683467,0.701467,offer_help linked to v60:nia:missed_greeting:d182:s13; prehistory remains locked,True,True
3272,182,Ari,dry cloaks,map safe route,0.468992,0.446992,0.50527,0.52327,return_tool linked to v60:ari:care_favor:d182:s14; prehistory remains locked,True,True
3273,182,Fay,map safe route,rest after rain,0.463088,0.461088,0.366807,0.369807,inspect_memory linked to v60:fay:route_warning:d182:s15; prehistory remains locked,True,True
3274,182,Milo,rest after rain,recover focus,0.457047,0.455047,0.356654,0.359654,enter linked to v60:milo:tool_loan:d182:s16; prehistory remains locked,True,True
3275,182,Sera,recover focus,repair awning,0.450875,0.448875,0.486024,0.504024,talk linked to v60:sera:water_carry:d182:s17; prehistory remains locked,True,True
3276,183,Tovan,sort herbs,carry water,0.444577,0.422577,0.654628,0.672628,return_tool linked to v60:tovan:missed_greeting:d183:s00; prehistory remains locked,True,True
3277,183,Nia,carry water,dry cloaks,0.438158,0.436158,0.673883,0.676883,inspect_memory linked to v60:nia:care_favor:d183:s01; prehistory remains locked,True,True
3278,183,Ari,dry cloaks,map safe route,0.431627,0.429627,0.495098,0.498098,enter linked to v60:ari:route_warning:d183:s02; prehistory remains locked,True,True
3279,183,Fay,map safe route,rest after rain,0.424988,0.422988,0.342473,0.360473,talk linked to v60:fay:tool_loan:d183:s03; prehistory remains locked,True,True
3280,183,Milo,rest after rain,recover focus,0.418248,0.396248,0.347885,0.365885,offer_help linked to v60:milo:water_carry:d183:s04; prehistory remains locked,True,True
3281,183,Sera,recover focus,repair awning,0.411414,0.389414,0.500762,0.518762,return_tool linked to v60:sera:repair_promise:d183:s05; prehistory remains locked,True,True
