mutation_id,choice_id,simulated_day,lineage,agent,selected_branch_label,schedule_state_after,access_level_after,trust_after,boundary_pressure_after,welfare_note_after,agent_followup_due_day,local_storage_key,stored_state_json,mutation_hash
115,115,46,Orchardline,Ori,observe_then_followup,"observe, then agent follow-up; delay=2",0.443,0.6144,0.2865,follow-up remains bounded and recoverable,6,ssrm254_browser_world_v14_branch_state,"{""access"": 0.443, ""agent"": ""Ori"", ""boundary"": 0.2865, ""branch"": ""observe_then_followup"", ""choice_id"": 115, ""followup_due_day"": 6, ""lineage"": ""Orchardline"", ""reentry_id"": 4, ""schedule"": ""observe, then agent follow-up; delay=2"", ""trust"": 0.6144}",8b5795aec248392f
116,116,46,Rainline,Vonn,limited_access,limited public access accepted; delay=10,0.4908,0.6264,0.2663,follow-up remains bounded and recoverable,6,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4908, ""agent"": ""Vonn"", ""boundary"": 0.2663, ""branch"": ""limited_access"", ""choice_id"": 116, ""followup_due_day"": 6, ""lineage"": ""Rainline"", ""reentry_id"": 4, ""schedule"": ""limited public access accepted; delay=10"", ""trust"": 0.6264}",fdd563d6865744a9
117,117,46,Rainline,Vonn,repair_first_access,repair before access; delay=18,0.4738,0.6424,0.2563,follow-up remains bounded and recoverable,6,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4738, ""agent"": ""Vonn"", ""boundary"": 0.2563, ""branch"": ""repair_first_access"", ""choice_id"": 117, ""followup_due_day"": 6, ""lineage"": ""Rainline"", ""reentry_id"": 4, ""schedule"": ""repair before access; delay=18"", ""trust"": 0.6424}",bb6128e1d9d04a30
118,118,46,Rainline,Vonn,summary_then_decide,"summary first, defer access; delay=6",0.4558,0.6124,0.2743,follow-up remains bounded and recoverable,6,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4558, ""agent"": ""Vonn"", ""boundary"": 0.2743, ""branch"": ""summary_then_decide"", ""choice_id"": 118, ""followup_due_day"": 6, ""lineage"": ""Rainline"", ""reentry_id"": 4, ""schedule"": ""summary first, defer access; delay=6"", ""trust"": 0.6124}",4335ba31339d7c37
119,119,46,Rainline,Vonn,blocked_until_repair,old access blocked until repair; delay=36,0.3908,0.5524,0.3503,boundary pressure recorded; repair path required,6,ssrm254_browser_world_v14_branch_state,"{""access"": 0.3908, ""agent"": ""Vonn"", ""boundary"": 0.3503, ""branch"": ""blocked_until_repair"", ""choice_id"": 119, ""followup_due_day"": 6, ""lineage"": ""Rainline"", ""reentry_id"": 4, ""schedule"": ""old access blocked until repair; delay=36"", ""trust"": 0.5524}",af35be3db95d9506
120,120,46,Rainline,Vonn,observe_then_followup,"observe, then agent follow-up; delay=2",0.4458,0.6084,0.2823,follow-up remains bounded and recoverable,6,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4458, ""agent"": ""Vonn"", ""boundary"": 0.2823, ""branch"": ""observe_then_followup"", ""choice_id"": 120, ""followup_due_day"": 6, ""lineage"": ""Rainline"", ""reentry_id"": 4, ""schedule"": ""observe, then agent follow-up; delay=2"", ""trust"": 0.6084}",9da043514b8de1f2
121,121,47,Hearthline,Sova,limited_access,limited public access accepted; delay=10,0.4904,0.6336,0.2709,follow-up remains bounded and recoverable,7,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4904, ""agent"": ""Sova"", ""boundary"": 0.2709, ""branch"": ""limited_access"", ""choice_id"": 121, ""followup_due_day"": 7, ""lineage"": ""Hearthline"", ""reentry_id"": 5, ""schedule"": ""limited public access accepted; delay=10"", ""trust"": 0.6336}",de29bb163ba2c7c5
122,122,47,Hearthline,Sova,repair_first_access,repair before access; delay=18,0.4734,0.6496,0.2609,follow-up remains bounded and recoverable,7,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4734, ""agent"": ""Sova"", ""boundary"": 0.2609, ""branch"": ""repair_first_access"", ""choice_id"": 122, ""followup_due_day"": 7, ""lineage"": ""Hearthline"", ""reentry_id"": 5, ""schedule"": ""repair before access; delay=18"", ""trust"": 0.6496}",872732544eed0f40
123,123,47,Hearthline,Sova,summary_then_decide,"summary first, defer access; delay=6",0.4554,0.6196,0.2789,follow-up remains bounded and recoverable,7,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4554, ""agent"": ""Sova"", ""boundary"": 0.2789, ""branch"": ""summary_then_decide"", ""choice_id"": 123, ""followup_due_day"": 7, ""lineage"": ""Hearthline"", ""reentry_id"": 5, ""schedule"": ""summary first, defer access; delay=6"", ""trust"": 0.6196}",6eea0c4437f38af6
124,124,47,Hearthline,Sova,blocked_until_repair,old access blocked until repair; delay=36,0.3904,0.5596,0.3549,boundary pressure recorded; repair path required,7,ssrm254_browser_world_v14_branch_state,"{""access"": 0.3904, ""agent"": ""Sova"", ""boundary"": 0.3549, ""branch"": ""blocked_until_repair"", ""choice_id"": 124, ""followup_due_day"": 7, ""lineage"": ""Hearthline"", ""reentry_id"": 5, ""schedule"": ""old access blocked until repair; delay=36"", ""trust"": 0.5596}",863233243a21081c
125,125,47,Hearthline,Sova,observe_then_followup,"observe, then agent follow-up; delay=2",0.4454,0.6156,0.2869,follow-up remains bounded and recoverable,7,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4454, ""agent"": ""Sova"", ""boundary"": 0.2869, ""branch"": ""observe_then_followup"", ""choice_id"": 125, ""followup_due_day"": 7, ""lineage"": ""Hearthline"", ""reentry_id"": 5, ""schedule"": ""observe, then agent follow-up; delay=2"", ""trust"": 0.6156}",1ac3710d8c4e329a
126,126,47,Routeline,Keth,limited_access,limited public access accepted; delay=10,0.4896,0.6216,0.2721,follow-up remains bounded and recoverable,7,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4896, ""agent"": ""Keth"", ""boundary"": 0.2721, ""branch"": ""limited_access"", ""choice_id"": 126, ""followup_due_day"": 7, ""lineage"": ""Routeline"", ""reentry_id"": 5, ""schedule"": ""limited public access accepted; delay=10"", ""trust"": 0.6216}",f0df394a3da6f107
127,127,47,Routeline,Keth,repair_first_access,repair before access; delay=18,0.4726,0.6376,0.2621,follow-up remains bounded and recoverable,7,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4726, ""agent"": ""Keth"", ""boundary"": 0.2621, ""branch"": ""repair_first_access"", ""choice_id"": 127, ""followup_due_day"": 7, ""lineage"": ""Routeline"", ""reentry_id"": 5, ""schedule"": ""repair before access; delay=18"", ""trust"": 0.6376}",aa49e623d1c9981e
128,128,47,Routeline,Keth,summary_then_decide,"summary first, defer access; delay=6",0.4546,0.6076,0.2801,follow-up remains bounded and recoverable,7,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4546, ""agent"": ""Keth"", ""boundary"": 0.2801, ""branch"": ""summary_then_decide"", ""choice_id"": 128, ""followup_due_day"": 7, ""lineage"": ""Routeline"", ""reentry_id"": 5, ""schedule"": ""summary first, defer access; delay=6"", ""trust"": 0.6076}",eba6203d081d8782
129,129,47,Routeline,Keth,blocked_until_repair,old access blocked until repair; delay=36,0.3896,0.5476,0.3561,boundary pressure recorded; repair path required,7,ssrm254_browser_world_v14_branch_state,"{""access"": 0.3896, ""agent"": ""Keth"", ""boundary"": 0.3561, ""branch"": ""blocked_until_repair"", ""choice_id"": 129, ""followup_due_day"": 7, ""lineage"": ""Routeline"", ""reentry_id"": 5, ""schedule"": ""old access blocked until repair; delay=36"", ""trust"": 0.5476}",1f1ff740418208aa
130,130,47,Routeline,Keth,observe_then_followup,"observe, then agent follow-up; delay=2",0.4446,0.6036,0.2881,follow-up remains bounded and recoverable,7,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4446, ""agent"": ""Keth"", ""boundary"": 0.2881, ""branch"": ""observe_then_followup"", ""choice_id"": 130, ""followup_due_day"": 7, ""lineage"": ""Routeline"", ""reentry_id"": 5, ""schedule"": ""observe, then agent follow-up; delay=2"", ""trust"": 0.6036}",fedfd27bd36327d9
131,131,47,Marketline,Melo,limited_access,limited public access accepted; delay=10,0.4882,0.624,0.2742,follow-up remains bounded and recoverable,7,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4882, ""agent"": ""Melo"", ""boundary"": 0.2742, ""branch"": ""limited_access"", ""choice_id"": 131, ""followup_due_day"": 7, ""lineage"": ""Marketline"", ""reentry_id"": 5, ""schedule"": ""limited public access accepted; delay=10"", ""trust"": 0.624}",26e47df3566f16ec
132,132,47,Marketline,Melo,repair_first_access,repair before access; delay=18,0.4712,0.64,0.2642,follow-up remains bounded and recoverable,7,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4712, ""agent"": ""Melo"", ""boundary"": 0.2642, ""branch"": ""repair_first_access"", ""choice_id"": 132, ""followup_due_day"": 7, ""lineage"": ""Marketline"", ""reentry_id"": 5, ""schedule"": ""repair before access; delay=18"", ""trust"": 0.64}",78f8218893448740
133,133,47,Marketline,Melo,summary_then_decide,"summary first, defer access; delay=6",0.4532,0.61,0.2822,follow-up remains bounded and recoverable,7,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4532, ""agent"": ""Melo"", ""boundary"": 0.2822, ""branch"": ""summary_then_decide"", ""choice_id"": 133, ""followup_due_day"": 7, ""lineage"": ""Marketline"", ""reentry_id"": 5, ""schedule"": ""summary first, defer access; delay=6"", ""trust"": 0.61}",bedc8bee3a4b0673
134,134,47,Marketline,Melo,blocked_until_repair,old access blocked until repair; delay=36,0.3882,0.55,0.3582,boundary pressure recorded; repair path required,7,ssrm254_browser_world_v14_branch_state,"{""access"": 0.3882, ""agent"": ""Melo"", ""boundary"": 0.3582, ""branch"": ""blocked_until_repair"", ""choice_id"": 134, ""followup_due_day"": 7, ""lineage"": ""Marketline"", ""reentry_id"": 5, ""schedule"": ""old access blocked until repair; delay=36"", ""trust"": 0.55}",161ddeb91ed7c5ab
135,135,47,Marketline,Melo,observe_then_followup,"observe, then agent follow-up; delay=2",0.4432,0.606,0.2902,follow-up remains bounded and recoverable,7,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4432, ""agent"": ""Melo"", ""boundary"": 0.2902, ""branch"": ""observe_then_followup"", ""choice_id"": 135, ""followup_due_day"": 7, ""lineage"": ""Marketline"", ""reentry_id"": 5, ""schedule"": ""observe, then agent follow-up; delay=2"", ""trust"": 0.606}",5191c2ceed8b81f4
136,136,47,Ledgerline,Nari,limited_access,limited public access accepted; delay=10,0.4918,0.6192,0.2688,follow-up remains bounded and recoverable,7,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4918, ""agent"": ""Nari"", ""boundary"": 0.2688, ""branch"": ""limited_access"", ""choice_id"": 136, ""followup_due_day"": 7, ""lineage"": ""Ledgerline"", ""reentry_id"": 5, ""schedule"": ""limited public access accepted; delay=10"", ""trust"": 0.6192}",bba7af9407ff3fdc
137,137,47,Ledgerline,Nari,repair_first_access,repair before access; delay=18,0.4748,0.6352,0.2588,follow-up remains bounded and recoverable,7,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4748, ""agent"": ""Nari"", ""boundary"": 0.2588, ""branch"": ""repair_first_access"", ""choice_id"": 137, ""followup_due_day"": 7, ""lineage"": ""Ledgerline"", ""reentry_id"": 5, ""schedule"": ""repair before access; delay=18"", ""trust"": 0.6352}",0f7f34ccb1624e16
138,138,47,Ledgerline,Nari,summary_then_decide,"summary first, defer access; delay=6",0.4568,0.6052,0.2768,follow-up remains bounded and recoverable,7,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4568, ""agent"": ""Nari"", ""boundary"": 0.2768, ""branch"": ""summary_then_decide"", ""choice_id"": 138, ""followup_due_day"": 7, ""lineage"": ""Ledgerline"", ""reentry_id"": 5, ""schedule"": ""summary first, defer access; delay=6"", ""trust"": 0.6052}",e953274383483611
139,139,47,Ledgerline,Nari,blocked_until_repair,old access blocked until repair; delay=36,0.3918,0.5452,0.3528,boundary pressure recorded; repair path required,7,ssrm254_browser_world_v14_branch_state,"{""access"": 0.3918, ""agent"": ""Nari"", ""boundary"": 0.3528, ""branch"": ""blocked_until_repair"", ""choice_id"": 139, ""followup_due_day"": 7, ""lineage"": ""Ledgerline"", ""reentry_id"": 5, ""schedule"": ""old access blocked until repair; delay=36"", ""trust"": 0.5452}",c25a495e7aa02e08
140,140,47,Ledgerline,Nari,observe_then_followup,"observe, then agent follow-up; delay=2",0.4468,0.6012,0.2848,follow-up remains bounded and recoverable,7,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4468, ""agent"": ""Nari"", ""boundary"": 0.2848, ""branch"": ""observe_then_followup"", ""choice_id"": 140, ""followup_due_day"": 7, ""lineage"": ""Ledgerline"", ""reentry_id"": 5, ""schedule"": ""observe, then agent follow-up; delay=2"", ""trust"": 0.6012}",7240960fc154d052
141,141,47,Orchardline,Ori,limited_access,limited public access accepted; delay=10,0.488,0.6264,0.2745,follow-up remains bounded and recoverable,7,ssrm254_browser_world_v14_branch_state,"{""access"": 0.488, ""agent"": ""Ori"", ""boundary"": 0.2745, ""branch"": ""limited_access"", ""choice_id"": 141, ""followup_due_day"": 7, ""lineage"": ""Orchardline"", ""reentry_id"": 5, ""schedule"": ""limited public access accepted; delay=10"", ""trust"": 0.6264}",c5123413dbc7804c
142,142,47,Orchardline,Ori,repair_first_access,repair before access; delay=18,0.471,0.6424,0.2645,follow-up remains bounded and recoverable,7,ssrm254_browser_world_v14_branch_state,"{""access"": 0.471, ""agent"": ""Ori"", ""boundary"": 0.2645, ""branch"": ""repair_first_access"", ""choice_id"": 142, ""followup_due_day"": 7, ""lineage"": ""Orchardline"", ""reentry_id"": 5, ""schedule"": ""repair before access; delay=18"", ""trust"": 0.6424}",e2a75e7a85c69fa0
143,143,47,Orchardline,Ori,summary_then_decide,"summary first, defer access; delay=6",0.453,0.6124,0.2825,follow-up remains bounded and recoverable,7,ssrm254_browser_world_v14_branch_state,"{""access"": 0.453, ""agent"": ""Ori"", ""boundary"": 0.2825, ""branch"": ""summary_then_decide"", ""choice_id"": 143, ""followup_due_day"": 7, ""lineage"": ""Orchardline"", ""reentry_id"": 5, ""schedule"": ""summary first, defer access; delay=6"", ""trust"": 0.6124}",ce1cb919338cf777
144,144,47,Orchardline,Ori,blocked_until_repair,old access blocked until repair; delay=36,0.388,0.5524,0.3585,boundary pressure recorded; repair path required,7,ssrm254_browser_world_v14_branch_state,"{""access"": 0.388, ""agent"": ""Ori"", ""boundary"": 0.3585, ""branch"": ""blocked_until_repair"", ""choice_id"": 144, ""followup_due_day"": 7, ""lineage"": ""Orchardline"", ""reentry_id"": 5, ""schedule"": ""old access blocked until repair; delay=36"", ""trust"": 0.5524}",5d3f23aeb9049e0b
145,145,47,Orchardline,Ori,observe_then_followup,"observe, then agent follow-up; delay=2",0.443,0.6084,0.2905,follow-up remains bounded and recoverable,7,ssrm254_browser_world_v14_branch_state,"{""access"": 0.443, ""agent"": ""Ori"", ""boundary"": 0.2905, ""branch"": ""observe_then_followup"", ""choice_id"": 145, ""followup_due_day"": 7, ""lineage"": ""Orchardline"", ""reentry_id"": 5, ""schedule"": ""observe, then agent follow-up; delay=2"", ""trust"": 0.6084}",52f421bab301c881
146,146,47,Rainline,Vonn,limited_access,limited public access accepted; delay=10,0.4908,0.6204,0.2703,follow-up remains bounded and recoverable,7,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4908, ""agent"": ""Vonn"", ""boundary"": 0.2703, ""branch"": ""limited_access"", ""choice_id"": 146, ""followup_due_day"": 7, ""lineage"": ""Rainline"", ""reentry_id"": 5, ""schedule"": ""limited public access accepted; delay=10"", ""trust"": 0.6204}",52392e79c04dea18
147,147,47,Rainline,Vonn,repair_first_access,repair before access; delay=18,0.4738,0.6364,0.2603,follow-up remains bounded and recoverable,7,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4738, ""agent"": ""Vonn"", ""boundary"": 0.2603, ""branch"": ""repair_first_access"", ""choice_id"": 147, ""followup_due_day"": 7, ""lineage"": ""Rainline"", ""reentry_id"": 5, ""schedule"": ""repair before access; delay=18"", ""trust"": 0.6364}",d6b1ad990af8bc16
148,148,47,Rainline,Vonn,summary_then_decide,"summary first, defer access; delay=6",0.4558,0.6064,0.2783,follow-up remains bounded and recoverable,7,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4558, ""agent"": ""Vonn"", ""boundary"": 0.2783, ""branch"": ""summary_then_decide"", ""choice_id"": 148, ""followup_due_day"": 7, ""lineage"": ""Rainline"", ""reentry_id"": 5, ""schedule"": ""summary first, defer access; delay=6"", ""trust"": 0.6064}",c160dc7a7d2b639c
149,149,47,Rainline,Vonn,blocked_until_repair,old access blocked until repair; delay=36,0.3908,0.5464,0.3543,boundary pressure recorded; repair path required,7,ssrm254_browser_world_v14_branch_state,"{""access"": 0.3908, ""agent"": ""Vonn"", ""boundary"": 0.3543, ""branch"": ""blocked_until_repair"", ""choice_id"": 149, ""followup_due_day"": 7, ""lineage"": ""Rainline"", ""reentry_id"": 5, ""schedule"": ""old access blocked until repair; delay=36"", ""trust"": 0.5464}",ecb141c9207cb020
150,150,47,Rainline,Vonn,observe_then_followup,"observe, then agent follow-up; delay=2",0.4458,0.6024,0.2863,follow-up remains bounded and recoverable,7,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4458, ""agent"": ""Vonn"", ""boundary"": 0.2863, ""branch"": ""observe_then_followup"", ""choice_id"": 150, ""followup_due_day"": 7, ""lineage"": ""Rainline"", ""reentry_id"": 5, ""schedule"": ""observe, then agent follow-up; delay=2"", ""trust"": 0.6024}",872d584da28b77d8
