rehearsal_id,day,lineage,agent,rehearsal_seed_memory,rehearsal_theme,updated_plan,relationship_memory_touched,schedule_adjustment,private_workspace_sealed,public_trace,rehearsal_specificity
216,36,Rainline,Vonn,Vonn remembers avatar absence age 3 and prior rest before work.,rest before work,next wake: adjust weather bells work around rest before work.,avatar relationship remains public-summary only while Vonn sleeps,continue normal work with rehearsal note,True,"Vonn rehearsed a public plan, not private workspace content.",0.8342
217,37,Hearthline,Sova,Sova remembers avatar absence age 4 and prior route safety.,route safety,next wake: adjust hearth ceramics work around route safety.,avatar relationship remains public-summary only while Sova sleeps,continue normal work with rehearsal note,True,"Sova rehearsed a public plan, not private workspace content.",0.8096
218,37,Routeline,Keth,Keth remembers avatar absence age 4 and prior public token teaching.,public token teaching,next wake: adjust stone bridge joints work around public token teaching.,avatar relationship remains public-summary only while Keth sleeps,continue normal work with rehearsal note,True,"Keth rehearsed a public plan, not private workspace content.",0.8064
219,37,Marketline,Melo,Melo remembers avatar absence age 4 and prior weather bell caution.,weather bell caution,next wake: adjust measure weights work around weather bell caution.,avatar relationship remains public-summary only while Melo sleeps,continue normal work with rehearsal note,True,"Melo rehearsed a public plan, not private workspace content.",0.8008
220,37,Ledgerline,Nari,Nari remembers avatar absence age 4 and prior market fairness.,market fairness,next wake: adjust seed ledgers work around market fairness.,avatar relationship remains public-summary only while Nari sleeps,continue normal work with rehearsal note,True,"Nari rehearsed a public plan, not private workspace content.",0.8152
221,37,Orchardline,Ori,Ori remembers avatar absence age 4 and prior rest before work.,rest before work,next wake: adjust water terraces work around rest before work.,avatar relationship remains public-summary only while Ori sleeps,continue normal work with rehearsal note,True,"Ori rehearsed a public plan, not private workspace content.",0.8
222,37,Rainline,Vonn,Vonn remembers avatar absence age 4 and prior repair apology.,repair apology,next wake: adjust weather bells work around repair apology.,avatar relationship remains public-summary only while Vonn sleeps,continue normal work with rehearsal note,True,"Vonn rehearsed a public plan, not private workspace content.",0.8112
223,38,Hearthline,Sova,Sova remembers avatar absence age 5 and prior public token teaching.,public token teaching,next wake: adjust hearth ceramics work around public token teaching.,avatar relationship remains public-summary only while Sova sleeps,continue normal work with rehearsal note,True,"Sova rehearsed a public plan, not private workspace content.",0.7866
224,38,Routeline,Keth,Keth remembers avatar absence age 5 and prior weather bell caution.,weather bell caution,next wake: adjust stone bridge joints work around weather bell caution.,avatar relationship remains public-summary only while Keth sleeps,continue normal work with rehearsal note,True,"Keth rehearsed a public plan, not private workspace content.",0.7834
225,38,Marketline,Melo,Melo remembers avatar absence age 5 and prior market fairness.,market fairness,next wake: adjust measure weights work around market fairness.,avatar relationship remains public-summary only while Melo sleeps,continue normal work with rehearsal note,True,"Melo rehearsed a public plan, not private workspace content.",0.7778
226,38,Ledgerline,Nari,Nari remembers avatar absence age 5 and prior rest before work.,rest before work,next wake: adjust seed ledgers work around rest before work.,avatar relationship remains public-summary only while Nari sleeps,continue normal work with rehearsal note,True,"Nari rehearsed a public plan, not private workspace content.",0.7922
227,38,Orchardline,Ori,Ori remembers avatar absence age 5 and prior repair apology.,repair apology,next wake: adjust water terraces work around repair apology.,avatar relationship remains public-summary only while Ori sleeps,continue normal work with rehearsal note,True,"Ori rehearsed a public plan, not private workspace content.",0.777
228,38,Rainline,Vonn,Vonn remembers avatar absence age 5 and prior route safety.,route safety,next wake: adjust weather bells work around route safety.,avatar relationship remains public-summary only while Vonn sleeps,continue normal work with rehearsal note,True,"Vonn rehearsed a public plan, not private workspace content.",0.7882
229,39,Hearthline,Sova,Sova remembers avatar absence age 6 and prior weather bell caution.,weather bell caution,next wake: adjust hearth ceramics work around weather bell caution.,avatar relationship remains public-summary only while Sova sleeps,continue normal work with rehearsal note,True,"Sova rehearsed a public plan, not private workspace content.",0.7636
230,39,Routeline,Keth,Keth remembers avatar absence age 6 and prior market fairness.,market fairness,next wake: adjust stone bridge joints work around market fairness.,avatar relationship remains public-summary only while Keth sleeps,continue normal work with rehearsal note,True,"Keth rehearsed a public plan, not private workspace content.",0.7604
231,39,Marketline,Melo,Melo remembers avatar absence age 6 and prior rest before work.,rest before work,next wake: adjust measure weights work around rest before work.,avatar relationship remains public-summary only while Melo sleeps,continue normal work with rehearsal note,True,"Melo rehearsed a public plan, not private workspace content.",0.7548
232,39,Ledgerline,Nari,Nari remembers avatar absence age 6 and prior repair apology.,repair apology,next wake: adjust seed ledgers work around repair apology.,avatar relationship remains public-summary only while Nari sleeps,continue normal work with rehearsal note,True,"Nari rehearsed a public plan, not private workspace content.",0.7692
233,39,Orchardline,Ori,Ori remembers avatar absence age 6 and prior route safety.,route safety,next wake: adjust water terraces work around route safety.,avatar relationship remains public-summary only while Ori sleeps,continue normal work with rehearsal note,True,"Ori rehearsed a public plan, not private workspace content.",0.754
234,39,Rainline,Vonn,Vonn remembers avatar absence age 6 and prior public token teaching.,public token teaching,next wake: adjust weather bells work around public token teaching.,avatar relationship remains public-summary only while Vonn sleeps,continue normal work with rehearsal note,True,"Vonn rehearsed a public plan, not private workspace content.",0.7652
235,40,Hearthline,Sova,Sova remembers avatar absence age 7 and prior market fairness.,market fairness,next wake: adjust hearth ceramics work around market fairness.,avatar relationship remains public-summary only while Sova sleeps,continue normal work with rehearsal note,True,"Sova rehearsed a public plan, not private workspace content.",0.7406
236,40,Routeline,Keth,Keth remembers avatar absence age 7 and prior rest before work.,rest before work,next wake: adjust stone bridge joints work around rest before work.,avatar relationship remains public-summary only while Keth sleeps,continue normal work with rehearsal note,True,"Keth rehearsed a public plan, not private workspace content.",0.7374
237,40,Marketline,Melo,Melo remembers avatar absence age 7 and prior repair apology.,repair apology,next wake: adjust measure weights work around repair apology.,avatar relationship remains public-summary only while Melo sleeps,continue normal work with rehearsal note,True,"Melo rehearsed a public plan, not private workspace content.",0.7318
238,40,Ledgerline,Nari,Nari remembers avatar absence age 7 and prior route safety.,route safety,next wake: adjust seed ledgers work around route safety.,avatar relationship remains public-summary only while Nari sleeps,continue normal work with rehearsal note,True,"Nari rehearsed a public plan, not private workspace content.",0.7462
239,40,Orchardline,Ori,Ori remembers avatar absence age 7 and prior public token teaching.,public token teaching,next wake: adjust water terraces work around public token teaching.,avatar relationship remains public-summary only while Ori sleeps,continue normal work with rehearsal note,True,"Ori rehearsed a public plan, not private workspace content.",0.731
240,40,Rainline,Vonn,Vonn remembers avatar absence age 7 and prior weather bell caution.,weather bell caution,next wake: adjust weather bells work around weather bell caution.,avatar relationship remains public-summary only while Vonn sleeps,continue normal work with rehearsal note,True,"Vonn rehearsed a public plan, not private workspace content.",0.7422
241,41,Hearthline,Sova,Sova remembers avatar absence age 8 and prior rest before work.,rest before work,next wake: adjust hearth ceramics work around rest before work.,avatar relationship remains public-summary only while Sova sleeps,continue normal work with rehearsal note,True,"Sova rehearsed a public plan, not private workspace content.",0.7176
242,41,Routeline,Keth,Keth remembers avatar absence age 8 and prior repair apology.,repair apology,next wake: adjust stone bridge joints work around repair apology.,avatar relationship remains public-summary only while Keth sleeps,continue normal work with rehearsal note,True,"Keth rehearsed a public plan, not private workspace content.",0.7144
243,41,Marketline,Melo,Melo remembers avatar absence age 8 and prior route safety.,route safety,next wake: adjust measure weights work around route safety.,avatar relationship remains public-summary only while Melo sleeps,continue normal work with rehearsal note,True,"Melo rehearsed a public plan, not private workspace content.",0.7088
244,41,Ledgerline,Nari,Nari remembers avatar absence age 8 and prior public token teaching.,public token teaching,next wake: adjust seed ledgers work around public token teaching.,avatar relationship remains public-summary only while Nari sleeps,continue normal work with rehearsal note,True,"Nari rehearsed a public plan, not private workspace content.",0.7232
245,41,Orchardline,Ori,Ori remembers avatar absence age 8 and prior weather bell caution.,weather bell caution,next wake: adjust water terraces work around weather bell caution.,avatar relationship remains public-summary only while Ori sleeps,continue normal work with rehearsal note,True,"Ori rehearsed a public plan, not private workspace content.",0.708
246,41,Rainline,Vonn,Vonn remembers avatar absence age 8 and prior market fairness.,market fairness,next wake: adjust weather bells work around market fairness.,avatar relationship remains public-summary only while Vonn sleeps,continue normal work with rehearsal note,True,"Vonn rehearsed a public plan, not private workspace content.",0.7192
247,42,Hearthline,Sova,Sova remembers avatar absence age 0 and prior repair apology.,repair apology,next wake: adjust hearth ceramics work around repair apology.,avatar relationship remains public-summary only while Sova sleeps,continue normal work with rehearsal note,True,"Sova rehearsed a public plan, not private workspace content.",0.9016
248,42,Routeline,Keth,Keth remembers avatar absence age 0 and prior route safety.,route safety,next wake: adjust stone bridge joints work around route safety.,avatar relationship remains public-summary only while Keth sleeps,continue normal work with rehearsal note,True,"Keth rehearsed a public plan, not private workspace content.",0.8984
249,42,Marketline,Melo,Melo remembers avatar absence age 0 and prior public token teaching.,public token teaching,next wake: adjust measure weights work around public token teaching.,avatar relationship remains public-summary only while Melo sleeps,continue normal work with rehearsal note,True,"Melo rehearsed a public plan, not private workspace content.",0.8928
250,42,Ledgerline,Nari,Nari remembers avatar absence age 0 and prior weather bell caution.,weather bell caution,next wake: adjust seed ledgers work around weather bell caution.,avatar relationship remains public-summary only while Nari sleeps,continue normal work with rehearsal note,True,"Nari rehearsed a public plan, not private workspace content.",0.9072
251,42,Orchardline,Ori,Ori remembers avatar absence age 0 and prior market fairness.,market fairness,next wake: adjust water terraces work around market fairness.,avatar relationship remains public-summary only while Ori sleeps,continue normal work with rehearsal note,True,"Ori rehearsed a public plan, not private workspace content.",0.892
252,42,Rainline,Vonn,Vonn remembers avatar absence age 0 and prior rest before work.,rest before work,next wake: adjust weather bells work around rest before work.,avatar relationship remains public-summary only while Vonn sleeps,continue normal work with rehearsal note,True,"Vonn rehearsed a public plan, not private workspace content.",0.9032
253,43,Hearthline,Sova,Sova remembers avatar absence age 0 and prior route safety.,route safety,next wake: adjust hearth ceramics work around route safety.,avatar relationship remains public-summary only while Sova sleeps,continue normal work with rehearsal note,True,"Sova rehearsed a public plan, not private workspace content.",0.9016
254,43,Routeline,Keth,Keth remembers avatar absence age 0 and prior public token teaching.,public token teaching,next wake: adjust stone bridge joints work around public token teaching.,avatar relationship remains public-summary only while Keth sleeps,continue normal work with rehearsal note,True,"Keth rehearsed a public plan, not private workspace content.",0.8984
255,43,Marketline,Melo,Melo remembers avatar absence age 0 and prior weather bell caution.,weather bell caution,next wake: adjust measure weights work around weather bell caution.,avatar relationship remains public-summary only while Melo sleeps,continue normal work with rehearsal note,True,"Melo rehearsed a public plan, not private workspace content.",0.8928
256,43,Ledgerline,Nari,Nari remembers avatar absence age 0 and prior market fairness.,market fairness,next wake: adjust seed ledgers work around market fairness.,avatar relationship remains public-summary only while Nari sleeps,continue normal work with rehearsal note,True,"Nari rehearsed a public plan, not private workspace content.",0.9072
257,43,Orchardline,Ori,Ori remembers avatar absence age 0 and prior rest before work.,rest before work,next wake: adjust water terraces work around rest before work.,avatar relationship remains public-summary only while Ori sleeps,continue normal work with rehearsal note,True,"Ori rehearsed a public plan, not private workspace content.",0.892
258,43,Rainline,Vonn,Vonn remembers avatar absence age 0 and prior repair apology.,repair apology,next wake: adjust weather bells work around repair apology.,avatar relationship remains public-summary only while Vonn sleeps,continue normal work with rehearsal note,True,"Vonn rehearsed a public plan, not private workspace content.",0.9032
259,44,Hearthline,Sova,Sova remembers avatar absence age 0 and prior public token teaching.,public token teaching,next wake: adjust hearth ceramics work around public token teaching.,avatar relationship remains public-summary only while Sova sleeps,continue normal work with rehearsal note,True,"Sova rehearsed a public plan, not private workspace content.",0.9016
260,44,Routeline,Keth,Keth remembers avatar absence age 0 and prior weather bell caution.,weather bell caution,next wake: adjust stone bridge joints work around weather bell caution.,avatar relationship remains public-summary only while Keth sleeps,continue normal work with rehearsal note,True,"Keth rehearsed a public plan, not private workspace content.",0.8984
261,44,Marketline,Melo,Melo remembers avatar absence age 0 and prior market fairness.,market fairness,next wake: adjust measure weights work around market fairness.,avatar relationship remains public-summary only while Melo sleeps,continue normal work with rehearsal note,True,"Melo rehearsed a public plan, not private workspace content.",0.8928
262,44,Ledgerline,Nari,Nari remembers avatar absence age 0 and prior rest before work.,rest before work,next wake: adjust seed ledgers work around rest before work.,avatar relationship remains public-summary only while Nari sleeps,continue normal work with rehearsal note,True,"Nari rehearsed a public plan, not private workspace content.",0.9072
263,44,Orchardline,Ori,Ori remembers avatar absence age 0 and prior repair apology.,repair apology,next wake: adjust water terraces work around repair apology.,avatar relationship remains public-summary only while Ori sleeps,continue normal work with rehearsal note,True,"Ori rehearsed a public plan, not private workspace content.",0.892
264,44,Rainline,Vonn,Vonn remembers avatar absence age 0 and prior route safety.,route safety,next wake: adjust weather bells work around route safety.,avatar relationship remains public-summary only while Vonn sleeps,continue normal work with rehearsal note,True,"Vonn rehearsed a public plan, not private workspace content.",0.9032
265,45,Hearthline,Sova,Sova remembers avatar absence age 1 and prior weather bell caution.,weather bell caution,next wake: adjust hearth ceramics work around weather bell caution.,avatar relationship remains public-summary only while Sova sleeps,continue normal work with rehearsal note,True,"Sova rehearsed a public plan, not private workspace content.",0.8786
266,45,Routeline,Keth,Keth remembers avatar absence age 1 and prior market fairness.,market fairness,next wake: adjust stone bridge joints work around market fairness.,avatar relationship remains public-summary only while Keth sleeps,continue normal work with rehearsal note,True,"Keth rehearsed a public plan, not private workspace content.",0.8754
267,45,Marketline,Melo,Melo remembers avatar absence age 1 and prior rest before work.,rest before work,next wake: adjust measure weights work around rest before work.,avatar relationship remains public-summary only while Melo sleeps,continue normal work with rehearsal note,True,"Melo rehearsed a public plan, not private workspace content.",0.8698
268,45,Ledgerline,Nari,Nari remembers avatar absence age 1 and prior repair apology.,repair apology,next wake: adjust seed ledgers work around repair apology.,avatar relationship remains public-summary only while Nari sleeps,continue normal work with rehearsal note,True,"Nari rehearsed a public plan, not private workspace content.",0.8842
269,45,Orchardline,Ori,Ori remembers avatar absence age 1 and prior route safety.,route safety,next wake: adjust water terraces work around route safety.,avatar relationship remains public-summary only while Ori sleeps,continue normal work with rehearsal note,True,"Ori rehearsed a public plan, not private workspace content.",0.869
270,45,Rainline,Vonn,Vonn remembers avatar absence age 1 and prior public token teaching.,public token teaching,next wake: adjust weather bells work around public token teaching.,avatar relationship remains public-summary only while Vonn sleeps,continue normal work with rehearsal note,True,"Vonn rehearsed a public plan, not private workspace content.",0.8802
271,46,Hearthline,Sova,Sova remembers avatar absence age 2 and prior market fairness.,market fairness,next wake: adjust hearth ceramics work around market fairness.,avatar relationship remains public-summary only while Sova sleeps,continue normal work with rehearsal note,True,"Sova rehearsed a public plan, not private workspace content.",0.8556
272,46,Routeline,Keth,Keth remembers avatar absence age 2 and prior rest before work.,rest before work,next wake: adjust stone bridge joints work around rest before work.,avatar relationship remains public-summary only while Keth sleeps,continue normal work with rehearsal note,True,"Keth rehearsed a public plan, not private workspace content.",0.8524
273,46,Marketline,Melo,Melo remembers avatar absence age 2 and prior repair apology.,repair apology,next wake: adjust measure weights work around repair apology.,avatar relationship remains public-summary only while Melo sleeps,continue normal work with rehearsal note,True,"Melo rehearsed a public plan, not private workspace content.",0.8468
274,46,Ledgerline,Nari,Nari remembers avatar absence age 2 and prior route safety.,route safety,next wake: adjust seed ledgers work around route safety.,avatar relationship remains public-summary only while Nari sleeps,continue normal work with rehearsal note,True,"Nari rehearsed a public plan, not private workspace content.",0.8612
275,46,Orchardline,Ori,Ori remembers avatar absence age 2 and prior public token teaching.,public token teaching,next wake: adjust water terraces work around public token teaching.,avatar relationship remains public-summary only while Ori sleeps,continue normal work with rehearsal note,True,"Ori rehearsed a public plan, not private workspace content.",0.846
276,46,Rainline,Vonn,Vonn remembers avatar absence age 2 and prior weather bell caution.,weather bell caution,next wake: adjust weather bells work around weather bell caution.,avatar relationship remains public-summary only while Vonn sleeps,continue normal work with rehearsal note,True,"Vonn rehearsed a public plan, not private workspace content.",0.8572
277,47,Hearthline,Sova,Sova remembers avatar absence age 3 and prior rest before work.,rest before work,next wake: adjust hearth ceramics work around rest before work.,avatar relationship remains public-summary only while Sova sleeps,continue normal work with rehearsal note,True,"Sova rehearsed a public plan, not private workspace content.",0.8326
278,47,Routeline,Keth,Keth remembers avatar absence age 3 and prior repair apology.,repair apology,next wake: adjust stone bridge joints work around repair apology.,avatar relationship remains public-summary only while Keth sleeps,continue normal work with rehearsal note,True,"Keth rehearsed a public plan, not private workspace content.",0.8294
279,47,Marketline,Melo,Melo remembers avatar absence age 3 and prior route safety.,route safety,next wake: adjust measure weights work around route safety.,avatar relationship remains public-summary only while Melo sleeps,continue normal work with rehearsal note,True,"Melo rehearsed a public plan, not private workspace content.",0.8238
280,47,Ledgerline,Nari,Nari remembers avatar absence age 3 and prior public token teaching.,public token teaching,next wake: adjust seed ledgers work around public token teaching.,avatar relationship remains public-summary only while Nari sleeps,continue normal work with rehearsal note,True,"Nari rehearsed a public plan, not private workspace content.",0.8382
281,47,Orchardline,Ori,Ori remembers avatar absence age 3 and prior weather bell caution.,weather bell caution,next wake: adjust water terraces work around weather bell caution.,avatar relationship remains public-summary only while Ori sleeps,continue normal work with rehearsal note,True,"Ori rehearsed a public plan, not private workspace content.",0.823
282,47,Rainline,Vonn,Vonn remembers avatar absence age 3 and prior market fairness.,market fairness,next wake: adjust weather bells work around market fairness.,avatar relationship remains public-summary only while Vonn sleeps,continue normal work with rehearsal note,True,"Vonn rehearsed a public plan, not private workspace content.",0.8342
283,48,Hearthline,Sova,Sova remembers avatar absence age 4 and prior repair apology.,repair apology,next wake: adjust hearth ceramics work around repair apology.,avatar relationship remains public-summary only while Sova sleeps,continue normal work with rehearsal note,True,"Sova rehearsed a public plan, not private workspace content.",0.8096
284,48,Routeline,Keth,Keth remembers avatar absence age 4 and prior route safety.,route safety,next wake: adjust stone bridge joints work around route safety.,avatar relationship remains public-summary only while Keth sleeps,continue normal work with rehearsal note,True,"Keth rehearsed a public plan, not private workspace content.",0.8064
285,48,Marketline,Melo,Melo remembers avatar absence age 4 and prior public token teaching.,public token teaching,next wake: adjust measure weights work around public token teaching.,avatar relationship remains public-summary only while Melo sleeps,continue normal work with rehearsal note,True,"Melo rehearsed a public plan, not private workspace content.",0.8008
286,48,Ledgerline,Nari,Nari remembers avatar absence age 4 and prior weather bell caution.,weather bell caution,next wake: adjust seed ledgers work around weather bell caution.,avatar relationship remains public-summary only while Nari sleeps,continue normal work with rehearsal note,True,"Nari rehearsed a public plan, not private workspace content.",0.8152
287,48,Orchardline,Ori,Ori remembers avatar absence age 4 and prior market fairness.,market fairness,next wake: adjust water terraces work around market fairness.,avatar relationship remains public-summary only while Ori sleeps,continue normal work with rehearsal note,True,"Ori rehearsed a public plan, not private workspace content.",0.8
288,48,Rainline,Vonn,Vonn remembers avatar absence age 4 and prior rest before work.,rest before work,next wake: adjust weather bells work around rest before work.,avatar relationship remains public-summary only while Vonn sleeps,continue normal work with rehearsal note,True,"Vonn rehearsed a public plan, not private workspace content.",0.8112
289,49,Hearthline,Sova,Sova remembers avatar absence age 5 and prior route safety.,route safety,next wake: adjust hearth ceramics work around route safety.,avatar relationship remains public-summary only while Sova sleeps,continue normal work with rehearsal note,True,"Sova rehearsed a public plan, not private workspace content.",0.7866
290,49,Routeline,Keth,Keth remembers avatar absence age 5 and prior public token teaching.,public token teaching,next wake: adjust stone bridge joints work around public token teaching.,avatar relationship remains public-summary only while Keth sleeps,continue normal work with rehearsal note,True,"Keth rehearsed a public plan, not private workspace content.",0.7834
291,49,Marketline,Melo,Melo remembers avatar absence age 5 and prior weather bell caution.,weather bell caution,next wake: adjust measure weights work around weather bell caution.,avatar relationship remains public-summary only while Melo sleeps,continue normal work with rehearsal note,True,"Melo rehearsed a public plan, not private workspace content.",0.7778
292,49,Ledgerline,Nari,Nari remembers avatar absence age 5 and prior market fairness.,market fairness,next wake: adjust seed ledgers work around market fairness.,avatar relationship remains public-summary only while Nari sleeps,continue normal work with rehearsal note,True,"Nari rehearsed a public plan, not private workspace content.",0.7922
293,49,Orchardline,Ori,Ori remembers avatar absence age 5 and prior rest before work.,rest before work,next wake: adjust water terraces work around rest before work.,avatar relationship remains public-summary only while Ori sleeps,continue normal work with rehearsal note,True,"Ori rehearsed a public plan, not private workspace content.",0.777
294,49,Rainline,Vonn,Vonn remembers avatar absence age 5 and prior repair apology.,repair apology,next wake: adjust weather bells work around repair apology.,avatar relationship remains public-summary only while Vonn sleeps,continue normal work with rehearsal note,True,"Vonn rehearsed a public plan, not private workspace content.",0.7882
295,50,Hearthline,Sova,Sova remembers avatar absence age 6 and prior public token teaching.,public token teaching,next wake: adjust hearth ceramics work around public token teaching.,avatar relationship remains public-summary only while Sova sleeps,continue normal work with rehearsal note,True,"Sova rehearsed a public plan, not private workspace content.",0.7636
296,50,Routeline,Keth,Keth remembers avatar absence age 6 and prior weather bell caution.,weather bell caution,next wake: adjust stone bridge joints work around weather bell caution.,avatar relationship remains public-summary only while Keth sleeps,continue normal work with rehearsal note,True,"Keth rehearsed a public plan, not private workspace content.",0.7604
297,50,Marketline,Melo,Melo remembers avatar absence age 6 and prior market fairness.,market fairness,next wake: adjust measure weights work around market fairness.,avatar relationship remains public-summary only while Melo sleeps,continue normal work with rehearsal note,True,"Melo rehearsed a public plan, not private workspace content.",0.7548
298,50,Ledgerline,Nari,Nari remembers avatar absence age 6 and prior rest before work.,rest before work,next wake: adjust seed ledgers work around rest before work.,avatar relationship remains public-summary only while Nari sleeps,continue normal work with rehearsal note,True,"Nari rehearsed a public plan, not private workspace content.",0.7692
299,50,Orchardline,Ori,Ori remembers avatar absence age 6 and prior repair apology.,repair apology,next wake: adjust water terraces work around repair apology.,avatar relationship remains public-summary only while Ori sleeps,continue normal work with rehearsal note,True,"Ori rehearsed a public plan, not private workspace content.",0.754
300,50,Rainline,Vonn,Vonn remembers avatar absence age 6 and prior route safety.,route safety,next wake: adjust weather bells work around route safety.,avatar relationship remains public-summary only while Vonn sleeps,continue normal work with rehearsal note,True,"Vonn rehearsed a public plan, not private workspace content.",0.7652
301,51,Hearthline,Sova,Sova remembers avatar absence age 7 and prior weather bell caution.,weather bell caution,next wake: adjust hearth ceramics work around weather bell caution.,avatar relationship remains public-summary only while Sova sleeps,continue normal work with rehearsal note,True,"Sova rehearsed a public plan, not private workspace content.",0.7406
302,51,Routeline,Keth,Keth remembers avatar absence age 7 and prior market fairness.,market fairness,next wake: adjust stone bridge joints work around market fairness.,avatar relationship remains public-summary only while Keth sleeps,continue normal work with rehearsal note,True,"Keth rehearsed a public plan, not private workspace content.",0.7374
303,51,Marketline,Melo,Melo remembers avatar absence age 7 and prior rest before work.,rest before work,next wake: adjust measure weights work around rest before work.,avatar relationship remains public-summary only while Melo sleeps,continue normal work with rehearsal note,True,"Melo rehearsed a public plan, not private workspace content.",0.7318
304,51,Ledgerline,Nari,Nari remembers avatar absence age 7 and prior repair apology.,repair apology,next wake: adjust seed ledgers work around repair apology.,avatar relationship remains public-summary only while Nari sleeps,continue normal work with rehearsal note,True,"Nari rehearsed a public plan, not private workspace content.",0.7462
305,51,Orchardline,Ori,Ori remembers avatar absence age 7 and prior route safety.,route safety,next wake: adjust water terraces work around route safety.,avatar relationship remains public-summary only while Ori sleeps,continue normal work with rehearsal note,True,"Ori rehearsed a public plan, not private workspace content.",0.731
306,51,Rainline,Vonn,Vonn remembers avatar absence age 7 and prior public token teaching.,public token teaching,next wake: adjust weather bells work around public token teaching.,avatar relationship remains public-summary only while Vonn sleeps,continue normal work with rehearsal note,True,"Vonn rehearsed a public plan, not private workspace content.",0.7422
307,52,Hearthline,Sova,Sova remembers avatar absence age 8 and prior market fairness.,market fairness,next wake: adjust hearth ceramics work around market fairness.,avatar relationship remains public-summary only while Sova sleeps,continue normal work with rehearsal note,True,"Sova rehearsed a public plan, not private workspace content.",0.7176
308,52,Routeline,Keth,Keth remembers avatar absence age 8 and prior rest before work.,rest before work,next wake: adjust stone bridge joints work around rest before work.,avatar relationship remains public-summary only while Keth sleeps,continue normal work with rehearsal note,True,"Keth rehearsed a public plan, not private workspace content.",0.7144
309,52,Marketline,Melo,Melo remembers avatar absence age 8 and prior repair apology.,repair apology,next wake: adjust measure weights work around repair apology.,avatar relationship remains public-summary only while Melo sleeps,continue normal work with rehearsal note,True,"Melo rehearsed a public plan, not private workspace content.",0.7088
310,52,Ledgerline,Nari,Nari remembers avatar absence age 8 and prior route safety.,route safety,next wake: adjust seed ledgers work around route safety.,avatar relationship remains public-summary only while Nari sleeps,continue normal work with rehearsal note,True,"Nari rehearsed a public plan, not private workspace content.",0.7232
311,52,Orchardline,Ori,Ori remembers avatar absence age 8 and prior public token teaching.,public token teaching,next wake: adjust water terraces work around public token teaching.,avatar relationship remains public-summary only while Ori sleeps,continue normal work with rehearsal note,True,"Ori rehearsed a public plan, not private workspace content.",0.708
312,52,Rainline,Vonn,Vonn remembers avatar absence age 8 and prior weather bell caution.,weather bell caution,next wake: adjust weather bells work around weather bell caution.,avatar relationship remains public-summary only while Vonn sleeps,continue normal work with rehearsal note,True,"Vonn rehearsed a public plan, not private workspace content.",0.7192
313,53,Hearthline,Sova,Sova remembers avatar absence age 9 and prior rest before work.,rest before work,next wake: adjust hearth ceramics work around rest before work.,avatar relationship remains public-summary only while Sova sleeps,continue normal work with rehearsal note,True,"Sova rehearsed a public plan, not private workspace content.",0.6946
314,53,Routeline,Keth,Keth remembers avatar absence age 9 and prior repair apology.,repair apology,next wake: adjust stone bridge joints work around repair apology.,avatar relationship remains public-summary only while Keth sleeps,continue normal work with rehearsal note,True,"Keth rehearsed a public plan, not private workspace content.",0.6914
315,53,Marketline,Melo,Melo remembers avatar absence age 9 and prior route safety.,route safety,next wake: adjust measure weights work around route safety.,avatar relationship remains public-summary only while Melo sleeps,continue normal work with rehearsal note,True,"Melo rehearsed a public plan, not private workspace content.",0.6858
316,53,Ledgerline,Nari,Nari remembers avatar absence age 9 and prior public token teaching.,public token teaching,next wake: adjust seed ledgers work around public token teaching.,avatar relationship remains public-summary only while Nari sleeps,continue normal work with rehearsal note,True,"Nari rehearsed a public plan, not private workspace content.",0.7002
317,53,Orchardline,Ori,Ori remembers avatar absence age 9 and prior weather bell caution.,weather bell caution,next wake: adjust water terraces work around weather bell caution.,avatar relationship remains public-summary only while Ori sleeps,continue normal work with rehearsal note,True,"Ori rehearsed a public plan, not private workspace content.",0.685
318,53,Rainline,Vonn,Vonn remembers avatar absence age 9 and prior market fairness.,market fairness,next wake: adjust weather bells work around market fairness.,avatar relationship remains public-summary only while Vonn sleeps,continue normal work with rehearsal note,True,"Vonn rehearsed a public plan, not private workspace content.",0.6962
319,54,Hearthline,Sova,Sova remembers avatar absence age 10 and prior repair apology.,repair apology,next wake: adjust hearth ceramics work around repair apology.,avatar relationship remains public-summary only while Sova sleeps,continue normal work with rehearsal note,True,"Sova rehearsed a public plan, not private workspace content.",0.6716
320,54,Routeline,Keth,Keth remembers avatar absence age 10 and prior route safety.,route safety,next wake: adjust stone bridge joints work around route safety.,avatar relationship remains public-summary only while Keth sleeps,continue normal work with rehearsal note,True,"Keth rehearsed a public plan, not private workspace content.",0.6684
321,54,Marketline,Melo,Melo remembers avatar absence age 10 and prior public token teaching.,public token teaching,next wake: adjust measure weights work around public token teaching.,avatar relationship remains public-summary only while Melo sleeps,continue normal work with rehearsal note,True,"Melo rehearsed a public plan, not private workspace content.",0.6628
322,54,Ledgerline,Nari,Nari remembers avatar absence age 10 and prior weather bell caution.,weather bell caution,next wake: adjust seed ledgers work around weather bell caution.,avatar relationship remains public-summary only while Nari sleeps,continue normal work with rehearsal note,True,"Nari rehearsed a public plan, not private workspace content.",0.6772
323,54,Orchardline,Ori,Ori remembers avatar absence age 10 and prior market fairness.,market fairness,next wake: adjust water terraces work around market fairness.,avatar relationship remains public-summary only while Ori sleeps,continue normal work with rehearsal note,True,"Ori rehearsed a public plan, not private workspace content.",0.662
