tick,day,resident,resource_name,resource_before,resource_after,item_name,item_before,item_after,widget_patch,visible_delta,localstorage_written
2450,137,Nia,copper,12,11,sealed jar,4,5,"{""after"": 11, ""before"": 12, ""item"": ""sealed jar"", ""itemAfter"": 5, ""resource"": ""copper""}",copper:-1; sealed jar:+1,True
2451,137,Ari,herb,13,14,patch kit,0,0,"{""after"": 14, ""before"": 13, ""item"": ""patch kit"", ""itemAfter"": 0, ""resource"": ""herb""}",herb:+1; patch kit:+0,True
2452,137,Fay,charcoal,14,13,dry cloak,2,2,"{""after"": 13, ""before"": 14, ""item"": ""dry cloak"", ""itemAfter"": 2, ""resource"": ""charcoal""}",charcoal:-1; dry cloak:+0,True
2453,137,Milo,water,15,16,sealed jar,4,4,"{""after"": 16, ""before"": 15, ""item"": ""sealed jar"", ""itemAfter"": 4, ""resource"": ""water""}",water:+1; sealed jar:+0,True
2454,137,Sera,fiber,16,15,patch kit,1,0,"{""after"": 15, ""before"": 16, ""item"": ""patch kit"", ""itemAfter"": 0, ""resource"": ""fiber""}",fiber:-1; patch kit:-1,True
2455,137,Tovan,wood,17,18,dry cloak,3,4,"{""after"": 18, ""before"": 17, ""item"": ""dry cloak"", ""itemAfter"": 4, ""resource"": ""wood""}",wood:+1; dry cloak:+1,True
2456,137,Nia,stone,18,17,sealed jar,0,0,"{""after"": 17, ""before"": 18, ""item"": ""sealed jar"", ""itemAfter"": 0, ""resource"": ""stone""}",stone:-1; sealed jar:+0,True
2457,137,Ari,copper,19,20,patch kit,1,2,"{""after"": 20, ""before"": 19, ""item"": ""patch kit"", ""itemAfter"": 2, ""resource"": ""copper""}",copper:+1; patch kit:+1,True
2458,137,Fay,herb,20,19,dry cloak,3,3,"{""after"": 19, ""before"": 20, ""item"": ""dry cloak"", ""itemAfter"": 3, ""resource"": ""herb""}",herb:-1; dry cloak:+0,True
2459,137,Milo,charcoal,21,22,sealed jar,0,0,"{""after"": 22, ""before"": 21, ""item"": ""sealed jar"", ""itemAfter"": 0, ""resource"": ""charcoal""}",charcoal:+1; sealed jar:+0,True
2460,137,Sera,water,22,21,patch kit,2,1,"{""after"": 21, ""before"": 22, ""item"": ""patch kit"", ""itemAfter"": 1, ""resource"": ""water""}",water:-1; patch kit:-1,True
2461,137,Tovan,fiber,23,24,dry cloak,4,4,"{""after"": 24, ""before"": 23, ""item"": ""dry cloak"", ""itemAfter"": 4, ""resource"": ""fiber""}",fiber:+1; dry cloak:+0,True
2462,137,Nia,wood,24,23,sealed jar,1,2,"{""after"": 23, ""before"": 24, ""item"": ""sealed jar"", ""itemAfter"": 2, ""resource"": ""wood""}",wood:-1; sealed jar:+1,True
2463,137,Ari,stone,25,26,patch kit,2,1,"{""after"": 26, ""before"": 25, ""item"": ""patch kit"", ""itemAfter"": 1, ""resource"": ""stone""}",stone:+1; patch kit:-1,True
2464,137,Fay,copper,26,25,dry cloak,4,5,"{""after"": 25, ""before"": 26, ""item"": ""dry cloak"", ""itemAfter"": 5, ""resource"": ""copper""}",copper:-1; dry cloak:+1,True
2465,137,Milo,herb,27,28,sealed jar,1,1,"{""after"": 28, ""before"": 27, ""item"": ""sealed jar"", ""itemAfter"": 1, ""resource"": ""herb""}",herb:+1; sealed jar:+0,True
2466,138,Sera,water,29,30,patch kit,1,0,"{""after"": 30, ""before"": 29, ""item"": ""patch kit"", ""itemAfter"": 0, ""resource"": ""water""}",water:+1; patch kit:-1,True
2467,138,Tovan,fiber,30,29,dry cloak,3,4,"{""after"": 29, ""before"": 30, ""item"": ""dry cloak"", ""itemAfter"": 4, ""resource"": ""fiber""}",fiber:-1; dry cloak:+1,True
2468,138,Nia,wood,31,32,sealed jar,0,0,"{""after"": 32, ""before"": 31, ""item"": ""sealed jar"", ""itemAfter"": 0, ""resource"": ""wood""}",wood:+1; sealed jar:+0,True
2469,138,Ari,stone,9,8,patch kit,1,2,"{""after"": 8, ""before"": 9, ""item"": ""patch kit"", ""itemAfter"": 2, ""resource"": ""stone""}",stone:-1; patch kit:+1,True
2470,138,Fay,copper,10,11,dry cloak,3,3,"{""after"": 11, ""before"": 10, ""item"": ""dry cloak"", ""itemAfter"": 3, ""resource"": ""copper""}",copper:+1; dry cloak:+0,True
2471,138,Milo,herb,11,10,sealed jar,0,0,"{""after"": 10, ""before"": 11, ""item"": ""sealed jar"", ""itemAfter"": 0, ""resource"": ""herb""}",herb:-1; sealed jar:+0,True
2472,138,Sera,charcoal,12,13,patch kit,2,1,"{""after"": 13, ""before"": 12, ""item"": ""patch kit"", ""itemAfter"": 1, ""resource"": ""charcoal""}",charcoal:+1; patch kit:-1,True
2473,138,Tovan,water,13,12,dry cloak,4,4,"{""after"": 12, ""before"": 13, ""item"": ""dry cloak"", ""itemAfter"": 4, ""resource"": ""water""}",water:-1; dry cloak:+0,True
2474,138,Nia,fiber,14,15,sealed jar,1,2,"{""after"": 15, ""before"": 14, ""item"": ""sealed jar"", ""itemAfter"": 2, ""resource"": ""fiber""}",fiber:+1; sealed jar:+1,True
2475,138,Ari,wood,15,14,patch kit,2,1,"{""after"": 14, ""before"": 15, ""item"": ""patch kit"", ""itemAfter"": 1, ""resource"": ""wood""}",wood:-1; patch kit:-1,True
2476,138,Fay,stone,16,17,dry cloak,4,5,"{""after"": 17, ""before"": 16, ""item"": ""dry cloak"", ""itemAfter"": 5, ""resource"": ""stone""}",stone:+1; dry cloak:+1,True
2477,138,Milo,copper,17,16,sealed jar,1,1,"{""after"": 16, ""before"": 17, ""item"": ""sealed jar"", ""itemAfter"": 1, ""resource"": ""copper""}",copper:-1; sealed jar:+0,True
2478,138,Sera,herb,18,19,patch kit,3,2,"{""after"": 19, ""before"": 18, ""item"": ""patch kit"", ""itemAfter"": 2, ""resource"": ""herb""}",herb:+1; patch kit:-1,True
2479,138,Tovan,charcoal,19,18,dry cloak,0,0,"{""after"": 18, ""before"": 19, ""item"": ""dry cloak"", ""itemAfter"": 0, ""resource"": ""charcoal""}",charcoal:-1; dry cloak:+0,True
2480,138,Nia,water,20,21,sealed jar,2,2,"{""after"": 21, ""before"": 20, ""item"": ""sealed jar"", ""itemAfter"": 2, ""resource"": ""water""}",water:+1; sealed jar:+0,True
2481,138,Ari,fiber,21,20,patch kit,3,4,"{""after"": 20, ""before"": 21, ""item"": ""patch kit"", ""itemAfter"": 4, ""resource"": ""fiber""}",fiber:-1; patch kit:+1,True
2482,138,Fay,wood,22,23,dry cloak,0,0,"{""after"": 23, ""before"": 22, ""item"": ""dry cloak"", ""itemAfter"": 0, ""resource"": ""wood""}",wood:+1; dry cloak:+0,True
2483,138,Milo,stone,23,22,sealed jar,2,3,"{""after"": 22, ""before"": 23, ""item"": ""sealed jar"", ""itemAfter"": 3, ""resource"": ""stone""}",stone:-1; sealed jar:+1,True
2484,139,Sera,herb,25,24,patch kit,2,1,"{""after"": 24, ""before"": 25, ""item"": ""patch kit"", ""itemAfter"": 1, ""resource"": ""herb""}",herb:-1; patch kit:-1,True
2485,139,Tovan,charcoal,26,27,dry cloak,4,4,"{""after"": 27, ""before"": 26, ""item"": ""dry cloak"", ""itemAfter"": 4, ""resource"": ""charcoal""}",charcoal:+1; dry cloak:+0,True
2486,139,Nia,water,27,26,sealed jar,1,2,"{""after"": 26, ""before"": 27, ""item"": ""sealed jar"", ""itemAfter"": 2, ""resource"": ""water""}",water:-1; sealed jar:+1,True
2487,139,Ari,fiber,28,29,patch kit,2,1,"{""after"": 29, ""before"": 28, ""item"": ""patch kit"", ""itemAfter"": 1, ""resource"": ""fiber""}",fiber:+1; patch kit:-1,True
2488,139,Fay,wood,29,28,dry cloak,4,5,"{""after"": 28, ""before"": 29, ""item"": ""dry cloak"", ""itemAfter"": 5, ""resource"": ""wood""}",wood:-1; dry cloak:+1,True
2489,139,Milo,stone,30,31,sealed jar,1,1,"{""after"": 31, ""before"": 30, ""item"": ""sealed jar"", ""itemAfter"": 1, ""resource"": ""stone""}",stone:+1; sealed jar:+0,True
2490,139,Sera,copper,31,30,patch kit,3,2,"{""after"": 30, ""before"": 31, ""item"": ""patch kit"", ""itemAfter"": 2, ""resource"": ""copper""}",copper:-1; patch kit:-1,True
2491,139,Tovan,herb,9,10,dry cloak,0,0,"{""after"": 10, ""before"": 9, ""item"": ""dry cloak"", ""itemAfter"": 0, ""resource"": ""herb""}",herb:+1; dry cloak:+0,True
2492,139,Nia,charcoal,10,9,sealed jar,2,2,"{""after"": 9, ""before"": 10, ""item"": ""sealed jar"", ""itemAfter"": 2, ""resource"": ""charcoal""}",charcoal:-1; sealed jar:+0,True
2493,139,Ari,water,11,12,patch kit,3,4,"{""after"": 12, ""before"": 11, ""item"": ""patch kit"", ""itemAfter"": 4, ""resource"": ""water""}",water:+1; patch kit:+1,True
2494,139,Fay,fiber,12,11,dry cloak,0,0,"{""after"": 11, ""before"": 12, ""item"": ""dry cloak"", ""itemAfter"": 0, ""resource"": ""fiber""}",fiber:-1; dry cloak:+0,True
2495,139,Milo,wood,13,14,sealed jar,2,3,"{""after"": 14, ""before"": 13, ""item"": ""sealed jar"", ""itemAfter"": 3, ""resource"": ""wood""}",wood:+1; sealed jar:+1,True
2496,139,Sera,stone,14,13,patch kit,4,3,"{""after"": 13, ""before"": 14, ""item"": ""patch kit"", ""itemAfter"": 3, ""resource"": ""stone""}",stone:-1; patch kit:-1,True
2497,139,Tovan,copper,15,16,dry cloak,1,1,"{""after"": 16, ""before"": 15, ""item"": ""dry cloak"", ""itemAfter"": 1, ""resource"": ""copper""}",copper:+1; dry cloak:+0,True
2498,139,Nia,herb,16,15,sealed jar,3,3,"{""after"": 15, ""before"": 16, ""item"": ""sealed jar"", ""itemAfter"": 3, ""resource"": ""herb""}",herb:-1; sealed jar:+0,True
2499,139,Ari,charcoal,17,18,patch kit,4,3,"{""after"": 18, ""before"": 17, ""item"": ""patch kit"", ""itemAfter"": 3, ""resource"": ""charcoal""}",charcoal:+1; patch kit:-1,True
2500,139,Fay,water,18,17,dry cloak,1,2,"{""after"": 17, ""before"": 18, ""item"": ""dry cloak"", ""itemAfter"": 2, ""resource"": ""water""}",water:-1; dry cloak:+1,True
2501,139,Milo,fiber,19,20,sealed jar,3,3,"{""after"": 20, ""before"": 19, ""item"": ""sealed jar"", ""itemAfter"": 3, ""resource"": ""fiber""}",fiber:+1; sealed jar:+0,True
2502,140,Sera,stone,21,22,patch kit,3,2,"{""after"": 22, ""before"": 21, ""item"": ""patch kit"", ""itemAfter"": 2, ""resource"": ""stone""}",stone:+1; patch kit:-1,True
2503,140,Tovan,copper,22,21,dry cloak,0,0,"{""after"": 21, ""before"": 22, ""item"": ""dry cloak"", ""itemAfter"": 0, ""resource"": ""copper""}",copper:-1; dry cloak:+0,True
2504,140,Nia,herb,23,24,sealed jar,2,2,"{""after"": 24, ""before"": 23, ""item"": ""sealed jar"", ""itemAfter"": 2, ""resource"": ""herb""}",herb:+1; sealed jar:+0,True
2505,140,Ari,charcoal,24,23,patch kit,3,4,"{""after"": 23, ""before"": 24, ""item"": ""patch kit"", ""itemAfter"": 4, ""resource"": ""charcoal""}",charcoal:-1; patch kit:+1,True
2506,140,Fay,water,25,26,dry cloak,0,0,"{""after"": 26, ""before"": 25, ""item"": ""dry cloak"", ""itemAfter"": 0, ""resource"": ""water""}",water:+1; dry cloak:+0,True
2507,140,Milo,fiber,26,25,sealed jar,2,3,"{""after"": 25, ""before"": 26, ""item"": ""sealed jar"", ""itemAfter"": 3, ""resource"": ""fiber""}",fiber:-1; sealed jar:+1,True
2508,140,Sera,wood,27,28,patch kit,4,3,"{""after"": 28, ""before"": 27, ""item"": ""patch kit"", ""itemAfter"": 3, ""resource"": ""wood""}",wood:+1; patch kit:-1,True
2509,140,Tovan,stone,28,27,dry cloak,1,1,"{""after"": 27, ""before"": 28, ""item"": ""dry cloak"", ""itemAfter"": 1, ""resource"": ""stone""}",stone:-1; dry cloak:+0,True
2510,140,Nia,copper,29,30,sealed jar,3,3,"{""after"": 30, ""before"": 29, ""item"": ""sealed jar"", ""itemAfter"": 3, ""resource"": ""copper""}",copper:+1; sealed jar:+0,True
2511,140,Ari,herb,30,29,patch kit,4,3,"{""after"": 29, ""before"": 30, ""item"": ""patch kit"", ""itemAfter"": 3, ""resource"": ""herb""}",herb:-1; patch kit:-1,True
2512,140,Fay,charcoal,31,32,dry cloak,1,2,"{""after"": 32, ""before"": 31, ""item"": ""dry cloak"", ""itemAfter"": 2, ""resource"": ""charcoal""}",charcoal:+1; dry cloak:+1,True
2513,140,Milo,water,9,8,sealed jar,3,3,"{""after"": 8, ""before"": 9, ""item"": ""sealed jar"", ""itemAfter"": 3, ""resource"": ""water""}",water:-1; sealed jar:+0,True
2514,140,Sera,fiber,10,11,patch kit,0,1,"{""after"": 11, ""before"": 10, ""item"": ""patch kit"", ""itemAfter"": 1, ""resource"": ""fiber""}",fiber:+1; patch kit:+1,True
2515,140,Tovan,wood,11,10,dry cloak,2,2,"{""after"": 10, ""before"": 11, ""item"": ""dry cloak"", ""itemAfter"": 2, ""resource"": ""wood""}",wood:-1; dry cloak:+0,True
2516,140,Nia,stone,12,13,sealed jar,4,4,"{""after"": 13, ""before"": 12, ""item"": ""sealed jar"", ""itemAfter"": 4, ""resource"": ""stone""}",stone:+1; sealed jar:+0,True
2517,140,Ari,copper,13,12,patch kit,0,0,"{""after"": 12, ""before"": 13, ""item"": ""patch kit"", ""itemAfter"": 0, ""resource"": ""copper""}",copper:-1; patch kit:+0,True
2518,140,Fay,herb,14,15,dry cloak,2,2,"{""after"": 15, ""before"": 14, ""item"": ""dry cloak"", ""itemAfter"": 2, ""resource"": ""herb""}",herb:+1; dry cloak:+0,True
2519,140,Milo,charcoal,15,14,sealed jar,4,5,"{""after"": 14, ""before"": 15, ""item"": ""sealed jar"", ""itemAfter"": 5, ""resource"": ""charcoal""}",charcoal:-1; sealed jar:+1,True
2520,141,Sera,fiber,17,16,patch kit,4,3,"{""after"": 16, ""before"": 17, ""item"": ""patch kit"", ""itemAfter"": 3, ""resource"": ""fiber""}",fiber:-1; patch kit:-1,True
2521,141,Tovan,wood,18,19,dry cloak,1,1,"{""after"": 19, ""before"": 18, ""item"": ""dry cloak"", ""itemAfter"": 1, ""resource"": ""wood""}",wood:+1; dry cloak:+0,True
2522,141,Nia,stone,19,18,sealed jar,3,3,"{""after"": 18, ""before"": 19, ""item"": ""sealed jar"", ""itemAfter"": 3, ""resource"": ""stone""}",stone:-1; sealed jar:+0,True
2523,141,Ari,copper,20,21,patch kit,4,3,"{""after"": 21, ""before"": 20, ""item"": ""patch kit"", ""itemAfter"": 3, ""resource"": ""copper""}",copper:+1; patch kit:-1,True
2524,141,Fay,herb,21,20,dry cloak,1,2,"{""after"": 20, ""before"": 21, ""item"": ""dry cloak"", ""itemAfter"": 2, ""resource"": ""herb""}",herb:-1; dry cloak:+1,True
2525,141,Milo,charcoal,22,23,sealed jar,3,3,"{""after"": 23, ""before"": 22, ""item"": ""sealed jar"", ""itemAfter"": 3, ""resource"": ""charcoal""}",charcoal:+1; sealed jar:+0,True
2526,141,Sera,water,23,22,patch kit,0,1,"{""after"": 22, ""before"": 23, ""item"": ""patch kit"", ""itemAfter"": 1, ""resource"": ""water""}",water:-1; patch kit:+1,True
2527,141,Tovan,fiber,24,25,dry cloak,2,2,"{""after"": 25, ""before"": 24, ""item"": ""dry cloak"", ""itemAfter"": 2, ""resource"": ""fiber""}",fiber:+1; dry cloak:+0,True
2528,141,Nia,wood,25,24,sealed jar,4,4,"{""after"": 24, ""before"": 25, ""item"": ""sealed jar"", ""itemAfter"": 4, ""resource"": ""wood""}",wood:-1; sealed jar:+0,True
2529,141,Ari,stone,26,27,patch kit,0,0,"{""after"": 27, ""before"": 26, ""item"": ""patch kit"", ""itemAfter"": 0, ""resource"": ""stone""}",stone:+1; patch kit:+0,True
2530,141,Fay,copper,27,26,dry cloak,2,2,"{""after"": 26, ""before"": 27, ""item"": ""dry cloak"", ""itemAfter"": 2, ""resource"": ""copper""}",copper:-1; dry cloak:+0,True
2531,141,Milo,herb,28,29,sealed jar,4,5,"{""after"": 29, ""before"": 28, ""item"": ""sealed jar"", ""itemAfter"": 5, ""resource"": ""herb""}",herb:+1; sealed jar:+1,True
2532,141,Sera,charcoal,29,28,patch kit,1,0,"{""after"": 28, ""before"": 29, ""item"": ""patch kit"", ""itemAfter"": 0, ""resource"": ""charcoal""}",charcoal:-1; patch kit:-1,True
2533,141,Tovan,water,30,31,dry cloak,3,4,"{""after"": 31, ""before"": 30, ""item"": ""dry cloak"", ""itemAfter"": 4, ""resource"": ""water""}",water:+1; dry cloak:+1,True
2534,141,Nia,fiber,31,30,sealed jar,0,0,"{""after"": 30, ""before"": 31, ""item"": ""sealed jar"", ""itemAfter"": 0, ""resource"": ""fiber""}",fiber:-1; sealed jar:+0,True
2535,141,Ari,wood,9,10,patch kit,1,0,"{""after"": 10, ""before"": 9, ""item"": ""patch kit"", ""itemAfter"": 0, ""resource"": ""wood""}",wood:+1; patch kit:-1,True
2536,141,Fay,stone,10,9,dry cloak,3,3,"{""after"": 9, ""before"": 10, ""item"": ""dry cloak"", ""itemAfter"": 3, ""resource"": ""stone""}",stone:-1; dry cloak:+0,True
2537,141,Milo,copper,11,12,sealed jar,0,0,"{""after"": 12, ""before"": 11, ""item"": ""sealed jar"", ""itemAfter"": 0, ""resource"": ""copper""}",copper:+1; sealed jar:+0,True
2538,142,Sera,charcoal,13,14,patch kit,0,1,"{""after"": 14, ""before"": 13, ""item"": ""patch kit"", ""itemAfter"": 1, ""resource"": ""charcoal""}",charcoal:+1; patch kit:+1,True
2539,142,Tovan,water,14,13,dry cloak,2,2,"{""after"": 13, ""before"": 14, ""item"": ""dry cloak"", ""itemAfter"": 2, ""resource"": ""water""}",water:-1; dry cloak:+0,True
2540,142,Nia,fiber,15,16,sealed jar,4,4,"{""after"": 16, ""before"": 15, ""item"": ""sealed jar"", ""itemAfter"": 4, ""resource"": ""fiber""}",fiber:+1; sealed jar:+0,True
2541,142,Ari,wood,16,15,patch kit,0,0,"{""after"": 15, ""before"": 16, ""item"": ""patch kit"", ""itemAfter"": 0, ""resource"": ""wood""}",wood:-1; patch kit:+0,True
2542,142,Fay,stone,17,18,dry cloak,2,2,"{""after"": 18, ""before"": 17, ""item"": ""dry cloak"", ""itemAfter"": 2, ""resource"": ""stone""}",stone:+1; dry cloak:+0,True
2543,142,Milo,copper,18,17,sealed jar,4,5,"{""after"": 17, ""before"": 18, ""item"": ""sealed jar"", ""itemAfter"": 5, ""resource"": ""copper""}",copper:-1; sealed jar:+1,True
2544,142,Sera,herb,19,20,patch kit,1,0,"{""after"": 20, ""before"": 19, ""item"": ""patch kit"", ""itemAfter"": 0, ""resource"": ""herb""}",herb:+1; patch kit:-1,True
2545,142,Tovan,charcoal,20,19,dry cloak,3,4,"{""after"": 19, ""before"": 20, ""item"": ""dry cloak"", ""itemAfter"": 4, ""resource"": ""charcoal""}",charcoal:-1; dry cloak:+1,True
2546,142,Nia,water,21,22,sealed jar,0,0,"{""after"": 22, ""before"": 21, ""item"": ""sealed jar"", ""itemAfter"": 0, ""resource"": ""water""}",water:+1; sealed jar:+0,True
2547,142,Ari,fiber,22,21,patch kit,1,0,"{""after"": 21, ""before"": 22, ""item"": ""patch kit"", ""itemAfter"": 0, ""resource"": ""fiber""}",fiber:-1; patch kit:-1,True
2548,142,Fay,wood,23,24,dry cloak,3,3,"{""after"": 24, ""before"": 23, ""item"": ""dry cloak"", ""itemAfter"": 3, ""resource"": ""wood""}",wood:+1; dry cloak:+0,True
2549,142,Milo,stone,24,23,sealed jar,0,0,"{""after"": 23, ""before"": 24, ""item"": ""sealed jar"", ""itemAfter"": 0, ""resource"": ""stone""}",stone:-1; sealed jar:+0,True
2550,142,Sera,copper,25,26,patch kit,2,3,"{""after"": 26, ""before"": 25, ""item"": ""patch kit"", ""itemAfter"": 3, ""resource"": ""copper""}",copper:+1; patch kit:+1,True
2551,142,Tovan,herb,26,25,dry cloak,4,4,"{""after"": 25, ""before"": 26, ""item"": ""dry cloak"", ""itemAfter"": 4, ""resource"": ""herb""}",herb:-1; dry cloak:+0,True
2552,142,Nia,charcoal,27,28,sealed jar,1,2,"{""after"": 28, ""before"": 27, ""item"": ""sealed jar"", ""itemAfter"": 2, ""resource"": ""charcoal""}",charcoal:+1; sealed jar:+1,True
2553,142,Ari,water,28,27,patch kit,2,1,"{""after"": 27, ""before"": 28, ""item"": ""patch kit"", ""itemAfter"": 1, ""resource"": ""water""}",water:-1; patch kit:-1,True
2554,142,Fay,fiber,29,30,dry cloak,4,4,"{""after"": 30, ""before"": 29, ""item"": ""dry cloak"", ""itemAfter"": 4, ""resource"": ""fiber""}",fiber:+1; dry cloak:+0,True
2555,142,Milo,wood,30,29,sealed jar,1,1,"{""after"": 29, ""before"": 30, ""item"": ""sealed jar"", ""itemAfter"": 1, ""resource"": ""wood""}",wood:-1; sealed jar:+0,True
2556,143,Sera,copper,9,8,patch kit,1,0,"{""after"": 8, ""before"": 9, ""item"": ""patch kit"", ""itemAfter"": 0, ""resource"": ""copper""}",copper:-1; patch kit:-1,True
2557,143,Tovan,herb,10,11,dry cloak,3,4,"{""after"": 11, ""before"": 10, ""item"": ""dry cloak"", ""itemAfter"": 4, ""resource"": ""herb""}",herb:+1; dry cloak:+1,True
2558,143,Nia,charcoal,11,10,sealed jar,0,0,"{""after"": 10, ""before"": 11, ""item"": ""sealed jar"", ""itemAfter"": 0, ""resource"": ""charcoal""}",charcoal:-1; sealed jar:+0,True
2559,143,Ari,water,12,13,patch kit,1,0,"{""after"": 13, ""before"": 12, ""item"": ""patch kit"", ""itemAfter"": 0, ""resource"": ""water""}",water:+1; patch kit:-1,True
2560,143,Fay,fiber,13,12,dry cloak,3,3,"{""after"": 12, ""before"": 13, ""item"": ""dry cloak"", ""itemAfter"": 3, ""resource"": ""fiber""}",fiber:-1; dry cloak:+0,True
2561,143,Milo,wood,14,15,sealed jar,0,0,"{""after"": 15, ""before"": 14, ""item"": ""sealed jar"", ""itemAfter"": 0, ""resource"": ""wood""}",wood:+1; sealed jar:+0,True
2562,143,Sera,stone,15,14,patch kit,2,3,"{""after"": 14, ""before"": 15, ""item"": ""patch kit"", ""itemAfter"": 3, ""resource"": ""stone""}",stone:-1; patch kit:+1,True
2563,143,Tovan,copper,16,17,dry cloak,4,4,"{""after"": 17, ""before"": 16, ""item"": ""dry cloak"", ""itemAfter"": 4, ""resource"": ""copper""}",copper:+1; dry cloak:+0,True
2564,143,Nia,herb,17,16,sealed jar,1,2,"{""after"": 16, ""before"": 17, ""item"": ""sealed jar"", ""itemAfter"": 2, ""resource"": ""herb""}",herb:-1; sealed jar:+1,True
2565,143,Ari,charcoal,18,19,patch kit,2,1,"{""after"": 19, ""before"": 18, ""item"": ""patch kit"", ""itemAfter"": 1, ""resource"": ""charcoal""}",charcoal:+1; patch kit:-1,True
2566,143,Fay,water,19,18,dry cloak,4,4,"{""after"": 18, ""before"": 19, ""item"": ""dry cloak"", ""itemAfter"": 4, ""resource"": ""water""}",water:-1; dry cloak:+0,True
2567,143,Milo,fiber,20,21,sealed jar,1,1,"{""after"": 21, ""before"": 20, ""item"": ""sealed jar"", ""itemAfter"": 1, ""resource"": ""fiber""}",fiber:+1; sealed jar:+0,True
2568,143,Sera,wood,21,20,patch kit,3,2,"{""after"": 20, ""before"": 21, ""item"": ""patch kit"", ""itemAfter"": 2, ""resource"": ""wood""}",wood:-1; patch kit:-1,True
2569,143,Tovan,stone,22,23,dry cloak,0,1,"{""after"": 23, ""before"": 22, ""item"": ""dry cloak"", ""itemAfter"": 1, ""resource"": ""stone""}",stone:+1; dry cloak:+1,True
2570,143,Nia,copper,23,22,sealed jar,2,2,"{""after"": 22, ""before"": 23, ""item"": ""sealed jar"", ""itemAfter"": 2, ""resource"": ""copper""}",copper:-1; sealed jar:+0,True
2571,143,Ari,herb,24,25,patch kit,3,4,"{""after"": 25, ""before"": 24, ""item"": ""patch kit"", ""itemAfter"": 4, ""resource"": ""herb""}",herb:+1; patch kit:+1,True
2572,143,Fay,charcoal,25,24,dry cloak,0,0,"{""after"": 24, ""before"": 25, ""item"": ""dry cloak"", ""itemAfter"": 0, ""resource"": ""charcoal""}",charcoal:-1; dry cloak:+0,True
2573,143,Milo,water,26,27,sealed jar,2,2,"{""after"": 27, ""before"": 26, ""item"": ""sealed jar"", ""itemAfter"": 2, ""resource"": ""water""}",water:+1; sealed jar:+0,True
2574,144,Sera,wood,28,29,patch kit,2,3,"{""after"": 29, ""before"": 28, ""item"": ""patch kit"", ""itemAfter"": 3, ""resource"": ""wood""}",wood:+1; patch kit:+1,True
2575,144,Tovan,stone,29,28,dry cloak,4,4,"{""after"": 28, ""before"": 29, ""item"": ""dry cloak"", ""itemAfter"": 4, ""resource"": ""stone""}",stone:-1; dry cloak:+0,True
2576,144,Nia,copper,30,31,sealed jar,1,2,"{""after"": 31, ""before"": 30, ""item"": ""sealed jar"", ""itemAfter"": 2, ""resource"": ""copper""}",copper:+1; sealed jar:+1,True
2577,144,Ari,herb,31,30,patch kit,2,1,"{""after"": 30, ""before"": 31, ""item"": ""patch kit"", ""itemAfter"": 1, ""resource"": ""herb""}",herb:-1; patch kit:-1,True
2578,144,Fay,charcoal,9,10,dry cloak,4,4,"{""after"": 10, ""before"": 9, ""item"": ""dry cloak"", ""itemAfter"": 4, ""resource"": ""charcoal""}",charcoal:+1; dry cloak:+0,True
2579,144,Milo,water,10,9,sealed jar,1,1,"{""after"": 9, ""before"": 10, ""item"": ""sealed jar"", ""itemAfter"": 1, ""resource"": ""water""}",water:-1; sealed jar:+0,True
2580,144,Sera,fiber,11,12,patch kit,3,2,"{""after"": 12, ""before"": 11, ""item"": ""patch kit"", ""itemAfter"": 2, ""resource"": ""fiber""}",fiber:+1; patch kit:-1,True
2581,144,Tovan,wood,12,11,dry cloak,0,1,"{""after"": 11, ""before"": 12, ""item"": ""dry cloak"", ""itemAfter"": 1, ""resource"": ""wood""}",wood:-1; dry cloak:+1,True
2582,144,Nia,stone,13,14,sealed jar,2,2,"{""after"": 14, ""before"": 13, ""item"": ""sealed jar"", ""itemAfter"": 2, ""resource"": ""stone""}",stone:+1; sealed jar:+0,True
2583,144,Ari,copper,14,13,patch kit,3,4,"{""after"": 13, ""before"": 14, ""item"": ""patch kit"", ""itemAfter"": 4, ""resource"": ""copper""}",copper:-1; patch kit:+1,True
2584,144,Fay,herb,15,16,dry cloak,0,0,"{""after"": 16, ""before"": 15, ""item"": ""dry cloak"", ""itemAfter"": 0, ""resource"": ""herb""}",herb:+1; dry cloak:+0,True
2585,144,Milo,charcoal,16,15,sealed jar,2,2,"{""after"": 15, ""before"": 16, ""item"": ""sealed jar"", ""itemAfter"": 2, ""resource"": ""charcoal""}",charcoal:-1; sealed jar:+0,True
2586,144,Sera,water,17,18,patch kit,4,3,"{""after"": 18, ""before"": 17, ""item"": ""patch kit"", ""itemAfter"": 3, ""resource"": ""water""}",water:+1; patch kit:-1,True
2587,144,Tovan,fiber,18,17,dry cloak,1,1,"{""after"": 17, ""before"": 18, ""item"": ""dry cloak"", ""itemAfter"": 1, ""resource"": ""fiber""}",fiber:-1; dry cloak:+0,True
2588,144,Nia,wood,19,20,sealed jar,3,4,"{""after"": 20, ""before"": 19, ""item"": ""sealed jar"", ""itemAfter"": 4, ""resource"": ""wood""}",wood:+1; sealed jar:+1,True
2589,144,Ari,stone,20,19,patch kit,4,3,"{""after"": 19, ""before"": 20, ""item"": ""patch kit"", ""itemAfter"": 3, ""resource"": ""stone""}",stone:-1; patch kit:-1,True
