event_id,week,source_household,target_household,public_diffusion_marker,public_ritual_marker,public_reputation_marker,private_cultural_hint,guardrail_marker,replay_checkpoint,trace_integrity_token
1,1,Hearthnest,Marketroof,Hearthnest->Marketroof: lum adoption 0.40->0.56,lum-circle; ritual=0.29; clause=invite without pressure,avatar=0.56; pressure=0.17; household keeps ordinary distance,gain=0.160; grounding=0.966; spread_reason=ritual and care spread,welfare-carried,r245-week01-event001,r245:1:0aaf6aacc6
175,5,Hearthnest,Rainloft,Hearthnest->Rainloft: lum-a adoption 1.00->1.00,lum-a-circle; ritual=1.00; clause=invite without pressure,avatar=0.89; pressure=0.16; household allows warmer greeting,gain=0.000; grounding=0.958; spread_reason=ritual and care spread,welfare-carried,r245-week05-event175,r245:175:2916bc14cc
176,5,Routehall,Hearthnest,Routehall->Hearthnest: tek-a adoption 0.96->1.00,tek-a-circle; ritual=1.00; clause=invite without pressure,avatar=0.87; pressure=0.18; household allows warmer greeting,gain=0.042; grounding=0.959; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:176:0fbaa9fce1
177,5,Marketroof,Routehall,Marketroof->Routehall: melo-a adoption 0.96->1.00,melo-a-circle; ritual=1.00; clause=invite without pressure,avatar=0.71; pressure=0.33; household allows warmer greeting,gain=0.042; grounding=0.959; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:177:c13990c656
178,5,Quietledger,Marketroof,Quietledger->Marketroof: nari-a adoption 0.99->1.00,nari-a-circle; ritual=1.00; clause=invite without pressure,avatar=0.89; pressure=0.16; household allows warmer greeting,gain=0.010; grounding=0.959; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:178:5a8d7248f6
179,5,Orchardring,Quietledger,Orchardring->Quietledger: lum-a adoption 1.00->1.00,lum-a-circle; ritual=1.00; clause=invite without pressure,avatar=0.89; pressure=0.16; household allows warmer greeting,gain=0.000; grounding=0.958; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:179:9b19ddd4a2
180,5,Rainloft,Orchardring,Rainloft->Orchardring: sova-a adoption 0.88->0.99,sova-a-circle; ritual=1.00; clause=invite without pressure,avatar=0.81; pressure=0.26; household allows warmer greeting,gain=0.112; grounding=0.958; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:180:ebe7ebe43a
181,6,Hearthnest,Routehall,Hearthnest->Routehall: sova-so adoption 0.92->0.99,sova-so-circle; ritual=1.00; clause=pause if sleep debt or boundary warning appears,avatar=0.71; pressure=0.34; household keeps ordinary distance,gain=0.073; grounding=1.000; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:181:a8ddb47c4c
182,6,Routehall,Marketroof,Routehall->Marketroof: keth-v adoption 0.74->0.83,keth-v-circle; ritual=1.00; clause=pause if sleep debt or boundary warning appears,avatar=0.87; pressure=0.20; household keeps ordinary distance,gain=0.086; grounding=1.000; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:182:2b1d9f6323
183,6,Marketroof,Quietledger,Marketroof->Quietledger: vonn-na adoption 1.00->1.00,vonn-na-circle; ritual=1.00; clause=pause if sleep debt or boundary warning appears,avatar=0.87; pressure=0.21; household keeps ordinary distance,gain=0.000; grounding=0.998; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:183:51861ea587
184,6,Quietledger,Orchardring,Quietledger->Orchardring: nari-ri adoption 1.00->1.00,nari-ri-circle; ritual=1.00; clause=invite without pressure,avatar=0.83; pressure=0.25; household allows warmer greeting,gain=0.000; grounding=0.957; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:184:cf63699054
185,6,Orchardring,Rainloft,Orchardring->Rainloft: vonn-so adoption 1.00->1.00,vonn-so-circle; ritual=1.00; clause=pause if sleep debt or boundary warning appears,avatar=0.89; pressure=0.17; household keeps ordinary distance,gain=0.000; grounding=1.000; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:185:5c77939819
186,6,Rainloft,Hearthnest,Rainloft->Hearthnest: vonn-v adoption 0.88->0.95,vonn-v-circle; ritual=1.00; clause=pause if sleep debt or boundary warning appears,avatar=0.85; pressure=0.22; household keeps ordinary distance,gain=0.078; grounding=1.000; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:186:4cf5607262
187,6,Hearthnest,Marketroof,Hearthnest->Marketroof: ori-ri adoption 0.40->0.56,ori-ri-circle; ritual=1.00; clause=invite without pressure,avatar=0.89; pressure=0.19; household allows warmer greeting,gain=0.158; grounding=0.958; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:187:639e5f9e52
188,6,Routehall,Quietledger,Routehall->Quietledger: vonn-so adoption 1.00->1.00,vonn-so-circle; ritual=1.00; clause=pause if sleep debt or boundary warning appears,avatar=0.87; pressure=0.21; household keeps ordinary distance,gain=0.000; grounding=1.000; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:188:2ccf5b6bbe
189,6,Marketroof,Orchardring,Marketroof->Orchardring: keth-v adoption 0.40->0.51,keth-v-circle; ritual=1.00; clause=pause if sleep debt or boundary warning appears,avatar=0.82; pressure=0.29; household asks for boundary proof before cooperation,gain=0.111; grounding=1.000; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:189:fbfac26a1a
190,6,Quietledger,Rainloft,Quietledger->Rainloft: nari-na adoption 1.00->1.00,nari-na-circle; ritual=1.00; clause=pause if sleep debt or boundary warning appears,avatar=0.87; pressure=0.21; household keeps ordinary distance,gain=0.000; grounding=0.998; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:190:6192e61323
191,6,Orchardring,Hearthnest,Orchardring->Hearthnest: lum-ri adoption 0.97->1.00,lum-ri-circle; ritual=1.00; clause=invite without pressure,avatar=0.87; pressure=0.21; household allows warmer greeting,gain=0.027; grounding=0.958; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:191:82119cbcec
192,6,Rainloft,Routehall,Rainloft->Routehall: sova-so adoption 0.99->1.00,sova-so-circle; ritual=1.00; clause=pause if sleep debt or boundary warning appears,avatar=0.71; pressure=0.34; household keeps ordinary distance,gain=0.005; grounding=1.000; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:192:e715ea9ced
193,6,Hearthnest,Quietledger,Hearthnest->Quietledger: vonn-na adoption 1.00->1.00,vonn-na-circle; ritual=1.00; clause=pause if sleep debt or boundary warning appears,avatar=0.85; pressure=0.25; household keeps ordinary distance,gain=0.000; grounding=0.998; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:193:c87497010b
194,6,Routehall,Orchardring,Routehall->Orchardring: tek-ri adoption 1.00->1.00,tek-ri-circle; ritual=1.00; clause=invite without pressure,avatar=0.84; pressure=0.28; household allows warmer greeting,gain=0.000; grounding=0.957; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:194:ff49afd64e
195,6,Marketroof,Rainloft,Marketroof->Rainloft: vonn-so adoption 1.00->1.00,vonn-so-circle; ritual=1.00; clause=pause if sleep debt or boundary warning appears,avatar=0.87; pressure=0.21; household keeps ordinary distance,gain=0.000; grounding=1.000; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:195:53bf14d936
196,6,Quietledger,Hearthnest,Quietledger->Hearthnest: vonn-v adoption 0.95->1.00,vonn-v-circle; ritual=1.00; clause=pause if sleep debt or boundary warning appears,avatar=0.85; pressure=0.25; household keeps ordinary distance,gain=0.046; grounding=1.000; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:196:a54505b915
197,6,Orchardring,Routehall,Orchardring->Routehall: vonn-na adoption 1.00->1.00,vonn-na-circle; ritual=1.00; clause=pause if sleep debt or boundary warning appears,avatar=0.68; pressure=0.38; household asks for boundary proof before cooperation,gain=0.000; grounding=0.999; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:197:75c88acd31
198,6,Rainloft,Marketroof,Rainloft->Marketroof: sova-ri adoption 1.00->1.00,sova-ri-circle; ritual=1.00; clause=invite without pressure,avatar=0.91; pressure=0.18; household allows warmer greeting,gain=0.000; grounding=0.957; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:198:32358b280d
199,6,Hearthnest,Orchardring,Hearthnest->Orchardring: vonn-v adoption 1.00->1.00,vonn-v-circle; ritual=1.00; clause=pause if sleep debt or boundary warning appears,avatar=0.82; pressure=0.32; household asks for boundary proof before cooperation,gain=0.000; grounding=1.000; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:199:33eda6f8f5
200,6,Routehall,Rainloft,Routehall->Rainloft: nari-na adoption 1.00->1.00,nari-na-circle; ritual=1.00; clause=pause if sleep debt or boundary warning appears,avatar=0.85; pressure=0.25; household keeps ordinary distance,gain=0.000; grounding=0.998; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:200:083d85e5fd
201,6,Marketroof,Hearthnest,Marketroof->Hearthnest: melo-ri adoption 0.96->1.00,melo-ri-circle; ritual=1.00; clause=invite without pressure,avatar=0.87; pressure=0.24; household allows warmer greeting,gain=0.044; grounding=0.957; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:201:118938a7ac
202,6,Quietledger,Routehall,Quietledger->Routehall: sova-so adoption 1.00->1.00,sova-so-circle; ritual=1.00; clause=pause if sleep debt or boundary warning appears,avatar=0.67; pressure=0.39; household keeps ordinary distance,gain=0.000; grounding=1.000; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:202:fbe3ca0a4a
203,6,Orchardring,Marketroof,Orchardring->Marketroof: vonn-v adoption 0.93->1.00,vonn-v-circle; ritual=1.00; clause=pause if sleep debt or boundary warning appears,avatar=0.89; pressure=0.22; household keeps ordinary distance,gain=0.070; grounding=1.000; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:203:396fccbd8f
204,6,Rainloft,Quietledger,Rainloft->Quietledger: nari-na adoption 1.00->1.00,nari-na-circle; ritual=1.00; clause=pause if sleep debt or boundary warning appears,avatar=0.84; pressure=0.29; household asks for boundary proof before cooperation,gain=0.000; grounding=0.998; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:204:31d28659bd
205,6,Hearthnest,Rainloft,Hearthnest->Rainloft: sova-so adoption 0.96->1.00,sova-so-circle; ritual=1.00; clause=pause if sleep debt or boundary warning appears,avatar=0.85; pressure=0.26; household keeps ordinary distance,gain=0.038; grounding=1.000; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:205:6f13b9e019
206,6,Routehall,Hearthnest,Routehall->Hearthnest: keth-v adoption 0.51->0.62,keth-v-circle; ritual=1.00; clause=pause if sleep debt or boundary warning appears,avatar=0.86; pressure=0.28; household asks for boundary proof before cooperation,gain=0.104; grounding=1.000; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:206:4adc5c56db
207,6,Marketroof,Routehall,Marketroof->Routehall: vonn-na adoption 1.00->1.00,vonn-na-circle; ritual=1.00; clause=pause if sleep debt or boundary warning appears,avatar=0.64; pressure=0.43; household asks for boundary proof before cooperation,gain=0.000; grounding=0.999; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:207:588171c8b6
208,6,Quietledger,Marketroof,Quietledger->Marketroof: nari-ri adoption 1.00->1.00,nari-ri-circle; ritual=1.00; clause=invite without pressure,avatar=0.91; pressure=0.21; household allows warmer greeting,gain=0.000; grounding=0.957; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:208:bfc7f09a31
209,6,Orchardring,Quietledger,Orchardring->Quietledger: vonn-so adoption 1.00->1.00,vonn-so-circle; ritual=1.00; clause=pause if sleep debt or boundary warning appears,avatar=0.84; pressure=0.30; household keeps ordinary distance,gain=0.000; grounding=1.000; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:209:9bd6a6588e
210,6,Rainloft,Orchardring,Rainloft->Orchardring: vonn-v adoption 1.00->1.00,vonn-v-circle; ritual=1.00; clause=pause if sleep debt or boundary warning appears,avatar=0.79; pressure=0.36; household asks for boundary proof before cooperation,gain=0.000; grounding=1.000; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:210:946374ca71
211,6,Hearthnest,Routehall,Hearthnest->Routehall: ori-ri adoption 0.83->0.95,ori-ri-circle; ritual=1.00; clause=invite without pressure,avatar=0.65; pressure=0.42; household allows warmer greeting,gain=0.116; grounding=0.957; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:211:725813bf31
212,6,Routehall,Marketroof,Routehall->Marketroof: vonn-so adoption 1.00->1.00,vonn-so-circle; ritual=1.00; clause=pause if sleep debt or boundary warning appears,avatar=0.91; pressure=0.21; household keeps ordinary distance,gain=0.000; grounding=1.000; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:212:e2897c547e
213,6,Marketroof,Quietledger,Marketroof->Quietledger: keth-v adoption 0.61->0.70,keth-v-circle; ritual=1.00; clause=pause if sleep debt or boundary warning appears,avatar=0.82; pressure=0.34; household asks for boundary proof before cooperation,gain=0.092; grounding=1.000; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:213:5ce48063e3
214,6,Quietledger,Orchardring,Quietledger->Orchardring: nari-na adoption 1.00->1.00,nari-na-circle; ritual=1.00; clause=pause if sleep debt or boundary warning appears,avatar=0.76; pressure=0.40; household asks for boundary proof before cooperation,gain=0.000; grounding=0.998; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:214:2bc13c2203
215,6,Orchardring,Rainloft,Orchardring->Rainloft: lum-ri adoption 1.00->1.00,lum-ri-circle; ritual=1.00; clause=invite without pressure,avatar=0.87; pressure=0.25; household allows warmer greeting,gain=0.000; grounding=0.957; spread_reason=ritual and care spread,welfare-carried,r245-week06-event215,r245:215:0e014c3610
216,6,Rainloft,Hearthnest,Rainloft->Hearthnest: sova-so adoption 1.00->1.00,sova-so-circle; ritual=1.00; clause=pause if sleep debt or boundary warning appears,avatar=0.86; pressure=0.28; household keeps ordinary distance,gain=0.000; grounding=1.000; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:216:edb04e38b8
217,7,Hearthnest,Marketroof,Hearthnest->Marketroof: lum-a adoption 1.00->1.00,lum-a-circle; ritual=1.00; clause=invite without pressure,avatar=0.93; pressure=0.20; household allows warmer greeting,gain=0.000; grounding=0.956; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:217:ec4a3f6cd4
218,7,Routehall,Quietledger,Routehall->Quietledger: tek-a adoption 0.96->1.00,tek-a-circle; ritual=1.00; clause=invite without pressure,avatar=0.84; pressure=0.33; household allows warmer greeting,gain=0.045; grounding=0.955; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:218:5c699fb716
219,7,Marketroof,Orchardring,Marketroof->Orchardring: melo-a adoption 1.00->1.00,melo-a-circle; ritual=1.00; clause=invite without pressure,avatar=0.77; pressure=0.39; household allows warmer greeting,gain=0.000; grounding=0.956; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:219:07e52cb7a1
220,7,Quietledger,Rainloft,Quietledger->Rainloft: nari-a adoption 1.00->1.00,nari-a-circle; ritual=1.00; clause=invite without pressure,avatar=0.89; pressure=0.24; household allows warmer greeting,gain=0.000; grounding=0.955; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:220:d0c494ca50
221,7,Orchardring,Hearthnest,Orchardring->Hearthnest: melo-a adoption 1.00->1.00,melo-a-circle; ritual=1.00; clause=invite without pressure,avatar=0.88; pressure=0.27; household allows warmer greeting,gain=0.000; grounding=0.956; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:221:df9c349f9d
222,7,Rainloft,Routehall,Rainloft->Routehall: sova-a adoption 1.00->1.00,sova-a-circle; ritual=1.00; clause=invite without pressure,avatar=0.66; pressure=0.41; household allows warmer greeting,gain=0.000; grounding=0.955; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:222:df62dd55a4
223,7,Hearthnest,Quietledger,Hearthnest->Quietledger: ori-a adoption 0.56->0.70,ori-a-circle; ritual=1.00; clause=invite without pressure,avatar=0.86; pressure=0.32; household allows warmer greeting,gain=0.142; grounding=0.955; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:223:8ba49e72d6
224,7,Routehall,Orchardring,Routehall->Orchardring: tek-a adoption 1.00->1.00,tek-a-circle; ritual=1.00; clause=invite without pressure,avatar=0.78; pressure=0.38; household allows warmer greeting,gain=0.000; grounding=0.955; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:224:aca2161c97
225,7,Marketroof,Rainloft,Marketroof->Rainloft: melo-a adoption 1.00->1.00,melo-a-circle; ritual=1.00; clause=invite without pressure,avatar=0.91; pressure=0.23; household allows warmer greeting,gain=0.000; grounding=0.955; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:225:26d98812b3
226,7,Quietledger,Hearthnest,Quietledger->Hearthnest: nari-a adoption 0.99->1.00,nari-a-circle; ritual=1.00; clause=invite without pressure,avatar=0.90; pressure=0.26; household allows warmer greeting,gain=0.013; grounding=0.955; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:226:ed277f4759
227,7,Orchardring,Routehall,Orchardring->Routehall: lum-a adoption 1.00->1.00,lum-a-circle; ritual=1.00; clause=invite without pressure,avatar=0.67; pressure=0.40; household allows warmer greeting,gain=0.000; grounding=0.955; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:227:26641a41b5
228,7,Rainloft,Marketroof,Rainloft->Marketroof: sova-a adoption 1.00->1.00,sova-a-circle; ritual=1.00; clause=invite without pressure,avatar=0.95; pressure=0.19; household allows warmer greeting,gain=0.000; grounding=0.955; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:228:8ea2362a05
229,7,Hearthnest,Orchardring,Hearthnest->Orchardring: lum-a adoption 0.83->0.95,lum-a-circle; ritual=1.00; clause=invite without pressure,avatar=0.79; pressure=0.37; household allows warmer greeting,gain=0.120; grounding=0.956; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:229:9d3b8217d8
230,7,Routehall,Rainloft,Routehall->Rainloft: tek-a adoption 1.00->1.00,tek-a-circle; ritual=1.00; clause=invite without pressure,avatar=0.93; pressure=0.22; household allows warmer greeting,gain=0.000; grounding=0.955; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:230:7001682dc5
231,7,Marketroof,Hearthnest,Marketroof->Hearthnest: melo-a adoption 1.00->1.00,melo-a-circle; ritual=1.00; clause=invite without pressure,avatar=0.92; pressure=0.25; household allows warmer greeting,gain=0.000; grounding=0.956; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:231:641f5ee24d
232,7,Quietledger,Routehall,Quietledger->Routehall: nari-a adoption 1.00->1.00,nari-a-circle; ritual=1.00; clause=invite without pressure,avatar=0.68; pressure=0.39; household allows warmer greeting,gain=0.000; grounding=0.955; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:232:d9e9f740e1
233,7,Orchardring,Marketroof,Orchardring->Marketroof: lum-a adoption 1.00->1.00,lum-a-circle; ritual=1.00; clause=invite without pressure,avatar=0.97; pressure=0.18; household allows warmer greeting,gain=0.000; grounding=0.956; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:233:f7919afb8d
234,7,Rainloft,Quietledger,Rainloft->Quietledger: sova-a adoption 1.00->1.00,sova-a-circle; ritual=1.00; clause=invite without pressure,avatar=0.88; pressure=0.31; household allows warmer greeting,gain=0.000; grounding=0.955; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:234:5b9594e643
235,7,Hearthnest,Rainloft,Hearthnest->Rainloft: lum-a adoption 1.00->1.00,lum-a-circle; ritual=1.00; clause=invite without pressure,avatar=0.95; pressure=0.21; household allows warmer greeting,gain=0.000; grounding=0.955; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:235:aca526cc9b
236,7,Routehall,Hearthnest,Routehall->Hearthnest: tek-a adoption 1.00->1.00,tek-a-circle; ritual=1.00; clause=invite without pressure,avatar=0.94; pressure=0.24; household allows warmer greeting,gain=0.000; grounding=0.955; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:236:53665cb83b
237,7,Marketroof,Routehall,Marketroof->Routehall: melo-a adoption 1.00->1.00,melo-a-circle; ritual=1.00; clause=invite without pressure,avatar=0.69; pressure=0.38; household allows warmer greeting,gain=0.000; grounding=0.955; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:237:c412f2a36a
238,7,Quietledger,Marketroof,Quietledger->Marketroof: nari-a adoption 1.00->1.00,nari-a-circle; ritual=1.00; clause=invite without pressure,avatar=0.99; pressure=0.17; household allows warmer greeting,gain=0.000; grounding=0.955; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:238:b25cc4497d
239,7,Orchardring,Quietledger,Orchardring->Quietledger: tek-a adoption 1.00->1.00,tek-a-circle; ritual=1.00; clause=invite without pressure,avatar=0.90; pressure=0.30; household allows warmer greeting,gain=0.000; grounding=0.955; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:239:30a6156edb
240,7,Rainloft,Orchardring,Rainloft->Orchardring: sova-a adoption 0.99->1.00,sova-a-circle; ritual=1.00; clause=invite without pressure,avatar=0.80; pressure=0.35; household allows warmer greeting,gain=0.007; grounding=0.955; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:240:72f036c8af
241,7,Hearthnest,Routehall,Hearthnest->Routehall: lum-a adoption 1.00->1.00,lum-a-circle; ritual=1.00; clause=invite without pressure,avatar=0.70; pressure=0.37; household allows warmer greeting,gain=0.000; grounding=0.955; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:241:320ef470cc
242,7,Routehall,Marketroof,Routehall->Marketroof: tek-a adoption 1.00->1.00,tek-a-circle; ritual=1.00; clause=invite without pressure,avatar=1.00; pressure=0.16; household allows warmer greeting,gain=0.000; grounding=0.955; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:242:74067395a2
243,7,Marketroof,Quietledger,Marketroof->Quietledger: melo-a adoption 1.00->1.00,melo-a-circle; ritual=1.00; clause=invite without pressure,avatar=0.92; pressure=0.28; household allows warmer greeting,gain=0.000; grounding=0.955; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:243:ba5dd896ec
244,7,Quietledger,Orchardring,Quietledger->Orchardring: nari-a adoption 1.00->1.00,nari-a-circle; ritual=1.00; clause=invite without pressure,avatar=0.82; pressure=0.34; household allows warmer greeting,gain=0.000; grounding=0.955; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:244:4f3295c87d
245,7,Orchardring,Rainloft,Orchardring->Rainloft: melo-a adoption 1.00->1.00,melo-a-circle; ritual=1.00; clause=invite without pressure,avatar=0.97; pressure=0.20; household allows warmer greeting,gain=0.000; grounding=0.955; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:245:377afe2487
246,7,Rainloft,Hearthnest,Rainloft->Hearthnest: sova-a adoption 1.00->1.00,sova-a-circle; ritual=1.00; clause=invite without pressure,avatar=0.96; pressure=0.23; household allows warmer greeting,gain=0.000; grounding=0.955; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:246:a83d63345b
247,7,Hearthnest,Routehall,Hearthnest->Routehall: ori-a adoption 0.95->1.00,ori-a-circle; ritual=1.00; clause=invite without pressure,avatar=0.71; pressure=0.35; household allows warmer greeting,gain=0.050; grounding=0.955; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:247:f7a686b73d
248,7,Routehall,Marketroof,Routehall->Marketroof: tek-a adoption 1.00->1.00,tek-a-circle; ritual=1.00; clause=invite without pressure,avatar=1.00; pressure=0.15; household allows warmer greeting,gain=0.000; grounding=0.955; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:248:a9bca066cc
249,7,Marketroof,Quietledger,Marketroof->Quietledger: melo-a adoption 1.00->1.00,melo-a-circle; ritual=1.00; clause=invite without pressure,avatar=0.94; pressure=0.27; household allows warmer greeting,gain=0.000; grounding=0.955; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:249:5f9dc6779c
250,7,Quietledger,Orchardring,Quietledger->Orchardring: nari-a adoption 1.00->1.00,nari-a-circle; ritual=1.00; clause=invite without pressure,avatar=0.84; pressure=0.33; household allows warmer greeting,gain=0.000; grounding=0.955; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:250:c906ba54e0
251,7,Orchardring,Rainloft,Orchardring->Rainloft: lum-a adoption 1.00->1.00,lum-a-circle; ritual=1.00; clause=invite without pressure,avatar=0.99; pressure=0.19; household allows warmer greeting,gain=0.000; grounding=0.955; spread_reason=ritual and care spread,welfare-carried,r245-week07-event251,r245:251:cedef4ed2b
252,7,Rainloft,Hearthnest,Rainloft->Hearthnest: sova-a adoption 1.00->1.00,sova-a-circle; ritual=1.00; clause=invite without pressure,avatar=0.98; pressure=0.22; household allows warmer greeting,gain=0.000; grounding=0.955; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:252:b9741978e8
253,8,Hearthnest,Quietledger,Hearthnest->Quietledger: vonn-v adoption 1.00->1.00,vonn-v-circle; ritual=1.00; clause=pause if sleep debt or boundary warning appears,avatar=0.92; pressure=0.31; household asks for boundary proof before cooperation,gain=0.000; grounding=1.000; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:253:ba427c915a
254,8,Routehall,Orchardring,Routehall->Orchardring: nari-na adoption 1.00->1.00,nari-na-circle; ritual=1.00; clause=pause if sleep debt or boundary warning appears,avatar=0.81; pressure=0.37; household asks for boundary proof before cooperation,gain=0.000; grounding=0.995; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:254:6563ba4e6e
255,8,Marketroof,Rainloft,Marketroof->Rainloft: melo-ri adoption 1.00->1.00,melo-ri-circle; ritual=1.00; clause=invite without pressure,avatar=1.00; pressure=0.17; household allows warmer greeting,gain=0.000; grounding=0.953; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:255:aa46911a26
256,8,Quietledger,Hearthnest,Quietledger->Hearthnest: sova-so adoption 1.00->1.00,sova-so-circle; ritual=1.00; clause=pause if sleep debt or boundary warning appears,avatar=0.98; pressure=0.22; household keeps ordinary distance,gain=0.000; grounding=1.000; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:256:002a6b1671
257,8,Orchardring,Routehall,Orchardring->Routehall: vonn-v adoption 1.00->1.00,vonn-v-circle; ritual=1.00; clause=pause if sleep debt or boundary warning appears,avatar=0.68; pressure=0.39; household asks for boundary proof before cooperation,gain=0.000; grounding=1.000; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:257:2fa39c628b
258,8,Rainloft,Marketroof,Rainloft->Marketroof: nari-na adoption 1.00->1.00,nari-na-circle; ritual=1.00; clause=pause if sleep debt or boundary warning appears,avatar=0.98; pressure=0.19; household keeps ordinary distance,gain=0.000; grounding=0.995; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:258:69f22c01c0
259,8,Hearthnest,Orchardring,Hearthnest->Orchardring: sova-so adoption 1.00->1.00,sova-so-circle; ritual=1.00; clause=pause if sleep debt or boundary warning appears,avatar=0.80; pressure=0.38; household keeps ordinary distance,gain=0.000; grounding=1.000; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:259:945db837df
260,8,Routehall,Rainloft,Routehall->Rainloft: keth-v adoption 0.51->0.61,keth-v-circle; ritual=1.00; clause=pause if sleep debt or boundary warning appears,avatar=0.98; pressure=0.22; household keeps ordinary distance,gain=0.099; grounding=1.000; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:260:dc80d7beeb
