tick,day,resident,posture,gaze,gesture,facing,proximity_before,proximity_after,trust_before,trust_after,gesture_visible,body_state_public,private_workspace_not_leaked
1886,105,Nia,alert half-turn,down at hands,steps aside,avatar,2.4,2.19,0.476192,0.482192,True,steady,True
1887,105,Ari,open stance,toward avatar,small wave,side-on boundary,2.373,2.553,0.350944,0.336944,True,steady,True
1888,105,Fay,focused crouch,toward tool,palm stop,avatar,2.345,2.135,0.374244,0.392244,True,tired,True
1889,105,Milo,alert half-turn,away then back,points to shelf,avatar,2.318,2.108,0.392994,0.398994,True,tired,True
1890,106,Sera,open stance,toward exit,touches chest,side-on boundary,2.29,2.47,0.426146,0.412146,True,wet,True
1891,106,Tovan,focused crouch,down at hands,offers handle,avatar,2.262,2.052,0.467653,0.473653,True,steady,True
1892,106,Nia,alert half-turn,toward avatar,steps aside,side-on boundary,2.234,2.414,0.487377,0.473377,True,steady,True
1893,106,Ari,open stance,toward tool,small wave,avatar,2.207,1.997,0.36291,0.38091,True,steady,True
1894,106,Fay,focused crouch,away then back,palm stop,avatar,2.179,1.969,0.374203,0.380203,True,wet,True
1895,106,Milo,alert half-turn,toward bystander,points to shelf,avatar,2.151,1.941,0.412787,0.418787,True,steady,True
1896,106,Sera,open stance,toward exit,touches chest,avatar,2.123,1.913,0.431157,0.449157,True,wet,True
1897,106,Tovan,focused crouch,down at hands,offers handle,side-on boundary,2.095,2.275,0.473621,0.459621,True,steady,True
1898,106,Nia,alert half-turn,toward avatar,steps aside,avatar,2.068,1.858,0.51826,0.52426,True,steady,True
1899,106,Ari,open stance,toward tool,small wave,side-on boundary,2.04,2.22,0.362482,0.348482,True,steady,True
1900,106,Fay,focused crouch,away then back,palm stop,avatar,2.013,1.803,0.372283,0.390283,True,wet,True
1901,106,Milo,alert half-turn,toward bystander,points to shelf,avatar,1.985,1.775,0.410713,0.416713,True,steady,True
1902,106,Sera,open stance,toward exit,touches chest,avatar,1.958,1.748,0.438632,0.444632,True,wet,True
1903,106,Tovan,focused crouch,down at hands,offers handle,avatar,1.932,1.722,0.48407,0.50207,True,steady,True
1904,106,Nia,alert half-turn,toward avatar,steps aside,side-on boundary,1.905,2.085,0.519434,0.505434,True,steady,True
1905,106,Ari,open stance,toward tool,small wave,avatar,1.879,1.669,0.385011,0.391011,True,steady,True
1906,106,Fay,focused crouch,away then back,palm stop,side-on boundary,1.853,2.033,0.391058,0.377058,True,tired,True
1907,106,Milo,alert half-turn,toward bystander,points to shelf,avatar,1.827,1.617,0.406439,0.424439,True,tired,True
1908,107,Sera,open stance,down at hands,touches chest,avatar,1.802,1.592,0.463338,0.481338,True,steady,True
1909,107,Tovan,focused crouch,toward avatar,offers handle,side-on boundary,1.777,1.957,0.489504,0.475504,True,steady,True
1910,107,Nia,alert half-turn,toward tool,steps aside,avatar,1.753,1.543,0.539965,0.545965,True,steady,True
1911,107,Ari,open stance,away then back,small wave,side-on boundary,1.729,1.909,0.406011,0.392011,True,wet,True
1912,107,Fay,focused crouch,toward bystander,palm stop,avatar,1.705,1.495,0.425325,0.443325,True,steady,True
1913,107,Milo,alert half-turn,toward exit,points to shelf,avatar,1.682,1.472,0.431653,0.437653,True,wet,True
1914,107,Sera,open stance,down at hands,touches chest,avatar,1.66,1.45,0.468121,0.474121,True,steady,True
1915,107,Tovan,focused crouch,toward avatar,offers handle,avatar,1.638,1.428,0.483835,0.501835,True,steady,True
1916,107,Nia,alert half-turn,toward tool,steps aside,side-on boundary,1.616,1.796,0.55295,0.53895,True,steady,True
1917,107,Ari,open stance,away then back,small wave,avatar,1.595,1.385,0.405449,0.411449,True,wet,True
1918,107,Fay,focused crouch,toward bystander,palm stop,side-on boundary,1.575,1.755,0.413338,0.399338,True,steady,True
1919,107,Milo,alert half-turn,toward exit,points to shelf,avatar,1.555,1.345,0.430399,0.448399,True,wet,True
1920,107,Sera,open stance,down at hands,touches chest,avatar,1.536,1.326,0.457391,0.463391,True,steady,True
1921,107,Tovan,focused crouch,toward avatar,offers handle,avatar,1.518,1.308,0.496962,0.502962,True,steady,True
1922,107,Nia,alert half-turn,toward tool,steps aside,avatar,1.5,1.29,0.524856,0.542856,True,steady,True
1923,107,Ari,open stance,away then back,small wave,side-on boundary,1.482,1.662,0.380066,0.366066,True,wet,True
1924,107,Fay,focused crouch,toward bystander,palm stop,avatar,1.466,1.256,0.418851,0.424851,True,steady,True
1925,107,Milo,alert half-turn,toward exit,points to shelf,side-on boundary,1.45,1.63,0.440679,0.426679,True,tired,True
1926,108,Sera,open stance,toward avatar,touches chest,avatar,1.435,1.225,0.512382,0.518382,True,steady,True
1927,108,Tovan,focused crouch,toward tool,offers handle,avatar,1.421,1.211,0.541758,0.559758,True,steady,True
1928,108,Nia,alert half-turn,away then back,steps aside,side-on boundary,1.407,1.587,0.549227,0.535227,True,wet,True
1929,108,Ari,open stance,toward bystander,small wave,avatar,1.394,1.184,0.429734,0.435734,True,steady,True
1930,108,Fay,focused crouch,toward exit,palm stop,side-on boundary,1.382,1.562,0.43037,0.41637,True,wet,True
1931,108,Milo,alert half-turn,down at hands,points to shelf,avatar,1.371,1.161,0.461565,0.479565,True,steady,True
1932,108,Sera,open stance,toward avatar,touches chest,avatar,1.361,1.151,0.519319,0.525319,True,steady,True
1933,108,Tovan,focused crouch,toward tool,offers handle,avatar,1.351,1.141,0.529799,0.535799,True,steady,True
1934,108,Nia,alert half-turn,away then back,steps aside,avatar,1.342,1.132,0.570403,0.588403,True,wet,True
1935,108,Ari,open stance,toward bystander,small wave,side-on boundary,1.334,1.514,0.431337,0.417337,True,steady,True
1936,108,Fay,focused crouch,toward exit,palm stop,avatar,1.327,1.117,0.436049,0.442049,True,wet,True
1937,108,Milo,alert half-turn,down at hands,points to shelf,side-on boundary,1.321,1.501,0.487748,0.473748,True,steady,True
1938,108,Sera,open stance,toward avatar,touches chest,avatar,1.315,1.105,0.523677,0.541677,True,steady,True
1939,108,Tovan,focused crouch,toward tool,offers handle,avatar,1.31,1.1,0.52187,0.52787,True,steady,True
1940,108,Nia,alert half-turn,away then back,steps aside,avatar,1.307,1.097,0.54586,0.55186,True,wet,True
1941,108,Ari,open stance,toward bystander,small wave,avatar,1.304,1.094,0.397549,0.415549,True,steady,True
1942,108,Fay,focused crouch,toward exit,palm stop,side-on boundary,1.302,1.482,0.445642,0.431642,True,wet,True
1943,108,Milo,alert half-turn,down at hands,points to shelf,avatar,1.3,1.09,0.464211,0.470211,True,tired,True
1944,109,Sera,open stance,toward tool,touches chest,avatar,1.3,1.09,0.552115,0.558115,True,steady,True
1945,109,Tovan,focused crouch,away then back,offers handle,avatar,1.301,1.091,0.546846,0.552846,True,wet,True
1946,109,Nia,alert half-turn,toward bystander,steps aside,avatar,1.302,1.092,0.591145,0.609145,True,steady,True
1947,109,Ari,open stance,toward exit,small wave,side-on boundary,1.304,1.484,0.442123,0.428123,True,wet,True
1948,109,Fay,focused crouch,down at hands,palm stop,avatar,1.307,1.097,0.471314,0.477314,True,steady,True
1949,109,Milo,alert half-turn,toward avatar,points to shelf,side-on boundary,1.311,1.491,0.495512,0.481512,True,steady,True
1950,109,Sera,open stance,toward tool,touches chest,avatar,1.316,1.106,0.540562,0.558562,True,steady,True
1951,109,Tovan,focused crouch,away then back,offers handle,avatar,1.322,1.112,0.575882,0.581882,True,wet,True
1952,109,Nia,alert half-turn,toward bystander,steps aside,avatar,1.328,1.118,0.61005,0.61605,True,steady,True
1953,109,Ari,open stance,toward exit,small wave,avatar,1.336,1.126,0.460334,0.478334,True,wet,True
1954,109,Fay,focused crouch,down at hands,palm stop,side-on boundary,1.344,1.524,0.490669,0.476669,True,steady,True
1955,109,Milo,alert half-turn,toward avatar,points to shelf,avatar,1.353,1.143,0.499222,0.505222,True,steady,True
1956,109,Sera,open stance,toward tool,touches chest,side-on boundary,1.363,1.543,0.532067,0.518067,True,steady,True
1957,109,Tovan,focused crouch,away then back,offers handle,avatar,1.373,1.163,0.572651,0.590651,True,wet,True
1958,109,Nia,alert half-turn,toward bystander,steps aside,avatar,1.385,1.175,0.573185,0.579185,True,steady,True
1959,109,Ari,open stance,toward exit,small wave,avatar,1.397,1.187,0.455671,0.461671,True,wet,True
1960,109,Fay,focused crouch,down at hands,palm stop,avatar,1.41,1.2,0.462249,0.480249,True,steady,True
1961,109,Milo,alert half-turn,toward avatar,points to shelf,side-on boundary,1.423,1.603,0.510466,0.496466,True,tired,True
1962,110,Sera,open stance,away then back,touches chest,avatar,1.438,1.228,0.568606,0.586606,True,wet,True
1963,110,Tovan,focused crouch,toward bystander,offers handle,avatar,1.453,1.243,0.589823,0.595823,True,steady,True
1964,110,Nia,alert half-turn,toward exit,steps aside,avatar,1.469,1.259,0.626593,0.632593,True,wet,True
1965,110,Ari,open stance,down at hands,small wave,avatar,1.486,1.276,0.474521,0.492521,True,steady,True
1966,110,Fay,focused crouch,toward avatar,palm stop,side-on boundary,1.503,1.683,0.495941,0.481941,True,steady,True
1967,110,Milo,alert half-turn,toward tool,points to shelf,avatar,1.521,1.311,0.543799,0.549799,True,steady,True
1968,110,Sera,open stance,away then back,touches chest,side-on boundary,1.54,1.72,0.577354,0.563354,True,wet,True
1969,110,Tovan,focused crouch,toward bystander,offers handle,avatar,1.559,1.349,0.607193,0.625193,True,steady,True
1970,110,Nia,alert half-turn,toward exit,steps aside,avatar,1.579,1.369,0.617114,0.623114,True,wet,True
1971,110,Ari,open stance,down at hands,small wave,avatar,1.599,1.389,0.455191,0.461191,True,steady,True
1972,110,Fay,focused crouch,toward avatar,palm stop,avatar,1.62,1.41,0.513797,0.531797,True,steady,True
1973,110,Milo,alert half-turn,toward tool,points to shelf,side-on boundary,1.642,1.822,0.549756,0.535756,True,steady,True
1974,110,Sera,open stance,away then back,touches chest,avatar,1.664,1.454,0.555693,0.561693,True,wet,True
1975,110,Tovan,focused crouch,toward bystander,offers handle,side-on boundary,1.687,1.867,0.60979,0.59579,True,steady,True
1976,110,Nia,alert half-turn,toward exit,steps aside,avatar,1.71,1.5,0.603175,0.621175,True,wet,True
1977,110,Ari,open stance,down at hands,small wave,avatar,1.734,1.524,0.483061,0.489061,True,steady,True
1978,110,Fay,focused crouch,toward avatar,palm stop,avatar,1.758,1.548,0.495441,0.501441,True,steady,True
1979,110,Milo,alert half-turn,toward tool,points to shelf,avatar,1.782,1.572,0.542217,0.560217,True,tired,True
1980,111,Sera,open stance,toward bystander,touches chest,side-on boundary,1.807,1.987,0.598188,0.584188,True,steady,True
1981,111,Tovan,focused crouch,toward exit,offers handle,avatar,1.832,1.622,0.598748,0.616748,True,steady,True
1982,111,Nia,alert half-turn,down at hands,steps aside,avatar,1.858,1.648,0.639691,0.645691,True,steady,True
1983,111,Ari,open stance,toward avatar,small wave,avatar,1.884,1.674,0.493011,0.499011,True,steady,True
1984,111,Fay,focused crouch,toward tool,palm stop,avatar,1.91,1.7,0.543362,0.561362,True,steady,True
1985,111,Milo,alert half-turn,away then back,points to shelf,side-on boundary,1.937,2.117,0.581224,0.567224,True,steady,True
1986,111,Sera,open stance,toward bystander,touches chest,avatar,1.964,1.754,0.571874,0.577874,True,steady,True
1987,111,Tovan,focused crouch,toward exit,offers handle,side-on boundary,1.991,2.171,0.622562,0.608562,True,steady,True
1988,111,Nia,alert half-turn,down at hands,steps aside,avatar,2.018,1.808,0.649533,0.667533,True,steady,True
1989,111,Ari,open stance,toward avatar,small wave,avatar,2.045,1.835,0.503661,0.509661,True,steady,True
1990,111,Fay,focused crouch,toward tool,palm stop,avatar,2.073,1.863,0.543991,0.549991,True,steady,True
1991,111,Milo,alert half-turn,away then back,points to shelf,avatar,2.1,1.89,0.565748,0.583748,True,steady,True
1992,111,Sera,open stance,toward bystander,touches chest,side-on boundary,2.128,2.308,0.595985,0.581985,True,steady,True
1993,111,Tovan,focused crouch,toward exit,offers handle,avatar,2.156,1.946,0.615372,0.621372,True,steady,True
1994,111,Nia,alert half-turn,down at hands,steps aside,side-on boundary,2.184,2.364,0.637225,0.623225,True,steady,True
1995,111,Ari,open stance,toward avatar,small wave,avatar,2.212,2.002,0.49041,0.50841,True,steady,True
1996,111,Fay,focused crouch,toward tool,palm stop,avatar,2.24,2.03,0.540904,0.546904,True,steady,True
1997,111,Milo,alert half-turn,away then back,points to shelf,avatar,2.268,2.058,0.572067,0.578067,True,steady,True
1998,112,Sera,open stance,toward exit,touches chest,avatar,2.295,2.085,0.602839,0.608839,True,steady,True
1999,112,Tovan,focused crouch,down at hands,offers handle,side-on boundary,2.323,2.503,0.64906,0.63506,True,steady,True
2000,112,Nia,alert half-turn,toward avatar,steps aside,avatar,2.351,2.141,0.639798,0.657798,True,steady,True
2001,112,Ari,open stance,toward tool,small wave,avatar,2.378,2.168,0.531552,0.537552,True,steady,True
2002,112,Fay,focused crouch,away then back,palm stop,avatar,2.405,2.195,0.563695,0.569695,True,steady,True
2003,112,Milo,alert half-turn,toward bystander,points to shelf,avatar,2.432,2.222,0.577232,0.595232,True,steady,True
2004,112,Sera,open stance,toward exit,touches chest,side-on boundary,2.459,2.639,0.596049,0.582049,True,steady,True
2005,112,Tovan,focused crouch,down at hands,offers handle,avatar,2.486,2.276,0.62094,0.62694,True,steady,True
2006,112,Nia,alert half-turn,toward avatar,steps aside,side-on boundary,2.512,2.692,0.663135,0.649135,True,steady,True
2007,112,Ari,open stance,toward tool,small wave,avatar,2.538,2.328,0.543733,0.561733,True,steady,True
2008,112,Fay,focused crouch,away then back,palm stop,avatar,2.564,2.354,0.577514,0.583514,True,steady,True
2009,112,Milo,alert half-turn,toward bystander,points to shelf,avatar,2.589,2.379,0.571808,0.577808,True,steady,True
2010,112,Sera,open stance,toward exit,touches chest,avatar,2.614,2.404,0.631265,0.649265,True,steady,True
2011,112,Tovan,focused crouch,down at hands,offers handle,side-on boundary,2.639,2.819,0.654651,0.640651,True,steady,True
2012,112,Nia,alert half-turn,toward avatar,steps aside,avatar,2.663,2.453,0.63529,0.64129,True,steady,True
2013,112,Ari,open stance,toward tool,small wave,side-on boundary,2.687,2.867,0.550905,0.536905,True,steady,True
2014,112,Fay,focused crouch,away then back,palm stop,avatar,2.71,2.5,0.565217,0.583217,True,wet,True
2015,112,Milo,alert half-turn,toward bystander,points to shelf,avatar,2.733,2.523,0.605237,0.611237,True,steady,True
2016,113,Sera,open stance,down at hands,touches chest,side-on boundary,2.755,2.935,0.657177,0.643177,True,steady,True
2017,113,Tovan,focused crouch,toward avatar,offers handle,avatar,2.776,2.566,0.647676,0.653676,True,steady,True
2018,113,Nia,alert half-turn,toward tool,steps aside,side-on boundary,2.798,2.978,0.649992,0.635992,True,steady,True
2019,113,Ari,open stance,away then back,small wave,avatar,2.818,2.608,0.559843,0.577843,True,wet,True
2020,113,Fay,focused crouch,toward bystander,palm stop,avatar,2.838,2.628,0.589268,0.595268,True,steady,True
2021,113,Milo,alert half-turn,toward exit,points to shelf,avatar,2.858,2.648,0.597202,0.603202,True,wet,True
2022,113,Sera,open stance,down at hands,touches chest,avatar,2.876,2.666,0.657386,0.675386,True,steady,True
2023,113,Tovan,focused crouch,toward avatar,offers handle,side-on boundary,2.894,3.074,0.644497,0.630497,True,steady,True
2024,113,Nia,alert half-turn,toward tool,steps aside,avatar,2.912,2.702,0.686203,0.692203,True,steady,True
2025,113,Ari,open stance,away then back,small wave,side-on boundary,2.928,3.108,0.579178,0.565178,True,wet,True
2026,113,Fay,focused crouch,toward bystander,palm stop,avatar,2.945,2.735,0.599922,0.617922,True,steady,True
2027,113,Milo,alert half-turn,toward exit,points to shelf,avatar,2.96,2.75,0.624541,0.630541,True,wet,True
2028,113,Sera,open stance,down at hands,touches chest,avatar,2.974,2.764,0.650919,0.656919,True,steady,True
2029,113,Tovan,focused crouch,toward avatar,offers handle,avatar,2.988,2.778,0.638339,0.656339,True,steady,True
2030,113,Nia,alert half-turn,toward tool,steps aside,side-on boundary,3.001,3.181,0.656371,0.642371,True,steady,True
2031,113,Ari,open stance,away then back,small wave,avatar,3.014,2.804,0.567597,0.573597,True,wet,True
2032,113,Fay,focused crouch,toward bystander,palm stop,side-on boundary,3.025,3.205,0.598611,0.584611,True,steady,True
2033,113,Milo,alert half-turn,toward exit,points to shelf,avatar,3.036,2.826,0.60697,0.62497,True,wet,True
2034,114,Sera,open stance,toward avatar,touches chest,avatar,3.046,2.836,0.642871,0.660871,True,steady,True
2035,114,Tovan,focused crouch,toward tool,offers handle,side-on boundary,3.055,3.235,0.661392,0.647392,True,steady,True
2036,114,Nia,alert half-turn,away then back,steps aside,avatar,3.063,2.853,0.684491,0.690491,True,wet,True
2037,114,Ari,open stance,toward bystander,small wave,side-on boundary,3.071,3.251,0.580549,0.566549,True,steady,True
2038,114,Fay,focused crouch,toward exit,palm stop,avatar,3.077,2.867,0.604954,0.622954,True,wet,True
2039,114,Milo,alert half-turn,down at hands,points to shelf,avatar,3.083,2.873,0.650506,0.656506,True,steady,True
2040,114,Sera,open stance,toward avatar,touches chest,avatar,3.088,2.878,0.660649,0.666649,True,steady,True
2041,114,Tovan,focused crouch,toward tool,offers handle,avatar,3.092,2.882,0.655161,0.673161,True,steady,True
2042,114,Nia,alert half-turn,away then back,steps aside,side-on boundary,3.095,3.275,0.662149,0.648149,True,wet,True
2043,114,Ari,open stance,toward bystander,small wave,avatar,3.098,2.888,0.574614,0.580614,True,steady,True
2044,114,Fay,focused crouch,toward exit,palm stop,side-on boundary,3.099,3.279,0.606234,0.592234,True,wet,True
2045,114,Milo,alert half-turn,down at hands,points to shelf,avatar,3.1,2.89,0.642752,0.660752,True,steady,True
2046,114,Sera,open stance,toward avatar,touches chest,avatar,3.1,2.89,0.656095,0.662095,True,steady,True
2047,114,Tovan,focused crouch,toward tool,offers handle,avatar,3.099,2.889,0.686461,0.692461,True,steady,True
2048,114,Nia,alert half-turn,away then back,steps aside,avatar,3.097,2.887,0.690123,0.708123,True,wet,True
2049,114,Ari,open stance,toward bystander,small wave,side-on boundary,3.094,3.274,0.593311,0.579311,True,steady,True
2050,114,Fay,focused crouch,toward exit,palm stop,avatar,3.09,2.88,0.602563,0.608563,True,wet,True
2051,114,Milo,alert half-turn,down at hands,points to shelf,side-on boundary,3.086,3.266,0.620583,0.606583,True,steady,True
2052,115,Sera,open stance,toward tool,touches chest,avatar,3.08,2.87,0.681348,0.687348,True,steady,True
2053,115,Tovan,focused crouch,away then back,offers handle,avatar,3.074,2.864,0.667627,0.685627,True,wet,True
2054,115,Nia,alert half-turn,toward bystander,steps aside,side-on boundary,3.067,3.247,0.698487,0.684487,True,steady,True
2055,115,Ari,open stance,toward exit,small wave,avatar,3.059,2.849,0.621895,0.627895,True,wet,True
2056,115,Fay,focused crouch,down at hands,palm stop,side-on boundary,3.05,3.23,0.65242,0.63842,True,steady,True
2057,115,Milo,alert half-turn,toward avatar,points to shelf,avatar,3.041,2.831,0.651169,0.669169,True,steady,True
2058,115,Sera,open stance,toward tool,touches chest,avatar,3.031,2.821,0.664136,0.670136,True,steady,True
2059,115,Tovan,focused crouch,away then back,offers handle,avatar,3.019,2.809,0.664151,0.670151,True,wet,True
2060,115,Nia,alert half-turn,toward bystander,steps aside,avatar,3.008,2.798,0.68187,0.69987,True,steady,True
2061,115,Ari,open stance,toward exit,small wave,side-on boundary,2.995,3.175,0.62279,0.60879,True,wet,True
2062,115,Fay,focused crouch,down at hands,palm stop,avatar,2.981,2.771,0.647543,0.653543,True,steady,True
2063,115,Milo,alert half-turn,toward avatar,points to shelf,side-on boundary,2.967,3.147,0.635592,0.621592,True,steady,True
2064,115,Sera,open stance,toward tool,touches chest,avatar,2.952,2.742,0.679248,0.697248,True,steady,True
2065,115,Tovan,focused crouch,away then back,offers handle,avatar,2.936,2.726,0.677999,0.683999,True,wet,True
2066,115,Nia,alert half-turn,toward bystander,steps aside,avatar,2.92,2.71,0.673708,0.679708,True,steady,True
2067,115,Ari,open stance,toward exit,small wave,avatar,2.903,2.693,0.624865,0.642865,True,wet,True
2068,115,Fay,focused crouch,down at hands,palm stop,side-on boundary,2.885,3.065,0.623712,0.609712,True,steady,True
2069,115,Milo,alert half-turn,toward avatar,points to shelf,avatar,2.867,2.657,0.648938,0.654938,True,steady,True
2070,116,Sera,open stance,away then back,touches chest,avatar,2.848,2.638,0.681026,0.687026,True,wet,True
2071,116,Tovan,focused crouch,toward bystander,offers handle,avatar,2.828,2.618,0.686715,0.692715,True,steady,True
2072,116,Nia,alert half-turn,toward exit,steps aside,avatar,2.808,2.598,0.664363,0.682363,True,wet,True
2073,116,Ari,open stance,down at hands,small wave,side-on boundary,2.787,2.967,0.6458,0.6318,True,steady,True
2074,116,Fay,focused crouch,toward avatar,palm stop,avatar,2.766,2.556,0.673493,0.679493,True,steady,True
2075,116,Milo,alert half-turn,toward tool,points to shelf,side-on boundary,2.744,2.924,0.668312,0.654312,True,steady,True
2076,116,Sera,open stance,away then back,touches chest,avatar,2.721,2.511,0.680592,0.698592,True,wet,True
2077,116,Tovan,focused crouch,toward bystander,offers handle,avatar,2.698,2.488,0.699583,0.705583,True,steady,True
2078,116,Nia,alert half-turn,toward exit,steps aside,avatar,2.675,2.465,0.683382,0.689382,True,wet,True
2079,116,Ari,open stance,down at hands,small wave,avatar,2.651,2.441,0.655736,0.673736,True,steady,True
2080,116,Fay,focused crouch,toward avatar,palm stop,side-on boundary,2.626,2.806,0.642684,0.628684,True,steady,True
2081,116,Milo,alert half-turn,toward tool,points to shelf,avatar,2.602,2.392,0.655774,0.661774,True,steady,True
2082,116,Sera,open stance,away then back,touches chest,side-on boundary,2.576,2.756,0.692964,0.678964,True,wet,True
2083,116,Tovan,focused crouch,toward bystander,offers handle,avatar,2.551,2.341,0.696511,0.714511,True,steady,True
2084,116,Nia,alert half-turn,toward exit,steps aside,avatar,2.525,2.315,0.667323,0.673323,True,wet,True
2085,116,Ari,open stance,down at hands,small wave,avatar,2.499,2.289,0.628543,0.634543,True,steady,True
2086,116,Fay,focused crouch,toward avatar,palm stop,avatar,2.472,2.262,0.639828,0.657828,True,steady,True
2087,116,Milo,alert half-turn,toward tool,points to shelf,side-on boundary,2.446,2.626,0.677116,0.663116,True,steady,True
2088,117,Sera,open stance,toward bystander,touches chest,avatar,2.419,2.209,0.674751,0.692751,True,steady,True
2089,117,Tovan,focused crouch,toward exit,offers handle,avatar,2.392,2.182,0.668388,0.674388,True,wet,True
2090,117,Nia,alert half-turn,down at hands,steps aside,avatar,2.364,2.154,0.65569,0.66169,True,steady,True
2091,117,Ari,open stance,toward avatar,small wave,avatar,2.337,2.127,0.63839,0.65639,True,steady,True
2092,117,Fay,focused crouch,toward tool,palm stop,side-on boundary,2.309,2.489,0.659084,0.645084,True,steady,True
2093,117,Milo,alert half-turn,away then back,points to shelf,avatar,2.281,2.071,0.662983,0.668983,True,wet,True
2094,117,Sera,open stance,toward bystander,touches chest,side-on boundary,2.253,2.433,0.688915,0.674915,True,steady,True
2095,117,Tovan,focused crouch,toward exit,offers handle,avatar,2.226,2.016,0.668397,0.686397,True,wet,True
2096,117,Nia,alert half-turn,down at hands,steps aside,avatar,2.198,1.988,0.666226,0.672226,True,steady,True
2097,117,Ari,open stance,toward avatar,small wave,avatar,2.17,1.96,0.635319,0.641319,True,steady,True
2098,117,Fay,focused crouch,toward tool,palm stop,avatar,2.142,1.932,0.671929,0.689929,True,steady,True
2099,117,Milo,alert half-turn,away then back,points to shelf,side-on boundary,2.114,2.294,0.694839,0.680839,True,wet,True
2100,117,Sera,open stance,toward bystander,touches chest,avatar,2.086,1.876,0.67083,0.67683,True,steady,True
2101,117,Tovan,focused crouch,toward exit,offers handle,side-on boundary,2.059,2.239,0.694061,0.680061,True,wet,True
2102,117,Nia,alert half-turn,down at hands,steps aside,avatar,2.031,1.821,0.681676,0.699676,True,steady,True
2103,117,Ari,open stance,toward avatar,small wave,avatar,2.004,1.794,0.658204,0.664204,True,steady,True
2104,117,Fay,focused crouch,toward tool,palm stop,avatar,1.977,1.767,0.655442,0.661442,True,steady,True
2105,117,Milo,alert half-turn,away then back,points to shelf,avatar,1.95,1.74,0.672825,0.690825,True,wet,True
2106,118,Sera,open stance,toward exit,touches chest,side-on boundary,1.923,2.103,0.695123,0.681123,True,wet,True
2107,118,Tovan,focused crouch,down at hands,offers handle,avatar,1.897,1.687,0.684423,0.702423,True,steady,True
2108,118,Nia,alert half-turn,toward avatar,steps aside,avatar,1.871,1.661,0.655106,0.661106,True,steady,True
2109,118,Ari,open stance,toward tool,small wave,avatar,1.845,1.635,0.671598,0.677598,True,steady,True
2110,118,Fay,focused crouch,away then back,palm stop,avatar,1.819,1.609,0.693314,0.711314,True,wet,True
2111,118,Milo,alert half-turn,toward bystander,points to shelf,side-on boundary,1.794,1.974,0.696378,0.682378,True,steady,True
2112,118,Sera,open stance,toward exit,touches chest,avatar,1.77,1.56,0.685251,0.691251,True,wet,True
2113,118,Tovan,focused crouch,down at hands,offers handle,side-on boundary,1.745,1.925,0.661381,0.647381,True,steady,True
2114,118,Nia,alert half-turn,toward avatar,steps aside,avatar,1.722,1.512,0.671155,0.689155,True,steady,True
2115,118,Ari,open stance,toward tool,small wave,avatar,1.698,1.488,0.663343,0.669343,True,steady,True
2116,118,Fay,focused crouch,away then back,palm stop,avatar,1.675,1.465,0.693331,0.699331,True,wet,True
2117,118,Milo,alert half-turn,toward bystander,points to shelf,avatar,1.653,1.443,0.661115,0.679115,True,steady,True
2118,118,Sera,open stance,toward exit,touches chest,side-on boundary,1.631,1.811,0.659023,0.645023,True,wet,True
2119,118,Tovan,focused crouch,down at hands,offers handle,avatar,1.61,1.4,0.652032,0.658032,True,steady,True
2120,118,Nia,alert half-turn,toward avatar,steps aside,side-on boundary,1.589,1.769,0.645435,0.631435,True,steady,True
2121,118,Ari,open stance,toward tool,small wave,avatar,1.569,1.359,0.663583,0.681583,True,steady,True
2122,118,Fay,focused crouch,away then back,palm stop,avatar,1.549,1.339,0.672278,0.678278,True,wet,True
2123,118,Milo,alert half-turn,toward bystander,points to shelf,avatar,1.53,1.32,0.665729,0.671729,True,steady,True
2124,119,Sera,open stance,down at hands,touches chest,avatar,1.512,1.302,0.67095,0.67695,True,steady,True
2125,119,Tovan,focused crouch,toward avatar,offers handle,side-on boundary,1.494,1.674,0.661239,0.647239,True,steady,True
2126,119,Nia,alert half-turn,toward tool,steps aside,avatar,1.477,1.267,0.641148,0.659148,True,steady,True
2127,119,Ari,open stance,away then back,small wave,avatar,1.461,1.251,0.660094,0.666094,True,wet,True
2128,119,Fay,focused crouch,toward bystander,palm stop,avatar,1.445,1.235,0.674448,0.680448,True,steady,True
2129,119,Milo,alert half-turn,toward exit,points to shelf,avatar,1.43,1.22,0.689132,0.707132,True,wet,True
2130,119,Sera,open stance,down at hands,touches chest,side-on boundary,1.416,1.596,0.670733,0.656733,True,steady,True
2131,119,Tovan,focused crouch,toward avatar,offers handle,avatar,1.403,1.193,0.675411,0.681411,True,steady,True
2132,119,Nia,alert half-turn,toward tool,steps aside,side-on boundary,1.39,1.57,0.65231,0.63831,True,steady,True
2133,119,Ari,open stance,away then back,small wave,avatar,1.379,1.169,0.685512,0.703512,True,wet,True
2134,119,Fay,focused crouch,toward bystander,palm stop,avatar,1.368,1.158,0.666242,0.672242,True,steady,True
2135,119,Milo,alert half-turn,toward exit,points to shelf,avatar,1.357,1.147,0.664932,0.670932,True,wet,True
2136,119,Sera,open stance,down at hands,touches chest,avatar,1.348,1.138,0.662602,0.680602,True,steady,True
2137,119,Tovan,focused crouch,toward avatar,offers handle,side-on boundary,1.339,1.519,0.671103,0.657103,True,steady,True
2138,119,Nia,alert half-turn,toward tool,steps aside,avatar,1.332,1.122,0.645929,0.651929,True,steady,True
