tick,day,selected_resident,visible_schedule,visible_project,visible_debt,visible_care_need,visible_trust,panel_patch,private_workspace_hidden
2751,153,Ari,work,repair awning,tool loan,hungry,0.301649,"{""debt"": ""tool loan"", ""project"": ""repair awning"", ""resident"": ""Ari"", ""schedule"": ""work"", ""trust"": 0.3016}",True
2752,153,Fay,rest,fix bridge peg,water carry,focused,0.379807,"{""debt"": ""water carry"", ""project"": ""fix bridge peg"", ""resident"": ""Fay"", ""schedule"": ""rest"", ""trust"": 0.3798}",True
2753,153,Milo,negotiate debt,patch cloak,repair promise,guarded,0.567144,"{""debt"": ""repair promise"", ""project"": ""patch cloak"", ""resident"": ""Milo"", ""schedule"": ""negotiate debt"", ""trust"": 0.5671}",True
2754,154,Sera,care duty,dry seed store,care favor,relieved,0.672181,"{""debt"": ""care favor"", ""project"": ""dry seed store"", ""resident"": ""Sera"", ""schedule"": ""care duty"", ""trust"": 0.6722}",True
2755,154,Tovan,recover focus,sort herb shelf,route warning,steady,0.589247,"{""debt"": ""route warning"", ""project"": ""sort herb shelf"", ""resident"": ""Tovan"", ""schedule"": ""recover focus"", ""trust"": 0.5892}",True
2756,154,Nia,recover focus,map safe route,tool loan,tired,0.430911,"{""debt"": ""tool loan"", ""project"": ""map safe route"", ""resident"": ""Nia"", ""schedule"": ""recover focus"", ""trust"": 0.4309}",True
2757,154,Ari,work,dry seed store,water carry,wet,0.319082,"{""debt"": ""water carry"", ""project"": ""dry seed store"", ""resident"": ""Ari"", ""schedule"": ""work"", ""trust"": 0.3191}",True
2758,154,Fay,rest,sort herb shelf,repair promise,hungry,0.389583,"{""debt"": ""repair promise"", ""project"": ""sort herb shelf"", ""resident"": ""Fay"", ""schedule"": ""rest"", ""trust"": 0.3896}",True
2759,154,Milo,negotiate debt,map safe route,missed greeting,focused,0.580674,"{""debt"": ""missed greeting"", ""project"": ""map safe route"", ""resident"": ""Milo"", ""schedule"": ""negotiate debt"", ""trust"": 0.5807}",True
2760,154,Sera,seek tool,dry seed store,care favor,guarded,0.663547,"{""debt"": ""care favor"", ""project"": ""dry seed store"", ""resident"": ""Sera"", ""schedule"": ""seek tool"", ""trust"": 0.6635}",True
2761,154,Tovan,private task,sort herb shelf,route warning,relieved,0.604349,"{""debt"": ""route warning"", ""project"": ""sort herb shelf"", ""resident"": ""Tovan"", ""schedule"": ""private task"", ""trust"": 0.6043}",True
2762,154,Nia,private task,map safe route,tool loan,steady,0.452468,"{""debt"": ""tool loan"", ""project"": ""map safe route"", ""resident"": ""Nia"", ""schedule"": ""private task"", ""trust"": 0.4525}",True
2763,154,Ari,work,dry seed store,water carry,tired,0.28545,"{""debt"": ""water carry"", ""project"": ""dry seed store"", ""resident"": ""Ari"", ""schedule"": ""work"", ""trust"": 0.2855}",True
2764,154,Fay,work,sort herb shelf,repair promise,wet,0.394702,"{""debt"": ""repair promise"", ""project"": ""sort herb shelf"", ""resident"": ""Fay"", ""schedule"": ""work"", ""trust"": 0.3947}",True
2765,154,Milo,rest,map safe route,missed greeting,hungry,0.580063,"{""debt"": ""missed greeting"", ""project"": ""map safe route"", ""resident"": ""Milo"", ""schedule"": ""rest"", ""trust"": 0.5801}",True
2766,154,Sera,negotiate debt,dry seed store,care favor,focused,0.672079,"{""debt"": ""care favor"", ""project"": ""dry seed store"", ""resident"": ""Sera"", ""schedule"": ""negotiate debt"", ""trust"": 0.6721}",True
2767,154,Tovan,seek tool,sort herb shelf,route warning,guarded,0.616381,"{""debt"": ""route warning"", ""project"": ""sort herb shelf"", ""resident"": ""Tovan"", ""schedule"": ""seek tool"", ""trust"": 0.6164}",True
2768,154,Nia,care duty,map safe route,tool loan,relieved,0.462636,"{""debt"": ""tool loan"", ""project"": ""map safe route"", ""resident"": ""Nia"", ""schedule"": ""care duty"", ""trust"": 0.4626}",True
2769,154,Ari,recover focus,dry seed store,water carry,steady,0.29616,"{""debt"": ""water carry"", ""project"": ""dry seed store"", ""resident"": ""Ari"", ""schedule"": ""recover focus"", ""trust"": 0.2962}",True
2770,154,Fay,recover focus,sort herb shelf,repair promise,tired,0.396027,"{""debt"": ""repair promise"", ""project"": ""sort herb shelf"", ""resident"": ""Fay"", ""schedule"": ""recover focus"", ""trust"": 0.396}",True
2771,154,Milo,rest,map safe route,missed greeting,wet,0.523109,"{""debt"": ""missed greeting"", ""project"": ""map safe route"", ""resident"": ""Milo"", ""schedule"": ""rest"", ""trust"": 0.5231}",True
2772,155,Sera,negotiate debt,fix bridge peg,route warning,hungry,0.682349,"{""debt"": ""route warning"", ""project"": ""fix bridge peg"", ""resident"": ""Sera"", ""schedule"": ""negotiate debt"", ""trust"": 0.6823}",True
2773,155,Tovan,seek tool,patch cloak,tool loan,focused,0.605517,"{""debt"": ""tool loan"", ""project"": ""patch cloak"", ""resident"": ""Tovan"", ""schedule"": ""seek tool"", ""trust"": 0.6055}",True
2774,155,Nia,care duty,repair awning,water carry,guarded,0.456325,"{""debt"": ""water carry"", ""project"": ""repair awning"", ""resident"": ""Nia"", ""schedule"": ""care duty"", ""trust"": 0.4563}",True
2775,155,Ari,private task,fix bridge peg,repair promise,relieved,0.320365,"{""debt"": ""repair promise"", ""project"": ""fix bridge peg"", ""resident"": ""Ari"", ""schedule"": ""private task"", ""trust"": 0.3204}",True
2776,155,Fay,work,patch cloak,missed greeting,steady,0.387923,"{""debt"": ""missed greeting"", ""project"": ""patch cloak"", ""resident"": ""Fay"", ""schedule"": ""work"", ""trust"": 0.3879}",True
2777,155,Milo,work,repair awning,care favor,tired,0.591631,"{""debt"": ""care favor"", ""project"": ""repair awning"", ""resident"": ""Milo"", ""schedule"": ""work"", ""trust"": 0.5916}",True
2778,155,Sera,negotiate debt,fix bridge peg,route warning,wet,0.635804,"{""debt"": ""route warning"", ""project"": ""fix bridge peg"", ""resident"": ""Sera"", ""schedule"": ""negotiate debt"", ""trust"": 0.6358}",True
2779,155,Tovan,negotiate debt,patch cloak,tool loan,hungry,0.611291,"{""debt"": ""tool loan"", ""project"": ""patch cloak"", ""resident"": ""Tovan"", ""schedule"": ""negotiate debt"", ""trust"": 0.6113}",True
2780,155,Nia,seek tool,repair awning,water carry,focused,0.46574,"{""debt"": ""water carry"", ""project"": ""repair awning"", ""resident"": ""Nia"", ""schedule"": ""seek tool"", ""trust"": 0.4657}",True
2781,155,Ari,care duty,fix bridge peg,repair promise,guarded,0.317152,"{""debt"": ""repair promise"", ""project"": ""fix bridge peg"", ""resident"": ""Ari"", ""schedule"": ""care duty"", ""trust"": 0.3172}",True
2782,155,Fay,private task,patch cloak,missed greeting,relieved,0.39844,"{""debt"": ""missed greeting"", ""project"": ""patch cloak"", ""resident"": ""Fay"", ""schedule"": ""private task"", ""trust"": 0.3984}",True
2783,155,Milo,recover focus,repair awning,care favor,steady,0.570568,"{""debt"": ""care favor"", ""project"": ""repair awning"", ""resident"": ""Milo"", ""schedule"": ""recover focus"", ""trust"": 0.5706}",True
2784,155,Sera,rest,fix bridge peg,route warning,tired,0.641113,"{""debt"": ""route warning"", ""project"": ""fix bridge peg"", ""resident"": ""Sera"", ""schedule"": ""rest"", ""trust"": 0.6411}",True
2785,155,Tovan,rest,patch cloak,tool loan,wet,0.62817,"{""debt"": ""tool loan"", ""project"": ""patch cloak"", ""resident"": ""Tovan"", ""schedule"": ""rest"", ""trust"": 0.6282}",True
2786,155,Nia,seek tool,repair awning,water carry,hungry,0.413513,"{""debt"": ""water carry"", ""project"": ""repair awning"", ""resident"": ""Nia"", ""schedule"": ""seek tool"", ""trust"": 0.4135}",True
2787,155,Ari,seek tool,fix bridge peg,repair promise,focused,0.316799,"{""debt"": ""repair promise"", ""project"": ""fix bridge peg"", ""resident"": ""Ari"", ""schedule"": ""seek tool"", ""trust"": 0.3168}",True
2788,155,Fay,care duty,patch cloak,missed greeting,guarded,0.394264,"{""debt"": ""missed greeting"", ""project"": ""patch cloak"", ""resident"": ""Fay"", ""schedule"": ""care duty"", ""trust"": 0.3943}",True
2789,155,Milo,private task,repair awning,care favor,relieved,0.558655,"{""debt"": ""care favor"", ""project"": ""repair awning"", ""resident"": ""Milo"", ""schedule"": ""private task"", ""trust"": 0.5587}",True
2790,156,Sera,work,sort herb shelf,tool loan,steady,0.674863,"{""debt"": ""tool loan"", ""project"": ""sort herb shelf"", ""resident"": ""Sera"", ""schedule"": ""work"", ""trust"": 0.6749}",True
2791,156,Tovan,negotiate debt,map safe route,water carry,tired,0.568415,"{""debt"": ""water carry"", ""project"": ""map safe route"", ""resident"": ""Tovan"", ""schedule"": ""negotiate debt"", ""trust"": 0.5684}",True
2792,156,Nia,negotiate debt,dry seed store,repair promise,wet,0.424215,"{""debt"": ""repair promise"", ""project"": ""dry seed store"", ""resident"": ""Nia"", ""schedule"": ""negotiate debt"", ""trust"": 0.4242}",True
2793,156,Ari,care duty,sort herb shelf,missed greeting,hungry,0.298361,"{""debt"": ""missed greeting"", ""project"": ""sort herb shelf"", ""resident"": ""Ari"", ""schedule"": ""care duty"", ""trust"": 0.2984}",True
2794,156,Fay,care duty,map safe route,care favor,focused,0.417863,"{""debt"": ""care favor"", ""project"": ""map safe route"", ""resident"": ""Fay"", ""schedule"": ""care duty"", ""trust"": 0.4179}",True
2795,156,Milo,private task,dry seed store,route warning,guarded,0.584623,"{""debt"": ""route warning"", ""project"": ""dry seed store"", ""resident"": ""Milo"", ""schedule"": ""private task"", ""trust"": 0.5846}",True
2796,156,Sera,recover focus,sort herb shelf,tool loan,relieved,0.680378,"{""debt"": ""tool loan"", ""project"": ""sort herb shelf"", ""resident"": ""Sera"", ""schedule"": ""recover focus"", ""trust"": 0.6804}",True
2797,156,Tovan,work,map safe route,water carry,steady,0.613916,"{""debt"": ""water carry"", ""project"": ""map safe route"", ""resident"": ""Tovan"", ""schedule"": ""work"", ""trust"": 0.6139}",True
2798,156,Nia,rest,dry seed store,repair promise,tired,0.432814,"{""debt"": ""repair promise"", ""project"": ""dry seed store"", ""resident"": ""Nia"", ""schedule"": ""rest"", ""trust"": 0.4328}",True
2799,156,Ari,seek tool,sort herb shelf,missed greeting,wet,0.283142,"{""debt"": ""missed greeting"", ""project"": ""sort herb shelf"", ""resident"": ""Ari"", ""schedule"": ""seek tool"", ""trust"": 0.2831}",True
2800,156,Fay,seek tool,map safe route,care favor,hungry,0.422183,"{""debt"": ""care favor"", ""project"": ""map safe route"", ""resident"": ""Fay"", ""schedule"": ""seek tool"", ""trust"": 0.4222}",True
2801,156,Milo,private task,dry seed store,route warning,focused,0.566528,"{""debt"": ""route warning"", ""project"": ""dry seed store"", ""resident"": ""Milo"", ""schedule"": ""private task"", ""trust"": 0.5665}",True
2802,156,Sera,private task,sort herb shelf,tool loan,guarded,0.673652,"{""debt"": ""tool loan"", ""project"": ""sort herb shelf"", ""resident"": ""Sera"", ""schedule"": ""private task"", ""trust"": 0.6737}",True
2803,156,Tovan,recover focus,map safe route,water carry,relieved,0.610203,"{""debt"": ""water carry"", ""project"": ""map safe route"", ""resident"": ""Tovan"", ""schedule"": ""recover focus"", ""trust"": 0.6102}",True
2804,156,Nia,work,dry seed store,repair promise,steady,0.410911,"{""debt"": ""repair promise"", ""project"": ""dry seed store"", ""resident"": ""Nia"", ""schedule"": ""work"", ""trust"": 0.4109}",True
2805,156,Ari,rest,sort herb shelf,missed greeting,tired,0.311343,"{""debt"": ""missed greeting"", ""project"": ""sort herb shelf"", ""resident"": ""Ari"", ""schedule"": ""rest"", ""trust"": 0.3113}",True
2806,156,Fay,negotiate debt,map safe route,care favor,wet,0.436175,"{""debt"": ""care favor"", ""project"": ""map safe route"", ""resident"": ""Fay"", ""schedule"": ""negotiate debt"", ""trust"": 0.4362}",True
2807,156,Milo,care duty,dry seed store,route warning,hungry,0.55853,"{""debt"": ""route warning"", ""project"": ""dry seed store"", ""resident"": ""Milo"", ""schedule"": ""care duty"", ""trust"": 0.5585}",True
2808,157,Sera,recover focus,patch cloak,water carry,focused,0.656269,"{""debt"": ""water carry"", ""project"": ""patch cloak"", ""resident"": ""Sera"", ""schedule"": ""recover focus"", ""trust"": 0.6563}",True
2809,157,Tovan,recover focus,repair awning,repair promise,guarded,0.581414,"{""debt"": ""repair promise"", ""project"": ""repair awning"", ""resident"": ""Tovan"", ""schedule"": ""recover focus"", ""trust"": 0.5814}",True
2810,157,Nia,work,fix bridge peg,missed greeting,relieved,0.436821,"{""debt"": ""missed greeting"", ""project"": ""fix bridge peg"", ""resident"": ""Nia"", ""schedule"": ""work"", ""trust"": 0.4368}",True
2811,157,Ari,rest,patch cloak,care favor,steady,0.325389,"{""debt"": ""care favor"", ""project"": ""patch cloak"", ""resident"": ""Ari"", ""schedule"": ""rest"", ""trust"": 0.3254}",True
2812,157,Fay,negotiate debt,repair awning,route warning,tired,0.445015,"{""debt"": ""route warning"", ""project"": ""repair awning"", ""resident"": ""Fay"", ""schedule"": ""negotiate debt"", ""trust"": 0.445}",True
2813,157,Milo,seek tool,fix bridge peg,tool loan,wet,0.585348,"{""debt"": ""tool loan"", ""project"": ""fix bridge peg"", ""resident"": ""Milo"", ""schedule"": ""seek tool"", ""trust"": 0.5853}",True
2814,157,Sera,private task,patch cloak,water carry,hungry,0.639359,"{""debt"": ""water carry"", ""project"": ""patch cloak"", ""resident"": ""Sera"", ""schedule"": ""private task"", ""trust"": 0.6394}",True
2815,157,Tovan,private task,repair awning,repair promise,focused,0.608319,"{""debt"": ""repair promise"", ""project"": ""repair awning"", ""resident"": ""Tovan"", ""schedule"": ""private task"", ""trust"": 0.6083}",True
2816,157,Nia,work,fix bridge peg,missed greeting,guarded,0.397981,"{""debt"": ""missed greeting"", ""project"": ""fix bridge peg"", ""resident"": ""Nia"", ""schedule"": ""work"", ""trust"": 0.398}",True
2817,157,Ari,work,patch cloak,care favor,relieved,0.301048,"{""debt"": ""care favor"", ""project"": ""patch cloak"", ""resident"": ""Ari"", ""schedule"": ""work"", ""trust"": 0.301}",True
2818,157,Fay,rest,repair awning,route warning,steady,0.428183,"{""debt"": ""route warning"", ""project"": ""repair awning"", ""resident"": ""Fay"", ""schedule"": ""rest"", ""trust"": 0.4282}",True
2819,157,Milo,negotiate debt,fix bridge peg,tool loan,tired,0.607079,"{""debt"": ""tool loan"", ""project"": ""fix bridge peg"", ""resident"": ""Milo"", ""schedule"": ""negotiate debt"", ""trust"": 0.6071}",True
2820,157,Sera,seek tool,patch cloak,water carry,wet,0.670305,"{""debt"": ""water carry"", ""project"": ""patch cloak"", ""resident"": ""Sera"", ""schedule"": ""seek tool"", ""trust"": 0.6703}",True
2821,157,Tovan,care duty,repair awning,repair promise,hungry,0.590461,"{""debt"": ""repair promise"", ""project"": ""repair awning"", ""resident"": ""Tovan"", ""schedule"": ""care duty"", ""trust"": 0.5905}",True
2822,157,Nia,recover focus,fix bridge peg,missed greeting,focused,0.408096,"{""debt"": ""missed greeting"", ""project"": ""fix bridge peg"", ""resident"": ""Nia"", ""schedule"": ""recover focus"", ""trust"": 0.4081}",True
2823,157,Ari,recover focus,patch cloak,care favor,guarded,0.32485,"{""debt"": ""care favor"", ""project"": ""patch cloak"", ""resident"": ""Ari"", ""schedule"": ""recover focus"", ""trust"": 0.3248}",True
2824,157,Fay,rest,repair awning,route warning,relieved,0.379525,"{""debt"": ""route warning"", ""project"": ""repair awning"", ""resident"": ""Fay"", ""schedule"": ""rest"", ""trust"": 0.3795}",True
2825,157,Milo,rest,fix bridge peg,tool loan,steady,0.577693,"{""debt"": ""tool loan"", ""project"": ""fix bridge peg"", ""resident"": ""Milo"", ""schedule"": ""rest"", ""trust"": 0.5777}",True
2826,158,Sera,seek tool,map safe route,repair promise,tired,0.684193,"{""debt"": ""repair promise"", ""project"": ""map safe route"", ""resident"": ""Sera"", ""schedule"": ""seek tool"", ""trust"": 0.6842}",True
2827,158,Tovan,care duty,dry seed store,missed greeting,wet,0.571825,"{""debt"": ""missed greeting"", ""project"": ""dry seed store"", ""resident"": ""Tovan"", ""schedule"": ""care duty"", ""trust"": 0.5718}",True
2828,158,Nia,private task,sort herb shelf,care favor,hungry,0.41429,"{""debt"": ""care favor"", ""project"": ""sort herb shelf"", ""resident"": ""Nia"", ""schedule"": ""private task"", ""trust"": 0.4143}",True
2829,158,Ari,work,map safe route,route warning,focused,0.298373,"{""debt"": ""route warning"", ""project"": ""map safe route"", ""resident"": ""Ari"", ""schedule"": ""work"", ""trust"": 0.2984}",True
2830,158,Fay,work,dry seed store,tool loan,guarded,0.4375,"{""debt"": ""tool loan"", ""project"": ""dry seed store"", ""resident"": ""Fay"", ""schedule"": ""work"", ""trust"": 0.4375}",True
2831,158,Milo,negotiate debt,sort herb shelf,water carry,relieved,0.592265,"{""debt"": ""water carry"", ""project"": ""sort herb shelf"", ""resident"": ""Milo"", ""schedule"": ""negotiate debt"", ""trust"": 0.5923}",True
2832,158,Sera,negotiate debt,map safe route,repair promise,steady,0.678787,"{""debt"": ""repair promise"", ""project"": ""map safe route"", ""resident"": ""Sera"", ""schedule"": ""negotiate debt"", ""trust"": 0.6788}",True
2833,158,Tovan,seek tool,dry seed store,missed greeting,tired,0.593325,"{""debt"": ""missed greeting"", ""project"": ""dry seed store"", ""resident"": ""Tovan"", ""schedule"": ""seek tool"", ""trust"": 0.5933}",True
2834,158,Nia,care duty,sort herb shelf,care favor,wet,0.410693,"{""debt"": ""care favor"", ""project"": ""sort herb shelf"", ""resident"": ""Nia"", ""schedule"": ""care duty"", ""trust"": 0.4107}",True
2835,158,Ari,private task,map safe route,route warning,hungry,0.330432,"{""debt"": ""route warning"", ""project"": ""map safe route"", ""resident"": ""Ari"", ""schedule"": ""private task"", ""trust"": 0.3304}",True
2836,158,Fay,recover focus,dry seed store,tool loan,focused,0.438393,"{""debt"": ""tool loan"", ""project"": ""dry seed store"", ""resident"": ""Fay"", ""schedule"": ""recover focus"", ""trust"": 0.4384}",True
2837,158,Milo,rest,sort herb shelf,water carry,guarded,0.582502,"{""debt"": ""water carry"", ""project"": ""sort herb shelf"", ""resident"": ""Milo"", ""schedule"": ""rest"", ""trust"": 0.5825}",True
2838,158,Sera,rest,map safe route,repair promise,relieved,0.690744,"{""debt"": ""repair promise"", ""project"": ""map safe route"", ""resident"": ""Sera"", ""schedule"": ""rest"", ""trust"": 0.6907}",True
2839,158,Tovan,seek tool,dry seed store,missed greeting,steady,0.545076,"{""debt"": ""missed greeting"", ""project"": ""dry seed store"", ""resident"": ""Tovan"", ""schedule"": ""seek tool"", ""trust"": 0.5451}",True
2840,158,Nia,seek tool,sort herb shelf,care favor,tired,0.408346,"{""debt"": ""care favor"", ""project"": ""sort herb shelf"", ""resident"": ""Nia"", ""schedule"": ""seek tool"", ""trust"": 0.4083}",True
2841,158,Ari,care duty,map safe route,route warning,wet,0.333239,"{""debt"": ""route warning"", ""project"": ""map safe route"", ""resident"": ""Ari"", ""schedule"": ""care duty"", ""trust"": 0.3332}",True
2842,158,Fay,private task,dry seed store,tool loan,hungry,0.415113,"{""debt"": ""tool loan"", ""project"": ""dry seed store"", ""resident"": ""Fay"", ""schedule"": ""private task"", ""trust"": 0.4151}",True
2843,158,Milo,recover focus,sort herb shelf,water carry,focused,0.632924,"{""debt"": ""water carry"", ""project"": ""sort herb shelf"", ""resident"": ""Milo"", ""schedule"": ""recover focus"", ""trust"": 0.6329}",True
2844,159,Sera,negotiate debt,repair awning,missed greeting,guarded,0.646304,"{""debt"": ""missed greeting"", ""project"": ""repair awning"", ""resident"": ""Sera"", ""schedule"": ""negotiate debt"", ""trust"": 0.6463}",True
2845,159,Tovan,negotiate debt,fix bridge peg,care favor,relieved,0.581873,"{""debt"": ""care favor"", ""project"": ""fix bridge peg"", ""resident"": ""Tovan"", ""schedule"": ""negotiate debt"", ""trust"": 0.5819}",True
2846,159,Nia,care duty,patch cloak,route warning,steady,0.367533,"{""debt"": ""route warning"", ""project"": ""patch cloak"", ""resident"": ""Nia"", ""schedule"": ""care duty"", ""trust"": 0.3675}",True
2847,159,Ari,care duty,repair awning,tool loan,tired,0.317723,"{""debt"": ""tool loan"", ""project"": ""repair awning"", ""resident"": ""Ari"", ""schedule"": ""care duty"", ""trust"": 0.3177}",True
2848,159,Fay,private task,fix bridge peg,water carry,wet,0.444916,"{""debt"": ""water carry"", ""project"": ""fix bridge peg"", ""resident"": ""Fay"", ""schedule"": ""private task"", ""trust"": 0.4449}",True
2849,159,Milo,recover focus,patch cloak,repair promise,hungry,0.601541,"{""debt"": ""repair promise"", ""project"": ""patch cloak"", ""resident"": ""Milo"", ""schedule"": ""recover focus"", ""trust"": 0.6015}",True
2850,159,Sera,work,repair awning,missed greeting,focused,0.676064,"{""debt"": ""missed greeting"", ""project"": ""repair awning"", ""resident"": ""Sera"", ""schedule"": ""work"", ""trust"": 0.6761}",True
2851,159,Tovan,rest,fix bridge peg,care favor,guarded,0.57284,"{""debt"": ""care favor"", ""project"": ""fix bridge peg"", ""resident"": ""Tovan"", ""schedule"": ""rest"", ""trust"": 0.5728}",True
2852,159,Nia,seek tool,patch cloak,route warning,relieved,0.353326,"{""debt"": ""route warning"", ""project"": ""patch cloak"", ""resident"": ""Nia"", ""schedule"": ""seek tool"", ""trust"": 0.3533}",True
2853,159,Ari,seek tool,repair awning,tool loan,steady,0.320411,"{""debt"": ""tool loan"", ""project"": ""repair awning"", ""resident"": ""Ari"", ""schedule"": ""seek tool"", ""trust"": 0.3204}",True
2854,159,Fay,private task,fix bridge peg,water carry,tired,0.434243,"{""debt"": ""water carry"", ""project"": ""fix bridge peg"", ""resident"": ""Fay"", ""schedule"": ""private task"", ""trust"": 0.4342}",True
2855,159,Milo,private task,patch cloak,repair promise,wet,0.609752,"{""debt"": ""repair promise"", ""project"": ""patch cloak"", ""resident"": ""Milo"", ""schedule"": ""private task"", ""trust"": 0.6098}",True
2856,159,Sera,recover focus,repair awning,missed greeting,hungry,0.678524,"{""debt"": ""missed greeting"", ""project"": ""repair awning"", ""resident"": ""Sera"", ""schedule"": ""recover focus"", ""trust"": 0.6785}",True
2857,159,Tovan,work,fix bridge peg,care favor,focused,0.581757,"{""debt"": ""care favor"", ""project"": ""fix bridge peg"", ""resident"": ""Tovan"", ""schedule"": ""work"", ""trust"": 0.5818}",True
2858,159,Nia,rest,patch cloak,route warning,guarded,0.403959,"{""debt"": ""route warning"", ""project"": ""patch cloak"", ""resident"": ""Nia"", ""schedule"": ""rest"", ""trust"": 0.404}",True
2859,159,Ari,negotiate debt,repair awning,tool loan,relieved,0.340548,"{""debt"": ""tool loan"", ""project"": ""repair awning"", ""resident"": ""Ari"", ""schedule"": ""negotiate debt"", ""trust"": 0.3405}",True
2860,159,Fay,care duty,fix bridge peg,water carry,steady,0.434452,"{""debt"": ""water carry"", ""project"": ""fix bridge peg"", ""resident"": ""Fay"", ""schedule"": ""care duty"", ""trust"": 0.4345}",True
2861,159,Milo,care duty,patch cloak,repair promise,tired,0.61993,"{""debt"": ""repair promise"", ""project"": ""patch cloak"", ""resident"": ""Milo"", ""schedule"": ""care duty"", ""trust"": 0.6199}",True
2862,160,Sera,recover focus,dry seed store,care favor,wet,0.645291,"{""debt"": ""care favor"", ""project"": ""dry seed store"", ""resident"": ""Sera"", ""schedule"": ""recover focus"", ""trust"": 0.6453}",True
2863,160,Tovan,work,sort herb shelf,route warning,hungry,0.561682,"{""debt"": ""route warning"", ""project"": ""sort herb shelf"", ""resident"": ""Tovan"", ""schedule"": ""work"", ""trust"": 0.5617}",True
2864,160,Nia,rest,map safe route,tool loan,focused,0.373152,"{""debt"": ""tool loan"", ""project"": ""map safe route"", ""resident"": ""Nia"", ""schedule"": ""rest"", ""trust"": 0.3732}",True
2865,160,Ari,negotiate debt,dry seed store,water carry,guarded,0.339734,"{""debt"": ""water carry"", ""project"": ""dry seed store"", ""resident"": ""Ari"", ""schedule"": ""negotiate debt"", ""trust"": 0.3397}",True
2866,160,Fay,seek tool,sort herb shelf,repair promise,relieved,0.486251,"{""debt"": ""repair promise"", ""project"": ""sort herb shelf"", ""resident"": ""Fay"", ""schedule"": ""seek tool"", ""trust"": 0.4863}",True
2867,160,Milo,private task,map safe route,missed greeting,steady,0.603509,"{""debt"": ""missed greeting"", ""project"": ""map safe route"", ""resident"": ""Milo"", ""schedule"": ""private task"", ""trust"": 0.6035}",True
2868,160,Sera,private task,dry seed store,care favor,tired,0.689141,"{""debt"": ""care favor"", ""project"": ""dry seed store"", ""resident"": ""Sera"", ""schedule"": ""private task"", ""trust"": 0.6891}",True
2869,160,Tovan,work,sort herb shelf,route warning,wet,0.523117,"{""debt"": ""route warning"", ""project"": ""sort herb shelf"", ""resident"": ""Tovan"", ""schedule"": ""work"", ""trust"": 0.5231}",True
2870,160,Nia,work,map safe route,tool loan,hungry,0.382325,"{""debt"": ""tool loan"", ""project"": ""map safe route"", ""resident"": ""Nia"", ""schedule"": ""work"", ""trust"": 0.3823}",True
2871,160,Ari,rest,dry seed store,water carry,focused,0.348159,"{""debt"": ""water carry"", ""project"": ""dry seed store"", ""resident"": ""Ari"", ""schedule"": ""rest"", ""trust"": 0.3482}",True
2872,160,Fay,negotiate debt,sort herb shelf,repair promise,guarded,0.438972,"{""debt"": ""repair promise"", ""project"": ""sort herb shelf"", ""resident"": ""Fay"", ""schedule"": ""negotiate debt"", ""trust"": 0.439}",True
2873,160,Milo,seek tool,map safe route,missed greeting,relieved,0.625021,"{""debt"": ""missed greeting"", ""project"": ""map safe route"", ""resident"": ""Milo"", ""schedule"": ""seek tool"", ""trust"": 0.625}",True
2874,160,Sera,care duty,dry seed store,care favor,steady,0.682384,"{""debt"": ""care favor"", ""project"": ""dry seed store"", ""resident"": ""Sera"", ""schedule"": ""care duty"", ""trust"": 0.6824}",True
2875,160,Tovan,recover focus,sort herb shelf,route warning,tired,0.543427,"{""debt"": ""route warning"", ""project"": ""sort herb shelf"", ""resident"": ""Tovan"", ""schedule"": ""recover focus"", ""trust"": 0.5434}",True
2876,160,Nia,recover focus,map safe route,tool loan,wet,0.385179,"{""debt"": ""tool loan"", ""project"": ""map safe route"", ""resident"": ""Nia"", ""schedule"": ""recover focus"", ""trust"": 0.3852}",True
2877,160,Ari,rest,dry seed store,water carry,hungry,0.290514,"{""debt"": ""water carry"", ""project"": ""dry seed store"", ""resident"": ""Ari"", ""schedule"": ""rest"", ""trust"": 0.2905}",True
2878,160,Fay,rest,sort herb shelf,repair promise,focused,0.439322,"{""debt"": ""repair promise"", ""project"": ""sort herb shelf"", ""resident"": ""Fay"", ""schedule"": ""rest"", ""trust"": 0.4393}",True
2879,160,Milo,negotiate debt,map safe route,missed greeting,guarded,0.644392,"{""debt"": ""missed greeting"", ""project"": ""map safe route"", ""resident"": ""Milo"", ""schedule"": ""negotiate debt"", ""trust"": 0.6444}",True
2880,161,Sera,care duty,fix bridge peg,route warning,relieved,0.677206,"{""debt"": ""route warning"", ""project"": ""fix bridge peg"", ""resident"": ""Sera"", ""schedule"": ""care duty"", ""trust"": 0.6772}",True
2881,161,Tovan,private task,patch cloak,tool loan,steady,0.547019,"{""debt"": ""tool loan"", ""project"": ""patch cloak"", ""resident"": ""Tovan"", ""schedule"": ""private task"", ""trust"": 0.547}",True
2882,161,Nia,work,repair awning,water carry,tired,0.3624,"{""debt"": ""water carry"", ""project"": ""repair awning"", ""resident"": ""Nia"", ""schedule"": ""work"", ""trust"": 0.3624}",True
2883,161,Ari,work,fix bridge peg,repair promise,wet,0.340809,"{""debt"": ""repair promise"", ""project"": ""fix bridge peg"", ""resident"": ""Ari"", ""schedule"": ""work"", ""trust"": 0.3408}",True
2884,161,Fay,negotiate debt,patch cloak,missed greeting,hungry,0.438128,"{""debt"": ""missed greeting"", ""project"": ""patch cloak"", ""resident"": ""Fay"", ""schedule"": ""negotiate debt"", ""trust"": 0.4381}",True
