tick,day,cause_action,direct_effect,delayed_effect,affected_resident,affected_resource,trust_delta,schedule_delta,recovery_path,no_history_erasure,harm_recoverable
2144,120,move,position changes but history remains intact,scheduler and debt panel update after reload,Nia,care,0.004,seek tool->care duty,offer help,True,True
2145,120,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.016,care duty->private task,give space,True,True
2146,120,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.016,private task->recover focus,finish owed work,True,True
2147,120,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Milo,care,-0.02,recover focus->rest,rest before retry,True,True
2148,120,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.02,work->rest,apologize and wait,True,True
2149,120,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Tovan,wood,-0.02,rest->seek tool,return object,True,True
2150,120,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Nia,care,-0.002,negotiate debt->seek tool,offer help,True,True
2151,120,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.016,seek tool->care duty,give space,True,True
2152,120,move,position changes but history remains intact,scheduler and debt panel update after reload,Fay,wood,0.004,care duty->private task,finish owed work,True,True
2153,120,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.016,private task->recover focus,rest before retry,True,True
2154,120,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.02,recover focus->work,apologize and wait,True,True
2155,120,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Tovan,wood,-0.02,work->negotiate debt,return object,True,True
2156,120,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.016,rest->negotiate debt,offer help,True,True
2157,120,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Ari,water,-0.02,negotiate debt->care duty,give space,True,True
2158,120,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Fay,wood,-0.002,seek tool->care duty,finish owed work,True,True
2159,120,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.016,care duty->private task,rest before retry,True,True
2160,121,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.02,recover focus->work,return object,True,True
2161,121,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.02,work->rest,offer help,True,True
2162,121,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Nia,care,-0.02,rest->seek tool,give space,True,True
2163,121,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.016,negotiate debt->seek tool,finish owed work,True,True
2164,121,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Fay,wood,-0.02,seek tool->private task,rest before retry,True,True
2165,121,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Milo,care,0.002,care duty->private task,apologize and wait,True,True
2166,121,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.02,private task->recover focus,return object,True,True
2167,121,move,position changes but history remains intact,scheduler and debt panel update after reload,Tovan,wood,0.004,recover focus->work,offer help,True,True
2168,121,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.016,work->rest,give space,True,True
2169,121,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.016,rest->negotiate debt,finish owed work,True,True
2170,121,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Fay,wood,-0.02,negotiate debt->care duty,rest before retry,True,True
2171,121,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.016,seek tool->care duty,apologize and wait,True,True
2172,121,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Sera,water,-0.02,care duty->recover focus,return object,True,False
2173,121,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Tovan,wood,0.002,private task->recover focus,offer help,True,True
2174,121,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.016,recover focus->work,give space,True,True
2175,121,move,position changes but history remains intact,scheduler and debt panel update after reload,Ari,water,0.004,work->rest,finish owed work,True,True
2176,121,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.016,rest->negotiate debt,rest before retry,True,True
2177,121,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.016,negotiate debt->seek tool,apologize and wait,True,True
2178,122,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.02,care duty->private task,offer help,True,True
2179,122,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Tovan,wood,-0.02,private task->work,give space,True,True
2180,122,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Nia,care,-0.002,recover focus->work,finish owed work,True,True
2181,122,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.016,work->rest,rest before retry,True,True
2182,122,move,position changes but history remains intact,scheduler and debt panel update after reload,Fay,wood,0.004,rest->negotiate debt,apologize and wait,True,True
2183,122,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.02,negotiate debt->seek tool,return object,True,True
2184,122,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.02,seek tool->care duty,offer help,True,True
2185,122,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Tovan,wood,-0.02,care duty->recover focus,give space,True,True
2186,122,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.016,private task->recover focus,finish owed work,True,True
2187,122,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Ari,water,-0.02,recover focus->rest,rest before retry,True,True
2188,122,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Fay,wood,-0.002,work->rest,apologize and wait,True,True
2189,122,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.02,rest->negotiate debt,return object,True,True
2190,122,move,position changes but history remains intact,scheduler and debt panel update after reload,Sera,water,0.004,negotiate debt->seek tool,offer help,True,True
2191,122,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.016,seek tool->care duty,give space,True,True
2192,122,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.016,care duty->private task,finish owed work,True,True
2193,122,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Ari,water,-0.02,private task->work,rest before retry,True,True
2194,122,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.016,recover focus->work,apologize and wait,True,True
2195,122,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Milo,care,-0.02,work->negotiate debt,return object,True,True
2196,123,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.02,negotiate debt->seek tool,give space,True,True
2197,123,move,position changes but history remains intact,scheduler and debt panel update after reload,Tovan,wood,0.004,seek tool->care duty,finish owed work,True,True
2198,123,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.016,care duty->private task,rest before retry,True,True
2199,123,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.016,private task->recover focus,apologize and wait,True,True
2200,123,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Fay,wood,-0.02,recover focus->rest,return object,True,True
2201,123,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.02,work->rest,offer help,True,True
2202,123,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Sera,water,-0.02,rest->seek tool,give space,True,False
2203,123,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Tovan,wood,0.002,negotiate debt->seek tool,finish owed work,True,True
2204,123,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.016,seek tool->care duty,rest before retry,True,True
2205,123,move,position changes but history remains intact,scheduler and debt panel update after reload,Ari,water,0.004,care duty->private task,apologize and wait,True,True
2206,123,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.016,private task->recover focus,return object,True,True
2207,123,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.02,recover focus->work,offer help,True,True
2208,123,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Sera,water,-0.02,work->negotiate debt,give space,True,True
2209,123,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.016,rest->negotiate debt,finish owed work,True,True
2210,123,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Nia,care,-0.02,negotiate debt->care duty,rest before retry,True,True
2211,123,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Ari,water,0.002,seek tool->care duty,apologize and wait,True,True
2212,123,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.016,care duty->private task,return object,True,True
2213,123,move,position changes but history remains intact,scheduler and debt panel update after reload,Milo,care,0.004,private task->recover focus,offer help,True,True
2214,124,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.016,work->rest,finish owed work,True,True
2215,124,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Tovan,wood,-0.02,rest->seek tool,rest before retry,True,True
2216,124,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.016,negotiate debt->seek tool,apologize and wait,True,True
2217,124,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Ari,water,-0.02,seek tool->private task,return object,True,True
2218,124,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Fay,wood,-0.002,care duty->private task,offer help,True,True
2219,124,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.02,private task->recover focus,give space,True,True
2220,124,move,position changes but history remains intact,scheduler and debt panel update after reload,Sera,water,0.004,recover focus->work,finish owed work,True,True
2221,124,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.016,work->rest,rest before retry,True,True
2222,124,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.016,rest->negotiate debt,apologize and wait,True,True
2223,124,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Ari,water,-0.02,negotiate debt->care duty,return object,True,True
2224,124,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.02,seek tool->care duty,offer help,True,True
2225,124,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Milo,care,-0.02,care duty->recover focus,give space,True,True
2226,124,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Sera,water,-0.002,private task->recover focus,finish owed work,True,True
2227,124,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.016,recover focus->work,rest before retry,True,True
2228,124,move,position changes but history remains intact,scheduler and debt panel update after reload,Nia,care,0.004,work->rest,apologize and wait,True,True
2229,124,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.016,rest->negotiate debt,return object,True,True
2230,124,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.02,negotiate debt->seek tool,offer help,True,True
2231,124,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Milo,care,-0.02,seek tool->private task,give space,True,True
2232,125,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Sera,water,-0.02,private task->work,rest before retry,True,False
2233,125,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Tovan,wood,0.002,recover focus->work,apologize and wait,True,True
2234,125,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.016,work->rest,return object,True,True
2235,125,move,position changes but history remains intact,scheduler and debt panel update after reload,Ari,water,0.004,rest->negotiate debt,offer help,True,True
2236,125,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.02,negotiate debt->seek tool,give space,True,True
2237,125,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.02,seek tool->care duty,finish owed work,True,True
2238,125,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Sera,water,-0.02,care duty->recover focus,rest before retry,True,True
2239,125,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.016,private task->recover focus,apologize and wait,True,True
2240,125,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Nia,care,-0.02,recover focus->rest,return object,True,True
2241,125,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Ari,water,0.002,work->rest,offer help,True,True
2242,125,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.02,rest->negotiate debt,give space,True,True
2243,125,move,position changes but history remains intact,scheduler and debt panel update after reload,Milo,care,0.004,negotiate debt->seek tool,finish owed work,True,True
2244,125,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.016,seek tool->care duty,rest before retry,True,True
2245,125,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.016,care duty->private task,apologize and wait,True,True
2246,125,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Nia,care,-0.02,private task->work,return object,True,True
2247,125,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.016,recover focus->work,offer help,True,True
2248,125,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Fay,wood,-0.02,work->negotiate debt,give space,True,True
2249,125,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Milo,care,0.002,rest->negotiate debt,finish owed work,True,True
2250,126,move,position changes but history remains intact,scheduler and debt panel update after reload,Sera,water,0.004,seek tool->care duty,apologize and wait,True,True
2251,126,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.016,care duty->private task,return object,True,True
2252,126,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.016,private task->recover focus,offer help,True,True
2253,126,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Ari,water,-0.02,recover focus->rest,give space,True,True
2254,126,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.02,work->rest,finish owed work,True,True
2255,126,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Milo,care,-0.02,rest->seek tool,rest before retry,True,True
2256,126,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Sera,water,-0.002,negotiate debt->seek tool,apologize and wait,True,True
2257,126,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.016,seek tool->care duty,return object,True,True
2258,126,move,position changes but history remains intact,scheduler and debt panel update after reload,Nia,care,0.004,care duty->private task,offer help,True,True
2259,126,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.02,private task->recover focus,give space,True,True
2260,126,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.02,recover focus->work,finish owed work,True,True
2261,126,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Milo,care,-0.02,work->negotiate debt,rest before retry,True,True
2262,126,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.016,rest->negotiate debt,apologize and wait,True,True
2263,126,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Tovan,wood,-0.02,negotiate debt->care duty,return object,True,True
2264,126,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Nia,care,-0.002,seek tool->care duty,offer help,True,True
2265,126,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.02,care duty->private task,give space,True,True
2266,126,move,position changes but history remains intact,scheduler and debt panel update after reload,Fay,wood,0.004,private task->recover focus,finish owed work,True,True
2267,126,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.02,recover focus->work,rest before retry,True,True
2268,127,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Sera,water,-0.02,rest->seek tool,return object,True,True
2269,127,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.016,negotiate debt->seek tool,offer help,True,True
2270,127,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Nia,care,-0.02,seek tool->private task,give space,True,True
2271,127,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Ari,water,0.002,care duty->private task,finish owed work,True,True
2272,127,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.02,private task->recover focus,rest before retry,True,True
2273,127,move,position changes but history remains intact,scheduler and debt panel update after reload,Milo,care,0.004,recover focus->work,apologize and wait,True,True
2274,127,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.016,work->rest,return object,True,True
2275,127,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.016,rest->negotiate debt,offer help,True,True
2276,127,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Nia,care,-0.02,negotiate debt->care duty,give space,True,True
2277,127,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.02,seek tool->care duty,finish owed work,True,True
2278,127,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Fay,wood,-0.02,care duty->recover focus,rest before retry,True,True
2279,127,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Milo,care,0.002,private task->recover focus,apologize and wait,True,True
2280,127,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.016,recover focus->work,return object,True,True
2281,127,move,position changes but history remains intact,scheduler and debt panel update after reload,Tovan,wood,0.004,work->rest,offer help,True,True
2282,127,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.016,rest->negotiate debt,give space,True,True
2283,127,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.02,negotiate debt->seek tool,finish owed work,True,True
2284,127,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Fay,wood,-0.02,seek tool->private task,rest before retry,True,True
2285,127,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.016,care duty->private task,apologize and wait,True,True
2286,128,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Sera,water,-0.002,recover focus->work,offer help,True,True
2287,128,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.016,work->rest,give space,True,True
2288,128,move,position changes but history remains intact,scheduler and debt panel update after reload,Nia,care,0.004,rest->negotiate debt,finish owed work,True,True
2289,128,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.02,negotiate debt->seek tool,rest before retry,True,True
2290,128,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.016,seek tool->care duty,apologize and wait,True,True
2291,128,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Milo,care,-0.02,care duty->recover focus,return object,True,True
2292,128,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.016,private task->recover focus,offer help,True,True
2293,128,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Tovan,wood,-0.02,recover focus->rest,give space,True,True
2294,128,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Nia,care,-0.002,work->rest,finish owed work,True,True
2295,128,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.02,rest->negotiate debt,rest before retry,True,True
2296,128,move,position changes but history remains intact,scheduler and debt panel update after reload,Fay,wood,0.004,negotiate debt->seek tool,apologize and wait,True,True
2297,128,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.016,seek tool->care duty,return object,True,True
2298,128,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.016,care duty->private task,offer help,True,True
2299,128,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Tovan,wood,-0.02,private task->work,give space,True,True
2300,128,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.02,recover focus->work,finish owed work,True,True
2301,128,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Ari,water,-0.02,work->negotiate debt,rest before retry,True,True
2302,128,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Fay,wood,-0.002,rest->negotiate debt,apologize and wait,True,True
2303,128,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.016,negotiate debt->seek tool,return object,True,True
2304,129,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.016,care duty->private task,give space,True,True
2305,129,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.016,private task->recover focus,finish owed work,True,True
2306,129,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Nia,care,-0.02,recover focus->rest,rest before retry,True,True
2307,129,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.02,work->rest,apologize and wait,True,True
2308,129,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Fay,wood,-0.02,rest->seek tool,return object,True,True
2309,129,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Milo,care,0.002,negotiate debt->seek tool,offer help,True,True
2310,129,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.016,seek tool->care duty,give space,True,True
2311,129,move,position changes but history remains intact,scheduler and debt panel update after reload,Tovan,wood,0.004,care duty->private task,finish owed work,True,True
2312,129,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.02,private task->recover focus,rest before retry,True,True
2313,129,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.02,recover focus->work,apologize and wait,True,True
2314,129,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Fay,wood,-0.02,work->negotiate debt,return object,True,True
2315,129,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.016,rest->negotiate debt,offer help,True,True
2316,129,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Sera,water,-0.02,negotiate debt->care duty,give space,True,False
2317,129,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Tovan,wood,0.002,seek tool->care duty,finish owed work,True,True
2318,129,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.02,care duty->private task,rest before retry,True,True
2319,129,move,position changes but history remains intact,scheduler and debt panel update after reload,Ari,water,0.004,private task->recover focus,apologize and wait,True,True
2320,129,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.016,recover focus->work,return object,True,True
2321,129,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.016,work->rest,offer help,True,True
2322,130,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.016,negotiate debt->seek tool,finish owed work,True,True
2323,130,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Tovan,wood,-0.02,seek tool->private task,rest before retry,True,True
2324,130,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Nia,care,-0.002,care duty->private task,apologize and wait,True,True
2325,130,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.016,private task->recover focus,return object,True,True
2326,130,move,position changes but history remains intact,scheduler and debt panel update after reload,Fay,wood,0.004,recover focus->work,offer help,True,True
2327,130,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.016,work->rest,give space,True,True
2328,130,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.016,rest->negotiate debt,finish owed work,True,True
2329,130,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Tovan,wood,-0.02,negotiate debt->care duty,rest before retry,True,True
2330,130,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.02,seek tool->care duty,apologize and wait,True,True
2331,130,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Ari,water,-0.02,care duty->recover focus,return object,True,True
2332,130,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Fay,wood,-0.002,private task->recover focus,offer help,True,True
2333,130,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.016,recover focus->work,give space,True,True
2334,130,move,position changes but history remains intact,scheduler and debt panel update after reload,Sera,water,0.004,work->rest,finish owed work,True,True
2335,130,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.02,rest->negotiate debt,rest before retry,True,True
2336,130,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.02,negotiate debt->seek tool,apologize and wait,True,True
2337,130,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Ari,water,-0.02,seek tool->private task,return object,True,True
2338,130,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.016,care duty->private task,offer help,True,True
2339,130,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Milo,care,-0.02,private task->work,give space,True,True
2340,131,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.016,work->rest,rest before retry,True,True
2341,131,move,position changes but history remains intact,scheduler and debt panel update after reload,Tovan,wood,0.004,rest->negotiate debt,apologize and wait,True,True
2342,131,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.02,negotiate debt->seek tool,return object,True,True
2343,131,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.016,seek tool->care duty,offer help,True,True
2344,131,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Fay,wood,-0.02,care duty->recover focus,give space,True,True
2345,131,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.016,private task->recover focus,finish owed work,True,True
2346,131,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Sera,water,-0.02,recover focus->rest,rest before retry,True,False
2347,131,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Tovan,wood,0.002,work->rest,apologize and wait,True,True
2348,131,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.02,rest->negotiate debt,return object,True,True
2349,131,move,position changes but history remains intact,scheduler and debt panel update after reload,Ari,water,0.004,negotiate debt->seek tool,offer help,True,True
2350,131,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.016,seek tool->care duty,give space,True,True
2351,131,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.016,care duty->private task,finish owed work,True,True
2352,131,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Sera,water,-0.02,private task->work,rest before retry,True,True
2353,131,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.02,recover focus->work,apologize and wait,True,True
2354,131,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Nia,care,-0.02,work->negotiate debt,return object,True,True
2355,131,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Ari,water,0.002,rest->negotiate debt,offer help,True,True
2356,131,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.016,negotiate debt->seek tool,give space,True,True
2357,131,move,position changes but history remains intact,scheduler and debt panel update after reload,Milo,care,0.004,seek tool->care duty,finish owed work,True,True
2358,132,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.02,private task->recover focus,apologize and wait,True,True
2359,132,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Tovan,wood,-0.02,recover focus->rest,return object,True,True
2360,132,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.016,work->rest,offer help,True,True
