tick,day,resident,cause_action,direct_effect,delayed_effect,affected_resource,recovery_path,causal_chain_id,chain_scrubbable,non_magical_trust_repair
1973,110,Tovan,borrow_tool,trust cools,dashboard schedule/debt changes after restore,fiber,wait,chain:tovan:borrow_tool:110:11,True,True
1974,110,Nia,return_tool,trust warms,dashboard schedule/debt changes after restore,wood,finish owed work,chain:nia:return_tool:110:12,True,True
1975,110,Ari,interrupt_work,trust cools,dashboard schedule/debt changes after restore,herb,apologize,chain:ari:interrupt_work:110:13,True,True
1976,110,Fay,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,care,return tool,chain:fay:wait_offscreen:110:14,True,True
1977,110,Milo,repair_trust,trust warms,dashboard schedule/debt changes after restore,tool time,give space,chain:milo:repair_trust:110:15,True,True
1978,110,Sera,move,trust warms,movement only,water,offer help,chain:sera:move:110:16,True,True
1979,110,Tovan,talk,trust warms,movement only,fiber,wait,chain:tovan:talk:110:17,True,True
1980,111,Nia,borrow_tool,trust cools,dashboard schedule/debt changes after restore,herb,finish owed work,chain:nia:borrow_tool:111:00,True,True
1981,111,Ari,return_tool,trust warms,dashboard schedule/debt changes after restore,care,apologize,chain:ari:return_tool:111:01,True,True
1982,111,Fay,interrupt_work,trust cools,dashboard schedule/debt changes after restore,tool time,return tool,chain:fay:interrupt_work:111:02,True,True
1983,111,Milo,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,water,give space,chain:milo:wait_offscreen:111:03,True,True
1984,111,Sera,repair_trust,trust warms,dashboard schedule/debt changes after restore,fiber,offer help,chain:sera:repair_trust:111:04,True,True
1985,111,Tovan,move,trust warms,movement only,wood,wait,chain:tovan:move:111:05,True,True
1986,111,Nia,talk,trust warms,movement only,herb,finish owed work,chain:nia:talk:111:06,True,True
1987,111,Ari,offer_help,trust warms,dashboard schedule/debt changes after restore,care,apologize,chain:ari:offer_help:111:07,True,True
1988,111,Fay,borrow_tool,trust cools,dashboard schedule/debt changes after restore,tool time,return tool,chain:fay:borrow_tool:111:08,True,True
1989,111,Milo,return_tool,trust warms,dashboard schedule/debt changes after restore,water,give space,chain:milo:return_tool:111:09,True,True
1990,111,Sera,interrupt_work,trust cools,dashboard schedule/debt changes after restore,fiber,offer help,chain:sera:interrupt_work:111:10,True,True
1991,111,Tovan,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,wood,wait,chain:tovan:wait_offscreen:111:11,True,True
1992,111,Nia,repair_trust,trust warms,dashboard schedule/debt changes after restore,herb,finish owed work,chain:nia:repair_trust:111:12,True,True
1993,111,Ari,move,trust warms,movement only,care,apologize,chain:ari:move:111:13,True,True
1994,111,Fay,talk,trust warms,movement only,tool time,return tool,chain:fay:talk:111:14,True,True
1995,111,Milo,offer_help,trust warms,dashboard schedule/debt changes after restore,water,give space,chain:milo:offer_help:111:15,True,True
1996,111,Sera,borrow_tool,trust cools,dashboard schedule/debt changes after restore,fiber,offer help,chain:sera:borrow_tool:111:16,True,True
1997,111,Tovan,return_tool,trust warms,dashboard schedule/debt changes after restore,wood,wait,chain:tovan:return_tool:111:17,True,True
1998,112,Nia,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,care,finish owed work,chain:nia:wait_offscreen:112:00,True,True
1999,112,Ari,repair_trust,trust warms,dashboard schedule/debt changes after restore,tool time,apologize,chain:ari:repair_trust:112:01,True,True
2000,112,Fay,move,trust warms,movement only,water,return tool,chain:fay:move:112:02,True,True
2001,112,Milo,talk,trust warms,movement only,fiber,give space,chain:milo:talk:112:03,True,True
2002,112,Sera,offer_help,trust warms,dashboard schedule/debt changes after restore,wood,offer help,chain:sera:offer_help:112:04,True,True
2003,112,Tovan,borrow_tool,trust cools,dashboard schedule/debt changes after restore,herb,wait,chain:tovan:borrow_tool:112:05,True,True
2004,112,Nia,return_tool,trust warms,dashboard schedule/debt changes after restore,care,finish owed work,chain:nia:return_tool:112:06,True,True
2005,112,Ari,interrupt_work,trust cools,dashboard schedule/debt changes after restore,tool time,apologize,chain:ari:interrupt_work:112:07,True,True
2006,112,Fay,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,water,return tool,chain:fay:wait_offscreen:112:08,True,True
2007,112,Milo,repair_trust,trust warms,dashboard schedule/debt changes after restore,fiber,give space,chain:milo:repair_trust:112:09,True,True
2008,112,Sera,move,trust warms,movement only,wood,offer help,chain:sera:move:112:10,True,True
2009,112,Tovan,talk,trust warms,movement only,herb,wait,chain:tovan:talk:112:11,True,True
2010,112,Nia,offer_help,trust warms,dashboard schedule/debt changes after restore,care,finish owed work,chain:nia:offer_help:112:12,True,True
2011,112,Ari,borrow_tool,trust cools,dashboard schedule/debt changes after restore,tool time,apologize,chain:ari:borrow_tool:112:13,True,True
2012,112,Fay,return_tool,trust warms,dashboard schedule/debt changes after restore,water,return tool,chain:fay:return_tool:112:14,True,True
2013,112,Milo,interrupt_work,trust cools,dashboard schedule/debt changes after restore,fiber,give space,chain:milo:interrupt_work:112:15,True,True
2014,112,Sera,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,wood,offer help,chain:sera:wait_offscreen:112:16,True,True
2015,112,Tovan,repair_trust,trust warms,dashboard schedule/debt changes after restore,herb,wait,chain:tovan:repair_trust:112:17,True,True
2016,113,Nia,talk,trust warms,movement only,tool time,finish owed work,chain:nia:talk:113:00,True,True
2017,113,Ari,offer_help,trust warms,dashboard schedule/debt changes after restore,water,apologize,chain:ari:offer_help:113:01,True,True
2018,113,Fay,borrow_tool,trust cools,dashboard schedule/debt changes after restore,fiber,return tool,chain:fay:borrow_tool:113:02,True,True
2019,113,Milo,return_tool,trust warms,dashboard schedule/debt changes after restore,wood,give space,chain:milo:return_tool:113:03,True,True
2020,113,Sera,interrupt_work,trust cools,dashboard schedule/debt changes after restore,herb,offer help,chain:sera:interrupt_work:113:04,True,True
2021,113,Tovan,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,care,wait,chain:tovan:wait_offscreen:113:05,True,True
2022,113,Nia,repair_trust,trust warms,dashboard schedule/debt changes after restore,tool time,finish owed work,chain:nia:repair_trust:113:06,True,True
2023,113,Ari,move,trust warms,movement only,water,apologize,chain:ari:move:113:07,True,True
2024,113,Fay,talk,trust warms,movement only,fiber,return tool,chain:fay:talk:113:08,True,True
2025,113,Milo,offer_help,trust warms,dashboard schedule/debt changes after restore,wood,give space,chain:milo:offer_help:113:09,True,True
2026,113,Sera,borrow_tool,trust cools,dashboard schedule/debt changes after restore,herb,offer help,chain:sera:borrow_tool:113:10,True,True
2027,113,Tovan,return_tool,trust warms,dashboard schedule/debt changes after restore,care,wait,chain:tovan:return_tool:113:11,True,True
2028,113,Nia,interrupt_work,trust cools,dashboard schedule/debt changes after restore,tool time,finish owed work,chain:nia:interrupt_work:113:12,True,True
2029,113,Ari,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,water,apologize,chain:ari:wait_offscreen:113:13,True,True
2030,113,Fay,repair_trust,trust warms,dashboard schedule/debt changes after restore,fiber,return tool,chain:fay:repair_trust:113:14,True,True
2031,113,Milo,move,trust warms,movement only,wood,give space,chain:milo:move:113:15,True,True
2032,113,Sera,talk,trust warms,movement only,herb,offer help,chain:sera:talk:113:16,True,True
2033,113,Tovan,offer_help,trust warms,dashboard schedule/debt changes after restore,care,wait,chain:tovan:offer_help:113:17,True,True
2034,114,Nia,return_tool,trust warms,dashboard schedule/debt changes after restore,water,finish owed work,chain:nia:return_tool:114:00,True,True
2035,114,Ari,interrupt_work,trust cools,dashboard schedule/debt changes after restore,fiber,apologize,chain:ari:interrupt_work:114:01,True,True
2036,114,Fay,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,wood,return tool,chain:fay:wait_offscreen:114:02,True,True
2037,114,Milo,repair_trust,trust warms,dashboard schedule/debt changes after restore,herb,give space,chain:milo:repair_trust:114:03,True,True
2038,114,Sera,move,trust warms,movement only,care,offer help,chain:sera:move:114:04,True,True
2039,114,Tovan,talk,trust warms,movement only,tool time,wait,chain:tovan:talk:114:05,True,True
2040,114,Nia,offer_help,trust warms,dashboard schedule/debt changes after restore,water,finish owed work,chain:nia:offer_help:114:06,True,True
2041,114,Ari,borrow_tool,trust cools,dashboard schedule/debt changes after restore,fiber,apologize,chain:ari:borrow_tool:114:07,True,True
2042,114,Fay,return_tool,trust warms,dashboard schedule/debt changes after restore,wood,return tool,chain:fay:return_tool:114:08,True,True
2043,114,Milo,interrupt_work,trust cools,dashboard schedule/debt changes after restore,herb,give space,chain:milo:interrupt_work:114:09,True,True
2044,114,Sera,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,care,offer help,chain:sera:wait_offscreen:114:10,True,True
2045,114,Tovan,repair_trust,trust warms,dashboard schedule/debt changes after restore,tool time,wait,chain:tovan:repair_trust:114:11,True,True
2046,114,Nia,move,trust warms,movement only,water,finish owed work,chain:nia:move:114:12,True,True
2047,114,Ari,talk,trust warms,movement only,fiber,apologize,chain:ari:talk:114:13,True,True
2048,114,Fay,offer_help,trust warms,dashboard schedule/debt changes after restore,wood,return tool,chain:fay:offer_help:114:14,True,True
2049,114,Milo,borrow_tool,trust cools,dashboard schedule/debt changes after restore,herb,give space,chain:milo:borrow_tool:114:15,True,True
2050,114,Sera,return_tool,trust warms,dashboard schedule/debt changes after restore,care,offer help,chain:sera:return_tool:114:16,True,True
2051,114,Tovan,interrupt_work,trust cools,dashboard schedule/debt changes after restore,tool time,wait,chain:tovan:interrupt_work:114:17,True,True
2052,115,Nia,repair_trust,trust warms,dashboard schedule/debt changes after restore,fiber,finish owed work,chain:nia:repair_trust:115:00,True,True
2053,115,Ari,move,trust warms,movement only,wood,apologize,chain:ari:move:115:01,True,True
2054,115,Fay,talk,trust warms,movement only,herb,return tool,chain:fay:talk:115:02,True,True
2055,115,Milo,offer_help,trust warms,dashboard schedule/debt changes after restore,care,give space,chain:milo:offer_help:115:03,True,True
2056,115,Sera,borrow_tool,trust cools,dashboard schedule/debt changes after restore,tool time,offer help,chain:sera:borrow_tool:115:04,True,True
2057,115,Tovan,return_tool,trust warms,dashboard schedule/debt changes after restore,water,wait,chain:tovan:return_tool:115:05,True,True
2058,115,Nia,interrupt_work,trust cools,dashboard schedule/debt changes after restore,fiber,finish owed work,chain:nia:interrupt_work:115:06,True,True
2059,115,Ari,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,wood,apologize,chain:ari:wait_offscreen:115:07,True,True
2060,115,Fay,repair_trust,trust warms,dashboard schedule/debt changes after restore,herb,return tool,chain:fay:repair_trust:115:08,True,True
2061,115,Milo,move,trust warms,movement only,care,give space,chain:milo:move:115:09,True,True
2062,115,Sera,talk,trust warms,movement only,tool time,offer help,chain:sera:talk:115:10,True,True
2063,115,Tovan,offer_help,trust warms,dashboard schedule/debt changes after restore,water,wait,chain:tovan:offer_help:115:11,True,True
2064,115,Nia,borrow_tool,trust cools,dashboard schedule/debt changes after restore,fiber,finish owed work,chain:nia:borrow_tool:115:12,True,True
2065,115,Ari,return_tool,trust warms,dashboard schedule/debt changes after restore,wood,apologize,chain:ari:return_tool:115:13,True,True
2066,115,Fay,interrupt_work,trust cools,dashboard schedule/debt changes after restore,herb,return tool,chain:fay:interrupt_work:115:14,True,True
2067,115,Milo,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,care,give space,chain:milo:wait_offscreen:115:15,True,True
2068,115,Sera,repair_trust,trust warms,dashboard schedule/debt changes after restore,tool time,offer help,chain:sera:repair_trust:115:16,True,True
2069,115,Tovan,move,trust warms,movement only,water,wait,chain:tovan:move:115:17,True,True
2070,116,Nia,offer_help,trust warms,dashboard schedule/debt changes after restore,wood,finish owed work,chain:nia:offer_help:116:00,True,True
2071,116,Ari,borrow_tool,trust cools,dashboard schedule/debt changes after restore,herb,apologize,chain:ari:borrow_tool:116:01,True,True
2072,116,Fay,return_tool,trust warms,dashboard schedule/debt changes after restore,care,return tool,chain:fay:return_tool:116:02,True,True
2073,116,Milo,interrupt_work,trust cools,dashboard schedule/debt changes after restore,tool time,give space,chain:milo:interrupt_work:116:03,True,True
2074,116,Sera,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,water,offer help,chain:sera:wait_offscreen:116:04,True,True
2075,116,Tovan,repair_trust,trust warms,dashboard schedule/debt changes after restore,fiber,wait,chain:tovan:repair_trust:116:05,True,True
2076,116,Nia,move,trust warms,movement only,wood,finish owed work,chain:nia:move:116:06,True,True
2077,116,Ari,talk,trust warms,movement only,herb,apologize,chain:ari:talk:116:07,True,True
2078,116,Fay,offer_help,trust warms,dashboard schedule/debt changes after restore,care,return tool,chain:fay:offer_help:116:08,True,True
2079,116,Milo,borrow_tool,trust cools,dashboard schedule/debt changes after restore,tool time,give space,chain:milo:borrow_tool:116:09,True,True
2080,116,Sera,return_tool,trust warms,dashboard schedule/debt changes after restore,water,offer help,chain:sera:return_tool:116:10,True,True
2081,116,Tovan,interrupt_work,trust cools,dashboard schedule/debt changes after restore,fiber,wait,chain:tovan:interrupt_work:116:11,True,True
2082,116,Nia,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,wood,finish owed work,chain:nia:wait_offscreen:116:12,True,True
2083,116,Ari,repair_trust,trust warms,dashboard schedule/debt changes after restore,herb,apologize,chain:ari:repair_trust:116:13,True,True
2084,116,Fay,move,trust warms,movement only,care,return tool,chain:fay:move:116:14,True,True
2085,116,Milo,talk,trust warms,movement only,tool time,give space,chain:milo:talk:116:15,True,True
2086,116,Sera,offer_help,trust warms,dashboard schedule/debt changes after restore,water,offer help,chain:sera:offer_help:116:16,True,True
2087,116,Tovan,borrow_tool,trust cools,dashboard schedule/debt changes after restore,fiber,wait,chain:tovan:borrow_tool:116:17,True,True
2088,117,Nia,interrupt_work,trust cools,dashboard schedule/debt changes after restore,herb,finish owed work,chain:nia:interrupt_work:117:00,True,True
2089,117,Ari,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,care,apologize,chain:ari:wait_offscreen:117:01,True,True
2090,117,Fay,repair_trust,trust warms,dashboard schedule/debt changes after restore,tool time,return tool,chain:fay:repair_trust:117:02,True,True
2091,117,Milo,move,trust warms,movement only,water,give space,chain:milo:move:117:03,True,True
2092,117,Sera,talk,trust warms,movement only,fiber,offer help,chain:sera:talk:117:04,True,True
2093,117,Tovan,offer_help,trust warms,dashboard schedule/debt changes after restore,wood,wait,chain:tovan:offer_help:117:05,True,True
2094,117,Nia,borrow_tool,trust cools,dashboard schedule/debt changes after restore,herb,finish owed work,chain:nia:borrow_tool:117:06,True,True
2095,117,Ari,return_tool,trust warms,dashboard schedule/debt changes after restore,care,apologize,chain:ari:return_tool:117:07,True,True
2096,117,Fay,interrupt_work,trust cools,dashboard schedule/debt changes after restore,tool time,return tool,chain:fay:interrupt_work:117:08,True,True
2097,117,Milo,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,water,give space,chain:milo:wait_offscreen:117:09,True,True
2098,117,Sera,repair_trust,trust warms,dashboard schedule/debt changes after restore,fiber,offer help,chain:sera:repair_trust:117:10,True,True
2099,117,Tovan,move,trust warms,movement only,wood,wait,chain:tovan:move:117:11,True,True
2100,117,Nia,talk,trust warms,movement only,herb,finish owed work,chain:nia:talk:117:12,True,True
2101,117,Ari,offer_help,trust warms,dashboard schedule/debt changes after restore,care,apologize,chain:ari:offer_help:117:13,True,True
2102,117,Fay,borrow_tool,trust cools,dashboard schedule/debt changes after restore,tool time,return tool,chain:fay:borrow_tool:117:14,True,True
2103,117,Milo,return_tool,trust warms,dashboard schedule/debt changes after restore,water,give space,chain:milo:return_tool:117:15,True,True
2104,117,Sera,interrupt_work,trust cools,dashboard schedule/debt changes after restore,fiber,offer help,chain:sera:interrupt_work:117:16,True,True
2105,117,Tovan,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,wood,wait,chain:tovan:wait_offscreen:117:17,True,True
2106,118,Nia,move,trust warms,movement only,care,finish owed work,chain:nia:move:118:00,True,True
2107,118,Ari,talk,trust warms,movement only,tool time,apologize,chain:ari:talk:118:01,True,True
2108,118,Fay,offer_help,trust warms,dashboard schedule/debt changes after restore,water,return tool,chain:fay:offer_help:118:02,True,True
2109,118,Milo,borrow_tool,trust cools,dashboard schedule/debt changes after restore,fiber,give space,chain:milo:borrow_tool:118:03,True,True
2110,118,Sera,return_tool,trust warms,dashboard schedule/debt changes after restore,wood,offer help,chain:sera:return_tool:118:04,True,True
2111,118,Tovan,interrupt_work,trust cools,dashboard schedule/debt changes after restore,herb,wait,chain:tovan:interrupt_work:118:05,True,True
2112,118,Nia,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,care,finish owed work,chain:nia:wait_offscreen:118:06,True,True
2113,118,Ari,repair_trust,trust warms,dashboard schedule/debt changes after restore,tool time,apologize,chain:ari:repair_trust:118:07,True,True
2114,118,Fay,move,trust warms,movement only,water,return tool,chain:fay:move:118:08,True,True
2115,118,Milo,talk,trust warms,movement only,fiber,give space,chain:milo:talk:118:09,True,True
2116,118,Sera,offer_help,trust warms,dashboard schedule/debt changes after restore,wood,offer help,chain:sera:offer_help:118:10,True,True
2117,118,Tovan,borrow_tool,trust cools,dashboard schedule/debt changes after restore,herb,wait,chain:tovan:borrow_tool:118:11,True,True
2118,118,Nia,return_tool,trust warms,dashboard schedule/debt changes after restore,care,finish owed work,chain:nia:return_tool:118:12,True,True
2119,118,Ari,interrupt_work,trust cools,dashboard schedule/debt changes after restore,tool time,apologize,chain:ari:interrupt_work:118:13,True,True
2120,118,Fay,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,water,return tool,chain:fay:wait_offscreen:118:14,True,True
2121,118,Milo,repair_trust,trust warms,dashboard schedule/debt changes after restore,fiber,give space,chain:milo:repair_trust:118:15,True,True
2122,118,Sera,move,trust warms,movement only,wood,offer help,chain:sera:move:118:16,True,True
2123,118,Tovan,talk,trust warms,movement only,herb,wait,chain:tovan:talk:118:17,True,True
2124,119,Nia,borrow_tool,trust cools,dashboard schedule/debt changes after restore,tool time,finish owed work,chain:nia:borrow_tool:119:00,True,True
2125,119,Ari,return_tool,trust warms,dashboard schedule/debt changes after restore,water,apologize,chain:ari:return_tool:119:01,True,True
2126,119,Fay,interrupt_work,trust cools,dashboard schedule/debt changes after restore,fiber,return tool,chain:fay:interrupt_work:119:02,True,True
2127,119,Milo,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,wood,give space,chain:milo:wait_offscreen:119:03,True,True
2128,119,Sera,repair_trust,trust warms,dashboard schedule/debt changes after restore,herb,offer help,chain:sera:repair_trust:119:04,True,True
2129,119,Tovan,move,trust warms,movement only,care,wait,chain:tovan:move:119:05,True,True
2130,119,Nia,talk,trust warms,movement only,tool time,finish owed work,chain:nia:talk:119:06,True,True
2131,119,Ari,offer_help,trust warms,dashboard schedule/debt changes after restore,water,apologize,chain:ari:offer_help:119:07,True,True
2132,119,Fay,borrow_tool,trust cools,dashboard schedule/debt changes after restore,fiber,return tool,chain:fay:borrow_tool:119:08,True,True
2133,119,Milo,return_tool,trust warms,dashboard schedule/debt changes after restore,wood,give space,chain:milo:return_tool:119:09,True,True
2134,119,Sera,interrupt_work,trust cools,dashboard schedule/debt changes after restore,herb,offer help,chain:sera:interrupt_work:119:10,True,True
2135,119,Tovan,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,care,wait,chain:tovan:wait_offscreen:119:11,True,True
2136,119,Nia,repair_trust,trust warms,dashboard schedule/debt changes after restore,tool time,finish owed work,chain:nia:repair_trust:119:12,True,True
2137,119,Ari,move,trust warms,movement only,water,apologize,chain:ari:move:119:13,True,True
2138,119,Fay,talk,trust warms,movement only,fiber,return tool,chain:fay:talk:119:14,True,True
2139,119,Milo,offer_help,trust warms,dashboard schedule/debt changes after restore,wood,give space,chain:milo:offer_help:119:15,True,True
2140,119,Sera,borrow_tool,trust cools,dashboard schedule/debt changes after restore,herb,offer help,chain:sera:borrow_tool:119:16,True,True
2141,119,Tovan,return_tool,trust warms,dashboard schedule/debt changes after restore,care,wait,chain:tovan:return_tool:119:17,True,True
2142,120,Nia,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,water,finish owed work,chain:nia:wait_offscreen:120:00,True,True
2143,120,Ari,repair_trust,trust warms,dashboard schedule/debt changes after restore,fiber,apologize,chain:ari:repair_trust:120:01,True,True
2144,120,Fay,move,trust warms,movement only,wood,return tool,chain:fay:move:120:02,True,True
2145,120,Milo,talk,trust warms,movement only,herb,give space,chain:milo:talk:120:03,True,True
2146,120,Sera,offer_help,trust warms,dashboard schedule/debt changes after restore,care,offer help,chain:sera:offer_help:120:04,True,True
2147,120,Tovan,borrow_tool,trust cools,dashboard schedule/debt changes after restore,tool time,wait,chain:tovan:borrow_tool:120:05,True,True
2148,120,Nia,return_tool,trust warms,dashboard schedule/debt changes after restore,water,finish owed work,chain:nia:return_tool:120:06,True,True
2149,120,Ari,interrupt_work,trust cools,dashboard schedule/debt changes after restore,fiber,apologize,chain:ari:interrupt_work:120:07,True,True
2150,120,Fay,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,wood,return tool,chain:fay:wait_offscreen:120:08,True,True
2151,120,Milo,repair_trust,trust warms,dashboard schedule/debt changes after restore,herb,give space,chain:milo:repair_trust:120:09,True,True
2152,120,Sera,move,trust warms,movement only,care,offer help,chain:sera:move:120:10,True,True
2153,120,Tovan,talk,trust warms,movement only,tool time,wait,chain:tovan:talk:120:11,True,True
2154,120,Nia,offer_help,trust warms,dashboard schedule/debt changes after restore,water,finish owed work,chain:nia:offer_help:120:12,True,True
2155,120,Ari,borrow_tool,trust cools,dashboard schedule/debt changes after restore,fiber,apologize,chain:ari:borrow_tool:120:13,True,True
2156,120,Fay,return_tool,trust warms,dashboard schedule/debt changes after restore,wood,return tool,chain:fay:return_tool:120:14,True,True
2157,120,Milo,interrupt_work,trust cools,dashboard schedule/debt changes after restore,herb,give space,chain:milo:interrupt_work:120:15,True,True
2158,120,Sera,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,care,offer help,chain:sera:wait_offscreen:120:16,True,True
2159,120,Tovan,repair_trust,trust warms,dashboard schedule/debt changes after restore,tool time,wait,chain:tovan:repair_trust:120:17,True,True
2160,121,Nia,talk,trust warms,movement only,fiber,finish owed work,chain:nia:talk:121:00,True,True
2161,121,Ari,offer_help,trust warms,dashboard schedule/debt changes after restore,wood,apologize,chain:ari:offer_help:121:01,True,True
2162,121,Fay,borrow_tool,trust cools,dashboard schedule/debt changes after restore,herb,return tool,chain:fay:borrow_tool:121:02,True,True
2163,121,Milo,return_tool,trust warms,dashboard schedule/debt changes after restore,care,give space,chain:milo:return_tool:121:03,True,True
2164,121,Sera,interrupt_work,trust cools,dashboard schedule/debt changes after restore,tool time,offer help,chain:sera:interrupt_work:121:04,True,True
2165,121,Tovan,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,water,wait,chain:tovan:wait_offscreen:121:05,True,True
2166,121,Nia,repair_trust,trust warms,dashboard schedule/debt changes after restore,fiber,finish owed work,chain:nia:repair_trust:121:06,True,True
2167,121,Ari,move,trust warms,movement only,wood,apologize,chain:ari:move:121:07,True,True
2168,121,Fay,talk,trust warms,movement only,herb,return tool,chain:fay:talk:121:08,True,True
2169,121,Milo,offer_help,trust warms,dashboard schedule/debt changes after restore,care,give space,chain:milo:offer_help:121:09,True,True
2170,121,Sera,borrow_tool,trust cools,dashboard schedule/debt changes after restore,tool time,offer help,chain:sera:borrow_tool:121:10,True,True
2171,121,Tovan,return_tool,trust warms,dashboard schedule/debt changes after restore,water,wait,chain:tovan:return_tool:121:11,True,True
2172,121,Nia,interrupt_work,trust cools,dashboard schedule/debt changes after restore,fiber,finish owed work,chain:nia:interrupt_work:121:12,True,True
2173,121,Ari,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,wood,apologize,chain:ari:wait_offscreen:121:13,True,True
2174,121,Fay,repair_trust,trust warms,dashboard schedule/debt changes after restore,herb,return tool,chain:fay:repair_trust:121:14,True,True
2175,121,Milo,move,trust warms,movement only,care,give space,chain:milo:move:121:15,True,True
2176,121,Sera,talk,trust warms,movement only,tool time,offer help,chain:sera:talk:121:16,True,True
2177,121,Tovan,offer_help,trust warms,dashboard schedule/debt changes after restore,water,wait,chain:tovan:offer_help:121:17,True,True
2178,122,Nia,return_tool,trust warms,dashboard schedule/debt changes after restore,wood,finish owed work,chain:nia:return_tool:122:00,True,True
2179,122,Ari,interrupt_work,trust cools,dashboard schedule/debt changes after restore,herb,apologize,chain:ari:interrupt_work:122:01,True,True
2180,122,Fay,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,care,return tool,chain:fay:wait_offscreen:122:02,True,True
2181,122,Milo,repair_trust,trust warms,dashboard schedule/debt changes after restore,tool time,give space,chain:milo:repair_trust:122:03,True,True
2182,122,Sera,move,trust warms,movement only,water,offer help,chain:sera:move:122:04,True,True
2183,122,Tovan,talk,trust warms,movement only,fiber,wait,chain:tovan:talk:122:05,True,True
2184,122,Nia,offer_help,trust warms,dashboard schedule/debt changes after restore,wood,finish owed work,chain:nia:offer_help:122:06,True,True
2185,122,Ari,borrow_tool,trust cools,dashboard schedule/debt changes after restore,herb,apologize,chain:ari:borrow_tool:122:07,True,True
2186,122,Fay,return_tool,trust warms,dashboard schedule/debt changes after restore,care,return tool,chain:fay:return_tool:122:08,True,True
2187,122,Milo,interrupt_work,trust cools,dashboard schedule/debt changes after restore,tool time,give space,chain:milo:interrupt_work:122:09,True,True
2188,122,Sera,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,water,offer help,chain:sera:wait_offscreen:122:10,True,True
2189,122,Tovan,repair_trust,trust warms,dashboard schedule/debt changes after restore,fiber,wait,chain:tovan:repair_trust:122:11,True,True
2190,122,Nia,move,trust warms,movement only,wood,finish owed work,chain:nia:move:122:12,True,True
2191,122,Ari,talk,trust warms,movement only,herb,apologize,chain:ari:talk:122:13,True,True
2192,122,Fay,offer_help,trust warms,dashboard schedule/debt changes after restore,care,return tool,chain:fay:offer_help:122:14,True,True
2193,122,Milo,borrow_tool,trust cools,dashboard schedule/debt changes after restore,tool time,give space,chain:milo:borrow_tool:122:15,True,True
2194,122,Sera,return_tool,trust warms,dashboard schedule/debt changes after restore,water,offer help,chain:sera:return_tool:122:16,True,True
2195,122,Tovan,interrupt_work,trust cools,dashboard schedule/debt changes after restore,fiber,wait,chain:tovan:interrupt_work:122:17,True,True
2196,123,Nia,repair_trust,trust warms,dashboard schedule/debt changes after restore,herb,finish owed work,chain:nia:repair_trust:123:00,True,True
2197,123,Ari,move,trust warms,movement only,care,apologize,chain:ari:move:123:01,True,True
2198,123,Fay,talk,trust warms,movement only,tool time,return tool,chain:fay:talk:123:02,True,True
2199,123,Milo,offer_help,trust warms,dashboard schedule/debt changes after restore,water,give space,chain:milo:offer_help:123:03,True,True
2200,123,Sera,borrow_tool,trust cools,dashboard schedule/debt changes after restore,fiber,offer help,chain:sera:borrow_tool:123:04,True,True
2201,123,Tovan,return_tool,trust warms,dashboard schedule/debt changes after restore,wood,wait,chain:tovan:return_tool:123:05,True,True
2202,123,Nia,interrupt_work,trust cools,dashboard schedule/debt changes after restore,herb,finish owed work,chain:nia:interrupt_work:123:06,True,True
2203,123,Ari,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,care,apologize,chain:ari:wait_offscreen:123:07,True,True
2204,123,Fay,repair_trust,trust warms,dashboard schedule/debt changes after restore,tool time,return tool,chain:fay:repair_trust:123:08,True,True
2205,123,Milo,move,trust warms,movement only,water,give space,chain:milo:move:123:09,True,True
2206,123,Sera,talk,trust warms,movement only,fiber,offer help,chain:sera:talk:123:10,True,True
2207,123,Tovan,offer_help,trust warms,dashboard schedule/debt changes after restore,wood,wait,chain:tovan:offer_help:123:11,True,True
