generation,year,settlement_id,ritual_name,ritual_function,flower_node,frequency_rate_hz,sensory_anchor,social_boundary_taught,inherited_ritual,variation_marker
66,1980,orchard,satchel-vow-child naming,teach dry seed continuity and bounded consent,node-01,0.562,cart creak and apple soil,ask before touching owned tools,True,v7.7
66,1980,repair_ring,spark-distance-trade witness,teach safe repair space and bounded consent,node-09,0.582,bell hum and hot copper,ask before touching owned tools,True,v7.8
67,2010,riverbend,plank-listening-object blessing,teach dry crossing and bounded consent,node-03,0.485,river slap and cedar resin,ask before touching owned tools,True,v7.4
67,2010,roofward,sun-ledger-boundary asking,teach herb preservation and bounded consent,node-05,0.505,hinge ticks and thyme paper,ask before touching owned tools,True,v7.5
67,2010,archive,spool-naming-grief return,teach signal memory and bounded consent,node-08,0.525,page flutter and ink linen,ask before touching owned tools,True,v7.6
67,2010,signal,lantern-turning-child naming,teach path visibility and bounded consent,node-11,0.545,static crickets and lamp oil,ask before touching owned tools,True,v7.7
67,2010,orchard,satchel-vow-trade witness,teach dry seed continuity and bounded consent,node-01,0.565,cart creak and apple soil,ask before touching owned tools,True,v7.8
67,2010,repair_ring,spark-distance-avatar waiting myth,teach safe repair space and bounded consent,node-09,0.585,bell hum and hot copper,ask before touching owned tools,True,v7.0
68,2040,riverbend,plank-listening-boundary asking,teach dry crossing and bounded consent,node-03,0.488,river slap and cedar resin,ask before touching owned tools,True,v7.5
68,2040,roofward,sun-ledger-grief return,teach herb preservation and bounded consent,node-05,0.508,hinge ticks and thyme paper,ask before touching owned tools,True,v7.6
68,2040,archive,spool-naming-child naming,teach signal memory and bounded consent,node-08,0.528,page flutter and ink linen,ask before touching owned tools,True,v7.7
68,2040,signal,lantern-turning-trade witness,teach path visibility and bounded consent,node-11,0.548,static crickets and lamp oil,ask before touching owned tools,True,v7.8
68,2040,orchard,satchel-vow-avatar waiting myth,teach dry seed continuity and bounded consent,node-01,0.568,cart creak and apple soil,ask before touching owned tools,True,v7.0
68,2040,repair_ring,spark-distance-founding vow,teach safe repair space and bounded consent,node-09,0.588,bell hum and hot copper,ask before touching owned tools,True,v7.1
69,2070,riverbend,plank-listening-grief return,teach dry crossing and bounded consent,node-03,0.491,river slap and cedar resin,ask before touching owned tools,True,v7.6
69,2070,roofward,sun-ledger-child naming,teach herb preservation and bounded consent,node-05,0.511,hinge ticks and thyme paper,ask before touching owned tools,True,v7.7
69,2070,archive,spool-naming-trade witness,teach signal memory and bounded consent,node-08,0.531,page flutter and ink linen,ask before touching owned tools,True,v7.8
69,2070,signal,lantern-turning-avatar waiting myth,teach path visibility and bounded consent,node-11,0.551,static crickets and lamp oil,ask before touching owned tools,True,v7.0
69,2070,orchard,satchel-vow-founding vow,teach dry seed continuity and bounded consent,node-01,0.571,cart creak and apple soil,ask before touching owned tools,True,v7.1
69,2070,repair_ring,spark-distance-seasonal repair,teach safe repair space and bounded consent,node-09,0.591,bell hum and hot copper,ask before touching owned tools,True,v7.2
70,2100,riverbend,plank-listening-child naming,teach dry crossing and bounded consent,node-03,0.494,river slap and cedar resin,ask before touching owned tools,True,v7.7
70,2100,roofward,sun-ledger-trade witness,teach herb preservation and bounded consent,node-05,0.514,hinge ticks and thyme paper,ask before touching owned tools,True,v7.8
70,2100,archive,spool-naming-avatar waiting myth,teach signal memory and bounded consent,node-08,0.534,page flutter and ink linen,ask before touching owned tools,True,v7.0
70,2100,signal,lantern-turning-founding vow,teach path visibility and bounded consent,node-11,0.554,static crickets and lamp oil,ask before touching owned tools,True,v7.1
70,2100,orchard,satchel-vow-seasonal repair,teach dry seed continuity and bounded consent,node-01,0.574,cart creak and apple soil,ask before touching owned tools,True,v7.2
70,2100,repair_ring,spark-distance-object blessing,teach safe repair space and bounded consent,node-09,0.594,bell hum and hot copper,ask before touching owned tools,True,v7.3
71,2130,riverbend,plank-listening-avatar waiting myth,teach dry crossing and bounded consent,node-03,0.509,river slap and cedar resin,ask before touching owned tools,True,v8.8
71,2130,roofward,sun-ledger-founding vow,teach herb preservation and bounded consent,node-05,0.529,hinge ticks and thyme paper,ask before touching owned tools,True,v8.0
71,2130,archive,spool-naming-seasonal repair,teach signal memory and bounded consent,node-08,0.549,page flutter and ink linen,ask before touching owned tools,True,v8.1
71,2130,signal,lantern-turning-object blessing,teach path visibility and bounded consent,node-11,0.569,static crickets and lamp oil,ask before touching owned tools,True,v8.2
71,2130,orchard,satchel-vow-boundary asking,teach dry seed continuity and bounded consent,node-01,0.589,cart creak and apple soil,ask before touching owned tools,True,v8.3
71,2130,repair_ring,spark-distance-grief return,teach safe repair space and bounded consent,node-09,0.609,bell hum and hot copper,ask before touching owned tools,True,v8.4
72,2160,riverbend,plank-listening-founding vow,teach dry crossing and bounded consent,node-03,0.476,river slap and cedar resin,ask before touching owned tools,True,v8.0
72,2160,roofward,sun-ledger-seasonal repair,teach herb preservation and bounded consent,node-05,0.496,hinge ticks and thyme paper,ask before touching owned tools,True,v8.1
72,2160,archive,spool-naming-object blessing,teach signal memory and bounded consent,node-08,0.516,page flutter and ink linen,ask before touching owned tools,True,v8.2
72,2160,signal,lantern-turning-boundary asking,teach path visibility and bounded consent,node-11,0.536,static crickets and lamp oil,ask before touching owned tools,True,v8.3
72,2160,orchard,satchel-vow-grief return,teach dry seed continuity and bounded consent,node-01,0.556,cart creak and apple soil,ask before touching owned tools,True,v8.4
72,2160,repair_ring,spark-distance-child naming,teach safe repair space and bounded consent,node-09,0.576,bell hum and hot copper,ask before touching owned tools,True,v8.5
73,2190,riverbend,plank-listening-seasonal repair,teach dry crossing and bounded consent,node-03,0.479,river slap and cedar resin,ask before touching owned tools,True,v8.1
73,2190,roofward,sun-ledger-object blessing,teach herb preservation and bounded consent,node-05,0.499,hinge ticks and thyme paper,ask before touching owned tools,True,v8.2
73,2190,archive,spool-naming-boundary asking,teach signal memory and bounded consent,node-08,0.519,page flutter and ink linen,ask before touching owned tools,True,v8.3
73,2190,signal,lantern-turning-grief return,teach path visibility and bounded consent,node-11,0.539,static crickets and lamp oil,ask before touching owned tools,True,v8.4
73,2190,orchard,satchel-vow-child naming,teach dry seed continuity and bounded consent,node-01,0.559,cart creak and apple soil,ask before touching owned tools,True,v8.5
73,2190,repair_ring,spark-distance-trade witness,teach safe repair space and bounded consent,node-09,0.579,bell hum and hot copper,ask before touching owned tools,True,v8.6
74,2220,riverbend,plank-listening-object blessing,teach dry crossing and bounded consent,node-03,0.482,river slap and cedar resin,ask before touching owned tools,True,v8.2
74,2220,roofward,sun-ledger-boundary asking,teach herb preservation and bounded consent,node-05,0.502,hinge ticks and thyme paper,ask before touching owned tools,True,v8.3
74,2220,archive,spool-naming-grief return,teach signal memory and bounded consent,node-08,0.522,page flutter and ink linen,ask before touching owned tools,True,v8.4
74,2220,signal,lantern-turning-child naming,teach path visibility and bounded consent,node-11,0.542,static crickets and lamp oil,ask before touching owned tools,True,v8.5
74,2220,orchard,satchel-vow-trade witness,teach dry seed continuity and bounded consent,node-01,0.562,cart creak and apple soil,ask before touching owned tools,True,v8.6
74,2220,repair_ring,spark-distance-avatar waiting myth,teach safe repair space and bounded consent,node-09,0.582,bell hum and hot copper,ask before touching owned tools,True,v8.7
75,2250,riverbend,plank-listening-boundary asking,teach dry crossing and bounded consent,node-03,0.485,river slap and cedar resin,ask before touching owned tools,True,v8.3
75,2250,roofward,sun-ledger-grief return,teach herb preservation and bounded consent,node-05,0.505,hinge ticks and thyme paper,ask before touching owned tools,True,v8.4
75,2250,archive,spool-naming-child naming,teach signal memory and bounded consent,node-08,0.525,page flutter and ink linen,ask before touching owned tools,True,v8.5
75,2250,signal,lantern-turning-trade witness,teach path visibility and bounded consent,node-11,0.545,static crickets and lamp oil,ask before touching owned tools,True,v8.6
75,2250,orchard,satchel-vow-avatar waiting myth,teach dry seed continuity and bounded consent,node-01,0.565,cart creak and apple soil,ask before touching owned tools,True,v8.7
75,2250,repair_ring,spark-distance-founding vow,teach safe repair space and bounded consent,node-09,0.585,bell hum and hot copper,ask before touching owned tools,True,v8.8
76,2280,riverbend,plank-listening-grief return,teach dry crossing and bounded consent,node-03,0.488,river slap and cedar resin,ask before touching owned tools,True,v8.4
76,2280,roofward,sun-ledger-child naming,teach herb preservation and bounded consent,node-05,0.508,hinge ticks and thyme paper,ask before touching owned tools,True,v8.5
76,2280,archive,spool-naming-trade witness,teach signal memory and bounded consent,node-08,0.528,page flutter and ink linen,ask before touching owned tools,True,v8.6
76,2280,signal,lantern-turning-avatar waiting myth,teach path visibility and bounded consent,node-11,0.548,static crickets and lamp oil,ask before touching owned tools,True,v8.7
76,2280,orchard,satchel-vow-founding vow,teach dry seed continuity and bounded consent,node-01,0.568,cart creak and apple soil,ask before touching owned tools,True,v8.8
76,2280,repair_ring,spark-distance-seasonal repair,teach safe repair space and bounded consent,node-09,0.588,bell hum and hot copper,ask before touching owned tools,True,v8.0
77,2310,riverbend,plank-listening-child naming,teach dry crossing and bounded consent,node-03,0.491,river slap and cedar resin,ask before touching owned tools,True,v8.5
77,2310,roofward,sun-ledger-trade witness,teach herb preservation and bounded consent,node-05,0.511,hinge ticks and thyme paper,ask before touching owned tools,True,v8.6
77,2310,archive,spool-naming-avatar waiting myth,teach signal memory and bounded consent,node-08,0.531,page flutter and ink linen,ask before touching owned tools,True,v8.7
77,2310,signal,lantern-turning-founding vow,teach path visibility and bounded consent,node-11,0.551,static crickets and lamp oil,ask before touching owned tools,True,v8.8
77,2310,orchard,satchel-vow-seasonal repair,teach dry seed continuity and bounded consent,node-01,0.571,cart creak and apple soil,ask before touching owned tools,True,v8.0
77,2310,repair_ring,spark-distance-object blessing,teach safe repair space and bounded consent,node-09,0.591,bell hum and hot copper,ask before touching owned tools,True,v8.1
78,2340,riverbend,plank-listening-trade witness,teach dry crossing and bounded consent,node-03,0.494,river slap and cedar resin,ask before touching owned tools,True,v8.6
78,2340,roofward,sun-ledger-avatar waiting myth,teach herb preservation and bounded consent,node-05,0.514,hinge ticks and thyme paper,ask before touching owned tools,True,v8.7
78,2340,archive,spool-naming-founding vow,teach signal memory and bounded consent,node-08,0.534,page flutter and ink linen,ask before touching owned tools,True,v8.8
78,2340,signal,lantern-turning-seasonal repair,teach path visibility and bounded consent,node-11,0.554,static crickets and lamp oil,ask before touching owned tools,True,v8.0
78,2340,orchard,satchel-vow-object blessing,teach dry seed continuity and bounded consent,node-01,0.574,cart creak and apple soil,ask before touching owned tools,True,v8.1
78,2340,repair_ring,spark-distance-boundary asking,teach safe repair space and bounded consent,node-09,0.594,bell hum and hot copper,ask before touching owned tools,True,v8.2
79,2370,riverbend,plank-listening-avatar waiting myth,teach dry crossing and bounded consent,node-03,0.497,river slap and cedar resin,ask before touching owned tools,True,v8.7
79,2370,roofward,sun-ledger-founding vow,teach herb preservation and bounded consent,node-05,0.517,hinge ticks and thyme paper,ask before touching owned tools,True,v8.8
79,2370,archive,spool-naming-seasonal repair,teach signal memory and bounded consent,node-08,0.537,page flutter and ink linen,ask before touching owned tools,True,v8.0
79,2370,signal,lantern-turning-object blessing,teach path visibility and bounded consent,node-11,0.557,static crickets and lamp oil,ask before touching owned tools,True,v8.1
79,2370,orchard,satchel-vow-boundary asking,teach dry seed continuity and bounded consent,node-01,0.577,cart creak and apple soil,ask before touching owned tools,True,v8.2
79,2370,repair_ring,spark-distance-grief return,teach safe repair space and bounded consent,node-09,0.597,bell hum and hot copper,ask before touching owned tools,True,v8.3
80,2400,riverbend,plank-listening-founding vow,teach dry crossing and bounded consent,node-03,0.5,river slap and cedar resin,ask before touching owned tools,True,v8.8
80,2400,roofward,sun-ledger-seasonal repair,teach herb preservation and bounded consent,node-05,0.52,hinge ticks and thyme paper,ask before touching owned tools,True,v8.0
80,2400,archive,spool-naming-object blessing,teach signal memory and bounded consent,node-08,0.54,page flutter and ink linen,ask before touching owned tools,True,v8.1
80,2400,signal,lantern-turning-boundary asking,teach path visibility and bounded consent,node-11,0.56,static crickets and lamp oil,ask before touching owned tools,True,v8.2
80,2400,orchard,satchel-vow-grief return,teach dry seed continuity and bounded consent,node-01,0.58,cart creak and apple soil,ask before touching owned tools,True,v8.3
80,2400,repair_ring,spark-distance-child naming,teach safe repair space and bounded consent,node-09,0.6,bell hum and hot copper,ask before touching owned tools,True,v8.4
