tick,day,slot,avatar_room,avatar_action_key,resident,project,trust_before,trust_after,obligation_before,obligation_after,schedule_before,schedule_after,visible_consequence,avatar_agency_bound,resident_agency_bound,replay_key
1845,103,9,tool alcove,return_tool,Ari,patch cloak,0.649738,0.669738,0.508353,0.482353,negotiate debt,seek tool,trust warms and obligation decreases,True,True,v58-loop-01845
1846,103,10,rain court,interrupt_work,Fay,repair awning,0.641266,0.621266,0.467961,0.497961,seek tool,private task,work is delayed and debt marker increases,True,True,v58-loop-01846
1847,103,11,fiber loft,wait_offscreen,Milo,fix bridge peg,0.521295,0.523295,0.264874,0.258874,care duty,private task,residents continue without avatar,True,True,v58-loop-01847
1848,103,12,west hearth,repair_trust,Sera,patch cloak,0.349748,0.365748,0.095812,0.069812,private task,recover focus,trust warms and obligation decreases,True,True,v58-loop-01848
1849,103,13,river gate,move,Tovan,repair awning,0.330864,0.334864,0.124536,0.122536,recover focus,work,position changes but history remains intact,True,True,v58-loop-01849
1850,103,14,arrival court,talk,Nia,fix bridge peg,0.459314,0.475314,0.323223,0.297223,work,rest,trust warms and obligation decreases,True,True,v58-loop-01850
1851,103,15,tool alcove,offer_help,Ari,patch cloak,0.643208,0.663208,0.499415,0.473415,rest,negotiate debt,trust warms and obligation decreases,True,True,v58-loop-01851
1852,103,16,rain court,borrow_tool,Fay,repair awning,0.659211,0.639211,0.482444,0.512444,negotiate debt,care duty,work is delayed and debt marker increases,True,False,v58-loop-01852
1853,103,17,fiber loft,return_tool,Milo,fix bridge peg,0.506892,0.522892,0.288749,0.262749,seek tool,care duty,trust warms and obligation decreases,True,True,v58-loop-01853
1854,104,0,river gate,wait_offscreen,Sera,map safe route,0.342218,0.340218,0.094019,0.088019,private task,recover focus,residents continue without avatar,True,True,v58-loop-01854
1855,104,1,arrival court,repair_trust,Tovan,dry seed store,0.32328,0.33928,0.259992,0.233992,recover focus,work,trust warms and obligation decreases,True,True,v58-loop-01855
1856,104,2,tool alcove,move,Nia,sort herb shelf,0.443873,0.447873,0.464718,0.462718,work,rest,position changes but history remains intact,True,True,v58-loop-01856
1857,104,3,rain court,talk,Ari,map safe route,0.643955,0.663955,0.50989,0.48389,rest,negotiate debt,trust warms and obligation decreases,True,True,v58-loop-01857
1858,104,4,fiber loft,offer_help,Fay,dry seed store,0.644185,0.660185,0.351753,0.325753,negotiate debt,seek tool,trust warms and obligation decreases,True,True,v58-loop-01858
1859,104,5,west hearth,borrow_tool,Milo,sort herb shelf,0.488457,0.468457,0.143485,0.173485,seek tool,private task,work is delayed and debt marker increases,True,True,v58-loop-01859
1860,104,6,river gate,return_tool,Sera,map safe route,0.346345,0.362345,0.086825,0.060825,care duty,private task,trust warms and obligation decreases,True,True,v58-loop-01860
1861,104,7,arrival court,interrupt_work,Tovan,dry seed store,0.328226,0.308226,0.236657,0.266657,private task,work,work is delayed and debt marker increases,True,True,v58-loop-01861
1862,104,8,tool alcove,wait_offscreen,Nia,sort herb shelf,0.450264,0.448264,0.447846,0.441846,recover focus,work,residents continue without avatar,True,True,v58-loop-01862
1863,104,9,rain court,repair_trust,Ari,map safe route,0.664722,0.684722,0.515824,0.489824,work,rest,trust warms and obligation decreases,True,True,v58-loop-01863
1864,104,10,fiber loft,move,Fay,dry seed store,0.63469,0.63869,0.374745,0.372745,rest,negotiate debt,position changes but history remains intact,True,True,v58-loop-01864
1865,104,11,west hearth,talk,Milo,sort herb shelf,0.484942,0.500942,0.161264,0.135264,negotiate debt,seek tool,trust warms and obligation decreases,True,True,v58-loop-01865
1866,104,12,river gate,offer_help,Sera,map safe route,0.339958,0.355958,0.08217,0.05617,seek tool,care duty,trust warms and obligation decreases,True,True,v58-loop-01866
1867,104,13,arrival court,borrow_tool,Tovan,dry seed store,0.312311,0.292311,0.214076,0.244076,care duty,recover focus,work is delayed and debt marker increases,True,True,v58-loop-01867
1868,104,14,tool alcove,return_tool,Nia,sort herb shelf,0.448148,0.468148,0.429213,0.403213,private task,recover focus,trust warms and obligation decreases,True,True,v58-loop-01868
1869,104,15,rain court,interrupt_work,Ari,map safe route,0.657202,0.637202,0.519188,0.549188,recover focus,rest,work is delayed and debt marker increases,True,True,v58-loop-01869
1870,104,16,fiber loft,wait_offscreen,Fay,dry seed store,0.650762,0.648762,0.396847,0.390847,work,rest,residents continue without avatar,True,True,v58-loop-01870
1871,104,17,west hearth,repair_trust,Milo,sort herb shelf,0.480469,0.496469,0.180695,0.154695,rest,negotiate debt,trust warms and obligation decreases,True,True,v58-loop-01871
1872,105,0,arrival court,talk,Sera,repair awning,0.323423,0.339423,0.159984,0.133984,seek tool,care duty,trust warms and obligation decreases,True,True,v58-loop-01872
1873,105,1,tool alcove,offer_help,Tovan,fix bridge peg,0.310786,0.326786,0.373186,0.347186,care duty,private task,trust warms and obligation decreases,True,True,v58-loop-01873
1874,105,2,rain court,borrow_tool,Nia,patch cloak,0.46292,0.44292,0.515497,0.545497,private task,work,work is delayed and debt marker increases,True,True,v58-loop-01874
1875,105,3,fiber loft,return_tool,Ari,repair awning,0.646615,0.666615,0.449067,0.423067,recover focus,work,trust warms and obligation decreases,True,True,v58-loop-01875
1876,105,4,west hearth,interrupt_work,Fay,fix bridge peg,0.619508,0.599508,0.238243,0.268243,work,negotiate debt,work is delayed and debt marker increases,True,False,v58-loop-01876
1877,105,5,river gate,wait_offscreen,Milo,patch cloak,0.475126,0.477126,0.08724,0.08124,rest,negotiate debt,residents continue without avatar,True,True,v58-loop-01877
1878,105,6,arrival court,repair_trust,Sera,repair awning,0.319012,0.335012,0.142326,0.116326,negotiate debt,seek tool,trust warms and obligation decreases,True,True,v58-loop-01878
1879,105,7,tool alcove,move,Tovan,fix bridge peg,0.329211,0.333211,0.350143,0.348143,seek tool,care duty,position changes but history remains intact,True,True,v58-loop-01879
1880,105,8,rain court,talk,Nia,patch cloak,0.466283,0.486283,0.509389,0.483389,care duty,private task,trust warms and obligation decreases,True,True,v58-loop-01880
1881,105,9,fiber loft,offer_help,Ari,repair awning,0.65899,0.67899,0.46581,0.43981,private task,recover focus,trust warms and obligation decreases,True,True,v58-loop-01881
1882,105,10,west hearth,borrow_tool,Fay,fix bridge peg,0.648643,0.628643,0.26162,0.29162,recover focus,rest,work is delayed and debt marker increases,True,True,v58-loop-01882
1883,105,11,river gate,return_tool,Milo,patch cloak,0.470573,0.486573,0.094607,0.068607,work,rest,trust warms and obligation decreases,True,True,v58-loop-01883
1884,105,12,arrival court,interrupt_work,Sera,repair awning,0.318626,0.298626,0.126547,0.156547,rest,seek tool,work is delayed and debt marker increases,True,False,v58-loop-01884
1885,105,13,tool alcove,wait_offscreen,Tovan,fix bridge peg,0.314466,0.316466,0.326502,0.320502,negotiate debt,seek tool,residents continue without avatar,True,True,v58-loop-01885
1886,105,14,rain court,repair_trust,Nia,patch cloak,0.460554,0.480554,0.500786,0.474786,seek tool,care duty,trust warms and obligation decreases,True,True,v58-loop-01886
1887,105,15,fiber loft,move,Ari,repair awning,0.64128,0.64528,0.480579,0.478579,care duty,private task,position changes but history remains intact,True,True,v58-loop-01887
1888,105,16,west hearth,talk,Fay,fix bridge peg,0.640822,0.656822,0.285454,0.259454,private task,recover focus,trust warms and obligation decreases,True,True,v58-loop-01888
1889,105,17,river gate,offer_help,Milo,patch cloak,0.495925,0.511925,0.104419,0.078419,recover focus,work,trust warms and obligation decreases,True,True,v58-loop-01889
1890,106,0,tool alcove,return_tool,Sera,dry seed store,0.343215,0.359215,0.263242,0.237242,rest,negotiate debt,trust warms and obligation decreases,True,True,v58-loop-01890
1891,106,1,rain court,interrupt_work,Tovan,sort herb shelf,0.3279,0.3079,0.466887,0.496887,negotiate debt,care duty,work is delayed and debt marker increases,True,True,v58-loop-01891
1892,106,2,fiber loft,wait_offscreen,Nia,map safe route,0.462796,0.460796,0.508878,0.502878,seek tool,care duty,residents continue without avatar,True,True,v58-loop-01892
1893,106,3,west hearth,repair_trust,Ari,dry seed store,0.673399,0.689399,0.348539,0.322539,care duty,private task,trust warms and obligation decreases,True,True,v58-loop-01893
1894,106,4,river gate,move,Fay,sort herb shelf,0.615927,0.619927,0.141183,0.139183,private task,recover focus,position changes but history remains intact,True,True,v58-loop-01894
1895,106,5,arrival court,talk,Milo,map safe route,0.476021,0.492021,0.087665,0.061665,recover focus,work,trust warms and obligation decreases,True,True,v58-loop-01895
1896,106,6,tool alcove,offer_help,Sera,dry seed store,0.341249,0.357249,0.239824,0.213824,work,rest,trust warms and obligation decreases,True,True,v58-loop-01896
1897,106,7,rain court,borrow_tool,Tovan,sort herb shelf,0.333396,0.313396,0.450273,0.480273,rest,seek tool,work is delayed and debt marker increases,True,True,v58-loop-01897
1898,106,8,fiber loft,return_tool,Nia,map safe route,0.496724,0.516724,0.51516,0.48916,negotiate debt,seek tool,trust warms and obligation decreases,True,True,v58-loop-01898
1899,106,9,west hearth,interrupt_work,Ari,dry seed store,0.663972,0.643972,0.371633,0.401633,seek tool,private task,work is delayed and debt marker increases,True,True,v58-loop-01899
1900,106,10,river gate,wait_offscreen,Fay,sort herb shelf,0.612066,0.610066,0.158718,0.152718,care duty,private task,residents continue without avatar,True,True,v58-loop-01900
1901,106,11,arrival court,repair_trust,Milo,map safe route,0.48575,0.50175,0.082656,0.056656,private task,recover focus,trust warms and obligation decreases,True,True,v58-loop-01901
1902,106,12,tool alcove,move,Sera,dry seed store,0.326003,0.330003,0.217124,0.215124,recover focus,work,position changes but history remains intact,True,True,v58-loop-01902
1903,106,13,rain court,talk,Tovan,sort herb shelf,0.320568,0.340568,0.431869,0.405869,work,rest,trust warms and obligation decreases,True,True,v58-loop-01903
1904,106,14,fiber loft,offer_help,Nia,map safe route,0.467449,0.487449,0.51888,0.49288,rest,negotiate debt,trust warms and obligation decreases,True,True,v58-loop-01904
1905,106,15,west hearth,borrow_tool,Ari,dry seed store,0.669246,0.649246,0.393873,0.423873,negotiate debt,care duty,work is delayed and debt marker increases,True,True,v58-loop-01905
1906,106,16,river gate,return_tool,Fay,sort herb shelf,0.63366,0.64966,0.177936,0.151936,seek tool,care duty,trust warms and obligation decreases,True,True,v58-loop-01906
1907,106,17,arrival court,interrupt_work,Milo,map safe route,0.457242,0.437242,0.080236,0.110236,care duty,recover focus,work is delayed and debt marker increases,True,True,v58-loop-01907
1908,107,0,rain court,repair_trust,Sera,fix bridge peg,0.309031,0.325031,0.37629,0.35029,recover focus,work,trust warms and obligation decreases,True,True,v58-loop-01908
1909,107,1,fiber loft,move,Tovan,patch cloak,0.35393,0.35793,0.516137,0.514137,work,rest,position changes but history remains intact,True,True,v58-loop-01909
1910,107,2,west hearth,talk,Nia,repair awning,0.509465,0.529465,0.446623,0.420623,rest,negotiate debt,trust warms and obligation decreases,True,True,v58-loop-01910
1911,107,3,river gate,offer_help,Ari,fix bridge peg,0.659269,0.675269,0.235083,0.209083,negotiate debt,seek tool,trust warms and obligation decreases,True,True,v58-loop-01911
1912,107,4,arrival court,borrow_tool,Fay,patch cloak,0.630363,0.610363,0.086424,0.116424,seek tool,private task,work is delayed and debt marker increases,True,False,v58-loop-01912
1913,107,5,tool alcove,return_tool,Milo,repair awning,0.473066,0.489066,0.144645,0.118645,care duty,private task,trust warms and obligation decreases,True,True,v58-loop-01913
1914,107,6,rain court,interrupt_work,Sera,fix bridge peg,0.325473,0.305473,0.35335,0.38335,private task,work,work is delayed and debt marker increases,True,True,v58-loop-01914
1915,107,7,fiber loft,wait_offscreen,Tovan,patch cloak,0.329397,0.331397,0.510378,0.504378,recover focus,work,residents continue without avatar,True,True,v58-loop-01915
1916,107,8,west hearth,repair_trust,Nia,repair awning,0.500498,0.520498,0.463623,0.437623,work,rest,trust warms and obligation decreases,True,True,v58-loop-01916
1917,107,9,river gate,move,Ari,fix bridge peg,0.665956,0.669956,0.258375,0.256375,rest,negotiate debt,position changes but history remains intact,True,True,v58-loop-01917
1918,107,10,arrival court,talk,Fay,patch cloak,0.605068,0.621068,0.093447,0.067447,negotiate debt,seek tool,trust warms and obligation decreases,True,True,v58-loop-01918
1919,107,11,tool alcove,offer_help,Milo,repair awning,0.439164,0.455164,0.128596,0.102596,seek tool,care duty,trust warms and obligation decreases,True,True,v58-loop-01919
1920,107,12,rain court,borrow_tool,Sera,fix bridge peg,0.319529,0.299529,0.329775,0.359775,care duty,recover focus,work is delayed and debt marker increases,True,False,v58-loop-01920
1921,107,13,fiber loft,return_tool,Tovan,patch cloak,0.355045,0.375045,0.502112,0.476112,private task,recover focus,trust warms and obligation decreases,True,True,v58-loop-01921
1922,107,14,west hearth,interrupt_work,Nia,repair awning,0.507567,0.487567,0.478674,0.508674,recover focus,rest,work is delayed and debt marker increases,True,True,v58-loop-01922
1923,107,15,river gate,wait_offscreen,Ari,fix bridge peg,0.6706,0.6726,0.282163,0.276163,work,rest,residents continue without avatar,True,True,v58-loop-01923
1924,107,16,arrival court,repair_trust,Fay,patch cloak,0.616185,0.632185,0.10293,0.07693,rest,negotiate debt,trust warms and obligation decreases,True,True,v58-loop-01924
1925,107,17,tool alcove,move,Milo,repair awning,0.44896,0.45296,0.114588,0.112588,negotiate debt,seek tool,position changes but history remains intact,True,True,v58-loop-01925
1926,108,0,fiber loft,offer_help,Sera,sort herb shelf,0.328366,0.348366,0.469019,0.443019,care duty,private task,trust warms and obligation decreases,True,True,v58-loop-01926
1927,108,1,west hearth,borrow_tool,Tovan,map safe route,0.334145,0.314145,0.507819,0.537819,private task,work,work is delayed and debt marker increases,True,True,v58-loop-01927
1928,108,2,river gate,return_tool,Nia,dry seed store,0.492707,0.508707,0.345315,0.319315,recover focus,work,trust warms and obligation decreases,True,True,v58-loop-01928
1929,108,3,arrival court,interrupt_work,Ari,sort herb shelf,0.652781,0.632781,0.138918,0.168918,work,negotiate debt,work is delayed and debt marker increases,True,True,v58-loop-01929
1930,108,4,tool alcove,wait_offscreen,Fay,map safe route,0.614438,0.612438,0.088552,0.082552,rest,negotiate debt,residents continue without avatar,True,True,v58-loop-01930
1931,108,5,rain court,repair_trust,Milo,dry seed store,0.444715,0.460715,0.243005,0.217005,negotiate debt,seek tool,trust warms and obligation decreases,True,True,v58-loop-01931
1932,108,6,fiber loft,move,Sera,sort herb shelf,0.33403,0.33803,0.452666,0.450666,seek tool,care duty,position changes but history remains intact,True,True,v58-loop-01932
1933,108,7,west hearth,talk,Tovan,map safe route,0.334348,0.354348,0.514447,0.488447,care duty,private task,trust warms and obligation decreases,True,True,v58-loop-01933
1934,108,8,river gate,offer_help,Nia,dry seed store,0.509364,0.525364,0.368505,0.342505,private task,recover focus,trust warms and obligation decreases,True,True,v58-loop-01934
1935,108,9,arrival court,borrow_tool,Ari,sort herb shelf,0.658791,0.638791,0.156205,0.186205,recover focus,rest,work is delayed and debt marker increases,True,True,v58-loop-01935
1936,108,10,tool alcove,return_tool,Fay,map safe route,0.607663,0.623663,0.083192,0.057192,work,rest,trust warms and obligation decreases,True,True,v58-loop-01936
1937,108,11,rain court,interrupt_work,Milo,dry seed store,0.428157,0.408157,0.22019,0.25019,rest,seek tool,work is delayed and debt marker increases,True,True,v58-loop-01937
1938,108,12,fiber loft,wait_offscreen,Sera,sort herb shelf,0.31268,0.31068,0.434496,0.428496,negotiate debt,seek tool,residents continue without avatar,True,True,v58-loop-01938
1939,108,13,west hearth,repair_trust,Tovan,map safe route,0.347843,0.367843,0.518522,0.492522,seek tool,care duty,trust warms and obligation decreases,True,True,v58-loop-01939
1940,108,14,river gate,move,Nia,dry seed store,0.505488,0.509488,0.390878,0.388878,care duty,private task,position changes but history remains intact,True,True,v58-loop-01940
1941,108,15,arrival court,talk,Ari,sort herb shelf,0.650905,0.666905,0.175205,0.149205,private task,recover focus,trust warms and obligation decreases,True,True,v58-loop-01941
1942,108,16,tool alcove,offer_help,Fay,map safe route,0.611707,0.627707,0.080414,0.054414,recover focus,work,trust warms and obligation decreases,True,True,v58-loop-01942
1943,108,17,rain court,borrow_tool,Milo,dry seed store,0.429649,0.409649,0.198325,0.228325,work,negotiate debt,work is delayed and debt marker increases,True,True,v58-loop-01943
1944,109,0,west hearth,interrupt_work,Sera,patch cloak,0.306243,0.286243,0.516729,0.546729,negotiate debt,care duty,work is delayed and debt marker increases,True,False,v58-loop-01944
1945,109,1,river gate,wait_offscreen,Tovan,repair awning,0.34632,0.34832,0.444147,0.438147,seek tool,care duty,residents continue without avatar,True,True,v58-loop-01945
1946,109,2,arrival court,repair_trust,Nia,fix bridge peg,0.530465,0.546465,0.231937,0.205937,care duty,private task,trust warms and obligation decreases,True,True,v58-loop-01946
1947,109,3,tool alcove,move,Ari,patch cloak,0.670191,0.674191,0.085657,0.083657,private task,recover focus,position changes but history remains intact,True,True,v58-loop-01947
1948,109,4,rain court,talk,Fay,repair awning,0.615521,0.631521,0.146999,0.120999,recover focus,work,trust warms and obligation decreases,True,True,v58-loop-01948
1949,109,5,fiber loft,offer_help,Milo,fix bridge peg,0.418596,0.434596,0.356546,0.330546,work,rest,trust warms and obligation decreases,True,True,v58-loop-01949
1950,109,6,west hearth,borrow_tool,Sera,patch cloak,0.296351,0.276351,0.511319,0.541319,rest,seek tool,work is delayed and debt marker increases,True,True,v58-loop-01950
1951,109,7,river gate,return_tool,Tovan,repair awning,0.354098,0.374098,0.461399,0.435399,negotiate debt,seek tool,trust warms and obligation decreases,True,True,v58-loop-01951
1952,109,8,arrival court,interrupt_work,Nia,fix bridge peg,0.529308,0.509308,0.25514,0.28514,seek tool,private task,work is delayed and debt marker increases,True,False,v58-loop-01952
1953,109,9,tool alcove,wait_offscreen,Ari,patch cloak,0.682329,0.684329,0.092335,0.086335,care duty,private task,residents continue without avatar,True,True,v58-loop-01953
1954,109,10,rain court,repair_trust,Fay,repair awning,0.591786,0.607786,0.130684,0.104684,private task,recover focus,trust warms and obligation decreases,True,True,v58-loop-01954
1955,109,11,fiber loft,move,Milo,fix bridge peg,0.439681,0.443681,0.333041,0.331041,recover focus,work,position changes but history remains intact,True,True,v58-loop-01955
1956,109,12,west hearth,talk,Sera,patch cloak,0.325062,0.345062,0.503393,0.477393,work,rest,trust warms and obligation decreases,True,True,v58-loop-01956
1957,109,13,river gate,offer_help,Tovan,repair awning,0.368194,0.388194,0.476729,0.450729,rest,negotiate debt,trust warms and obligation decreases,True,True,v58-loop-01957
1958,109,14,arrival court,borrow_tool,Nia,fix bridge peg,0.504677,0.484677,0.278876,0.308876,negotiate debt,care duty,work is delayed and debt marker increases,True,True,v58-loop-01958
1959,109,15,tool alcove,return_tool,Ari,patch cloak,0.653232,0.669232,0.101485,0.075485,seek tool,care duty,trust warms and obligation decreases,True,True,v58-loop-01959
1960,109,16,rain court,interrupt_work,Fay,repair awning,0.600191,0.580191,0.116385,0.146385,care duty,recover focus,work is delayed and debt marker increases,True,False,v58-loop-01960
1961,109,17,fiber loft,wait_offscreen,Milo,fix bridge peg,0.441448,0.443448,0.309143,0.303143,private task,recover focus,residents continue without avatar,True,True,v58-loop-01961
1962,110,0,river gate,move,Sera,map safe route,0.301546,0.305546,0.506712,0.504712,work,rest,position changes but history remains intact,True,True,v58-loop-01962
1963,110,1,arrival court,talk,Tovan,dry seed store,0.378388,0.394388,0.342081,0.316081,rest,negotiate debt,trust warms and obligation decreases,True,True,v58-loop-01963
1964,110,2,tool alcove,offer_help,Nia,sort herb shelf,0.540233,0.556233,0.136688,0.110688,negotiate debt,seek tool,trust warms and obligation decreases,True,True,v58-loop-01964
1965,110,3,rain court,borrow_tool,Ari,map safe route,0.664116,0.644116,0.089487,0.119487,seek tool,private task,work is delayed and debt marker increases,True,True,v58-loop-01965
1966,110,4,fiber loft,return_tool,Fay,dry seed store,0.602137,0.618137,0.246199,0.220199,care duty,private task,trust warms and obligation decreases,True,True,v58-loop-01966
1967,110,5,west hearth,interrupt_work,Milo,sort herb shelf,0.410324,0.390324,0.455025,0.485025,private task,work,work is delayed and debt marker increases,True,True,v58-loop-01967
1968,110,6,river gate,wait_offscreen,Sera,map safe route,0.320495,0.318495,0.513687,0.507687,recover focus,work,residents continue without avatar,True,True,v58-loop-01968
1969,110,7,arrival court,repair_trust,Tovan,dry seed store,0.380512,0.396512,0.365361,0.339361,work,rest,trust warms and obligation decreases,True,True,v58-loop-01969
1970,110,8,tool alcove,move,Nia,sort herb shelf,0.517644,0.521644,0.153724,0.151724,rest,negotiate debt,position changes but history remains intact,True,True,v58-loop-01970
1971,110,9,rain court,talk,Ari,map safe route,0.681281,0.697281,0.083776,0.057776,negotiate debt,seek tool,trust warms and obligation decreases,True,True,v58-loop-01971
1972,110,10,fiber loft,offer_help,Fay,dry seed store,0.588889,0.604889,0.223274,0.197274,seek tool,care duty,trust warms and obligation decreases,True,True,v58-loop-01972
1973,110,11,west hearth,borrow_tool,Milo,sort herb shelf,0.413187,0.393187,0.437092,0.467092,care duty,recover focus,work is delayed and debt marker increases,True,True,v58-loop-01973
1974,110,12,river gate,return_tool,Sera,map safe route,0.301696,0.321696,0.518116,0.492116,private task,recover focus,trust warms and obligation decreases,True,True,v58-loop-01974
1975,110,13,arrival court,interrupt_work,Tovan,dry seed store,0.36635,0.34635,0.387862,0.417862,recover focus,rest,work is delayed and debt marker increases,True,True,v58-loop-01975
1976,110,14,tool alcove,wait_offscreen,Nia,sort herb shelf,0.517964,0.515964,0.172501,0.166501,work,rest,residents continue without avatar,True,True,v58-loop-01976
1977,110,15,rain court,repair_trust,Ari,map safe route,0.673246,0.689246,0.080641,0.054641,rest,negotiate debt,trust warms and obligation decreases,True,True,v58-loop-01977
1978,110,16,fiber loft,move,Fay,dry seed store,0.589135,0.593135,0.201263,0.199263,negotiate debt,seek tool,position changes but history remains intact,True,True,v58-loop-01978
1979,110,17,west hearth,talk,Milo,sort herb shelf,0.407531,0.427531,0.417526,0.391526,seek tool,care duty,trust warms and obligation decreases,True,True,v58-loop-01979
1980,111,0,arrival court,borrow_tool,Sera,repair awning,0.29316,0.27316,0.441638,0.471638,private task,work,work is delayed and debt marker increases,True,False,v58-loop-01980
1981,111,1,tool alcove,return_tool,Tovan,fix bridge peg,0.363215,0.379215,0.228807,0.202807,recover focus,work,trust warms and obligation decreases,True,True,v58-loop-01981
1982,111,2,rain court,interrupt_work,Nia,patch cloak,0.531658,0.511658,0.084937,0.114937,work,negotiate debt,work is delayed and debt marker increases,True,True,v58-loop-01982
1983,111,3,fiber loft,wait_offscreen,Ari,repair awning,0.659096,0.661096,0.149388,0.143388,rest,negotiate debt,residents continue without avatar,True,True,v58-loop-01983
1984,111,4,west hearth,repair_trust,Fay,fix bridge peg,0.573522,0.589522,0.359728,0.333728,negotiate debt,seek tool,trust warms and obligation decreases,True,True,v58-loop-01984
1985,111,5,river gate,move,Milo,patch cloak,0.412875,0.416875,0.512213,0.510213,seek tool,care duty,position changes but history remains intact,True,True,v58-loop-01985
1986,111,6,arrival court,talk,Sera,repair awning,0.303311,0.323311,0.459138,0.433138,care duty,private task,trust warms and obligation decreases,True,True,v58-loop-01986
1987,111,7,tool alcove,offer_help,Tovan,fix bridge peg,0.364445,0.380445,0.251914,0.225914,private task,recover focus,trust warms and obligation decreases,True,True,v58-loop-01987
1988,111,8,rain court,borrow_tool,Nia,patch cloak,0.555316,0.535316,0.091268,0.121268,recover focus,rest,work is delayed and debt marker increases,True,False,v58-loop-01988
1989,111,9,fiber loft,return_tool,Ari,repair awning,0.666528,0.682528,0.13281,0.10681,work,rest,trust warms and obligation decreases,True,True,v58-loop-01989
1990,111,10,west hearth,interrupt_work,Fay,fix bridge peg,0.571841,0.551841,0.3363,0.3663,rest,seek tool,work is delayed and debt marker increases,True,True,v58-loop-01990
1991,111,11,river gate,wait_offscreen,Milo,patch cloak,0.399934,0.401934,0.504628,0.498628,negotiate debt,seek tool,residents continue without avatar,True,True,v58-loop-01991
1992,111,12,arrival court,repair_trust,Sera,repair awning,0.299285,0.319285,0.474743,0.448743,seek tool,care duty,trust warms and obligation decreases,True,True,v58-loop-01992
1993,111,13,tool alcove,move,Tovan,fix bridge peg,0.371124,0.375124,0.275594,0.273594,care duty,private task,position changes but history remains intact,True,True,v58-loop-01993
1994,111,14,rain court,talk,Nia,patch cloak,0.539883,0.555883,0.100085,0.074085,private task,recover focus,trust warms and obligation decreases,True,True,v58-loop-01994
1995,111,15,fiber loft,offer_help,Ari,repair awning,0.667733,0.683733,0.118224,0.092224,recover focus,work,trust warms and obligation decreases,True,True,v58-loop-01995
1996,111,16,west hearth,borrow_tool,Fay,fix bridge peg,0.575103,0.555103,0.312439,0.342439,work,negotiate debt,work is delayed and debt marker increases,True,False,v58-loop-01996
1997,111,17,river gate,return_tool,Milo,patch cloak,0.416789,0.436789,0.494606,0.468606,rest,negotiate debt,trust warms and obligation decreases,True,True,v58-loop-01997
1998,112,0,tool alcove,wait_offscreen,Sera,dry seed store,0.305162,0.303162,0.338837,0.332837,seek tool,care duty,residents continue without avatar,True,True,v58-loop-01998
1999,112,1,rain court,repair_trust,Tovan,sort herb shelf,0.377852,0.393852,0.134495,0.108495,care duty,private task,trust warms and obligation decreases,True,True,v58-loop-01999
2000,112,2,fiber loft,move,Nia,map safe route,0.55928,0.56328,0.090469,0.088469,private task,recover focus,position changes but history remains intact,True,True,v58-loop-02000
2001,112,3,west hearth,talk,Ari,dry seed store,0.681021,0.697021,0.249404,0.223404,recover focus,work,trust warms and obligation decreases,True,True,v58-loop-02001
2002,112,4,river gate,offer_help,Fay,sort herb shelf,0.554914,0.574914,0.457349,0.431349,work,rest,trust warms and obligation decreases,True,True,v58-loop-02002
2003,112,5,arrival court,borrow_tool,Milo,map safe route,0.400722,0.380722,0.512878,0.542878,rest,seek tool,work is delayed and debt marker increases,True,True,v58-loop-02003
2004,112,6,tool alcove,return_tool,Sera,dry seed store,0.313117,0.329117,0.362203,0.336203,negotiate debt,seek tool,trust warms and obligation decreases,True,True,v58-loop-02004
2005,112,7,rain court,interrupt_work,Tovan,sort herb shelf,0.391399,0.371399,0.151275,0.181275,seek tool,private task,work is delayed and debt marker increases,True,True,v58-loop-02005
2006,112,8,fiber loft,wait_offscreen,Nia,map safe route,0.556305,0.554305,0.08441,0.07841,care duty,private task,residents continue without avatar,True,True,v58-loop-02006
2007,112,9,west hearth,repair_trust,Ari,dry seed store,0.659519,0.675519,0.226375,0.200375,private task,recover focus,trust warms and obligation decreases,True,True,v58-loop-02007
2008,112,10,river gate,move,Fay,sort herb shelf,0.566943,0.570943,0.439657,0.437657,recover focus,work,position changes but history remains intact,True,True,v58-loop-02008
2009,112,11,arrival court,talk,Milo,map safe route,0.388218,0.408218,0.517661,0.491661,work,rest,trust warms and obligation decreases,True,True,v58-loop-02009
2010,112,12,tool alcove,offer_help,Sera,dry seed store,0.319948,0.335948,0.384827,0.358827,rest,negotiate debt,trust warms and obligation decreases,True,True,v58-loop-02010
2011,112,13,rain court,borrow_tool,Tovan,sort herb shelf,0.372464,0.352464,0.169826,0.199826,negotiate debt,care duty,work is delayed and debt marker increases,True,True,v58-loop-02011
2012,112,14,fiber loft,return_tool,Nia,map safe route,0.55095,0.56695,0.080918,0.054918,seek tool,care duty,trust warms and obligation decreases,True,True,v58-loop-02012
2013,112,15,west hearth,interrupt_work,Ari,dry seed store,0.66127,0.64127,0.204223,0.234223,care duty,recover focus,work is delayed and debt marker increases,True,True,v58-loop-02013
2014,112,16,river gate,wait_offscreen,Fay,sort herb shelf,0.558743,0.556743,0.420302,0.414302,private task,recover focus,residents continue without avatar,True,True,v58-loop-02014
2015,112,17,arrival court,repair_trust,Milo,map safe route,0.412954,0.432954,0.519851,0.493851,recover focus,work,trust warms and obligation decreases,True,True,v58-loop-02015
2016,113,0,rain court,talk,Sera,fix bridge peg,0.309433,0.325433,0.225693,0.199693,rest,negotiate debt,trust warms and obligation decreases,True,True,v58-loop-02016
