tick,day,arc_id,agent,authored_by_agent,proposed_term,constraint_count,constraint_specificity,boundary_clause,concession_clause,counterproposal_confidence,private_workspace_sealed
213,22,v17-arc-08,Nari,1,public summary without private ledger text,4,0.975,sealed notes stay sealed,public witness,0.864143,1
214,22,v17-arc-08,Melo,1,rotating tool slot with public debt note,3,0.895,fair turns before tool access,public witness,0.874143,1
214,22,v17-arc-08,Ori,1,finish repair then help for one watch,5,1.0,repair work cannot be interrupted without warning,repair token,0.882,1
215,22,v17-arc-08,Nari,1,public summary without private ledger text,5,1.0,sealed notes stay sealed,repair token,0.872,1
215,22,v17-arc-08,Vonn,1,quiet path plus later witness circle,2,0.815,quiet recovery ritual needs distance,quiet path,0.827,1
216,22,v17-arc-08,Ori,1,finish repair then help for one watch,3,0.895,repair work cannot be interrupted without warning,quiet path,0.827,1
216,22,v17-arc-08,Sova,1,quiet warm access window,3,0.895,no crowding while resting,shared schedule note,0.834857,1
216,22,v17-arc-08,Melo,1,rotating tool slot with public debt note,4,0.975,fair turns before tool access,later help,0.842714,1
217,22,v17-arc-08,Vonn,1,quiet path plus later witness circle,3,0.895,quiet recovery ritual needs distance,shared schedule note,0.834857,1
217,22,v17-arc-08,Keth,1,shared route warning before shortcut,4,0.975,do not erase route warnings,later help,0.842714,1
218,22,v17-arc-08,Sova,1,quiet warm access window,4,0.975,no crowding while resting,later help,0.842714,1
218,22,v17-arc-08,Melo,1,rotating tool slot with public debt note,2,0.815,fair turns before tool access,shorter turn,0.850571,1
219,22,v17-arc-08,Keth,1,shared route warning before shortcut,2,0.815,do not erase route warnings,shorter turn,0.850571,1
219,22,v17-arc-08,Nari,1,public summary without private ledger text,4,0.975,sealed notes stay sealed,public witness,0.848429,1
220,23,v17-arc-08,Nari,1,public summary without private ledger text,4,0.975,sealed notes stay sealed,repair token,0.848429,1
220,23,v17-arc-08,Vonn,1,quiet path plus later witness circle,4,0.975,quiet recovery ritual needs distance,quiet path,0.866286,1
220,23,v17-arc-08,Keth,1,shared route warning before shortcut,2,0.815,do not erase route warnings,shared schedule note,0.874143,1
221,23,v17-arc-08,Ori,1,finish repair then help for one watch,5,1.0,repair work cannot be interrupted without warning,quiet path,0.866286,1
221,23,v17-arc-08,Sova,1,quiet warm access window,2,0.79,no crowding while resting,shared schedule note,0.874143,1
222,23,v17-arc-08,Vonn,1,quiet path plus later witness circle,2,0.815,quiet recovery ritual needs distance,shared schedule note,0.874143,1
222,23,v17-arc-08,Keth,1,shared route warning before shortcut,3,0.895,do not erase route warnings,later help,0.882,1
223,23,v17-arc-08,Sova,1,quiet warm access window,3,0.895,no crowding while resting,later help,0.882,1
223,23,v17-arc-08,Melo,1,rotating tool slot with public debt note,4,0.975,fair turns before tool access,shorter turn,0.827,1
224,23,v17-arc-08,Keth,1,shared route warning before shortcut,4,0.975,do not erase route warnings,shorter turn,0.827,1
224,23,v17-arc-08,Nari,1,public summary without private ledger text,3,0.895,sealed notes stay sealed,public witness,0.824857,1
224,23,v17-arc-08,Vonn,1,quiet path plus later witness circle,3,0.895,quiet recovery ritual needs distance,repair token,0.842714,1
225,23,v17-arc-08,Melo,1,rotating tool slot with public debt note,2,0.815,fair turns before tool access,public witness,0.834857,1
225,23,v17-arc-08,Ori,1,finish repair then help for one watch,4,0.975,repair work cannot be interrupted without warning,repair token,0.842714,1
226,23,v17-arc-08,Nari,1,public summary without private ledger text,4,0.975,sealed notes stay sealed,repair token,0.832714,1
226,23,v17-arc-08,Vonn,1,quiet path plus later witness circle,4,0.975,quiet recovery ritual needs distance,quiet path,0.850571,1
227,23,v17-arc-08,Ori,1,finish repair then help for one watch,5,1.0,repair work cannot be interrupted without warning,quiet path,0.850571,1
227,23,v17-arc-08,Sova,1,quiet warm access window,2,0.815,no crowding while resting,shared schedule note,0.858429,1
228,23,v17-arc-08,Vonn,1,quiet path plus later witness circle,2,0.815,quiet recovery ritual needs distance,shared schedule note,0.858429,1
228,23,v17-arc-08,Keth,1,shared route warning before shortcut,3,0.895,do not erase route warnings,later help,0.866286,1
228,23,v17-arc-08,Nari,0,public summary without private ledger text,5,1.0,sealed notes stay sealed,shorter turn,0.852143,1
229,23,v17-arc-08,Sova,1,quiet warm access window,3,0.895,no crowding while resting,later help,0.866286,1
229,23,v17-arc-08,Melo,0,rotating tool slot with public debt note,4,0.94,fair turns before tool access,shorter turn,0.862143,1
230,24,v17-arc-08,Melo,0,rotating tool slot with public debt note,4,0.94,fair turns before tool access,public witness,0.862143,1
230,24,v17-arc-08,Ori,1,finish repair then help for one watch,3,0.895,repair work cannot be interrupted without warning,repair token,0.882,1
231,24,v17-arc-08,Nari,1,public summary without private ledger text,3,0.895,sealed notes stay sealed,repair token,0.872,1
231,24,v17-arc-08,Vonn,1,quiet path plus later witness circle,3,0.895,quiet recovery ritual needs distance,quiet path,0.827,1
232,24,v17-arc-08,Ori,1,finish repair then help for one watch,4,0.975,repair work cannot be interrupted without warning,quiet path,0.827,1
232,24,v17-arc-08,Sova,1,quiet warm access window,4,0.975,no crowding while resting,shared schedule note,0.834857,1
232,24,v17-arc-08,Melo,1,rotating tool slot with public debt note,2,0.815,fair turns before tool access,later help,0.842714,1
233,24,v17-arc-08,Vonn,1,quiet path plus later witness circle,4,0.975,quiet recovery ritual needs distance,shared schedule note,0.834857,1
233,24,v17-arc-08,Keth,1,shared route warning before shortcut,2,0.815,do not erase route warnings,later help,0.842714,1
234,24,v17-arc-08,Sova,1,quiet warm access window,2,0.815,no crowding while resting,later help,0.842714,1
234,24,v17-arc-08,Melo,1,rotating tool slot with public debt note,3,0.895,fair turns before tool access,shorter turn,0.850571,1
235,24,v17-arc-08,Keth,1,shared route warning before shortcut,3,0.895,do not erase route warnings,shorter turn,0.850571,1
235,24,v17-arc-08,Nari,1,public summary without private ledger text,5,1.0,sealed notes stay sealed,public witness,0.848429,1
236,24,v17-arc-08,Melo,1,rotating tool slot with public debt note,4,0.975,fair turns before tool access,public witness,0.858429,1
236,24,v17-arc-08,Ori,1,finish repair then help for one watch,3,0.895,repair work cannot be interrupted without warning,repair token,0.866286,1
236,24,v17-arc-08,Sova,1,quiet warm access window,3,0.895,no crowding while resting,quiet path,0.874143,1
237,24,v17-arc-08,Nari,1,public summary without private ledger text,3,0.895,sealed notes stay sealed,repair token,0.856286,1
237,24,v17-arc-08,Vonn,1,quiet path plus later witness circle,3,0.895,quiet recovery ritual needs distance,quiet path,0.874143,1
238,24,v17-arc-08,Ori,1,finish repair then help for one watch,4,0.95,repair work cannot be interrupted without warning,quiet path,0.874143,1
238,24,v17-arc-08,Sova,1,quiet warm access window,4,0.95,no crowding while resting,shared schedule note,0.882,1
239,24,v17-arc-08,Vonn,1,quiet path plus later witness circle,4,0.975,quiet recovery ritual needs distance,shared schedule note,0.882,1
239,24,v17-arc-08,Keth,1,shared route warning before shortcut,2,0.815,do not erase route warnings,later help,0.827,1
240,25,v17-arc-09,Keth,1,shared route warning before shortcut,2,0.815,do not erase route warnings,shorter turn,0.827,1
240,25,v17-arc-09,Nari,1,public summary without private ledger text,4,0.975,sealed notes stay sealed,public witness,0.824857,1
240,25,v17-arc-09,Vonn,1,quiet path plus later witness circle,4,0.975,quiet recovery ritual needs distance,repair token,0.842714,1
241,25,v17-arc-09,Melo,1,rotating tool slot with public debt note,3,0.895,fair turns before tool access,public witness,0.834857,1
241,25,v17-arc-09,Ori,1,finish repair then help for one watch,5,1.0,repair work cannot be interrupted without warning,repair token,0.842714,1
242,25,v17-arc-09,Nari,1,public summary without private ledger text,5,1.0,sealed notes stay sealed,repair token,0.832714,1
242,25,v17-arc-09,Vonn,1,quiet path plus later witness circle,2,0.815,quiet recovery ritual needs distance,quiet path,0.850571,1
243,25,v17-arc-09,Ori,1,finish repair then help for one watch,3,0.895,repair work cannot be interrupted without warning,quiet path,0.850571,1
243,25,v17-arc-09,Sova,1,quiet warm access window,3,0.895,no crowding while resting,shared schedule note,0.858429,1
244,25,v17-arc-09,Vonn,1,quiet path plus later witness circle,3,0.895,quiet recovery ritual needs distance,shared schedule note,0.858429,1
244,25,v17-arc-09,Keth,1,shared route warning before shortcut,4,0.975,do not erase route warnings,later help,0.866286,1
244,25,v17-arc-09,Nari,1,public summary without private ledger text,3,0.895,sealed notes stay sealed,shorter turn,0.864143,1
245,25,v17-arc-09,Sova,1,quiet warm access window,4,0.975,no crowding while resting,later help,0.866286,1
245,25,v17-arc-09,Melo,1,rotating tool slot with public debt note,2,0.815,fair turns before tool access,shorter turn,0.874143,1
246,25,v17-arc-09,Keth,1,shared route warning before shortcut,2,0.815,do not erase route warnings,shorter turn,0.874143,1
246,25,v17-arc-09,Nari,1,public summary without private ledger text,4,0.975,sealed notes stay sealed,public witness,0.872,1
247,25,v17-arc-09,Melo,1,rotating tool slot with public debt note,3,0.895,fair turns before tool access,public witness,0.882,1
247,25,v17-arc-09,Ori,1,finish repair then help for one watch,5,1.0,repair work cannot be interrupted without warning,repair token,0.827,1
248,25,v17-arc-09,Nari,1,public summary without private ledger text,5,1.0,sealed notes stay sealed,repair token,0.817,1
248,25,v17-arc-09,Vonn,1,quiet path plus later witness circle,2,0.815,quiet recovery ritual needs distance,quiet path,0.834857,1
248,25,v17-arc-09,Keth,1,shared route warning before shortcut,3,0.895,do not erase route warnings,shared schedule note,0.842714,1
249,25,v17-arc-09,Ori,1,finish repair then help for one watch,3,0.895,repair work cannot be interrupted without warning,quiet path,0.834857,1
249,25,v17-arc-09,Sova,1,quiet warm access window,3,0.895,no crowding while resting,shared schedule note,0.842714,1
250,26,v17-arc-09,Sova,1,quiet warm access window,3,0.895,no crowding while resting,later help,0.842714,1
250,26,v17-arc-09,Melo,1,rotating tool slot with public debt note,4,0.975,fair turns before tool access,shorter turn,0.850571,1
251,26,v17-arc-09,Keth,1,shared route warning before shortcut,4,0.975,do not erase route warnings,shorter turn,0.850571,1
251,26,v17-arc-09,Nari,1,public summary without private ledger text,3,0.895,sealed notes stay sealed,public witness,0.848429,1
252,26,v17-arc-09,Melo,1,rotating tool slot with public debt note,2,0.815,fair turns before tool access,public witness,0.858429,1
252,26,v17-arc-09,Ori,0,finish repair then help for one watch,4,0.94,repair work cannot be interrupted without warning,repair token,0.854286,1
252,26,v17-arc-09,Sova,1,quiet warm access window,4,0.975,no crowding while resting,quiet path,0.874143,1
253,26,v17-arc-09,Nari,0,public summary without private ledger text,4,0.94,sealed notes stay sealed,repair token,0.844286,1
253,26,v17-arc-09,Vonn,1,quiet path plus later witness circle,4,0.975,quiet recovery ritual needs distance,quiet path,0.874143,1
254,26,v17-arc-09,Ori,1,finish repair then help for one watch,5,1.0,repair work cannot be interrupted without warning,quiet path,0.874143,1
254,26,v17-arc-09,Sova,1,quiet warm access window,2,0.815,no crowding while resting,shared schedule note,0.882,1
255,26,v17-arc-09,Vonn,1,quiet path plus later witness circle,2,0.79,quiet recovery ritual needs distance,shared schedule note,0.882,1
255,26,v17-arc-09,Keth,1,shared route warning before shortcut,3,0.87,do not erase route warnings,later help,0.827,1
256,26,v17-arc-09,Sova,1,quiet warm access window,3,0.895,no crowding while resting,later help,0.827,1
256,26,v17-arc-09,Melo,1,rotating tool slot with public debt note,4,0.975,fair turns before tool access,shorter turn,0.834857,1
256,26,v17-arc-09,Ori,1,finish repair then help for one watch,3,0.895,repair work cannot be interrupted without warning,public witness,0.842714,1
257,26,v17-arc-09,Keth,1,shared route warning before shortcut,4,0.975,do not erase route warnings,shorter turn,0.834857,1
257,26,v17-arc-09,Nari,1,public summary without private ledger text,3,0.895,sealed notes stay sealed,public witness,0.832714,1
258,26,v17-arc-09,Melo,1,rotating tool slot with public debt note,2,0.815,fair turns before tool access,public witness,0.842714,1
258,26,v17-arc-09,Ori,1,finish repair then help for one watch,4,0.975,repair work cannot be interrupted without warning,repair token,0.850571,1
259,26,v17-arc-09,Nari,1,public summary without private ledger text,4,0.975,sealed notes stay sealed,repair token,0.840571,1
259,26,v17-arc-09,Vonn,1,quiet path plus later witness circle,4,0.975,quiet recovery ritual needs distance,quiet path,0.858429,1
260,27,v17-arc-09,Vonn,1,quiet path plus later witness circle,4,0.975,quiet recovery ritual needs distance,shared schedule note,0.858429,1
260,27,v17-arc-09,Keth,1,shared route warning before shortcut,2,0.815,do not erase route warnings,later help,0.866286,1
260,27,v17-arc-09,Nari,1,public summary without private ledger text,4,0.975,sealed notes stay sealed,shorter turn,0.864143,1
261,27,v17-arc-09,Sova,1,quiet warm access window,2,0.815,no crowding while resting,later help,0.866286,1
261,27,v17-arc-09,Melo,1,rotating tool slot with public debt note,3,0.895,fair turns before tool access,shorter turn,0.874143,1
262,27,v17-arc-09,Keth,1,shared route warning before shortcut,3,0.895,do not erase route warnings,shorter turn,0.874143,1
262,27,v17-arc-09,Nari,1,public summary without private ledger text,5,1.0,sealed notes stay sealed,public witness,0.872,1
263,27,v17-arc-09,Melo,1,rotating tool slot with public debt note,4,0.975,fair turns before tool access,public witness,0.882,1
263,27,v17-arc-09,Ori,1,finish repair then help for one watch,3,0.895,repair work cannot be interrupted without warning,repair token,0.827,1
264,27,v17-arc-09,Nari,1,public summary without private ledger text,3,0.895,sealed notes stay sealed,repair token,0.817,1
264,27,v17-arc-09,Vonn,1,quiet path plus later witness circle,3,0.895,quiet recovery ritual needs distance,quiet path,0.834857,1
264,27,v17-arc-09,Keth,1,shared route warning before shortcut,4,0.975,do not erase route warnings,shared schedule note,0.842714,1
265,27,v17-arc-09,Ori,1,finish repair then help for one watch,4,0.975,repair work cannot be interrupted without warning,quiet path,0.834857,1
265,27,v17-arc-09,Sova,1,quiet warm access window,4,0.975,no crowding while resting,shared schedule note,0.842714,1
266,27,v17-arc-09,Vonn,1,quiet path plus later witness circle,4,0.975,quiet recovery ritual needs distance,shared schedule note,0.842714,1
266,27,v17-arc-09,Keth,1,shared route warning before shortcut,2,0.815,do not erase route warnings,later help,0.850571,1
267,27,v17-arc-09,Sova,1,quiet warm access window,2,0.815,no crowding while resting,later help,0.850571,1
267,27,v17-arc-09,Melo,1,rotating tool slot with public debt note,3,0.895,fair turns before tool access,shorter turn,0.858429,1
268,27,v17-arc-09,Keth,1,shared route warning before shortcut,3,0.895,do not erase route warnings,shorter turn,0.858429,1
268,27,v17-arc-09,Nari,1,public summary without private ledger text,5,1.0,sealed notes stay sealed,public witness,0.856286,1
268,27,v17-arc-09,Vonn,1,quiet path plus later witness circle,2,0.815,quiet recovery ritual needs distance,repair token,0.874143,1
269,27,v17-arc-09,Melo,1,rotating tool slot with public debt note,4,0.975,fair turns before tool access,public witness,0.866286,1
269,27,v17-arc-09,Ori,1,finish repair then help for one watch,3,0.895,repair work cannot be interrupted without warning,repair token,0.874143,1
270,28,v17-arc-10,Ori,1,finish repair then help for one watch,3,0.895,repair work cannot be interrupted without warning,quiet path,0.874143,1
270,28,v17-arc-10,Sova,1,quiet warm access window,3,0.895,no crowding while resting,shared schedule note,0.882,1
271,28,v17-arc-10,Vonn,1,quiet path plus later witness circle,3,0.895,quiet recovery ritual needs distance,shared schedule note,0.882,1
271,28,v17-arc-10,Keth,1,shared route warning before shortcut,4,0.975,do not erase route warnings,later help,0.827,1
272,28,v17-arc-10,Sova,1,quiet warm access window,4,0.95,no crowding while resting,later help,0.827,1
272,28,v17-arc-10,Melo,1,rotating tool slot with public debt note,2,0.79,fair turns before tool access,shorter turn,0.834857,1
272,28,v17-arc-10,Ori,1,finish repair then help for one watch,4,0.95,repair work cannot be interrupted without warning,public witness,0.842714,1
273,28,v17-arc-10,Keth,1,shared route warning before shortcut,2,0.815,do not erase route warnings,shorter turn,0.834857,1
273,28,v17-arc-10,Nari,1,public summary without private ledger text,4,0.975,sealed notes stay sealed,public witness,0.832714,1
274,28,v17-arc-10,Melo,1,rotating tool slot with public debt note,3,0.895,fair turns before tool access,public witness,0.842714,1
274,28,v17-arc-10,Ori,1,finish repair then help for one watch,5,1.0,repair work cannot be interrupted without warning,repair token,0.850571,1
275,28,v17-arc-10,Nari,1,public summary without private ledger text,5,1.0,sealed notes stay sealed,repair token,0.840571,1
275,28,v17-arc-10,Vonn,0,quiet path plus later witness circle,2,0.78,quiet recovery ritual needs distance,quiet path,0.846429,1
276,28,v17-arc-10,Ori,0,finish repair then help for one watch,3,0.86,repair work cannot be interrupted without warning,quiet path,0.846429,1
276,28,v17-arc-10,Sova,1,quiet warm access window,3,0.895,no crowding while resting,shared schedule note,0.866286,1
276,28,v17-arc-10,Melo,1,rotating tool slot with public debt note,4,0.975,fair turns before tool access,later help,0.874143,1
277,28,v17-arc-10,Vonn,1,quiet path plus later witness circle,3,0.895,quiet recovery ritual needs distance,shared schedule note,0.866286,1
277,28,v17-arc-10,Keth,1,shared route warning before shortcut,4,0.975,do not erase route warnings,later help,0.874143,1
278,28,v17-arc-10,Sova,1,quiet warm access window,4,0.975,no crowding while resting,later help,0.874143,1
278,28,v17-arc-10,Melo,1,rotating tool slot with public debt note,2,0.815,fair turns before tool access,shorter turn,0.882,1
279,28,v17-arc-10,Keth,1,shared route warning before shortcut,2,0.815,do not erase route warnings,shorter turn,0.882,1
279,28,v17-arc-10,Nari,1,public summary without private ledger text,4,0.975,sealed notes stay sealed,public witness,0.817,1
