tick,day,slot,phase,avatar_room,selected_resident,user_action,schedule_state,memory_key,debt_name,visible_consequence,save_restore_key,audit_key,all_core_loops_present,boundary_visible
2443,136,13,schedule/debt,river gate,Nia,return_tool,map safe route,v60:nia:route_warning:d136:s13,route warning,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d136:t02443,audit:v60:tick:02443:resident:nia,True,True
2444,136,14,offscreen,arrival court,Ari,inspect_memory,rest after rain,v60:ari:tool_loan:d136:s14,tool loan,state observed without history rewrite,ssrm:v60:snapshot:d136:t02444,audit:v60:tick:02444:resident:ari,True,True
2445,136,15,consequence,tool alcove,Fay,enter,recover focus,v60:fay:water_carry:d136:s15,water carry,state observed without history rewrite,ssrm:v60:snapshot:d136:t02445,audit:v60:tick:02445:resident:fay,True,True
2446,136,16,save/restore,rain court,Milo,talk,repair awning,v60:milo:repair_promise:d136:s16,repair promise,state observed without history rewrite,ssrm:v60:snapshot:d136:t02446,audit:v60:tick:02446:resident:milo,True,True
2447,136,17,audit replay,fiber loft,Sera,offer_help,sort herbs,v60:sera:missed_greeting:d136:s17,missed greeting,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d136:t02447,audit:v60:tick:02447:resident:sera,True,True
2448,137,0,movement,river gate,Tovan,inspect_memory,dry cloaks,v60:tovan:route_warning:d137:s00,route warning,state observed without history rewrite,ssrm:v60:snapshot:d137:t02448,audit:v60:tick:02448:resident:tovan,True,True
2449,137,1,bounded conversation,arrival court,Nia,enter,map safe route,v60:nia:tool_loan:d137:s01,tool loan,state observed without history rewrite,ssrm:v60:snapshot:d137:t02449,audit:v60:tick:02449:resident:nia,True,True
2450,137,2,schedule/debt,tool alcove,Ari,talk,rest after rain,v60:ari:water_carry:d137:s02,water carry,state observed without history rewrite,ssrm:v60:snapshot:d137:t02450,audit:v60:tick:02450:resident:ari,True,True
2451,137,3,offscreen,rain court,Fay,offer_help,recover focus,v60:fay:repair_promise:d137:s03,repair promise,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d137:t02451,audit:v60:tick:02451:resident:fay,True,True
2452,137,4,consequence,fiber loft,Milo,return_tool,repair awning,v60:milo:missed_greeting:d137:s04,missed greeting,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d137:t02452,audit:v60:tick:02452:resident:milo,True,True
2453,137,5,save/restore,west hearth,Sera,inspect_memory,sort herbs,v60:sera:care_favor:d137:s05,care favor,state observed without history rewrite,ssrm:v60:snapshot:d137:t02453,audit:v60:tick:02453:resident:sera,True,True
2454,137,6,audit replay,river gate,Tovan,enter,carry water,v60:tovan:route_warning:d137:s06,route warning,state observed without history rewrite,ssrm:v60:snapshot:d137:t02454,audit:v60:tick:02454:resident:tovan,True,True
2455,137,7,arrival,arrival court,Nia,talk,dry cloaks,v60:nia:tool_loan:d137:s07,tool loan,state observed without history rewrite,ssrm:v60:snapshot:d137:t02455,audit:v60:tick:02455:resident:nia,True,True
2456,137,8,movement,tool alcove,Ari,offer_help,map safe route,v60:ari:water_carry:d137:s08,water carry,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d137:t02456,audit:v60:tick:02456:resident:ari,True,True
2457,137,9,bounded conversation,rain court,Fay,return_tool,rest after rain,v60:fay:repair_promise:d137:s09,repair promise,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d137:t02457,audit:v60:tick:02457:resident:fay,True,True
2458,137,10,schedule/debt,fiber loft,Milo,inspect_memory,recover focus,v60:milo:missed_greeting:d137:s10,missed greeting,state observed without history rewrite,ssrm:v60:snapshot:d137:t02458,audit:v60:tick:02458:resident:milo,True,True
2459,137,11,offscreen,west hearth,Sera,enter,repair awning,v60:sera:care_favor:d137:s11,care favor,state observed without history rewrite,ssrm:v60:snapshot:d137:t02459,audit:v60:tick:02459:resident:sera,True,True
2460,137,12,consequence,river gate,Tovan,talk,sort herbs,v60:tovan:route_warning:d137:s12,route warning,state observed without history rewrite,ssrm:v60:snapshot:d137:t02460,audit:v60:tick:02460:resident:tovan,True,True
2461,137,13,save/restore,arrival court,Nia,offer_help,carry water,v60:nia:tool_loan:d137:s13,tool loan,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d137:t02461,audit:v60:tick:02461:resident:nia,True,True
2462,137,14,audit replay,tool alcove,Ari,return_tool,dry cloaks,v60:ari:water_carry:d137:s14,water carry,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d137:t02462,audit:v60:tick:02462:resident:ari,True,True
2463,137,15,arrival,rain court,Fay,inspect_memory,map safe route,v60:fay:repair_promise:d137:s15,repair promise,state observed without history rewrite,ssrm:v60:snapshot:d137:t02463,audit:v60:tick:02463:resident:fay,True,True
2464,137,16,movement,fiber loft,Milo,enter,rest after rain,v60:milo:missed_greeting:d137:s16,missed greeting,state observed without history rewrite,ssrm:v60:snapshot:d137:t02464,audit:v60:tick:02464:resident:milo,True,True
2465,137,17,bounded conversation,west hearth,Sera,talk,recover focus,v60:sera:care_favor:d137:s17,care favor,state observed without history rewrite,ssrm:v60:snapshot:d137:t02465,audit:v60:tick:02465:resident:sera,True,True
2466,138,0,offscreen,arrival court,Tovan,return_tool,sort herbs,v60:tovan:tool_loan:d138:s00,tool loan,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d138:t02466,audit:v60:tick:02466:resident:tovan,True,True
2467,138,1,consequence,tool alcove,Nia,inspect_memory,carry water,v60:nia:water_carry:d138:s01,water carry,state observed without history rewrite,ssrm:v60:snapshot:d138:t02467,audit:v60:tick:02467:resident:nia,True,True
2468,138,2,save/restore,rain court,Ari,enter,dry cloaks,v60:ari:repair_promise:d138:s02,repair promise,state observed without history rewrite,ssrm:v60:snapshot:d138:t02468,audit:v60:tick:02468:resident:ari,True,True
2469,138,3,audit replay,fiber loft,Fay,talk,map safe route,v60:fay:missed_greeting:d138:s03,missed greeting,state observed without history rewrite,ssrm:v60:snapshot:d138:t02469,audit:v60:tick:02469:resident:fay,True,True
2470,138,4,arrival,west hearth,Milo,offer_help,rest after rain,v60:milo:care_favor:d138:s04,care favor,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d138:t02470,audit:v60:tick:02470:resident:milo,True,True
2471,138,5,movement,river gate,Sera,return_tool,recover focus,v60:sera:route_warning:d138:s05,route warning,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d138:t02471,audit:v60:tick:02471:resident:sera,True,True
2472,138,6,bounded conversation,arrival court,Tovan,inspect_memory,repair awning,v60:tovan:tool_loan:d138:s06,tool loan,state observed without history rewrite,ssrm:v60:snapshot:d138:t02472,audit:v60:tick:02472:resident:tovan,True,True
2473,138,7,schedule/debt,tool alcove,Nia,enter,sort herbs,v60:nia:water_carry:d138:s07,water carry,state observed without history rewrite,ssrm:v60:snapshot:d138:t02473,audit:v60:tick:02473:resident:nia,True,True
2474,138,8,offscreen,rain court,Ari,talk,carry water,v60:ari:repair_promise:d138:s08,repair promise,state observed without history rewrite,ssrm:v60:snapshot:d138:t02474,audit:v60:tick:02474:resident:ari,True,True
2475,138,9,consequence,fiber loft,Fay,offer_help,dry cloaks,v60:fay:missed_greeting:d138:s09,missed greeting,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d138:t02475,audit:v60:tick:02475:resident:fay,True,True
2476,138,10,save/restore,west hearth,Milo,return_tool,map safe route,v60:milo:care_favor:d138:s10,care favor,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d138:t02476,audit:v60:tick:02476:resident:milo,True,True
2477,138,11,audit replay,river gate,Sera,inspect_memory,rest after rain,v60:sera:route_warning:d138:s11,route warning,state observed without history rewrite,ssrm:v60:snapshot:d138:t02477,audit:v60:tick:02477:resident:sera,True,True
2478,138,12,arrival,arrival court,Tovan,enter,recover focus,v60:tovan:tool_loan:d138:s12,tool loan,state observed without history rewrite,ssrm:v60:snapshot:d138:t02478,audit:v60:tick:02478:resident:tovan,True,True
2479,138,13,movement,tool alcove,Nia,talk,repair awning,v60:nia:water_carry:d138:s13,water carry,state observed without history rewrite,ssrm:v60:snapshot:d138:t02479,audit:v60:tick:02479:resident:nia,True,True
2480,138,14,bounded conversation,rain court,Ari,offer_help,sort herbs,v60:ari:repair_promise:d138:s14,repair promise,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d138:t02480,audit:v60:tick:02480:resident:ari,True,True
2481,138,15,schedule/debt,fiber loft,Fay,return_tool,carry water,v60:fay:missed_greeting:d138:s15,missed greeting,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d138:t02481,audit:v60:tick:02481:resident:fay,True,True
2482,138,16,offscreen,west hearth,Milo,inspect_memory,dry cloaks,v60:milo:care_favor:d138:s16,care favor,state observed without history rewrite,ssrm:v60:snapshot:d138:t02482,audit:v60:tick:02482:resident:milo,True,True
2483,138,17,consequence,river gate,Sera,enter,map safe route,v60:sera:route_warning:d138:s17,route warning,state observed without history rewrite,ssrm:v60:snapshot:d138:t02483,audit:v60:tick:02483:resident:sera,True,True
2484,139,0,audit replay,tool alcove,Tovan,offer_help,recover focus,v60:tovan:water_carry:d139:s00,water carry,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d139:t02484,audit:v60:tick:02484:resident:tovan,True,True
2485,139,1,arrival,rain court,Nia,return_tool,repair awning,v60:nia:repair_promise:d139:s01,repair promise,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d139:t02485,audit:v60:tick:02485:resident:nia,True,True
2486,139,2,movement,fiber loft,Ari,inspect_memory,sort herbs,v60:ari:missed_greeting:d139:s02,missed greeting,state observed without history rewrite,ssrm:v60:snapshot:d139:t02486,audit:v60:tick:02486:resident:ari,True,True
2487,139,3,bounded conversation,west hearth,Fay,enter,carry water,v60:fay:care_favor:d139:s03,care favor,state observed without history rewrite,ssrm:v60:snapshot:d139:t02487,audit:v60:tick:02487:resident:fay,True,True
2488,139,4,schedule/debt,river gate,Milo,talk,dry cloaks,v60:milo:route_warning:d139:s04,route warning,state observed without history rewrite,ssrm:v60:snapshot:d139:t02488,audit:v60:tick:02488:resident:milo,True,True
2489,139,5,offscreen,arrival court,Sera,offer_help,map safe route,v60:sera:tool_loan:d139:s05,tool loan,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d139:t02489,audit:v60:tick:02489:resident:sera,True,True
2490,139,6,consequence,tool alcove,Tovan,return_tool,rest after rain,v60:tovan:water_carry:d139:s06,water carry,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d139:t02490,audit:v60:tick:02490:resident:tovan,True,True
2491,139,7,save/restore,rain court,Nia,inspect_memory,recover focus,v60:nia:repair_promise:d139:s07,repair promise,state observed without history rewrite,ssrm:v60:snapshot:d139:t02491,audit:v60:tick:02491:resident:nia,True,True
2492,139,8,audit replay,fiber loft,Ari,enter,repair awning,v60:ari:missed_greeting:d139:s08,missed greeting,state observed without history rewrite,ssrm:v60:snapshot:d139:t02492,audit:v60:tick:02492:resident:ari,True,True
2493,139,9,arrival,west hearth,Fay,talk,sort herbs,v60:fay:care_favor:d139:s09,care favor,state observed without history rewrite,ssrm:v60:snapshot:d139:t02493,audit:v60:tick:02493:resident:fay,True,True
2494,139,10,movement,river gate,Milo,offer_help,carry water,v60:milo:route_warning:d139:s10,route warning,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d139:t02494,audit:v60:tick:02494:resident:milo,True,True
2495,139,11,bounded conversation,arrival court,Sera,return_tool,dry cloaks,v60:sera:tool_loan:d139:s11,tool loan,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d139:t02495,audit:v60:tick:02495:resident:sera,True,True
2496,139,12,schedule/debt,tool alcove,Tovan,inspect_memory,map safe route,v60:tovan:water_carry:d139:s12,water carry,state observed without history rewrite,ssrm:v60:snapshot:d139:t02496,audit:v60:tick:02496:resident:tovan,True,True
2497,139,13,offscreen,rain court,Nia,enter,rest after rain,v60:nia:repair_promise:d139:s13,repair promise,state observed without history rewrite,ssrm:v60:snapshot:d139:t02497,audit:v60:tick:02497:resident:nia,True,True
2498,139,14,consequence,fiber loft,Ari,talk,recover focus,v60:ari:missed_greeting:d139:s14,missed greeting,state observed without history rewrite,ssrm:v60:snapshot:d139:t02498,audit:v60:tick:02498:resident:ari,True,True
2499,139,15,save/restore,west hearth,Fay,offer_help,repair awning,v60:fay:care_favor:d139:s15,care favor,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d139:t02499,audit:v60:tick:02499:resident:fay,True,True
2500,139,16,audit replay,river gate,Milo,return_tool,sort herbs,v60:milo:route_warning:d139:s16,route warning,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d139:t02500,audit:v60:tick:02500:resident:milo,True,True
2501,139,17,arrival,arrival court,Sera,inspect_memory,carry water,v60:sera:tool_loan:d139:s17,tool loan,state observed without history rewrite,ssrm:v60:snapshot:d139:t02501,audit:v60:tick:02501:resident:sera,True,True
2502,140,0,bounded conversation,rain court,Tovan,talk,map safe route,v60:tovan:repair_promise:d140:s00,repair promise,state observed without history rewrite,ssrm:v60:snapshot:d140:t02502,audit:v60:tick:02502:resident:tovan,True,True
2503,140,1,schedule/debt,fiber loft,Nia,offer_help,rest after rain,v60:nia:missed_greeting:d140:s01,missed greeting,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d140:t02503,audit:v60:tick:02503:resident:nia,True,True
2504,140,2,offscreen,west hearth,Ari,return_tool,recover focus,v60:ari:care_favor:d140:s02,care favor,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d140:t02504,audit:v60:tick:02504:resident:ari,True,True
2505,140,3,consequence,river gate,Fay,inspect_memory,repair awning,v60:fay:route_warning:d140:s03,route warning,state observed without history rewrite,ssrm:v60:snapshot:d140:t02505,audit:v60:tick:02505:resident:fay,True,True
2506,140,4,save/restore,arrival court,Milo,enter,sort herbs,v60:milo:tool_loan:d140:s04,tool loan,state observed without history rewrite,ssrm:v60:snapshot:d140:t02506,audit:v60:tick:02506:resident:milo,True,True
2507,140,5,audit replay,tool alcove,Sera,talk,carry water,v60:sera:water_carry:d140:s05,water carry,state observed without history rewrite,ssrm:v60:snapshot:d140:t02507,audit:v60:tick:02507:resident:sera,True,True
2508,140,6,arrival,rain court,Tovan,offer_help,dry cloaks,v60:tovan:repair_promise:d140:s06,repair promise,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d140:t02508,audit:v60:tick:02508:resident:tovan,True,True
2509,140,7,movement,fiber loft,Nia,return_tool,map safe route,v60:nia:missed_greeting:d140:s07,missed greeting,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d140:t02509,audit:v60:tick:02509:resident:nia,True,True
2510,140,8,bounded conversation,west hearth,Ari,inspect_memory,rest after rain,v60:ari:care_favor:d140:s08,care favor,state observed without history rewrite,ssrm:v60:snapshot:d140:t02510,audit:v60:tick:02510:resident:ari,True,True
2511,140,9,schedule/debt,river gate,Fay,enter,recover focus,v60:fay:route_warning:d140:s09,route warning,state observed without history rewrite,ssrm:v60:snapshot:d140:t02511,audit:v60:tick:02511:resident:fay,True,True
2512,140,10,offscreen,arrival court,Milo,talk,repair awning,v60:milo:tool_loan:d140:s10,tool loan,state observed without history rewrite,ssrm:v60:snapshot:d140:t02512,audit:v60:tick:02512:resident:milo,True,True
2513,140,11,consequence,tool alcove,Sera,offer_help,sort herbs,v60:sera:water_carry:d140:s11,water carry,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d140:t02513,audit:v60:tick:02513:resident:sera,True,True
2514,140,12,save/restore,rain court,Tovan,return_tool,carry water,v60:tovan:repair_promise:d140:s12,repair promise,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d140:t02514,audit:v60:tick:02514:resident:tovan,True,True
2515,140,13,audit replay,fiber loft,Nia,inspect_memory,dry cloaks,v60:nia:missed_greeting:d140:s13,missed greeting,state observed without history rewrite,ssrm:v60:snapshot:d140:t02515,audit:v60:tick:02515:resident:nia,True,True
2516,140,14,arrival,west hearth,Ari,enter,map safe route,v60:ari:care_favor:d140:s14,care favor,state observed without history rewrite,ssrm:v60:snapshot:d140:t02516,audit:v60:tick:02516:resident:ari,True,True
2517,140,15,movement,river gate,Fay,talk,rest after rain,v60:fay:route_warning:d140:s15,route warning,state observed without history rewrite,ssrm:v60:snapshot:d140:t02517,audit:v60:tick:02517:resident:fay,True,True
2518,140,16,bounded conversation,arrival court,Milo,offer_help,recover focus,v60:milo:tool_loan:d140:s16,tool loan,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d140:t02518,audit:v60:tick:02518:resident:milo,True,True
2519,140,17,schedule/debt,tool alcove,Sera,return_tool,repair awning,v60:sera:water_carry:d140:s17,water carry,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d140:t02519,audit:v60:tick:02519:resident:sera,True,True
2520,141,0,consequence,fiber loft,Tovan,enter,carry water,v60:tovan:missed_greeting:d141:s00,missed greeting,state observed without history rewrite,ssrm:v60:snapshot:d141:t02520,audit:v60:tick:02520:resident:tovan,True,True
2521,141,1,save/restore,west hearth,Nia,talk,dry cloaks,v60:nia:care_favor:d141:s01,care favor,state observed without history rewrite,ssrm:v60:snapshot:d141:t02521,audit:v60:tick:02521:resident:nia,True,True
2522,141,2,audit replay,river gate,Ari,offer_help,map safe route,v60:ari:route_warning:d141:s02,route warning,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d141:t02522,audit:v60:tick:02522:resident:ari,True,True
2523,141,3,arrival,arrival court,Fay,return_tool,rest after rain,v60:fay:tool_loan:d141:s03,tool loan,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d141:t02523,audit:v60:tick:02523:resident:fay,True,True
2524,141,4,movement,tool alcove,Milo,inspect_memory,recover focus,v60:milo:water_carry:d141:s04,water carry,state observed without history rewrite,ssrm:v60:snapshot:d141:t02524,audit:v60:tick:02524:resident:milo,True,True
2525,141,5,bounded conversation,rain court,Sera,enter,repair awning,v60:sera:repair_promise:d141:s05,repair promise,state observed without history rewrite,ssrm:v60:snapshot:d141:t02525,audit:v60:tick:02525:resident:sera,True,True
2526,141,6,schedule/debt,fiber loft,Tovan,talk,sort herbs,v60:tovan:missed_greeting:d141:s06,missed greeting,state observed without history rewrite,ssrm:v60:snapshot:d141:t02526,audit:v60:tick:02526:resident:tovan,True,True
2527,141,7,offscreen,west hearth,Nia,offer_help,carry water,v60:nia:care_favor:d141:s07,care favor,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d141:t02527,audit:v60:tick:02527:resident:nia,True,True
2528,141,8,consequence,river gate,Ari,return_tool,dry cloaks,v60:ari:route_warning:d141:s08,route warning,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d141:t02528,audit:v60:tick:02528:resident:ari,True,True
2529,141,9,save/restore,arrival court,Fay,inspect_memory,map safe route,v60:fay:tool_loan:d141:s09,tool loan,state observed without history rewrite,ssrm:v60:snapshot:d141:t02529,audit:v60:tick:02529:resident:fay,True,True
2530,141,10,audit replay,tool alcove,Milo,enter,rest after rain,v60:milo:water_carry:d141:s10,water carry,state observed without history rewrite,ssrm:v60:snapshot:d141:t02530,audit:v60:tick:02530:resident:milo,True,True
2531,141,11,arrival,rain court,Sera,talk,recover focus,v60:sera:repair_promise:d141:s11,repair promise,state observed without history rewrite,ssrm:v60:snapshot:d141:t02531,audit:v60:tick:02531:resident:sera,True,True
2532,141,12,movement,fiber loft,Tovan,offer_help,repair awning,v60:tovan:missed_greeting:d141:s12,missed greeting,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d141:t02532,audit:v60:tick:02532:resident:tovan,True,True
2533,141,13,bounded conversation,west hearth,Nia,return_tool,sort herbs,v60:nia:care_favor:d141:s13,care favor,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d141:t02533,audit:v60:tick:02533:resident:nia,True,True
2534,141,14,schedule/debt,river gate,Ari,inspect_memory,carry water,v60:ari:route_warning:d141:s14,route warning,state observed without history rewrite,ssrm:v60:snapshot:d141:t02534,audit:v60:tick:02534:resident:ari,True,True
2535,141,15,offscreen,arrival court,Fay,enter,dry cloaks,v60:fay:tool_loan:d141:s15,tool loan,state observed without history rewrite,ssrm:v60:snapshot:d141:t02535,audit:v60:tick:02535:resident:fay,True,True
2536,141,16,consequence,tool alcove,Milo,talk,map safe route,v60:milo:water_carry:d141:s16,water carry,state observed without history rewrite,ssrm:v60:snapshot:d141:t02536,audit:v60:tick:02536:resident:milo,True,True
2537,141,17,save/restore,rain court,Sera,offer_help,rest after rain,v60:sera:repair_promise:d141:s17,repair promise,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d141:t02537,audit:v60:tick:02537:resident:sera,True,True
2538,142,0,arrival,west hearth,Tovan,inspect_memory,repair awning,v60:tovan:care_favor:d142:s00,care favor,state observed without history rewrite,ssrm:v60:snapshot:d142:t02538,audit:v60:tick:02538:resident:tovan,True,True
2539,142,1,movement,river gate,Nia,enter,sort herbs,v60:nia:route_warning:d142:s01,route warning,state observed without history rewrite,ssrm:v60:snapshot:d142:t02539,audit:v60:tick:02539:resident:nia,True,True
2540,142,2,bounded conversation,arrival court,Ari,talk,carry water,v60:ari:tool_loan:d142:s02,tool loan,state observed without history rewrite,ssrm:v60:snapshot:d142:t02540,audit:v60:tick:02540:resident:ari,True,True
2541,142,3,schedule/debt,tool alcove,Fay,offer_help,dry cloaks,v60:fay:water_carry:d142:s03,water carry,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d142:t02541,audit:v60:tick:02541:resident:fay,True,True
2542,142,4,offscreen,rain court,Milo,return_tool,map safe route,v60:milo:repair_promise:d142:s04,repair promise,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d142:t02542,audit:v60:tick:02542:resident:milo,True,True
2543,142,5,consequence,fiber loft,Sera,inspect_memory,rest after rain,v60:sera:missed_greeting:d142:s05,missed greeting,state observed without history rewrite,ssrm:v60:snapshot:d142:t02543,audit:v60:tick:02543:resident:sera,True,True
2544,142,6,save/restore,west hearth,Tovan,enter,recover focus,v60:tovan:care_favor:d142:s06,care favor,state observed without history rewrite,ssrm:v60:snapshot:d142:t02544,audit:v60:tick:02544:resident:tovan,True,True
2545,142,7,audit replay,river gate,Nia,talk,repair awning,v60:nia:route_warning:d142:s07,route warning,state observed without history rewrite,ssrm:v60:snapshot:d142:t02545,audit:v60:tick:02545:resident:nia,True,True
2546,142,8,arrival,arrival court,Ari,offer_help,sort herbs,v60:ari:tool_loan:d142:s08,tool loan,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d142:t02546,audit:v60:tick:02546:resident:ari,True,True
2547,142,9,movement,tool alcove,Fay,return_tool,carry water,v60:fay:water_carry:d142:s09,water carry,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d142:t02547,audit:v60:tick:02547:resident:fay,True,True
2548,142,10,bounded conversation,rain court,Milo,inspect_memory,dry cloaks,v60:milo:repair_promise:d142:s10,repair promise,state observed without history rewrite,ssrm:v60:snapshot:d142:t02548,audit:v60:tick:02548:resident:milo,True,True
2549,142,11,schedule/debt,fiber loft,Sera,enter,map safe route,v60:sera:missed_greeting:d142:s11,missed greeting,state observed without history rewrite,ssrm:v60:snapshot:d142:t02549,audit:v60:tick:02549:resident:sera,True,True
2550,142,12,offscreen,west hearth,Tovan,talk,rest after rain,v60:tovan:care_favor:d142:s12,care favor,state observed without history rewrite,ssrm:v60:snapshot:d142:t02550,audit:v60:tick:02550:resident:tovan,True,True
2551,142,13,consequence,river gate,Nia,offer_help,recover focus,v60:nia:route_warning:d142:s13,route warning,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d142:t02551,audit:v60:tick:02551:resident:nia,True,True
2552,142,14,save/restore,arrival court,Ari,return_tool,repair awning,v60:ari:tool_loan:d142:s14,tool loan,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d142:t02552,audit:v60:tick:02552:resident:ari,True,True
2553,142,15,audit replay,tool alcove,Fay,inspect_memory,sort herbs,v60:fay:water_carry:d142:s15,water carry,state observed without history rewrite,ssrm:v60:snapshot:d142:t02553,audit:v60:tick:02553:resident:fay,True,True
2554,142,16,arrival,rain court,Milo,enter,carry water,v60:milo:repair_promise:d142:s16,repair promise,state observed without history rewrite,ssrm:v60:snapshot:d142:t02554,audit:v60:tick:02554:resident:milo,True,True
2555,142,17,movement,fiber loft,Sera,talk,dry cloaks,v60:sera:missed_greeting:d142:s17,missed greeting,state observed without history rewrite,ssrm:v60:snapshot:d142:t02555,audit:v60:tick:02555:resident:sera,True,True
2556,143,0,schedule/debt,river gate,Tovan,return_tool,rest after rain,v60:tovan:route_warning:d143:s00,route warning,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d143:t02556,audit:v60:tick:02556:resident:tovan,True,True
2557,143,1,offscreen,arrival court,Nia,inspect_memory,recover focus,v60:nia:tool_loan:d143:s01,tool loan,state observed without history rewrite,ssrm:v60:snapshot:d143:t02557,audit:v60:tick:02557:resident:nia,True,True
2558,143,2,consequence,tool alcove,Ari,enter,repair awning,v60:ari:water_carry:d143:s02,water carry,state observed without history rewrite,ssrm:v60:snapshot:d143:t02558,audit:v60:tick:02558:resident:ari,True,True
2559,143,3,save/restore,rain court,Fay,talk,sort herbs,v60:fay:repair_promise:d143:s03,repair promise,state observed without history rewrite,ssrm:v60:snapshot:d143:t02559,audit:v60:tick:02559:resident:fay,True,True
2560,143,4,audit replay,fiber loft,Milo,offer_help,carry water,v60:milo:missed_greeting:d143:s04,missed greeting,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d143:t02560,audit:v60:tick:02560:resident:milo,True,True
2561,143,5,arrival,west hearth,Sera,return_tool,dry cloaks,v60:sera:care_favor:d143:s05,care favor,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d143:t02561,audit:v60:tick:02561:resident:sera,True,True
2562,143,6,movement,river gate,Tovan,inspect_memory,map safe route,v60:tovan:route_warning:d143:s06,route warning,state observed without history rewrite,ssrm:v60:snapshot:d143:t02562,audit:v60:tick:02562:resident:tovan,True,True
2563,143,7,bounded conversation,arrival court,Nia,enter,rest after rain,v60:nia:tool_loan:d143:s07,tool loan,state observed without history rewrite,ssrm:v60:snapshot:d143:t02563,audit:v60:tick:02563:resident:nia,True,True
2564,143,8,schedule/debt,tool alcove,Ari,talk,recover focus,v60:ari:water_carry:d143:s08,water carry,state observed without history rewrite,ssrm:v60:snapshot:d143:t02564,audit:v60:tick:02564:resident:ari,True,True
2565,143,9,offscreen,rain court,Fay,offer_help,repair awning,v60:fay:repair_promise:d143:s09,repair promise,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d143:t02565,audit:v60:tick:02565:resident:fay,True,True
2566,143,10,consequence,fiber loft,Milo,return_tool,sort herbs,v60:milo:missed_greeting:d143:s10,missed greeting,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d143:t02566,audit:v60:tick:02566:resident:milo,True,True
2567,143,11,save/restore,west hearth,Sera,inspect_memory,carry water,v60:sera:care_favor:d143:s11,care favor,state observed without history rewrite,ssrm:v60:snapshot:d143:t02567,audit:v60:tick:02567:resident:sera,True,True
2568,143,12,audit replay,river gate,Tovan,enter,dry cloaks,v60:tovan:route_warning:d143:s12,route warning,state observed without history rewrite,ssrm:v60:snapshot:d143:t02568,audit:v60:tick:02568:resident:tovan,True,True
2569,143,13,arrival,arrival court,Nia,talk,map safe route,v60:nia:tool_loan:d143:s13,tool loan,state observed without history rewrite,ssrm:v60:snapshot:d143:t02569,audit:v60:tick:02569:resident:nia,True,True
2570,143,14,movement,tool alcove,Ari,offer_help,rest after rain,v60:ari:water_carry:d143:s14,water carry,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d143:t02570,audit:v60:tick:02570:resident:ari,True,True
2571,143,15,bounded conversation,rain court,Fay,return_tool,recover focus,v60:fay:repair_promise:d143:s15,repair promise,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d143:t02571,audit:v60:tick:02571:resident:fay,True,True
