tick_index,day,agent,public_routine_marker,public_body_affect_marker,public_relationship_marker,private_history_hint,replay_checkpoint,trace_integrity_token
1,1,Ari,day 1 dawn: Ari chooses quiet_route_scan,steady_continuity; sleep_debt=0.28; recovery=0.23,continues_neutral_boundary; trust=0.52; avoid=0.21,history_charge=0.22; autonomy=0.79; reason=relationship state remains bounded,r243-day01-tick001,r243:1:Ari:90bff84411
204,7,Sol,day 7 day: Sol chooses market_exchange,steady_continuity; sleep_debt=0.08; recovery=0.35,approaches_for_shared_task_later; trust=0.94; avoid=0.00,history_charge=0.04; autonomy=0.86; reason=help became recovery memory,no_checkpoint,r243:204:Sol:1e10be8951
205,7,Ari,day 7 day: Ari chooses repair_route,steady_continuity; sleep_debt=0.10; recovery=0.35,approaches_for_shared_task_later; trust=1.00; avoid=0.00,history_charge=0.03; autonomy=0.85; reason=help became recovery memory,no_checkpoint,r243:205:Ari:8eabfe00a2
206,7,Fay,day 7 day: Fay chooses repair_route,steady_continuity; sleep_debt=0.16; recovery=0.23,shares_private_hint_voluntarily; trust=0.98; avoid=0.03,history_charge=0.05; autonomy=0.77; reason=trust stable across days,no_checkpoint,r243:206:Fay:fa6793a584
207,7,Milo,day 7 day: Milo chooses teach_skill,steady_continuity; sleep_debt=0.13; recovery=0.38,approaches_for_shared_task_later; trust=1.00; avoid=0.00,history_charge=0.02; autonomy=0.82; reason=help became recovery memory,no_checkpoint,r243:207:Milo:ac2da5bae5
208,7,Sol,day 7 day: Sol chooses work_project,steady_continuity; sleep_debt=0.10; recovery=0.31,shares_private_hint_voluntarily; trust=0.94; avoid=0.00,history_charge=0.04; autonomy=0.84; reason=trust stable across days,no_checkpoint,r243:208:Sol:f7b5e25527
209,7,Ari,day 7 dusk: Ari chooses hearth_return,steady_continuity; sleep_debt=0.12; recovery=0.30,shares_private_hint_voluntarily; trust=1.00; avoid=0.00,history_charge=0.03; autonomy=0.83; reason=trust stable across days,no_checkpoint,r243:209:Ari:567b280772
210,7,Fay,day 7 dusk: Fay chooses ritual_hum,steady_continuity; sleep_debt=0.12; recovery=0.36,approaches_for_shared_task_later; trust=1.00; avoid=0.00,history_charge=0.04; autonomy=0.83; reason=help became recovery memory,no_checkpoint,r243:210:Fay:6c56aa3723
211,7,Milo,day 7 dusk: Milo chooses relationship_check,steady_continuity; sleep_debt=0.17; recovery=0.30,shares_private_hint_voluntarily; trust=0.98; avoid=0.03,history_charge=0.07; autonomy=0.72; reason=trust stable across days,no_checkpoint,r243:211:Milo:803d47c0a5
212,7,Sol,day 7 dusk: Sol chooses store_objects,steady_continuity; sleep_debt=0.16; recovery=0.25,shares_private_hint_voluntarily; trust=0.95; avoid=0.00,history_charge=0.05; autonomy=0.84; reason=trust stable across days,no_checkpoint,r243:212:Sol:7708930e9f
213,7,Ari,day 7 dusk: Ari chooses store_objects,steady_continuity; sleep_debt=0.18; recovery=0.24,shares_private_hint_voluntarily; trust=1.00; avoid=0.00,history_charge=0.05; autonomy=0.83; reason=trust stable across days,no_checkpoint,r243:213:Ari:f916264d96
214,7,Fay,day 7 dusk: Fay chooses ritual_hum,steady_continuity; sleep_debt=0.09; recovery=0.44,approaches_for_shared_task_later; trust=1.00; avoid=0.00,history_charge=0.02; autonomy=0.81; reason=help became recovery memory,no_checkpoint,r243:214:Fay:3e375b6726
215,7,Milo,day 7 dusk: Milo chooses ritual_hum,steady_continuity; sleep_debt=0.13; recovery=0.40,approaches_for_shared_task_later; trust=1.00; avoid=0.00,history_charge=0.04; autonomy=0.85; reason=help became recovery memory,no_checkpoint,r243:215:Milo:17844f8b38
216,7,Sol,day 7 dusk: Sol chooses relationship_check,steady_continuity; sleep_debt=0.22; recovery=0.20,shares_private_hint_voluntarily; trust=0.92; avoid=0.03,history_charge=0.09; autonomy=0.80; reason=trust stable across days,no_checkpoint,r243:216:Sol:b69c9fb48e
217,7,Ari,day 7 night: Ari chooses guarded_rest,steady_continuity; sleep_debt=0.07; recovery=0.26,shares_private_hint_voluntarily; trust=0.98; avoid=0.03,history_charge=0.07; autonomy=0.79; reason=trust stable across days,no_checkpoint,r243:217:Ari:8577cc409d
218,7,Fay,day 7 night: Fay chooses soft_recovery,settled_after_care; sleep_debt=0.00; recovery=0.57,approaches_for_shared_task_later; trust=1.00; avoid=0.00,history_charge=0.00; autonomy=0.81; reason=help became recovery memory,no_checkpoint,r243:218:Fay:4bd882afc3
219,7,Milo,day 7 night: Milo chooses sleep,steady_continuity; sleep_debt=0.00; recovery=0.40,shares_private_hint_voluntarily; trust=1.00; avoid=0.00,history_charge=0.03; autonomy=0.83; reason=trust stable across days,no_checkpoint,r243:219:Milo:3fc57420bd
220,7,Sol,day 7 night: Sol chooses dream_sort_memory,steady_continuity; sleep_debt=0.06; recovery=0.37,approaches_for_shared_task_later; trust=0.95; avoid=0.00,history_charge=0.07; autonomy=0.86; reason=help became recovery memory,no_checkpoint,r243:220:Sol:00e3fd40f7
221,7,Ari,day 7 night: Ari chooses dream_sort_memory,steady_continuity; sleep_debt=0.00; recovery=0.41,approaches_for_shared_task_later; trust=1.00; avoid=0.00,history_charge=0.05; autonomy=0.85; reason=help became recovery memory,no_checkpoint,r243:221:Ari:0453581c61
222,7,Fay,day 7 night: Fay chooses guarded_rest,steady_continuity; sleep_debt=0.00; recovery=0.48,shares_private_hint_voluntarily; trust=0.98; avoid=0.03,history_charge=0.03; autonomy=0.71; reason=trust stable across days,no_checkpoint,r243:222:Fay:a7804ef1f4
223,7,Milo,day 7 night: Milo chooses soft_recovery,steady_continuity; sleep_debt=0.00; recovery=0.43,shares_private_hint_voluntarily; trust=1.00; avoid=0.00,history_charge=0.02; autonomy=0.82; reason=trust stable across days,no_checkpoint,r243:223:Milo:2fbe0fbf9b
224,7,Sol,day 7 night: Sol chooses sleep,steady_continuity; sleep_debt=0.00; recovery=0.45,approaches_for_shared_task_later; trust=0.98; avoid=0.00,history_charge=0.04; autonomy=0.84; reason=help became recovery memory,no_checkpoint,r243:224:Sol:8b9f70fcbd
225,8,Ari,day 8 dawn: Ari chooses prepare_tools,steady_continuity; sleep_debt=0.02; recovery=0.41,approaches_for_shared_task_later; trust=1.00; avoid=0.00,history_charge=0.02; autonomy=0.85; reason=help became recovery memory,no_checkpoint,r243:225:Ari:1cc9cecd0b
226,8,Fay,day 8 dawn: Fay chooses quiet_route_scan,steady_continuity; sleep_debt=0.06; recovery=0.36,shares_private_hint_voluntarily; trust=0.96; avoid=0.05,history_charge=0.04; autonomy=0.77; reason=trust stable across days,no_checkpoint,r243:226:Fay:3d64b3687d
227,8,Milo,day 8 dawn: Milo chooses share_water,steady_continuity; sleep_debt=0.02; recovery=0.42,approaches_for_shared_task_later; trust=1.00; avoid=0.00,history_charge=0.00; autonomy=0.83; reason=help became recovery memory,no_checkpoint,r243:227:Milo:8b90ba9b34
228,8,Sol,day 8 dawn: Sol chooses wake_check_body,steady_continuity; sleep_debt=0.02; recovery=0.38,shares_private_hint_voluntarily; trust=0.98; avoid=0.00,history_charge=0.03; autonomy=0.84; reason=trust stable across days,no_checkpoint,r243:228:Sol:8118bfe1fd
229,8,Ari,day 8 dawn: Ari chooses wake_check_body,steady_continuity; sleep_debt=0.04; recovery=0.35,shares_private_hint_voluntarily; trust=1.00; avoid=0.00,history_charge=0.01; autonomy=0.83; reason=trust stable across days,no_checkpoint,r243:229:Ari:36b1de38a8
230,8,Fay,day 8 dawn: Fay chooses prepare_tools,steady_continuity; sleep_debt=0.08; recovery=0.38,approaches_for_shared_task_later; trust=0.98; avoid=0.03,history_charge=0.03; autonomy=0.83; reason=help became recovery memory,no_checkpoint,r243:230:Fay:10e7ee799c
231,8,Milo,day 8 dawn: Milo chooses quiet_route_scan,steady_continuity; sleep_debt=0.06; recovery=0.32,shares_private_hint_voluntarily; trust=0.98; avoid=0.03,history_charge=0.05; autonomy=0.73; reason=trust stable across days,no_checkpoint,r243:231:Milo:0f14dbafcc
232,8,Sol,day 8 dawn: Sol chooses share_water,steady_continuity; sleep_debt=0.08; recovery=0.29,shares_private_hint_voluntarily; trust=0.99; avoid=0.00,history_charge=0.03; autonomy=0.84; reason=trust stable across days,no_checkpoint,r243:232:Sol:c5b93d9568
233,8,Ari,day 8 day: Ari chooses repair_route,steady_continuity; sleep_debt=0.10; recovery=0.27,shares_private_hint_voluntarily; trust=1.00; avoid=0.00,history_charge=0.03; autonomy=0.83; reason=trust stable across days,no_checkpoint,r243:233:Ari:a8dd320675
234,8,Fay,day 8 day: Fay chooses work_project,steady_continuity; sleep_debt=0.11; recovery=0.38,approaches_for_shared_task_later; trust=1.00; avoid=0.00,history_charge=0.02; autonomy=0.81; reason=help became recovery memory,no_checkpoint,r243:234:Fay:a238938698
235,8,Milo,day 8 day: Milo chooses market_exchange,steady_continuity; sleep_debt=0.08; recovery=0.35,approaches_for_shared_task_later; trust=1.00; avoid=0.00,history_charge=0.03; autonomy=0.85; reason=help became recovery memory,no_checkpoint,r243:235:Milo:e112264760
236,8,Sol,day 8 day: Sol chooses repair_route,steady_continuity; sleep_debt=0.14; recovery=0.24,shares_private_hint_voluntarily; trust=0.96; avoid=0.03,history_charge=0.07; autonomy=0.80; reason=trust stable across days,no_checkpoint,r243:236:Sol:e034e54821
237,8,Ari,day 8 day: Ari chooses repair_route,steady_continuity; sleep_debt=0.16; recovery=0.22,shares_private_hint_voluntarily; trust=0.98; avoid=0.03,history_charge=0.06; autonomy=0.79; reason=trust stable across days,no_checkpoint,r243:237:Ari:3235818787
238,8,Fay,day 8 day: Fay chooses teach_skill,steady_continuity; sleep_debt=0.13; recovery=0.39,approaches_for_shared_task_later; trust=1.00; avoid=0.00,history_charge=0.00; autonomy=0.81; reason=help became recovery memory,no_checkpoint,r243:238:Fay:b8e6a1e74f
239,8,Milo,day 8 day: Milo chooses market_exchange,steady_continuity; sleep_debt=0.10; recovery=0.31,shares_private_hint_voluntarily; trust=1.00; avoid=0.00,history_charge=0.03; autonomy=0.83; reason=trust stable across days,no_checkpoint,r243:239:Milo:964ead55f9
240,8,Sol,day 8 day: Sol chooses market_exchange,steady_continuity; sleep_debt=0.16; recovery=0.29,approaches_for_shared_task_later; trust=0.99; avoid=0.00,history_charge=0.06; autonomy=0.86; reason=help became recovery memory,no_checkpoint,r243:240:Sol:ebea867811
241,8,Ari,day 8 dusk: Ari chooses ritual_hum,steady_continuity; sleep_debt=0.12; recovery=0.35,approaches_for_shared_task_later; trust=1.00; avoid=0.00,history_charge=0.05; autonomy=0.85; reason=help became recovery memory,no_checkpoint,r243:241:Ari:9e81bb055f
242,8,Fay,day 8 dusk: Fay chooses ritual_hum,steady_continuity; sleep_debt=0.11; recovery=0.37,shares_private_hint_voluntarily; trust=0.98; avoid=0.03,history_charge=0.05; autonomy=0.71; reason=trust stable across days,no_checkpoint,r243:242:Fay:3172901b84
243,8,Milo,day 8 dusk: Milo chooses store_objects,steady_continuity; sleep_debt=0.16; recovery=0.25,shares_private_hint_voluntarily; trust=1.00; avoid=0.00,history_charge=0.05; autonomy=0.82; reason=trust stable across days,no_checkpoint,r243:243:Milo:0e1138688d
244,8,Sol,day 8 dusk: Sol chooses hearth_return,steady_continuity; sleep_debt=0.18; recovery=0.33,approaches_for_shared_task_later; trust=1.00; avoid=0.00,history_charge=0.05; autonomy=0.84; reason=help became recovery memory,no_checkpoint,r243:244:Sol:91a57fb468
245,8,Ari,day 8 dusk: Ari chooses hearth_return,steady_continuity; sleep_debt=0.15; recovery=0.37,approaches_for_shared_task_later; trust=1.00; avoid=0.00,history_charge=0.04; autonomy=0.84; reason=help became recovery memory,no_checkpoint,r243:245:Ari:7b738a4edc
246,8,Fay,day 8 dusk: Fay chooses ritual_hum,steady_continuity; sleep_debt=0.07; recovery=0.45,approaches_for_shared_task_later; trust=1.00; avoid=0.00,history_charge=0.02; autonomy=0.83; reason=help became recovery memory,no_checkpoint,r243:246:Fay:6d2223fe23
247,8,Milo,day 8 dusk: Milo chooses relationship_check,steady_continuity; sleep_debt=0.22; recovery=0.20,shares_private_hint_voluntarily; trust=0.98; avoid=0.03,history_charge=0.09; autonomy=0.79; reason=trust stable across days,no_checkpoint,r243:247:Milo:c2d86d8ea0
248,8,Sol,day 8 dusk: Sol chooses store_objects,steady_continuity; sleep_debt=0.21; recovery=0.35,approaches_for_shared_task_later; trust=1.00; avoid=0.00,history_charge=0.04; autonomy=0.84; reason=help became recovery memory,no_checkpoint,r243:248:Sol:fb22880b6d
249,8,Ari,day 8 night: Ari chooses soft_recovery,steady_continuity; sleep_debt=0.00; recovery=0.52,approaches_for_shared_task_later; trust=1.00; avoid=0.00,history_charge=0.01; autonomy=0.83; reason=help became recovery memory,no_checkpoint,r243:249:Ari:9f604fd59b
250,8,Fay,day 8 night: Fay chooses sleep,steady_continuity; sleep_debt=0.00; recovery=0.43,shares_private_hint_voluntarily; trust=1.00; avoid=0.00,history_charge=0.00; autonomy=0.81; reason=trust stable across days,no_checkpoint,r243:250:Fay:d4a72da779
251,8,Milo,day 8 night: Milo chooses dream_sort_memory,steady_continuity; sleep_debt=0.05; recovery=0.37,approaches_for_shared_task_later; trust=1.00; avoid=0.00,history_charge=0.07; autonomy=0.85; reason=help became recovery memory,no_checkpoint,r243:251:Milo:32da3a2edd
252,8,Sol,day 8 night: Sol chooses guarded_rest,steady_continuity; sleep_debt=0.07; recovery=0.33,shares_private_hint_voluntarily; trust=0.98; avoid=0.03,history_charge=0.08; autonomy=0.74; reason=trust stable across days,no_checkpoint,r243:252:Sol:6fde31889e
253,8,Ari,day 8 night: Ari chooses guarded_rest,steady_continuity; sleep_debt=0.00; recovery=0.44,shares_private_hint_voluntarily; trust=0.98; avoid=0.03,history_charge=0.04; autonomy=0.73; reason=trust stable across days,no_checkpoint,r243:253:Ari:35ed891eda
254,8,Fay,day 8 night: Fay chooses soft_recovery,steady_continuity; sleep_debt=0.00; recovery=0.45,shares_private_hint_voluntarily; trust=1.00; avoid=0.00,history_charge=0.00; autonomy=0.81; reason=trust stable across days,no_checkpoint,r243:254:Fay:29134f6e6d
255,8,Milo,day 8 night: Milo chooses sleep,steady_continuity; sleep_debt=0.00; recovery=0.45,approaches_for_shared_task_later; trust=1.00; avoid=0.00,history_charge=0.04; autonomy=0.83; reason=help became recovery memory,no_checkpoint,r243:255:Milo:39b354010a
256,8,Sol,day 8 night: Sol chooses dream_sort_memory,steady_continuity; sleep_debt=0.00; recovery=0.46,approaches_for_shared_task_later; trust=1.00; avoid=0.00,history_charge=0.05; autonomy=0.86; reason=help became recovery memory,no_checkpoint,r243:256:Sol:3cc332ad74
257,9,Ari,day 9 dawn: Ari chooses quiet_route_scan,steady_continuity; sleep_debt=0.06; recovery=0.34,shares_private_hint_voluntarily; trust=0.96; avoid=0.05,history_charge=0.06; autonomy=0.79; reason=trust stable across days,no_checkpoint,r243:257:Ari:75839d514e
258,9,Fay,day 9 dawn: Fay chooses share_water,steady_continuity; sleep_debt=0.02; recovery=0.44,approaches_for_shared_task_later; trust=1.00; avoid=0.00,history_charge=0.00; autonomy=0.81; reason=help became recovery memory,no_checkpoint,r243:258:Fay:8cbaa9589b
259,9,Milo,day 9 dawn: Milo chooses wake_check_body,steady_continuity; sleep_debt=0.02; recovery=0.38,shares_private_hint_voluntarily; trust=1.00; avoid=0.00,history_charge=0.02; autonomy=0.83; reason=trust stable across days,no_checkpoint,r243:259:Milo:602dfb4afe
260,9,Sol,day 9 dawn: Sol chooses quiet_route_scan,steady_continuity; sleep_debt=0.02; recovery=0.44,approaches_for_shared_task_later; trust=1.00; avoid=0.00,history_charge=0.01; autonomy=0.86; reason=help became recovery memory,no_checkpoint,r243:260:Sol:5c0ce235c5
261,9,Ari,day 9 dawn: Ari chooses prepare_tools,steady_continuity; sleep_debt=0.08; recovery=0.36,approaches_for_shared_task_later; trust=0.98; avoid=0.03,history_charge=0.04; autonomy=0.85; reason=help became recovery memory,no_checkpoint,r243:261:Ari:d34688bb38
262,9,Fay,day 9 dawn: Fay chooses quiet_route_scan,steady_continuity; sleep_debt=0.06; recovery=0.33,shares_private_hint_voluntarily; trust=0.98; avoid=0.03,history_charge=0.05; autonomy=0.70; reason=trust stable across days,no_checkpoint,r243:262:Fay:f239ee0c1a
263,9,Milo,day 9 dawn: Milo chooses share_water,steady_continuity; sleep_debt=0.08; recovery=0.29,shares_private_hint_voluntarily; trust=1.00; avoid=0.00,history_charge=0.03; autonomy=0.82; reason=trust stable across days,no_checkpoint,r243:263:Milo:d1c5683535
264,9,Sol,day 9 dawn: Sol chooses quiet_route_scan,steady_continuity; sleep_debt=0.04; recovery=0.43,approaches_for_shared_task_later; trust=1.00; avoid=0.00,history_charge=0.00; autonomy=0.84; reason=help became recovery memory,no_checkpoint,r243:264:Sol:f3806d3bac
265,9,Ari,day 9 day: Ari chooses repair_route,steady_continuity; sleep_debt=0.11; recovery=0.37,approaches_for_shared_task_later; trust=1.00; avoid=0.00,history_charge=0.03; autonomy=0.83; reason=help became recovery memory,no_checkpoint,r243:265:Ari:7423b37b34
266,9,Fay,day 9 day: Fay chooses market_exchange,steady_continuity; sleep_debt=0.08; recovery=0.36,approaches_for_shared_task_later; trust=1.00; avoid=0.00,history_charge=0.03; autonomy=0.83; reason=help became recovery memory,no_checkpoint,r243:266:Fay:b4b9cc86f4
267,9,Milo,day 9 day: Milo chooses repair_route,steady_continuity; sleep_debt=0.14; recovery=0.24,shares_private_hint_voluntarily; trust=0.98; avoid=0.03,history_charge=0.07; autonomy=0.78; reason=trust stable across days,no_checkpoint,r243:267:Milo:b517351e25
268,9,Sol,day 9 day: Sol chooses teach_skill,steady_continuity; sleep_debt=0.06; recovery=0.42,approaches_for_shared_task_later; trust=1.00; avoid=0.00,history_charge=0.00; autonomy=0.84; reason=help became recovery memory,no_checkpoint,r243:268:Sol:5af251f535
269,9,Ari,day 9 day: Ari chooses repair_route,steady_continuity; sleep_debt=0.13; recovery=0.38,approaches_for_shared_task_later; trust=1.00; avoid=0.00,history_charge=0.02; autonomy=0.83; reason=help became recovery memory,no_checkpoint,r243:269:Ari:8d0ba84442
270,9,Fay,day 9 day: Fay chooses work_project,steady_continuity; sleep_debt=0.10; recovery=0.31,shares_private_hint_voluntarily; trust=1.00; avoid=0.00,history_charge=0.03; autonomy=0.81; reason=trust stable across days,no_checkpoint,r243:270:Fay:98850ffb32
271,9,Milo,day 9 day: Milo chooses market_exchange,steady_continuity; sleep_debt=0.16; recovery=0.29,approaches_for_shared_task_later; trust=1.00; avoid=0.00,history_charge=0.06; autonomy=0.85; reason=help became recovery memory,no_checkpoint,r243:271:Milo:234b90b907
272,9,Sol,day 9 day: Sol chooses repair_route,steady_continuity; sleep_debt=0.10; recovery=0.32,shares_private_hint_voluntarily; trust=0.98; avoid=0.03,history_charge=0.04; autonomy=0.74; reason=trust stable across days,no_checkpoint,r243:272:Sol:9bad66357e
273,9,Ari,day 9 dusk: Ari chooses relationship_check,steady_continuity; sleep_debt=0.17; recovery=0.30,shares_private_hint_voluntarily; trust=0.98; avoid=0.03,history_charge=0.07; autonomy=0.73; reason=trust stable across days,no_checkpoint,r243:273:Ari:4ff6830dce
274,9,Fay,day 9 dusk: Fay chooses ritual_hum,steady_continuity; sleep_debt=0.10; recovery=0.32,shares_private_hint_voluntarily; trust=1.00; avoid=0.00,history_charge=0.04; autonomy=0.81; reason=trust stable across days,no_checkpoint,r243:274:Fay:6f38a4b724
275,9,Milo,day 9 dusk: Milo chooses hearth_return,steady_continuity; sleep_debt=0.19; recovery=0.33,approaches_for_shared_task_later; trust=1.00; avoid=0.00,history_charge=0.05; autonomy=0.82; reason=help became recovery memory,no_checkpoint,r243:275:Milo:05b7a67f52
276,9,Sol,day 9 dusk: Sol chooses ritual_hum,steady_continuity; sleep_debt=0.06; recovery=0.42,approaches_for_shared_task_later; trust=1.00; avoid=0.00,history_charge=0.02; autonomy=0.86; reason=help became recovery memory,no_checkpoint,r243:276:Sol:c60da61008
277,9,Ari,day 9 dusk: Ari chooses ritual_hum,steady_continuity; sleep_debt=0.13; recovery=0.40,approaches_for_shared_task_later; trust=1.00; avoid=0.00,history_charge=0.05; autonomy=0.85; reason=help became recovery memory,no_checkpoint,r243:277:Ari:1ce3ce4591
278,9,Fay,day 9 dusk: Fay chooses ritual_hum,steady_continuity; sleep_debt=0.11; recovery=0.32,shares_private_hint_voluntarily; trust=0.98; avoid=0.03,history_charge=0.06; autonomy=0.77; reason=trust stable across days,no_checkpoint,r243:278:Fay:f62808be2f
279,9,Milo,day 9 dusk: Milo chooses store_objects,steady_continuity; sleep_debt=0.21; recovery=0.35,approaches_for_shared_task_later; trust=1.00; avoid=0.00,history_charge=0.04; autonomy=0.83; reason=help became recovery memory,no_checkpoint,r243:279:Milo:d2094fbc63
280,9,Sol,day 9 dusk: Sol chooses hearth_return,steady_continuity; sleep_debt=0.08; recovery=0.35,shares_private_hint_voluntarily; trust=1.00; avoid=0.00,history_charge=0.01; autonomy=0.84; reason=trust stable across days,no_checkpoint,r243:280:Sol:8203ff4073
281,9,Ari,day 9 night: Ari chooses sleep,steady_continuity; sleep_debt=0.00; recovery=0.40,shares_private_hint_voluntarily; trust=1.00; avoid=0.00,history_charge=0.03; autonomy=0.83; reason=trust stable across days,no_checkpoint,r243:281:Ari:cfe9b708fe
282,9,Fay,day 9 night: Fay chooses dream_sort_memory,steady_continuity; sleep_debt=0.00; recovery=0.45,approaches_for_shared_task_later; trust=1.00; avoid=0.00,history_charge=0.04; autonomy=0.83; reason=help became recovery memory,no_checkpoint,r243:282:Fay:11e5c2c12d
283,9,Milo,day 9 night: Milo chooses guarded_rest,steady_continuity; sleep_debt=0.07; recovery=0.33,shares_private_hint_voluntarily; trust=0.98; avoid=0.03,history_charge=0.08; autonomy=0.73; reason=trust stable across days,no_checkpoint,r243:283:Milo:3190d89f17
284,9,Sol,day 9 night: Sol chooses soft_recovery,steady_continuity; sleep_debt=0.00; recovery=0.40,shares_private_hint_voluntarily; trust=1.00; avoid=0.00,history_charge=0.01; autonomy=0.84; reason=trust stable across days,r243-day09-tick284,r243:284:Sol:83bd2de3f5
285,9,Ari,day 9 night: Ari chooses soft_recovery,steady_continuity; sleep_debt=0.00; recovery=0.43,shares_private_hint_voluntarily; trust=1.00; avoid=0.00,history_charge=0.02; autonomy=0.84; reason=trust stable across days,no_checkpoint,r243:285:Ari:4486ebfcda
286,9,Fay,day 9 night: Fay chooses sleep,steady_continuity; sleep_debt=0.00; recovery=0.51,approaches_for_shared_task_later; trust=1.00; avoid=0.00,history_charge=0.01; autonomy=0.81; reason=help became recovery memory,no_checkpoint,r243:286:Fay:a1f171c4d1
287,9,Milo,day 9 night: Milo chooses dream_sort_memory,steady_continuity; sleep_debt=0.00; recovery=0.46,approaches_for_shared_task_later; trust=1.00; avoid=0.00,history_charge=0.05; autonomy=0.85; reason=help became recovery memory,no_checkpoint,r243:287:Milo:31690a059f
288,9,Sol,day 9 night: Sol chooses guarded_rest,steady_continuity; sleep_debt=0.00; recovery=0.36,shares_private_hint_voluntarily; trust=0.98; avoid=0.03,history_charge=0.03; autonomy=0.80; reason=trust stable across days,no_checkpoint,r243:288:Sol:f975eaa86b
289,10,Ari,day 10 dawn: Ari chooses share_water,steady_continuity; sleep_debt=0.02; recovery=0.42,approaches_for_shared_task_later; trust=1.00; avoid=0.00,history_charge=0.00; autonomy=0.83; reason=help became recovery memory,no_checkpoint,r243:289:Ari:b00e919288
290,10,Fay,day 10 dawn: Fay chooses wake_check_body,steady_continuity; sleep_debt=0.02; recovery=0.41,shares_private_hint_voluntarily; trust=1.00; avoid=0.00,history_charge=0.00; autonomy=0.81; reason=trust stable across days,no_checkpoint,r243:290:Fay:3139af83ff
291,10,Milo,day 10 dawn: Milo chooses prepare_tools,steady_continuity; sleep_debt=0.02; recovery=0.44,approaches_for_shared_task_later; trust=1.00; avoid=0.00,history_charge=0.01; autonomy=0.85; reason=help became recovery memory,no_checkpoint,r243:291:Milo:3a70366c33
292,10,Sol,day 10 dawn: Sol chooses quiet_route_scan,steady_continuity; sleep_debt=0.04; recovery=0.28,shares_private_hint_voluntarily; trust=0.96; avoid=0.05,history_charge=0.08; autonomy=0.74; reason=trust stable across days,no_checkpoint,r243:292:Sol:84e698b66a
293,10,Ari,day 10 dawn: Ari chooses quiet_route_scan,steady_continuity; sleep_debt=0.06; recovery=0.32,shares_private_hint_voluntarily; trust=0.98; avoid=0.03,history_charge=0.05; autonomy=0.73; reason=trust stable across days,no_checkpoint,r243:293:Ari:d2f68ab103
294,10,Fay,day 10 dawn: Fay chooses share_water,steady_continuity; sleep_debt=0.08; recovery=0.32,shares_private_hint_voluntarily; trust=1.00; avoid=0.00,history_charge=0.01; autonomy=0.81; reason=trust stable across days,no_checkpoint,r243:294:Fay:22029285de
295,10,Milo,day 10 dawn: Milo chooses wake_check_body,steady_continuity; sleep_debt=0.04; recovery=0.43,approaches_for_shared_task_later; trust=1.00; avoid=0.00,history_charge=0.00; autonomy=0.83; reason=help became recovery memory,no_checkpoint,r243:295:Milo:660afe260f
296,10,Sol,day 10 dawn: Sol chooses prepare_tools,steady_continuity; sleep_debt=0.06; recovery=0.32,approaches_for_shared_task_later; trust=0.98; avoid=0.03,history_charge=0.07; autonomy=0.86; reason=help became recovery memory,no_checkpoint,r243:296:Sol:8434f10de3
297,10,Ari,day 10 day: Ari chooses repair_route,steady_continuity; sleep_debt=0.08; recovery=0.35,approaches_for_shared_task_later; trust=1.00; avoid=0.00,history_charge=0.03; autonomy=0.85; reason=help became recovery memory,no_checkpoint,r243:297:Ari:6233096281
298,10,Fay,day 10 day: Fay chooses repair_route,steady_continuity; sleep_debt=0.14; recovery=0.25,shares_private_hint_voluntarily; trust=0.98; avoid=0.03,history_charge=0.04; autonomy=0.77; reason=trust stable across days,no_checkpoint,r243:298:Fay:3891bbd1e0
299,10,Milo,day 10 day: Milo chooses market_exchange,steady_continuity; sleep_debt=0.06; recovery=0.42,approaches_for_shared_task_later; trust=1.00; avoid=0.00,history_charge=0.00; autonomy=0.83; reason=help became recovery memory,no_checkpoint,r243:299:Milo:aaf57fe64e
300,10,Sol,day 10 day: Sol chooses work_project,steady_continuity; sleep_debt=0.08; recovery=0.29,shares_private_hint_voluntarily; trust=0.99; avoid=0.03,history_charge=0.07; autonomy=0.84; reason=trust stable across days,no_checkpoint,r243:300:Sol:0ed143a7b0
301,10,Ari,day 10 day: Ari chooses repair_route,steady_continuity; sleep_debt=0.10; recovery=0.31,shares_private_hint_voluntarily; trust=1.00; avoid=0.00,history_charge=0.03; autonomy=0.83; reason=trust stable across days,no_checkpoint,r243:301:Ari:bc82f3097c
302,10,Fay,day 10 day: Fay chooses market_exchange,steady_continuity; sleep_debt=0.16; recovery=0.30,approaches_for_shared_task_later; trust=1.00; avoid=0.00,history_charge=0.04; autonomy=0.83; reason=help became recovery memory,no_checkpoint,r243:302:Fay:2a41676962
303,10,Milo,day 10 day: Milo chooses market_exchange,steady_continuity; sleep_debt=0.10; recovery=0.32,shares_private_hint_voluntarily; trust=0.98; avoid=0.03,history_charge=0.05; autonomy=0.72; reason=trust stable across days,no_checkpoint,r243:303:Milo:9c1bc1e117
304,10,Sol,day 10 day: Sol chooses teach_skill,steady_continuity; sleep_debt=0.14; recovery=0.23,shares_private_hint_voluntarily; trust=0.99; avoid=0.02,history_charge=0.08; autonomy=0.84; reason=trust stable across days,no_checkpoint,r243:304:Sol:fd600b47a2
305,10,Ari,day 10 dusk: Ari chooses store_objects,steady_continuity; sleep_debt=0.16; recovery=0.25,shares_private_hint_voluntarily; trust=1.00; avoid=0.00,history_charge=0.05; autonomy=0.83; reason=trust stable across days,no_checkpoint,r243:305:Ari:41014509c4
