tick,day,resident,minigame_id,step,action,failure_cause,failure_animation,recoverable,retry_visible,progress_before,progress_after
1862,104,Nia,repair-08-nia,test,Nia attempts test while avatar route is ask_sensory,misaligned brace,patch peels back,True,True,0.604444,0.572444
1863,104,Ari,repair-08-ari,return,Ari attempts return while avatar route is request_space,tool slips,steady success pulse,True,True,0.66,0.628
1864,104,Fay,repair-08-fay,align,Fay attempts align while avatar route is thank_resident,none,shake head and reset,True,False,0.715556,0.770556
1865,104,Milo,repair-08-milo,bind,Milo attempts bind while avatar route is ask_repair,misaligned brace,sparks fade,True,True,0.771111,0.739111
1866,104,Sera,repair-08-sera,brace,Sera attempts brace while avatar route is ask_help,tool slips,thread unspools,True,True,0.826667,0.794667
1867,104,Tovan,repair-08-tovan,dry,Tovan attempts dry while avatar route is offer_tool,none,tool clatters softly,True,False,0.882222,0.937222
1868,104,Nia,repair-08-nia,test,Nia attempts test while avatar route is apologize,misaligned brace,patch peels back,True,True,0.937778,0.905778
1869,104,Ari,repair-08-ari,return,Ari attempts return while avatar route is ask_sensory,tool slips,steady success pulse,True,True,0.98,0.948
1870,104,Fay,repair-08-fay,align,Fay attempts align while avatar route is request_space,none,shake head and reset,True,False,0.98,1.0
1871,104,Milo,repair-08-milo,bind,Milo attempts bind while avatar route is thank_resident,misaligned brace,sparks fade,True,True,0.98,0.948
1872,105,Sera,repair-09-sera,dry,Sera attempts dry while avatar route is ask_repair,tool slips,tool clatters softly,True,True,0.0,0.0
1873,105,Tovan,repair-09-tovan,test,Tovan attempts test while avatar route is ask_help,none,patch peels back,True,False,0.055556,0.110556
1874,105,Nia,repair-09-nia,return,Nia attempts return while avatar route is offer_tool,misaligned brace,steady success pulse,True,True,0.111111,0.079111
1875,105,Ari,repair-09-ari,align,Ari attempts align while avatar route is apologize,tool slips,shake head and reset,True,True,0.166667,0.134667
1876,105,Fay,repair-09-fay,bind,Fay attempts bind while avatar route is ask_sensory,none,sparks fade,True,False,0.222222,0.277222
1877,105,Milo,repair-09-milo,brace,Milo attempts brace while avatar route is request_space,misaligned brace,thread unspools,True,True,0.277778,0.245778
1878,105,Sera,repair-09-sera,dry,Sera attempts dry while avatar route is thank_resident,tool slips,tool clatters softly,True,True,0.333333,0.301333
1879,105,Tovan,repair-09-tovan,test,Tovan attempts test while avatar route is ask_repair,none,patch peels back,True,False,0.388889,0.443889
1880,105,Nia,repair-09-nia,return,Nia attempts return while avatar route is ask_help,misaligned brace,steady success pulse,True,True,0.444444,0.412444
1881,105,Ari,repair-09-ari,align,Ari attempts align while avatar route is offer_tool,tool slips,shake head and reset,True,True,0.5,0.468
1882,105,Fay,repair-09-fay,bind,Fay attempts bind while avatar route is apologize,none,sparks fade,True,False,0.555556,0.610556
1883,105,Milo,repair-09-milo,brace,Milo attempts brace while avatar route is ask_sensory,misaligned brace,thread unspools,True,True,0.611111,0.579111
1884,105,Sera,repair-09-sera,dry,Sera attempts dry while avatar route is request_space,tool slips,tool clatters softly,True,True,0.666667,0.634667
1885,105,Tovan,repair-09-tovan,test,Tovan attempts test while avatar route is thank_resident,none,patch peels back,True,False,0.722222,0.777222
1886,105,Nia,repair-09-nia,return,Nia attempts return while avatar route is ask_repair,misaligned brace,steady success pulse,True,True,0.777778,0.745778
1887,105,Ari,repair-09-ari,align,Ari attempts align while avatar route is ask_help,tool slips,shake head and reset,True,True,0.833333,0.801333
1888,105,Fay,repair-09-fay,bind,Fay attempts bind while avatar route is offer_tool,none,sparks fade,True,False,0.888889,0.943889
1889,105,Milo,repair-09-milo,brace,Milo attempts brace while avatar route is apologize,misaligned brace,thread unspools,True,True,0.944444,0.912444
1890,106,Sera,repair-10-sera,test,Sera attempts test while avatar route is ask_sensory,tool slips,patch peels back,True,True,0.08,0.048
1891,106,Tovan,repair-10-tovan,return,Tovan attempts return while avatar route is request_space,none,steady success pulse,True,False,0.135556,0.190556
1892,106,Nia,repair-10-nia,align,Nia attempts align while avatar route is thank_resident,misaligned brace,shake head and reset,True,True,0.191111,0.159111
1893,106,Ari,repair-10-ari,bind,Ari attempts bind while avatar route is ask_repair,tool slips,sparks fade,True,True,0.246667,0.214667
1894,106,Fay,repair-10-fay,brace,Fay attempts brace while avatar route is ask_help,none,thread unspools,True,False,0.302222,0.357222
1895,106,Milo,repair-10-milo,dry,Milo attempts dry while avatar route is offer_tool,misaligned brace,tool clatters softly,True,True,0.357778,0.325778
1896,106,Sera,repair-10-sera,test,Sera attempts test while avatar route is apologize,tool slips,patch peels back,True,True,0.413333,0.381333
1897,106,Tovan,repair-10-tovan,return,Tovan attempts return while avatar route is ask_sensory,none,steady success pulse,True,False,0.468889,0.523889
1898,106,Nia,repair-10-nia,align,Nia attempts align while avatar route is request_space,misaligned brace,shake head and reset,True,True,0.524444,0.492444
1899,106,Ari,repair-10-ari,bind,Ari attempts bind while avatar route is thank_resident,tool slips,sparks fade,True,True,0.58,0.548
1900,106,Fay,repair-10-fay,brace,Fay attempts brace while avatar route is ask_repair,none,thread unspools,True,False,0.635556,0.690556
1901,106,Milo,repair-10-milo,dry,Milo attempts dry while avatar route is ask_help,misaligned brace,tool clatters softly,True,True,0.691111,0.659111
1902,106,Sera,repair-10-sera,test,Sera attempts test while avatar route is offer_tool,tool slips,patch peels back,True,True,0.746667,0.714667
1903,106,Tovan,repair-10-tovan,return,Tovan attempts return while avatar route is apologize,none,steady success pulse,True,False,0.802222,0.857222
1904,106,Nia,repair-10-nia,align,Nia attempts align while avatar route is ask_sensory,misaligned brace,shake head and reset,True,True,0.857778,0.825778
1905,106,Ari,repair-10-ari,bind,Ari attempts bind while avatar route is request_space,tool slips,sparks fade,True,True,0.913333,0.881333
1906,106,Fay,repair-10-fay,brace,Fay attempts brace while avatar route is thank_resident,none,thread unspools,True,False,0.968889,1.0
1907,106,Milo,repair-10-milo,dry,Milo attempts dry while avatar route is ask_repair,misaligned brace,tool clatters softly,True,True,0.98,0.948
1908,107,Sera,repair-11-sera,return,Sera attempts return while avatar route is ask_help,tool slips,steady success pulse,True,True,0.16,0.128
1909,107,Tovan,repair-11-tovan,align,Tovan attempts align while avatar route is offer_tool,none,shake head and reset,True,False,0.215556,0.270556
1910,107,Nia,repair-11-nia,bind,Nia attempts bind while avatar route is apologize,misaligned brace,sparks fade,True,True,0.271111,0.239111
1911,107,Ari,repair-11-ari,brace,Ari attempts brace while avatar route is ask_sensory,tool slips,thread unspools,True,True,0.326667,0.294667
1912,107,Fay,repair-11-fay,dry,Fay attempts dry while avatar route is request_space,none,tool clatters softly,True,False,0.382222,0.437222
1913,107,Milo,repair-11-milo,test,Milo attempts test while avatar route is thank_resident,misaligned brace,patch peels back,True,True,0.437778,0.405778
1914,107,Sera,repair-11-sera,return,Sera attempts return while avatar route is ask_repair,tool slips,steady success pulse,True,True,0.493333,0.461333
1915,107,Tovan,repair-11-tovan,align,Tovan attempts align while avatar route is ask_help,none,shake head and reset,True,False,0.548889,0.603889
1916,107,Nia,repair-11-nia,bind,Nia attempts bind while avatar route is offer_tool,misaligned brace,sparks fade,True,True,0.604444,0.572444
1917,107,Ari,repair-11-ari,brace,Ari attempts brace while avatar route is apologize,tool slips,thread unspools,True,True,0.66,0.628
1918,107,Fay,repair-11-fay,dry,Fay attempts dry while avatar route is ask_sensory,none,tool clatters softly,True,False,0.715556,0.770556
1919,107,Milo,repair-11-milo,test,Milo attempts test while avatar route is request_space,misaligned brace,patch peels back,True,True,0.771111,0.739111
1920,107,Sera,repair-11-sera,return,Sera attempts return while avatar route is thank_resident,tool slips,steady success pulse,True,True,0.826667,0.794667
1921,107,Tovan,repair-11-tovan,align,Tovan attempts align while avatar route is ask_repair,none,shake head and reset,True,False,0.882222,0.937222
1922,107,Nia,repair-11-nia,bind,Nia attempts bind while avatar route is ask_help,misaligned brace,sparks fade,True,True,0.937778,0.905778
1923,107,Ari,repair-11-ari,brace,Ari attempts brace while avatar route is offer_tool,tool slips,thread unspools,True,True,0.98,0.948
1924,107,Fay,repair-11-fay,dry,Fay attempts dry while avatar route is apologize,none,tool clatters softly,True,False,0.98,1.0
1925,107,Milo,repair-11-milo,test,Milo attempts test while avatar route is ask_sensory,misaligned brace,patch peels back,True,True,0.98,0.948
1926,108,Sera,repair-00-sera,align,Sera attempts align while avatar route is request_space,tool slips,shake head and reset,True,True,0.0,0.0
1927,108,Tovan,repair-00-tovan,bind,Tovan attempts bind while avatar route is thank_resident,none,sparks fade,True,False,0.055556,0.110556
1928,108,Nia,repair-00-nia,brace,Nia attempts brace while avatar route is ask_repair,misaligned brace,thread unspools,True,True,0.111111,0.079111
1929,108,Ari,repair-00-ari,dry,Ari attempts dry while avatar route is ask_help,tool slips,tool clatters softly,True,True,0.166667,0.134667
1930,108,Fay,repair-00-fay,test,Fay attempts test while avatar route is offer_tool,none,patch peels back,True,False,0.222222,0.277222
1931,108,Milo,repair-00-milo,return,Milo attempts return while avatar route is apologize,misaligned brace,steady success pulse,True,True,0.277778,0.245778
1932,108,Sera,repair-00-sera,align,Sera attempts align while avatar route is ask_sensory,tool slips,shake head and reset,True,True,0.333333,0.301333
1933,108,Tovan,repair-00-tovan,bind,Tovan attempts bind while avatar route is request_space,none,sparks fade,True,False,0.388889,0.443889
1934,108,Nia,repair-00-nia,brace,Nia attempts brace while avatar route is thank_resident,misaligned brace,thread unspools,True,True,0.444444,0.412444
1935,108,Ari,repair-00-ari,dry,Ari attempts dry while avatar route is ask_repair,tool slips,tool clatters softly,True,True,0.5,0.468
1936,108,Fay,repair-00-fay,test,Fay attempts test while avatar route is ask_help,none,patch peels back,True,False,0.555556,0.610556
1937,108,Milo,repair-00-milo,return,Milo attempts return while avatar route is offer_tool,misaligned brace,steady success pulse,True,True,0.611111,0.579111
1938,108,Sera,repair-00-sera,align,Sera attempts align while avatar route is apologize,tool slips,shake head and reset,True,True,0.666667,0.634667
1939,108,Tovan,repair-00-tovan,bind,Tovan attempts bind while avatar route is ask_sensory,none,sparks fade,True,False,0.722222,0.777222
1940,108,Nia,repair-00-nia,brace,Nia attempts brace while avatar route is request_space,misaligned brace,thread unspools,True,True,0.777778,0.745778
1941,108,Ari,repair-00-ari,dry,Ari attempts dry while avatar route is thank_resident,tool slips,tool clatters softly,True,True,0.833333,0.801333
1942,108,Fay,repair-00-fay,test,Fay attempts test while avatar route is ask_repair,none,patch peels back,True,False,0.888889,0.943889
1943,108,Milo,repair-00-milo,return,Milo attempts return while avatar route is ask_help,misaligned brace,steady success pulse,True,True,0.944444,0.912444
1944,109,Sera,repair-01-sera,bind,Sera attempts bind while avatar route is offer_tool,tool slips,sparks fade,True,True,0.08,0.048
1945,109,Tovan,repair-01-tovan,brace,Tovan attempts brace while avatar route is apologize,none,thread unspools,True,False,0.135556,0.190556
1946,109,Nia,repair-01-nia,dry,Nia attempts dry while avatar route is ask_sensory,misaligned brace,tool clatters softly,True,True,0.191111,0.159111
1947,109,Ari,repair-01-ari,test,Ari attempts test while avatar route is request_space,tool slips,patch peels back,True,True,0.246667,0.214667
1948,109,Fay,repair-01-fay,return,Fay attempts return while avatar route is thank_resident,none,steady success pulse,True,False,0.302222,0.357222
1949,109,Milo,repair-01-milo,align,Milo attempts align while avatar route is ask_repair,misaligned brace,shake head and reset,True,True,0.357778,0.325778
1950,109,Sera,repair-01-sera,bind,Sera attempts bind while avatar route is ask_help,tool slips,sparks fade,True,True,0.413333,0.381333
1951,109,Tovan,repair-01-tovan,brace,Tovan attempts brace while avatar route is offer_tool,none,thread unspools,True,False,0.468889,0.523889
1952,109,Nia,repair-01-nia,dry,Nia attempts dry while avatar route is apologize,misaligned brace,tool clatters softly,True,True,0.524444,0.492444
1953,109,Ari,repair-01-ari,test,Ari attempts test while avatar route is ask_sensory,tool slips,patch peels back,True,True,0.58,0.548
1954,109,Fay,repair-01-fay,return,Fay attempts return while avatar route is request_space,none,steady success pulse,True,False,0.635556,0.690556
1955,109,Milo,repair-01-milo,align,Milo attempts align while avatar route is thank_resident,misaligned brace,shake head and reset,True,True,0.691111,0.659111
1956,109,Sera,repair-01-sera,bind,Sera attempts bind while avatar route is ask_repair,tool slips,sparks fade,True,True,0.746667,0.714667
1957,109,Tovan,repair-01-tovan,brace,Tovan attempts brace while avatar route is ask_help,none,thread unspools,True,False,0.802222,0.857222
1958,109,Nia,repair-01-nia,dry,Nia attempts dry while avatar route is offer_tool,misaligned brace,tool clatters softly,True,True,0.857778,0.825778
1959,109,Ari,repair-01-ari,test,Ari attempts test while avatar route is apologize,tool slips,patch peels back,True,True,0.913333,0.881333
1960,109,Fay,repair-01-fay,return,Fay attempts return while avatar route is ask_sensory,none,steady success pulse,True,False,0.968889,1.0
1961,109,Milo,repair-01-milo,align,Milo attempts align while avatar route is request_space,misaligned brace,shake head and reset,True,True,0.98,0.948
1962,110,Sera,repair-02-sera,brace,Sera attempts brace while avatar route is thank_resident,tool slips,thread unspools,True,True,0.16,0.128
1963,110,Tovan,repair-02-tovan,dry,Tovan attempts dry while avatar route is ask_repair,none,tool clatters softly,True,False,0.215556,0.270556
1964,110,Nia,repair-02-nia,test,Nia attempts test while avatar route is ask_help,misaligned brace,patch peels back,True,True,0.271111,0.239111
1965,110,Ari,repair-02-ari,return,Ari attempts return while avatar route is offer_tool,tool slips,steady success pulse,True,True,0.326667,0.294667
1966,110,Fay,repair-02-fay,align,Fay attempts align while avatar route is apologize,none,shake head and reset,True,False,0.382222,0.437222
1967,110,Milo,repair-02-milo,bind,Milo attempts bind while avatar route is ask_sensory,misaligned brace,sparks fade,True,True,0.437778,0.405778
1968,110,Sera,repair-02-sera,brace,Sera attempts brace while avatar route is request_space,tool slips,thread unspools,True,True,0.493333,0.461333
1969,110,Tovan,repair-02-tovan,dry,Tovan attempts dry while avatar route is thank_resident,none,tool clatters softly,True,False,0.548889,0.603889
1970,110,Nia,repair-02-nia,test,Nia attempts test while avatar route is ask_repair,misaligned brace,patch peels back,True,True,0.604444,0.572444
1971,110,Ari,repair-02-ari,return,Ari attempts return while avatar route is ask_help,tool slips,steady success pulse,True,True,0.66,0.628
1972,110,Fay,repair-02-fay,align,Fay attempts align while avatar route is offer_tool,none,shake head and reset,True,False,0.715556,0.770556
1973,110,Milo,repair-02-milo,bind,Milo attempts bind while avatar route is apologize,misaligned brace,sparks fade,True,True,0.771111,0.739111
1974,110,Sera,repair-02-sera,brace,Sera attempts brace while avatar route is ask_sensory,tool slips,thread unspools,True,True,0.826667,0.794667
1975,110,Tovan,repair-02-tovan,dry,Tovan attempts dry while avatar route is request_space,none,tool clatters softly,True,False,0.882222,0.937222
1976,110,Nia,repair-02-nia,test,Nia attempts test while avatar route is thank_resident,misaligned brace,patch peels back,True,True,0.937778,0.905778
1977,110,Ari,repair-02-ari,return,Ari attempts return while avatar route is ask_repair,tool slips,steady success pulse,True,True,0.98,0.948
1978,110,Fay,repair-02-fay,align,Fay attempts align while avatar route is ask_help,none,shake head and reset,True,False,0.98,1.0
1979,110,Milo,repair-02-milo,bind,Milo attempts bind while avatar route is offer_tool,misaligned brace,sparks fade,True,True,0.98,0.948
1980,111,Sera,repair-03-sera,dry,Sera attempts dry while avatar route is apologize,tool slips,tool clatters softly,True,True,0.0,0.0
1981,111,Tovan,repair-03-tovan,test,Tovan attempts test while avatar route is ask_sensory,none,patch peels back,True,False,0.055556,0.110556
1982,111,Nia,repair-03-nia,return,Nia attempts return while avatar route is request_space,misaligned brace,steady success pulse,True,True,0.111111,0.079111
1983,111,Ari,repair-03-ari,align,Ari attempts align while avatar route is thank_resident,tool slips,shake head and reset,True,True,0.166667,0.134667
1984,111,Fay,repair-03-fay,bind,Fay attempts bind while avatar route is ask_repair,none,sparks fade,True,False,0.222222,0.277222
1985,111,Milo,repair-03-milo,brace,Milo attempts brace while avatar route is ask_help,misaligned brace,thread unspools,True,True,0.277778,0.245778
1986,111,Sera,repair-03-sera,dry,Sera attempts dry while avatar route is offer_tool,tool slips,tool clatters softly,True,True,0.333333,0.301333
1987,111,Tovan,repair-03-tovan,test,Tovan attempts test while avatar route is apologize,none,patch peels back,True,False,0.388889,0.443889
1988,111,Nia,repair-03-nia,return,Nia attempts return while avatar route is ask_sensory,misaligned brace,steady success pulse,True,True,0.444444,0.412444
1989,111,Ari,repair-03-ari,align,Ari attempts align while avatar route is request_space,tool slips,shake head and reset,True,True,0.5,0.468
1990,111,Fay,repair-03-fay,bind,Fay attempts bind while avatar route is thank_resident,none,sparks fade,True,False,0.555556,0.610556
1991,111,Milo,repair-03-milo,brace,Milo attempts brace while avatar route is ask_repair,misaligned brace,thread unspools,True,True,0.611111,0.579111
1992,111,Sera,repair-03-sera,dry,Sera attempts dry while avatar route is ask_help,tool slips,tool clatters softly,True,True,0.666667,0.634667
1993,111,Tovan,repair-03-tovan,test,Tovan attempts test while avatar route is offer_tool,none,patch peels back,True,False,0.722222,0.777222
1994,111,Nia,repair-03-nia,return,Nia attempts return while avatar route is apologize,misaligned brace,steady success pulse,True,True,0.777778,0.745778
1995,111,Ari,repair-03-ari,align,Ari attempts align while avatar route is ask_sensory,tool slips,shake head and reset,True,True,0.833333,0.801333
1996,111,Fay,repair-03-fay,bind,Fay attempts bind while avatar route is request_space,none,sparks fade,True,False,0.888889,0.943889
1997,111,Milo,repair-03-milo,brace,Milo attempts brace while avatar route is thank_resident,misaligned brace,thread unspools,True,True,0.944444,0.912444
1998,112,Sera,repair-04-sera,test,Sera attempts test while avatar route is ask_repair,tool slips,patch peels back,True,True,0.08,0.048
1999,112,Tovan,repair-04-tovan,return,Tovan attempts return while avatar route is ask_help,none,steady success pulse,True,False,0.135556,0.190556
2000,112,Nia,repair-04-nia,align,Nia attempts align while avatar route is offer_tool,misaligned brace,shake head and reset,True,True,0.191111,0.159111
2001,112,Ari,repair-04-ari,bind,Ari attempts bind while avatar route is apologize,tool slips,sparks fade,True,True,0.246667,0.214667
2002,112,Fay,repair-04-fay,brace,Fay attempts brace while avatar route is ask_sensory,none,thread unspools,True,False,0.302222,0.357222
2003,112,Milo,repair-04-milo,dry,Milo attempts dry while avatar route is request_space,misaligned brace,tool clatters softly,True,True,0.357778,0.325778
2004,112,Sera,repair-04-sera,test,Sera attempts test while avatar route is thank_resident,tool slips,patch peels back,True,True,0.413333,0.381333
2005,112,Tovan,repair-04-tovan,return,Tovan attempts return while avatar route is ask_repair,none,steady success pulse,True,False,0.468889,0.523889
2006,112,Nia,repair-04-nia,align,Nia attempts align while avatar route is ask_help,misaligned brace,shake head and reset,True,True,0.524444,0.492444
2007,112,Ari,repair-04-ari,bind,Ari attempts bind while avatar route is offer_tool,tool slips,sparks fade,True,True,0.58,0.548
2008,112,Fay,repair-04-fay,brace,Fay attempts brace while avatar route is apologize,none,thread unspools,True,False,0.635556,0.690556
2009,112,Milo,repair-04-milo,dry,Milo attempts dry while avatar route is ask_sensory,misaligned brace,tool clatters softly,True,True,0.691111,0.659111
2010,112,Sera,repair-04-sera,test,Sera attempts test while avatar route is request_space,tool slips,patch peels back,True,True,0.746667,0.714667
2011,112,Tovan,repair-04-tovan,return,Tovan attempts return while avatar route is thank_resident,none,steady success pulse,True,False,0.802222,0.857222
2012,112,Nia,repair-04-nia,align,Nia attempts align while avatar route is ask_repair,misaligned brace,shake head and reset,True,True,0.857778,0.825778
2013,112,Ari,repair-04-ari,bind,Ari attempts bind while avatar route is ask_help,tool slips,sparks fade,True,True,0.913333,0.881333
2014,112,Fay,repair-04-fay,brace,Fay attempts brace while avatar route is offer_tool,none,thread unspools,True,False,0.968889,1.0
2015,112,Milo,repair-04-milo,dry,Milo attempts dry while avatar route is apologize,misaligned brace,tool clatters softly,True,True,0.98,0.948
2016,113,Sera,repair-05-sera,return,Sera attempts return while avatar route is ask_sensory,tool slips,steady success pulse,True,True,0.16,0.128
2017,113,Tovan,repair-05-tovan,align,Tovan attempts align while avatar route is request_space,none,shake head and reset,True,False,0.215556,0.270556
2018,113,Nia,repair-05-nia,bind,Nia attempts bind while avatar route is thank_resident,misaligned brace,sparks fade,True,True,0.271111,0.239111
2019,113,Ari,repair-05-ari,brace,Ari attempts brace while avatar route is ask_repair,tool slips,thread unspools,True,True,0.326667,0.294667
2020,113,Fay,repair-05-fay,dry,Fay attempts dry while avatar route is ask_help,none,tool clatters softly,True,False,0.382222,0.437222
2021,113,Milo,repair-05-milo,test,Milo attempts test while avatar route is offer_tool,misaligned brace,patch peels back,True,True,0.437778,0.405778
2022,113,Sera,repair-05-sera,return,Sera attempts return while avatar route is apologize,tool slips,steady success pulse,True,True,0.493333,0.461333
2023,113,Tovan,repair-05-tovan,align,Tovan attempts align while avatar route is ask_sensory,none,shake head and reset,True,False,0.548889,0.603889
2024,113,Nia,repair-05-nia,bind,Nia attempts bind while avatar route is request_space,misaligned brace,sparks fade,True,True,0.604444,0.572444
2025,113,Ari,repair-05-ari,brace,Ari attempts brace while avatar route is thank_resident,tool slips,thread unspools,True,True,0.66,0.628
2026,113,Fay,repair-05-fay,dry,Fay attempts dry while avatar route is ask_repair,none,tool clatters softly,True,False,0.715556,0.770556
2027,113,Milo,repair-05-milo,test,Milo attempts test while avatar route is ask_help,misaligned brace,patch peels back,True,True,0.771111,0.739111
2028,113,Sera,repair-05-sera,return,Sera attempts return while avatar route is offer_tool,tool slips,steady success pulse,True,True,0.826667,0.794667
2029,113,Tovan,repair-05-tovan,align,Tovan attempts align while avatar route is apologize,none,shake head and reset,True,False,0.882222,0.937222
2030,113,Nia,repair-05-nia,bind,Nia attempts bind while avatar route is ask_sensory,misaligned brace,sparks fade,True,True,0.937778,0.905778
2031,113,Ari,repair-05-ari,brace,Ari attempts brace while avatar route is request_space,tool slips,thread unspools,True,True,0.98,0.948
2032,113,Fay,repair-05-fay,dry,Fay attempts dry while avatar route is thank_resident,none,tool clatters softly,True,False,0.98,1.0
2033,113,Milo,repair-05-milo,test,Milo attempts test while avatar route is ask_repair,misaligned brace,patch peels back,True,True,0.98,0.948
2034,114,Sera,repair-06-sera,align,Sera attempts align while avatar route is ask_help,tool slips,shake head and reset,True,True,0.0,0.0
2035,114,Tovan,repair-06-tovan,bind,Tovan attempts bind while avatar route is offer_tool,none,sparks fade,True,False,0.055556,0.110556
2036,114,Nia,repair-06-nia,brace,Nia attempts brace while avatar route is apologize,misaligned brace,thread unspools,True,True,0.111111,0.079111
2037,114,Ari,repair-06-ari,dry,Ari attempts dry while avatar route is ask_sensory,tool slips,tool clatters softly,True,True,0.166667,0.134667
2038,114,Fay,repair-06-fay,test,Fay attempts test while avatar route is request_space,none,patch peels back,True,False,0.222222,0.277222
2039,114,Milo,repair-06-milo,return,Milo attempts return while avatar route is thank_resident,misaligned brace,steady success pulse,True,True,0.277778,0.245778
2040,114,Sera,repair-06-sera,align,Sera attempts align while avatar route is ask_repair,tool slips,shake head and reset,True,True,0.333333,0.301333
2041,114,Tovan,repair-06-tovan,bind,Tovan attempts bind while avatar route is ask_help,none,sparks fade,True,False,0.388889,0.443889
2042,114,Nia,repair-06-nia,brace,Nia attempts brace while avatar route is offer_tool,misaligned brace,thread unspools,True,True,0.444444,0.412444
2043,114,Ari,repair-06-ari,dry,Ari attempts dry while avatar route is apologize,tool slips,tool clatters softly,True,True,0.5,0.468
2044,114,Fay,repair-06-fay,test,Fay attempts test while avatar route is ask_sensory,none,patch peels back,True,False,0.555556,0.610556
2045,114,Milo,repair-06-milo,return,Milo attempts return while avatar route is request_space,misaligned brace,steady success pulse,True,True,0.611111,0.579111
2046,114,Sera,repair-06-sera,align,Sera attempts align while avatar route is thank_resident,tool slips,shake head and reset,True,True,0.666667,0.634667
2047,114,Tovan,repair-06-tovan,bind,Tovan attempts bind while avatar route is ask_repair,none,sparks fade,True,False,0.722222,0.777222
2048,114,Nia,repair-06-nia,brace,Nia attempts brace while avatar route is ask_help,misaligned brace,thread unspools,True,True,0.777778,0.745778
2049,114,Ari,repair-06-ari,dry,Ari attempts dry while avatar route is offer_tool,tool slips,tool clatters softly,True,True,0.833333,0.801333
2050,114,Fay,repair-06-fay,test,Fay attempts test while avatar route is apologize,none,patch peels back,True,False,0.888889,0.943889
2051,114,Milo,repair-06-milo,return,Milo attempts return while avatar route is ask_sensory,misaligned brace,steady success pulse,True,True,0.944444,0.912444
2052,115,Sera,repair-07-sera,bind,Sera attempts bind while avatar route is request_space,tool slips,sparks fade,True,True,0.08,0.048
2053,115,Tovan,repair-07-tovan,brace,Tovan attempts brace while avatar route is thank_resident,none,thread unspools,True,False,0.135556,0.190556
2054,115,Nia,repair-07-nia,dry,Nia attempts dry while avatar route is ask_repair,misaligned brace,tool clatters softly,True,True,0.191111,0.159111
2055,115,Ari,repair-07-ari,test,Ari attempts test while avatar route is ask_help,tool slips,patch peels back,True,True,0.246667,0.214667
2056,115,Fay,repair-07-fay,return,Fay attempts return while avatar route is offer_tool,none,steady success pulse,True,False,0.302222,0.357222
2057,115,Milo,repair-07-milo,align,Milo attempts align while avatar route is apologize,misaligned brace,shake head and reset,True,True,0.357778,0.325778
2058,115,Sera,repair-07-sera,bind,Sera attempts bind while avatar route is ask_sensory,tool slips,sparks fade,True,True,0.413333,0.381333
2059,115,Tovan,repair-07-tovan,brace,Tovan attempts brace while avatar route is request_space,none,thread unspools,True,False,0.468889,0.523889
2060,115,Nia,repair-07-nia,dry,Nia attempts dry while avatar route is thank_resident,misaligned brace,tool clatters softly,True,True,0.524444,0.492444
2061,115,Ari,repair-07-ari,test,Ari attempts test while avatar route is ask_repair,tool slips,patch peels back,True,True,0.58,0.548
2062,115,Fay,repair-07-fay,return,Fay attempts return while avatar route is ask_help,none,steady success pulse,True,False,0.635556,0.690556
2063,115,Milo,repair-07-milo,align,Milo attempts align while avatar route is offer_tool,misaligned brace,shake head and reset,True,True,0.691111,0.659111
2064,115,Sera,repair-07-sera,bind,Sera attempts bind while avatar route is apologize,tool slips,sparks fade,True,True,0.746667,0.714667
2065,115,Tovan,repair-07-tovan,brace,Tovan attempts brace while avatar route is ask_sensory,none,thread unspools,True,False,0.802222,0.857222
2066,115,Nia,repair-07-nia,dry,Nia attempts dry while avatar route is request_space,misaligned brace,tool clatters softly,True,True,0.857778,0.825778
2067,115,Ari,repair-07-ari,test,Ari attempts test while avatar route is thank_resident,tool slips,patch peels back,True,True,0.913333,0.881333
2068,115,Fay,repair-07-fay,return,Fay attempts return while avatar route is ask_repair,none,steady success pulse,True,False,0.968889,1.0
2069,115,Milo,repair-07-milo,align,Milo attempts align while avatar route is ask_help,misaligned brace,shake head and reset,True,True,0.98,0.948
2070,116,Sera,repair-08-sera,brace,Sera attempts brace while avatar route is offer_tool,tool slips,thread unspools,True,True,0.16,0.128
2071,116,Tovan,repair-08-tovan,dry,Tovan attempts dry while avatar route is apologize,none,tool clatters softly,True,False,0.215556,0.270556
2072,116,Nia,repair-08-nia,test,Nia attempts test while avatar route is ask_sensory,misaligned brace,patch peels back,True,True,0.271111,0.239111
2073,116,Ari,repair-08-ari,return,Ari attempts return while avatar route is request_space,tool slips,steady success pulse,True,True,0.326667,0.294667
2074,116,Fay,repair-08-fay,align,Fay attempts align while avatar route is thank_resident,none,shake head and reset,True,False,0.382222,0.437222
2075,116,Milo,repair-08-milo,bind,Milo attempts bind while avatar route is ask_repair,misaligned brace,sparks fade,True,True,0.437778,0.405778
2076,116,Sera,repair-08-sera,brace,Sera attempts brace while avatar route is ask_help,tool slips,thread unspools,True,True,0.493333,0.461333
2077,116,Tovan,repair-08-tovan,dry,Tovan attempts dry while avatar route is offer_tool,none,tool clatters softly,True,False,0.548889,0.603889
2078,116,Nia,repair-08-nia,test,Nia attempts test while avatar route is apologize,misaligned brace,patch peels back,True,True,0.604444,0.572444
2079,116,Ari,repair-08-ari,return,Ari attempts return while avatar route is ask_sensory,tool slips,steady success pulse,True,True,0.66,0.628
